GENE,721_B_lymphoblasts,Adipocyte,BDCA4+_DentriticCells,BronchialEpithelialCells,CD105+_Endothelial,CD14+_Monocytes,CD19+_BCells(neg,CD33+_Myeloid,CD34+,CD4+_Tcells,CD56+_NKCells,CD71+_EarlyErythroid,CD8+_Tcells,CardiacMyocytes,Colorectaladenocarcinoma,Leukemia_chronicMyelogenousK-562,Leukemia_promyelocytic-HL-60,Leukemialymphoblastic(MOLT-4),Lymphoma_burkitts(Daudi),Lymphoma_burkitts(Raji),SkeletalMuscle,SmoothMuscle,Spinalcord,TestisGermCell,TestisLeydigCell
RNF14,4.895604,0.928571,2.038462,2.274725,1.010989,1.005495,0.994505,2.076923,1.016484,1.967033,3.076923,20.807692,1.983516,1.428571,0.961538,1.428571,0.846154,0.741758,1.076923,1.43956,1.120879,1.175824,0.89011,6.324176,1.538462
UBE2Q1,5.415597,0.78381,4.962488,0.904738,1.397335,2.200888,5.147088,2.720632,2.040474,2.039487,6.88154,0.434353,2.754195,0.699408,0.525666,1.014808,1.311945,1.010859,2.10464,1.084896,0.450642,0.989141,0.903258,1.802567,1.165844
RP5-1068H6.3,1.775579,1.48558,1.247749,1.915978,1.472083,1.007964,2.224942,1.107914,2.111907,1.6962,1.16403,0.369008,1.769915,1.363561,0.980557,1.433479,1.349456,1.484365,2.992058,1.73934,0.451099,1.437298,0.714233,0.5974,0.478962
RNF17,1.09,0.98,0.96,0.98,1,1.06,1.05,1.21,1.22,1.04,1.08,0.93,0.92,1.64,1,0.9,0.89,0.79,1.32,1.53,1.26,1.13,1.05,1.18,1.04
RNF10,1.341252,1.102664,1.125064,1.166808,0.932632,1.378245,1.233328,1.077889,0.859325,1.046326,0.973019,8.460546,0.928559,0.938401,0.40319,0.922111,0.439165,0.873918,1.576786,0.542678,1.031393,1.673511,0.917699,1.742746,1.163414
RNF11,0.322225,1.481659,1.825941,1.664829,0.262767,0.589307,0.195157,0.755215,0.214337,0.364901,0.988252,5.022776,0.487173,0.487173,0.639655,0.248382,0.064253,0.257972,0.04843,0.206665,0.203788,2.026373,2.952769,0.61568,0.382163
RNF13,2.493851,1.84106,8.223746,0.938505,0.42526,11.530274,7.287133,8.600757,1.564333,1.633396,6.040208,0.105487,2.205298,0.507096,1.11684,0.174551,0.300851,0.237465,0.517029,0.557237,0.260643,0.655629,5.522706,1.32403,0.407758
GTF2IP1,1.188272,0.691358,1.654321,0.791887,1.160053,1.133598,1.017196,1.87963,3.03836,1.223104,1.546737,1.171958,1.165785,0.535273,2.136684,0.532628,0.306437,0.881834,0.627866,2.115961,0.12522,1.193563,1.47134,0.879189,0.309083
REM1,1.110487,0.97191,1.029963,0.868914,0.941948,0.835206,0.848315,1.044944,1.191011,1.058052,1.020599,1.361423,0.874532,1.524345,1.007491,0.945693,0.808989,0.790262,1.250936,1.419476,1.947566,0.91573,1.479401,0.812734,1.749064
MVB12B,0.87931,0.905172,1.068966,0.87931,0.965517,1.025862,1.025862,1.25,1.689655,1.060345,1.086207,0.896552,1.387931,1.206897,0.922414,0.827586,0.775862,0.767241,1.189655,1.327586,1.086207,0.982759,1.232759,0.810345,0.87069
NBEAL1,3.677849,1.074664,2.778203,2.224036,2.713562,2.140538,3.929255,2.36755,3.821221,2.862908,2.66772,0.907597,2.706369,1.135507,2.093595,2.020673,2.135735,1.299771,3.015365,2.895654,0.501959,1.876024,0.556639,0.746042,0.509815
MZT2A,2.799234,0.554568,1.385835,2.265418,1.793008,0.918001,1.827383,1.27888,2.841484,2.117916,1.407333,2.056617,1.426701,1.305699,1.983079,1.50439,0.87341,2.264247,2.731336,5.05816,0.440909,1.646996,0.968552,1.010057,0.685894
MZT2B,2.799234,0.554568,1.385835,2.265418,1.793008,0.918001,1.827383,1.27888,2.841484,2.117916,1.407333,2.056617,1.426701,1.305699,1.983079,1.50439,0.87341,2.264247,2.731336,5.05816,0.440909,1.646996,0.968552,1.010057,0.685894
