gene_symbol,ACD,ACN,ALO,ATD,BCC,BU,CHA,DLE,ENL,ICD,LL,MEL,MF,NS,PS,RR,SAR,SCC,SJS,WA,WPO
A1BG,45.644,61.417,65.780,37.914,54.613,45.733,32.300,48.771,43.383,36.982,37.150,63.021,73.991,39.511,49.280,38.014,53.807,40.170,63.860,52.400,58.109
A1BG-AS,38.178,34.519,86.360,24.482,29.987,42.600,34.033,96.671,64.833,28.864,43.671,38.186,48.605,27.146,33.880,26.900,72.527,31.040,53.500,28.067,29.300
A1CF,23.611,23.415,15.680,36.891,37.507,22.667,22.600,15.200,28.000,51.627,42.864,42.971,32.518,31.868,29.158,48.729,13.873,39.190,36.000,31.300,26.173
A2LD1,30.439,36.945,28.000,27.491,25.563,32.228,38.558,23.257,45.550,28.850,49.082,31.057,37.352,29.339,34.005,45.714,28.163,27.985,33.210,36.408,33.736
A2M,919.756,927.875,617.080,1069.455,369.327,766.728,336.567,636.486,797.358,95.423,1264.536,1370.796,612.443,852.941,632.981,817.079,2197.830,295.665,150.790,1572.000,1160.441
A2ML1,44.817,135.814,127.880,86.868,154.903,161.528,109.833,132.886,48.850,157.495,35.739,51.086,30.645,106.886,317.049,65.364,93.047,274.295,18.880,40.283,206.891
A4GALT,93.844,99.332,130.700,62.700,45.187,88.678,64.583,120.157,107.300,57.127,73.636,62.300,79.809,68.125,73.913,71.643,73.587,47.090,84.920,110.867,93.791
A4GNT,19.144,19.243,14.720,17.109,18.953,17.056,17.883,15.943,16.700,20.664,17.543,18.764,22.623,18.461,19.274,18.329,15.153,19.040,25.240,17.417,17.391
AAA1,16.689,13.967,12.740,16.432,17.280,14.906,15.633,13.200,17.317,20.668,18.796,20.321,18.332,16.238,15.520,19.386,11.533,17.685,20.200,15.058,15.432
AAAS,160.067,138.675,137.480,143.436,140.907,171.611,102.267,135.157,116.750,200.682,107.893,147.950,199.995,134.825,153.146,107.757,120.000,139.000,170.280,94.033,78.982
AACS,543.811,911.916,504.800,680.686,304.573,435.233,569.617,214.800,195.850,577.345,171.086,360.914,213.795,862.893,457.390,444.300,239.140,498.630,132.340,1258.500,468.627
AACSP1,11.456,12.183,17.240,13.705,19.093,12.622,12.583,16.314,13.833,12.391,12.693,12.900,13.036,12.657,12.523,11.600,15.220,13.190,12.700,20.333,12.218
AADAC,58.478,133.785,29.480,72.318,77.813,86.256,119.050,38.529,40.017,153.955,40.643,58.007,29.368,151.950,121.909,57.886,72.007,127.740,28.460,29.317,23.209
AADACL2,147.900,368.979,169.800,249.032,324.720,284.978,205.333,178.300,42.483,740.700,105.807,115.157,21.591,636.179,594.005,99.114,391.060,709.730,9.340,71.533,91.264
