Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
ACD	0.0186	0	0.0613	0.1021	0.037	0	0.0632	0.0357	0.0267	0.0079	0.1168	0.0822	0.0611	0	0.0014	0.0422	0.0628	0.0514	0.0571	0.0177	0	0	0	0	0.0039	0.0047	0	0.0122	0	0	0	0.0449	0.0891	0
ACN	0.0108	0.0033	0.0317	0.0745	0.0327	0	0.0366	0.0506	0	0.0358	0.1655	0.0956	0.0624	0	0	0.0555	0.0514	0.0837	0.0778	0.0246	0.0157	0	0	0	0	0.014	0	0	0	0	0	0.0232	0.0545	0
ALO	0	0	0.0551	0.0656	0.0337	0	0.0104	0.0472	0.0676	0.0216	0.1853	0.0855	0.0492	0	0	0.0365	0.0637	0.0763	0.0796	0.0097	0.0058	0	0	0	0	0	0	0	0	0	0	0.0188	0.0886	0
ATD	7e-04	0.0098	0.0402	0.0386	0.0267	0	0.0934	0.0418	0.0242	0.0187	0.1358	0.0525	0.0343	0	0	0.055	0.1433	0.0406	0.0806	0.0418	0	0	0	0	0.0015	0.0153	0	0	0	0	0	0.0791	0.0262	0
BCC	0.017	0.0246	0.0322	0.0246	0.0469	0	0.0511	0.0342	0.0613	0.0427	0.1108	0.0183	0.045	0	0.0224	0.0151	0.1524	0.0345	0.0786	0.0496	0.0357	0.0019	0	0	0	0.0022	0	0.0115	0	0	0	0.0626	0.0249	0
BU	0.0051	0	0.0302	0.1022	0.0311	0	0.099	0.0205	0	0	0.1262	0.0615	0.0795	0	0	0.014	0.1836	0.0634	0.069	0.0312	0.0038	0	0	0	0	0	0	0.0165	0	0	0	0.026	0.0324	0.0047
CHA	0.0117	0.0048	0.054	0.0955	0.0361	0	0.049	0.042	0.0266	0.0253	0.1743	0.056	0.0224	0	0	0.0282	0.045	0.0475	0.096	0.053	0	0	0	0	0	0.0021	0	0.0091	0	0	0	0.0393	0.0412	0.0408
DLE	0	0	0.0684	0.0721	0.0437	0	0.0493	0.0219	0.0373	0	0.1364	0.0708	0.0531	0	0	0.0112	0.0479	0.083	0.0966	0.0469	0	0	0	0	0	0	0	0	0	0	0	0.0137	0.1099	0.0377
ENL	0.0239	0	0.0854	0.1194	0.0373	0	0.0729	0.0372	7e-04	0.0295	0.0499	0.0399	0.0506	0.0307	0	0.0217	0.0212	0.1184	0.0968	0.027	0.0071	0	0	0	0	0.0044	0	0.0061	0	0	0	0.0267	0.0659	0.027
ICD	0	0.0236	0.0403	0.0223	0.0381	0	0.044	0.005	0.0282	0.0148	0.215	0.0246	0.0335	0	0	0.0094	0.1382	0.084	0.0821	0.0407	0.0492	0	0	0	0	0	0	0	0	0	0	0.0751	0.0319	0
