MSC	Bronchial_Epithelial_cells	Fibroblasts	Endothelial_cells	Adipocytes	Keratinocytes	Schwann_cells	Smooth_muscle_cells	CD34.	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	Dendritic_cells_.BDCA1..	Dendritic_cells_.BDCA3..	Dendritic_cells_.plasmacytoid..	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils	Neutrophils_LPS	B_cells
ACD	0	0.0551	0.115	0.0338	0.0654	0.2344	0.0108	0.0997	0.0399	0	0	0	0	0.0082	0	0	0.0642	0.0535	0.0051	0.0582	0.0548	0	0.0254	0	0.0552	0.0215
ACN	0	0.0413	0.129	0.0412	0.0828	0.327	0.011	0.0825	0.0477	0	0.0271	0	0.0222	0	1e-04	0	0.0186	0.0513	0.0021	0.0137	0.0074	0	0.0321	0.0131	0.0474	0.0024
ALO	0	0.0669	0.0738	0.0271	0.0624	0.3547	0.0299	0.0747	0.0469	0	0	0.0121	0	0	0	0	0.0469	0.0178	0.0185	0.0163	0.0226	0	0.0207	0	0.0863	0.0224
ATD	0	0.1185	0.0789	0.0703	0.0421	0.2945	0.0354	0.0476	0.0522	0	0	0.0156	0	0	0	0	0.0141	0.0628	0.006	0.051	0.0545	0	0.0325	0	0.0239	0
BCC	0	0.0952	0.0555	0.0487	0.0104	0.3924	0.033	0.0969	0.0877	0	0	0	0	0	0	0	0	0.0318	0.0313	0.0107	0.0216	0	0.0461	0	0.0318	0.0071
BU	0.0166	0.1033	0.0886	0.0633	0.0384	0.2999	0.0287	0.0546	0.0502	0	0.0456	0.0029	0.0067	0	0	0.0098	0	0.0307	0.0073	0.0036	0.011	0	0.0224	0.0446	0.0715	0
CHA	0	0.0727	0.0312	0.0466	0.0637	0.2769	0	0.0354	0.0235	0.016	0	0	0	0.074	0	0.001	0.0555	0.0967	1e-04	0.0232	0.0483	0	0.0127	0	0.1223	0
DLE	0	0.0315	0.0526	0.0277	0.0267	0.3562	0	0.055	0.0193	0	0	0	0	0	0	0.0147	0.0477	0.0097	0.0278	0.0642	0.0476	0	0.0145	0	0.1493	0.0555
ENL	0.0129	0.0044	0.1043	0.0687	0.0391	0.0986	0.002	0.04	0.0514	0.0257	0.0108	0	0	0.1154	0.0103	0.0213	0.058	0.071	0.0311	0.0104	0.0585	0	0.0186	0	0.1316	0.016
ICD	0	0.0735	0.0013	0.0126	0.0039	0.6038	0.0243	0.0068	0.0528	0	0	0	0	0	0	0	0.0824	0.043	0	0.0351	0.0325	0	0.0234	0	0.0046	0
LL	0	0	0.0862	0.0117	0.0165	0.0706	0.0017	0.0346	0.0396	0.0304	0	0	0.1134	0.1111	0.0965	0	0.031	0.0983	0.0518	0.0057	0.0505	0	0.0246	0	0.073	0.0528
MEL	0	0.0363	0.0917	0.026	0.0501	0.1686	0.1464	0.0662	0.0862	6e-04	0.0164	0	0.031	0.0182	0.0456	0.0051	0	0.0344	0.0127	0.0498	0.0046	0	0.0308	0	0.0396	0.0397
MF	0.0094	0.0101	0.0585	0.0112	0.0098	0.0474	0.0053	0.0345	0.0464	0	0.0091	0.0151	0	0.0637	0.03	0.0288	0.0133	0.0835	0.0043	0.1508	0.0185	0.2188	0.0262	0	0.0312	0.0741
NS	0	0.0507	0.1012	0.0387	0.0838	0.394	0.0152	0.0897	0.0418	0	0	0.0156	0	0	0	0	0.0173	0.0532	0.0032	0.0211	0.0393	0	0.023	0	0.0124	0
PS	0	0.0816	0.0702	0.0352	0.0284	0.4936	0.0072	0.0479	0.0477	0	0.01	0	0	0	0	0	0.0084	0.0511	0.0023	0.012	0.0188	0	0.0196	2e-04	0.0571	0.0088
RR	0	0.0034	0.079	0.0262	0.0464	0.1484	0.0071	0.0458	0.0329	0.0208	0	0	0	0.2043	0	0	0.0432	0.0896	0.0416	0.0544	0.0369	0.0075	0.0163	0	0.069	0.0271
SAR	0	0.0029	0.0777	0.0215	0.0207	0.1242	0.006	0.0719	0.0513	0.001	0	0	0	0.1562	0.0324	0.0146	0.0458	0.0915	0.0359	0.038	0.0768	0	0.012	0	0.0883	0.0314
SCC	0	0.1273	0.0287	0.0392	0.0085	0.5499	0.0113	0.0168	0.0455	0	1e-04	7e-04	0	0.0011	0	0	0.0193	0.0302	0.0045	0.0137	0.0021	0.0021	0.0319	0	0.0502	0.0168
SJS	0	0	0	0	0	0	0	0	0	0	0.1236	0.085	0.0271	0.1722	0	0.0218	0.0544	0	0.014	0.056	0.0909	0.1619	0.0522	0	0.1079	0.033
WA	0	0.0316	0.1841	0.0887	0.1799	0.1198	0.0086	0.1411	0.0855	0.0032	0.0179	0	0	0	0	0	0	0.0421	1e-04	0.0182	0.025	0	0.0275	0.0127	0.0122	0.0015
WPO	0.0013	0.0984	0.1419	0.0851	0.0522	0.1962	0.0294	0.0629	0.0841	0	0.0262	0	0	0.012	0	0.0411	0	0.0269	0.0024	0.0172	0	0	0.0217	0.0291	0.0718	0
