Symbol	A	B	C	D	E	F	G	H	I	J	K	L
TSKS	87.848007	29.256489	85.100746	76.975609	9.858076	7.613091	50.104652	50.290894	114.124405	56.173374	36.421021	25.012218
CHMP1B	5076.429199	4962.63623	3719.408691	3815.412842	4461.004395	4719.717773	5725.57959	7040.674316	6388.327148	4417.430176	4855.683594	4668.361816
LOC651959	96.754463	85.776703	79.065346	18.022587	87.816544	40.312569	73.488441	96.886002	61.689957	85.218781	64.523926	94.164955
BAPX1	23.920877	25.305799	42.457649	24.230927	22.720789	15.525582	7.90712	8.456614	14.805944	10.790393	25.944054	16.191362
LOC643637	71.960899	19.847513	64.563095	22.222698	51.612679	15.058979	90.935249	113.687622	58.593597	18.942814	67.362434	61.793571
LOC92497	71.707191	154.817429	191.413361	157.952133	132.364594	72.935715	101.066971	22.660301	91.194283	190.037247	77.443634	151.101013
LOC651957	100.644539	49.353046	22.765669	19.218929	50.45623	46.81934	67.867302	18.427702	60.61121	10.930636	35.288498	42.943592
LOC643634	34.59174	8.195473	34.345257	12.134852	17.758896	29.605474	86.588608	14.352453	14.380337	21.568384	78.145134	18.255348
LOC651951	149.821014	85.311905	141.902405	129.034302	132.050613	111.128525	149.39743	198.515564	122.419983	139.092743	175.797318	160.779999
DISC2	25.760206	11.101976	60.501911	42.999401	14.630992	79.645927	10.082345	30.908205	14.593678	88.260529	12.377334	23.308662
LOC643630	53.08765	32.659286	27.691795	55.778023	29.062603	34.405224	101.408554	106.916443	78.715973	23.118782	4.531899	98.205872
LOC100131905	9147.609375	8873.788086	10452.380859	10846.707031	9802.382813	8313.902344	6057.915039	6708.754395	7176.646484	11009.293945	11164.504883	10801.873047
LOC100131904	20.309677	10.504122	27.66572	95.477844	14.795419	26.595018	19.671759	8.670787	18.838417	7.994737	23.60878	16.936867
LOC100131909	31.49065	21.342806	23.036121	28.375093	29.127821	17.267214	25.019051	13.680243	63.157742	13.419166	36.787243	55.472668
LOC647706	12.49551	19.092905	5.033551	11.609907	14.520489	5.449146	10.070038	4.642788	15.113515	9.442039	6.317255	22.587376
LOC647704	75.015991	108.854843	12.513266	25.928801	11.767029	21.827784	50.033585	79.645927	43.71077	43.964188	8.269319	40.391197
LOC441204	51.612679	25.932323	53.995636	19.988871	51.866867	16.547304	12.291675	16.790836	27.185753	33.115402	51.614925	67.689621
LOC441205	30.870811	21.720331	13.368126	44.868286	9.871515	26.901524	40.983681	67.599365	3.54581	19.109516	15.931154	82.349854
TCOF1	17.992441	23.487749	51.315742	23.547375	12.8894	18.299852	3.427088	7.023326	15.11033	58.210743	52.575466	78.871536
KLRA1	16.396143	41.942421	18.399294	109.20343	71.189087	14.766069	37.782257	9.525195	8.147571	33.406433	36.574944	15.483801
SPPL3	286.069702	272.983795	356.737671	311.994568	334.568207	288.663696	297.11969	292.991821	280.531403	332.685669	331.938293	361.285126
OPA3	225.67775	208.434845	226.970367	182.295914	189.643311	181.162262	168.338928	220.23761	196.769714	206.544647	201.437637	238.780762
OPA1	480.245575	516.067017	626.878662	650.353821	644.563232	610.824341	433.002869	481.064453	513.021545	614.872375	706.474609	672.189087
RHEB	2090.578369	2059.435547	1697.084839	1923.286011	1920.07373	1859.224121	2442.428467	3012.523193	2880.94873	2090.712402	2001.204956	2388.27002
LOC401730	13.474494	32.675999	31.245148	11.043322	14.488726	20.234377	32.33112	65.806252	23.506523	31.972549	14.157657	18.736832
LOC648576	8.55535	16.717419	29.42782	11.610802	69.903481	19.391582	36.945713	35.77803	81.474403	12.436824	98.295761	118.775879
MGC39606	36.365829	29.260263	13.226029	23.744896	58.504574	11.02155	30.832739	37.907188	17.981201	13.310381	9.597016	4.625938
LOC648570	15.603543	37.311729	39.508759	43.675335	8.31701	76.301453	96.811188	97.761322	100.67646	47.35067	61.539154	10.45343
KIAA0831	762.961914	917.862976	1421.052368	1398.42749	1159.914917	1333.142456	688.638245	727.559631	694.589966	1302.152344	1231.691406	1394.239868
ITGA8	4.273622	30.72504	38.033733	48.572235	7.283636	17.743832	29.969242	11.623167	95.309784	8.399209	10.77917	8.220261
ITGA9	159.530487	60.058304	32.675999	107.227119	118.725395	139.092743	149.374298	134.427002	115.121849	120.649757	108.701546	72.327263
ITGA1	7.055288	7.345753	19.833252	3.250449	3.951387	7.476556	4.887999	8.552498	3.740216	9.440341	12.064699	20.364349
ITGA2	92.910065	75.484451	144.743423	72.404449	98.520073	83.883514	117.911987	138.873108	133.368835	130.243576	116.254288	77.929871
ITGA3	149.949326	111.384476	198.926743	183.3255	180.127411	117.012108	89.891083	18.06373	70.333366	198.324738	128.860001	248.395416
ITGA4	611.979187	614.266846	628.034485	541.19751	616.102722	486.612946	530.466675	763.298523	977.825256	562.564209	676.106873	552.67749
ITGA5	759.729797	724.732666	792.360413	767.590637	688.454224	1036.994019	1453.773193	910.291748	826.594788	788.00946	539.651428	615.110107
