Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB9	0.0	0.010178	1.0	0.013516	0.031465	0.022648	0.03583	0.003138	0.047775	0.006448	0.009815	0.001243	0.007378	0.063733	0.021602	0.038864	0.169946	0.0122	0.059366	0.012562	0.022238	0.028341
ACAP1	0.059259	0.092029	0.004797	0.318273	0.544668	0.277135	0.097966	0.334358	0.607975	0.079223	0.150907	0.112361	0.05173	0.007989	0.002441	0.0	0.011815	0.001035	0.025012	0.015582	0.207563	0.176611
ACHE	0.001243	0.002369	0.006395	0.0	0.01012	0.00369	1e-05	0.001013	0.008255	0.014879	0.002372	1e-05	0.002167	0.000195	1.0	0.025858	0.002418	0.132191	0.000383	0.005202	0.019848	0.006868
ACP5	0.026986	0.124831	0.064835	0.004934	0.037199	0.023447	0.000682	0.034792	0.05297	0.018747	0.007474	0.0	0.020143	0.986686	0.060593	0.544296	1.0	0.276067	0.001783	0.006191	0.045731	0.004995
ADAM28	1.0	0.589345	0.164384	0.008462	0.017429	0.007711	0.004602	0.009284	0.035341	0.00933	0.096681	0.045478	0.026848	0.025122	0.138505	0.182915	0.015999	0.02422	0.067903	0.057078	0.278568	0.063172
ADAMDEC1	0.042843	0.036673	0.014307	0.004522	0.008789	0.004853	0.002871	0.007354	0.017681	0.0265	0.0073	0.004966	0.011764	0.523386	1.0	0.586865	0.018636	0.208797	0.085008	0.183573	0.019849	0.021062
ADAMTS3	0.220183	0.158069	0.108999	0.059565	0.116585	0.082768	0.07662	0.048766	0.112003	0.094964	0.042614	0.072608	0.078762	0.06447	0.044014	0.045579	0.069325	0.062407	1.0	0.622538	0.149843	0.186392
ADRB2	0.089902	0.095117	0.046719	0.180707	0.0	0.11382	0.01443	0.004399	0.030739	0.50561	0.413133	0.50166	0.129128	0.014471	0.156095	0.062843	0.021637	0.001265	1.0	0.617533	0.415657	0.144679
AIF1	0.000361	9e-05	0.000209	0.052271	0.050523	0.001162	0.001476	0.0	0.000743	0.077127	0.006259	0.000296	0.623771	0.131606	0.114992	0.837165	0.235924	0.000567	0.132318	0.119426	0.002318	0.450791
AIM2	0.060438	1.0	0.306252	0.052969	0.0	0.043111	0.72623	0.236194	0.057691	0.078206	0.006726	0.017273	0.106881	0.027862	0.649011	0.020349	0.026748	0.189642	0.008119	0.001126	0.013482	0.164469
ALOX15	0.00241	0.002934	0.001321	0.001563	0.004589	0.002333	0.0	0.002727	0.005907	0.003175	0.008593	0.001563	0.001572	0.000476	6e-05	0.146479	1.0	0.00865	0.002033	0.001866	0.120607	0.008556
ALOX5	0.177044	0.239847	0.015584	0.004383	0.004006	0.009733	0.002417	0.0	0.010836	0.040788	0.012243	0.008728	0.195064	0.0756	0.004846	0.021407	0.008375	0.003823	0.060812	0.055774	0.143041	0.289167
AMPD1	0.086978	0.071705	1.0	0.021337	0.022185	0.027717	0.022119	0.017301	0.025707	0.03726	0.019023	0.019533	0.032007	0.024803	0.020105	0.019293	0.02901	0.019522	0.018049	0.024437	0.038737	0.057097
ANGPT4	0.092906	0.084997	1.0	0.187141	0.088265	0.186225	0.427111	0.435203	0.120626	0.119724	0.032852	0.106255	0.065795	0.16375	0.084585	0.043467	0.070059	0.04438	0.137873	0.128775	0.05659	0.143586
ANKRD55	0.149544	0.114041	0.058904	0.072184	1.0	0.231942	0.038618	0.579356	0.062526	0.09091	0.040575	0.043325	0.063733	0.062374	0.047523	0.021694	0.053932	0.067772	0.078434	0.051912	0.574458	0.220462
APOBEC3A	0.0174	0.0151	0.016891	0.010575	0.018261	0.008493	0.009397	0.011834	0.005562	0.128659	0.044444	0.022739	0.43195	0.014319	0.805844	0.025711	0.018383	0.471757	0.011931	0.005018	0.202927	1.0
APOBEC3G	0.124255	0.107209	0.21067	0.217146	0.015324	0.245889	0.15386	0.021009	0.08931	0.599597	0.703109	1.0	0.076197	0.008666	0.0959	0.006311	0.0	0.136899	0.048745	0.014237	0.011834	0.030027
APOL3	0.011402	0.039609	0.060182	0.101815	0.078138	0.139016	0.093599	0.023179	0.082049	0.098529	0.098476	0.082909	0.082724	0.012866	1.0	0.031098	0.011125	0.069951	0.015256	0.0	0.000879	0.000752
APOL6	0.011812	0.00588	0.001954	0.002596	0.00625	0.002586	0.053619	0.001274	0.007711	0.003916	0.007178	0.378961	0.006102	0.007442	1.0	0.001905	0.00331	0.1597	0.017862	0.002333	0.0	0.013642
AQP9	0.00064	0.000185	0.000225	8e-05	0.000118	0.000169	3.9e-05	0.000445	0.003775	0.012875	0.005907	0.0	0.148356	0.333812	0.31379	0.028255	0.081798	0.105332	0.041187	0.136104	0.008489	1.0
ARHGAP22	0.008096	0.012693	0.004466	0.011585	0.020608	0.004061	0.001649	0.004995	0.007401	0.000654	0.02416	0.005664	0.014877	0.055428	0.11463	0.08821	0.103935	1.0	0.012167	0.014116	0.023895	0.003315
ARRB1	0.005597	0.005086	0.007729	0.007798	0.007534	0.012042	0.010559	0.007348	0.0	0.005028	0.034481	0.091317	0.301161	0.226738	0.653477	0.270037	0.024527	0.017253	0.025474	0.016296	0.012662	0.017312
ASGR1	0.006271	0.006557	0.006577	0.00124	0.001001	0.00143	0.000539	0.0	0.002532	0.052573	0.001	0.001776	0.170451	0.018175	0.003529	0.02638	0.012465	0.005017	0.008753	0.010658	0.006188	0.012272
ASGR2	0.010758	0.012445	0.012447	0.010536	0.013815	0.016104	0.012702	0.011277	0.049123	0.074035	0.010431	0.01058	0.683413	0.013467	0.008961	0.348526	0.019312	0.00763	0.007857	0.006259	0.020432	0.019841
ATHL1	0.064361	0.09598	0.142382	0.14691	1.0	0.144809	0.03859	0.32768	0.042233	0.035915	0.10253	0.047239	0.029565	0.004879	0.026593	0.020022	0.000897	0.0	0.008665	0.00643	0.057115	0.228851
ATP8B4	0.04555	0.027819	0.026335	0.019624	0.014854	0.010578	0.023264	0.0	0.014247	0.037292	0.281169	0.484977	0.091662	0.037099	0.00207	0.546341	0.294873	0.038682	0.852118	1.0	0.172034	0.032102
ATXN8OS	0.132506	0.12129	1.0	0.079057	0.075216	0.083311	0.085847	0.081488	0.115116	0.177663	0.065463	0.058143	0.065992	0.070493	0.088591	0.073611	0.065476	0.0811	0.156996	0.051761	0.13562	0.105692
AZU1	0.015702	0.026664	0.043441	0.063926	0.0	0.034301	0.01006	0.002055	0.001771	0.022052	0.392009	0.106261	0.084432	0.040606	0.150211	0.298496	0.052383	0.047812	0.575846	1.0	0.1018	0.070638
BACH2	1.0	0.26994	0.02137	0.151358	0.312423	0.090448	0.088921	0.043952	0.089424	0.124154	0.097036	0.104557	0.0	0.001964	0.005974	0.00095	0.001539	0.006994	0.006113	0.003688	0.030939	0.018372
BANK1	0.831735	1.0	0.011321	0.002416	0.003776	0.003334	0.0	0.001533	0.003111	0.005542	0.003061	0.003518	0.008902	0.000227	0.001209	0.002645	0.00483	0.001579	0.008164	0.009551	0.107725	0.003735
BARX2	0.032898	0.048945	0.029813	0.028928	0.026959	0.019401	0.037045	0.041684	1.0	0.331041	0.039873	0.057705	0.037685	0.035129	0.031159	0.062671	0.049008	0.046763	0.113323	0.058285	0.157254	0.14704
BCL11B	0.012697	0.009084	0.010855	0.454312	0.783392	0.539971	0.086971	0.344687	0.296491	0.278195	0.084332	0.0507	0.004062	0.00296	0.001864	0.0	0.004918	0.00279	0.000306	0.000119	0.028133	0.012732
BCL2A1	0.003671	0.018935	0.000924	0.038718	0.029462	0.052423	0.086579	0.048087	0.008099	0.027875	0.036059	0.035045	0.166533	0.416581	0.52861	0.009986	0.005411	0.415883	0.06101	0.244588	1.0	0.661385
BCL7A	1.0	0.381318	0.159791	0.082347	0.08133	0.044117	0.019473	0.036626	0.141753	0.020915	0.0	0.026953	0.020487	0.022796	0.093687	0.144712	0.234394	0.16917	0.117107	0.149209	0.045265	0.084241
BEND5	1.0	0.441325	0.312664	0.242375	0.352639	0.068048	0.04316	0.048278	0.0	0.051834	0.08583	0.016932	0.05516	0.071845	0.053558	0.043434	0.070084	0.094471	0.048265	0.064734	0.099682	0.136483
