Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
ABCA5,18.3573931631,10.1051082533,43.081696887,63.3460117429,73.0764683793,48.0772676918,29.597694777,25.8960081274,79.5060325086,39.5052896241,26.2450444912,25.2006793088,24.6308966908,24.9615024914,32.7153779078,25.8034660859,27.6525438391,26.22902496,38.1762854324,39.9719846625
ABCB1,13.4679525827,10.7676791188,34.8905752076,145.8139920063,119.9083196474,57.4775539003,17.7391911842,20.129205908,9.8940626725,64.5625498943,48.1834837293,25.3291102232,15.4641322982,13.5669881837,22.4714342402,16.5372854745,72.4009431787,23.3278412907,14.9636450605,24.630946564
ABHD5,62.8785675883,62.1846170178,42.7999062717,39.9636102918,72.5112558962,32.9409148964,36.503645961,305.9038894906,45.1452284079,37.2702020022,29.4352613499,42.279563341,108.2592294349,85.5107900339,31.0795910662,48.1086136925,24.372795797,160.3476732813,20.9114532506,43.0560665293
ACSM3,16.6745914464,20.6027615627,28.5598118383,22.3762071936,15.9214043415,26.5711110641,141.2194724773,29.8716008104,32.4085634425,16.1313000651,64.5054927332,19.4008540968,17.9351933926,17.6797588051,21.2418918962,16.4920796171,22.0781959176,26.2592236498,23.3557539772,25.0397297314
ADAM19,59.0135014264,25.4439134092,75.9288794897,27.9261372035,24.4258081194,40.2562818057,17.3581763919,101.6320191983,238.4446642121,54.904868296,25.0867069419,27.3222872979,36.5125864794,33.1125400552,101.2328465943,71.1653446481,144.9819635182,83.5209786985,78.255722654,50.670439569
ADAMTS5,21.4120304596,7.7809408699,13.7614611473,15.1442204185,16.798546151,11.2836218354,14.1321451334,9.3239294102,25.8665762193,10.7169678182,8.1446414714,10.3786831193,10.0810407268,9.4727676292,13.969448673,12.4763116762,15.6639817822,16.410819505,14.9177381309,17.5346859896
ADI1,175.2336385814,280.8209024232,101.8592763585,66.9854087774,91.497606168,65.1564251786,228.944860875,70.2346283071,429.7643981206,154.0195243902,506.4890763186,277.9636174475,48.6164935988,79.6439984447,167.6288389312,95.0873709212,112.1409260881,121.6727995111,283.5919450047,96.2211997863
AGPAT5,60.874784471,34.4773596139,59.8960037131,42.977801686,37.8346322665,61.0887120927,138.774290889,62.6421186385,29.5463831834,103.1050945849,225.8209591305,118.0549601253,50.0999964106,42.4977759995,69.730674919,33.0068093182,89.4021423176,26.8342752489,42.1446658017,37.62545468
ALAS1,72.4811629307,49.8166791888,50.166539622,49.9339161406,71.5416295924,54.2315181851,91.2761523411,54.9959993893,116.3976747364,227.1153440992,109.914421915,135.2532938194,87.28358498,64.2730689273,64.5551408629,69.6480388286,51.9938958616,74.6560630287,63.5500197695,36.4148413567
ALPL,20.8884327534,16.1838205193,20.8067118688,19.6829951988,17.369866885,19.4364122351,12.2248908914,13.3522053669,10.6101485056,16.5213834337,11.6686525101,22.731139384,16.6501139257,16.259466308,23.7664901111,16.4226468288,31.6477298586,176.0861151091,20.9035357844,32.3882758381
