Symbol	A	B	C	D	E	F	G	H	I	J	K	L
TSKS	5.867	4.857	5.837	5.734	3.894	3.666	5.327	5.33	6.166	5.424	5.05	4.729
CHMP1B	10.054	10.028	9.633	9.669	9.87	9.981	10.251	10.491	10.385	9.855	10.004	9.96
LOC651959	5.974	5.852	5.767	4.452	5.869	5.139	5.694	5.967	5.5	5.836	5.553	5.944
BAPX1	4.695	4.745	5.191	4.708	4.646	4.319	3.702	3.76	4.268	3.976	4.767	4.356
LOC643637	5.663	4.526	5.552	4.634	5.346	4.294	5.921	6.152	5.453	4.489	5.593	5.505
LOC92497	5.659	6.558	6.796	6.586	6.361	5.676	6.039	4.635	5.91	6.778	5.735	6.516
LOC651957	6.022	5.307	4.646	4.508	5.329	5.27	5.608	4.46	5.486	3.987	5.026	5.197
LOC643634	5.01	3.725	5.004	4.087	4.434	4.871	5.87	4.233	4.236	4.599	5.747	4.451
LOC651951	6.513	5.842	6.435	6.319	6.355	6.144	6.516	6.832	6.248	6.405	6.707	6.595
DISC2	4.762	4.004	5.489	5.204	4.26	5.779	3.924	4.906	4.251	5.874	4.094	4.665
LOC643630	5.371	4.967	4.819	5.413	4.856	5.006	6.044	6.085	5.755	4.667	3.319	5.989
LOC100131905	10.881	10.832	11.083	11.129	10.989	10.725	10.324	10.445	10.5000615436639	11.146	11.181	11.1046698579761
LOC100131904	4.542	3.948	4.818	5.965	4.271	4.788	4.532	3.779	4.473	3.702	4.686	4.396
LOC100131909	4.929	4.584	4.659	4.841	4.858	4.42	4.747	4.196	5.524	4.18	5.056	5.408
LOC647706	4.107	4.496	3.38	4.043	4.254	3.444	3.923	3.341	4.29	3.853	3.501	4.631
LOC647704	5.701	6.122	4.111	4.771	4.059	4.612	5.325	5.766	5.208	5.222	3.73	5.135
LOC441204	5.345	4.763	5.386	4.54	5.352	4.386	4.105	4.39052842590245	4.797	4.983	5.346	5.594
LOC441205	4.907	4.599	4.179	5.242	3.896	4.8	5.163	5.592	3.226	4.497	4.338	5.806
TCOF1	4.444	4.676	5.341	4.686	4.144	4.466	3.225	3.603	4.29	5.457	5.367	5.756
KLRA1	4.369	5.175	4.464	6.123	5.654	4.27306060317863	5.089	3.858	3.717	4.99	5.053	4.308
SPPL3	7.248	7.196	7.469	7.337	7.411	7.262	7.303	7.26675650942599	7.211	7.397	7.396	7.478
OPA3	6.992	6.91	6.998	6.749	6.796	6.748	6.674	6.956	6.822	6.882	6.856	7.047
OPA1	7.757	7.824	7.995	8.035	8.012	7.971	7.666	7.744	7.805	7.975	8.092	8.061
RHEB	9.035	9.028	8.863	8.966	8.958	8.947	9.205	9.415	9.353	9.044	8.999	9.182
LOC401730	4.184	4.968	4.919	3.998	4.251	4.55	4.96	5.568	4.673	4.951	4.22	4.473
LOC648576	3.777	4.394	4.86	4.043	5.634	4.515	5.071	5.037	5.797	4.105	5.991	6.219
MGC39606	5.052	4.858	4.168	4.693	5.457	4.002	4.911	5.083	4.438	4.172	3.859	3.329
LOC648570	4.321	5.07	5.124	5.218	3.748	5.725	5.988	5.975	6.021	5.277	5.499	3.937
KIAA0831	8.151	8.299	8.68	8.672	8.528	8.638	8.082	8.099	8.071	8.611	8.563	8.662
ITGA8	3.307	4.902	5.092	5.3	3.631	4.437	4.887	4.042	5.956	3.752	3.97	3.722
ITGA9	6.597	5.477	4.964	6.104	6.232	6.423	6.515	6.352	6.177	6.234	6.112	5.668
ITGA1	3.601	3.628	4.526	3.219	3.278	3.656	3.375	3.768	3.249	3.853	4.069	4.542
ITGA2	5.933	5.707	6.46	5.672	6.002	5.829	6.23	6.399	6.346	6.317	6.184	5.743
ITGA3	6.515	6.15	6.849	6.757	6.737	6.206	5.912	4.446	5.637	6.832	6.308	7.096
ITGA4	7.964	7.969	7.99887627863727	7.873	7.978	7.773	7.86	8.142	8.343	7.897	8.059	7.885
ITGA5	8.144	8.105	8.184	8.16768505368161	8.08	8.409	8.7	8.28	8.199	8.184	7.862	7.976
ITGA6	6.159	6.24	6.874	7.003	6.852	6.565	5.245	4.846	4.406	7.148	7.147	6.759
ITGA7	5.629	6.136	6.391	6.386	5.163	5.939	6.316	5.959	5.961	5.14	6.15	6.446
TRHR	5.083	4.843	4.814	4.877	5.618	3.533	5.10083527770735	5.568	5.192	4.388	5.311	4.646
LOC100132289	6.846	6.859	6.952	6.792	6.693	6.821	6.664	6.868	7.033	7.029	6.851	6.846
LOC100132288	5.896	5.39	6.04	5.696	5.749	5.571	6.307	6.318	6.43	5.111	5.813	5.449
LOC100132287	5.291	5.047	5.06	4.121	5.793	3.981	5.664	4.272	6.03	4.471	4.861	5.506
TCAM1	6.019	5.23	5.548	6.102	5.984	6.133	5.388	5.867	5.632	6.304	5.799	6.188
LOC100132144	4.88	3.984	5.134	4.226	6.08	4.944	5.752	5.217	5.80630943021388	3.581	3.749	5.393
OSAP	4.106	5.898	4.985	6.149	5.925	4.608	4.282	4.678	5.386	4.643	4.746	4.698
LOC100132146	4.218	4.934	4.288	4.258	5.03	4.761	4.301	4.771	3.889	4.698	4.48	4.53
LOC440558	3.772	3.611	3.844	3.503	3.83	3.679	4.611	3.354	4.413	3.802	3.341	3.602
LOC440551	6.307	4.228	6.343	5.322	5.341	5.825	5.37	5.902	6.107	5.553	6.537	4.193
LOC440550	4.216	4.263	3.97	5.002	5.549	4.872	3.901	4.154	4.815	4.704	4.526	4.21
CHST9	3.116	3.079	3.728	4.259	3.409	4.06	3.331	3.323	4.031	3.182	3.695	5.074
CHST8	4.767	5.187	5.636	5.274	4.67	5.017	5.999	6.027	5	5.115	5.778	4.789
LOC650330	4.04	3.806	5.383	4.006	4.141	4.112	3.997	3.947	4.706	3.299	4.825	5.395
