CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
A	0.3669	0.1912	0.1101	0.0731	0.0702	0	0.1275	0.0608	0
B	0.3668	0.1856	0.1484	0.0503	0.0438	0	0.1129	0.0922	0
C	0.0585	0.0475	0.0896	0.3587	0.3236	0	0.0769	0	0.0452
D	0.0515	0.0442	0.0728	0.2846	0.3515	0.075	0.0717	0.0487	0
E	0.115	0.0626	0	0.2154	0.0752	0	0.1401	0.3154	0.0763
F	0.2058	0.0674	0.1083	0	0.0433	0	0.5752	0	0
G	0.582	0.1717	0.138	0	0	0.0097	0.0597	0.0154	0.0236
H	0.6967	0.092	0.0189	0	0.1091	0.0184	0.0365	0.0284	0
I	0.7113	0.104	0.0293	0	0.0231	0.0335	0.0419	0.0568	0
J	0.0101	0.0462	0.3565	0.2396	0.2131	0.0547	0.0397	0.0401	0
K	0.0307	0.0544	0.0719	0.1897	0.0151	0	0.1005	0.3988	0.1389
L	0.063	0.0365	0.612	0.1926	0	0.0282	0.0635	0.0042	0
