AGENE	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
A1BG	0.141203	0.060148	0.035657	0.076531	0.04424	0.041935	0.012228	0.119767	0.151707
A1BG-AS1	0.005085	0.011691	0.006694	0.005317	0.00752	0.008824	0.001428	0.008589	0.015318
A2M	0.001082	0.0	0.000108	0.000191	0.0	0.0	0.000108	0.0	0.0
A2M-AS1	0.000397	0.000132	0.000974	0.001532	0.000803	0.000837	0.002668	0.001731	0.000132
A2ML1	0.000216	0.0	0.0	0.0	0.000191	0.0	0.000108	0.0	0.0
A2ML1-AS1	0.000216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000132
A4GALT	0.000191	0.000251	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	0.024009	0.02865	0.031594	0.023837	0.042394	0.028866	0.020842	0.026618	0.035535
AACS	0.004665	0.002566	0.004882	0.004112	0.005094	0.004436	0.002856	0.004499	0.004889
AAED1	0.025519	0.02151	0.017184	0.020093	0.00863	0.024373	0.017672	0.02045	0.00758
AAGAB	0.013088	0.01201	0.02045	0.015995	0.015466	0.01741	0.020292	0.013881	0.015466
AAK1	0.058295	0.003305	0.052761	0.078784	0.082034	0.069654	0.119067	0.091342	0.078593
AAMDC	0.033031	0.007854	0.015502	0.022398	0.015621	0.012998	0.019079	0.01807	0.017762
AAMP	0.094356	0.06706	0.077581	0.065494	0.081063	0.061371	0.068303	0.053002	0.071786
AANAT	0.000191	0.000243	0.0	0.0	0.0	0.0	0.000409	0.0	0.000132
AAR2	0.013878	0.009563	0.023358	0.014824	0.02171	0.019035	0.015979	0.015887	0.016944
AARD	0.000216	0.0	0.000264	0.0	0.0	0.000121	0.000818	0.0	0.0
AARS	0.005441	0.005481	0.010972	0.007884	0.013497	0.011209	0.008211	0.006701	0.008999
AARS2	0.002183	0.004353	0.002767	0.00241	0.00423	0.003701	0.002911	0.00241	0.003173
AARSD1	0.015202	0.027669	0.022904	0.021731	0.033697	0.028023	0.014312	0.025042	0.029417
AASDH	0.00473	0.013924	0.008621	0.009197	0.009301	0.008616	0.018922	0.013388	0.011578
AASDHPPT	0.017291	0.026122	0.038446	0.027495	0.03602	0.031974	0.038675	0.031208	0.031472
AASS	0.000216	0.001749	0.0007	0.000477	0.000606	0.000477	0.000191	0.000893	0.000818
AATF	0.033314	0.054726	0.076902	0.068747	0.074693	0.068637	0.061613	0.059385	0.061889
AATK	0.007464	0.000132	0.000117	0.000479	0.000238	0.000818	0.00125	0.000238	0.0
AB019440.50	0.000191	0.000132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABAT	0.008621	0.007051	0.002863	0.002588	0.003305	0.003302	0.001839	0.001874	0.00226
ABCA1	0.003339	0.002915	0.000121	0.000649	0.0	0.000121	0.0	0.0	0.0
ABCA10	0.000191	0.000264	0.0	0.0	0.000191	0.0	0.000606	0.000179	0.000335
ABCA2	0.007155	0.002099	0.003302	0.00963	0.001636	0.005023	0.014315	0.00942	0.006531
ABCA3	0.001532	0.000264	0.000661	0.002511	0.000757	0.001172	0.002164	0.001874	0.000583
ABCA4	0.000191	0.0	0.0	0.0	0.0	0.0	0.000108	0.0	0.0
ABCA5	0.000433	0.004978	0.003679	0.005155	0.00409	0.004404	0.007366	0.00409	0.006181
ABCA6	0.001517	0.000132	0.000108	0.0	0.000179	0.000121	0.0	0.0	0.0
ABCA7	0.056587	0.013906	0.008746	0.01771	0.013594	0.009382	0.005265	0.014548	0.01623
ABCB1	0.000179	0.005008	0.001636	0.00268	0.001636	0.001623	0.022317	0.007574	0.004436
ABCB10	0.001517	0.001627	0.002767	0.00238	0.001436	0.002146	0.002872	0.002247	0.002813
ABCB11	0.000179	0.0	0.0	0.000132	0.0	0.0	0.0	0.0	0.0
ABCB4	0.000446	0.046626	0.0	0.0	0.0	0.0	9.6e-05	0.0	0.0
ABCB5	0.000186	0.000132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB6	0.000179	0.000132	0.0	0.000132	0.000325	0.000121	0.0	0.0	0.000409
ABCB7	0.008789	0.021332	0.024015	0.012732	0.029594	0.020489	0.012924	0.018483	0.023969
ABCB8	0.015161	0.011157	0.012768	0.012371	0.015741	0.012426	0.00965	0.011522	0.01515
ABCB9	0.003569	0.001058	0.002762	0.002106	0.002799	0.001312	0.000974	0.002045	0.001731
ABCC1	0.012282	0.004771	0.002387	0.006428	0.001455	0.003458	0.001749	0.004891	0.003351
ABCC10	0.012679	0.005106	0.008163	0.013477	0.005248	0.010279	0.005726	0.005317	0.005816
ABCC11	0.000191	0.0	0.0	0.000132	0.0	0.0	0.0	0.0	0.0
ABCC2	0.000191	0.000132	0.000264	0.000191	0.000268	0.000268	0.000583	0.000409	0.000132
ABCC3	0.006064	0.000132	0.0	0.0	0.0	0.000121	0.0	0.0	0.0
ABCC4	0.000191	0.0007	0.001915	0.001227	0.000957	0.001674	0.001227	0.000866	0.001851
ABCC5	0.010889	0.005726	0.007617	0.006874	0.007899	0.008764	0.006559	0.006428	0.007408
ABCC6	0.007371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1	0.027188	0.004198	0.004412	0.004362	0.003934	0.003499	0.004101	0.002705	0.003063
ABCD2	0.000191	0.000233	0.003679	0.002332	0.003935	0.003097	0.000574	0.005714	0.004977
ABCD3	0.003437	0.008656	0.014455	0.009518	0.020618	0.013748	0.0115	0.013924	0.016406
ABCD4	0.016908	0.022904	0.021599	0.016908	0.02309	0.019146	0.018678	0.017327	0.018309
ABCE1	0.004431	0.031049	0.033179	0.022741	0.037897	0.025889	0.022135	0.042036	0.03675
ABCF1	0.044581	0.042564	0.03137	0.041057	0.036844	0.027774	0.058295	0.044091	0.039264
ABCF2	0.016259	0.018719	0.034898	0.034104	0.033002	0.030087	0.01573	0.017223	0.031063
ABCF3	0.026438	0.011368	0.021749	0.015067	0.021679	0.01811	0.013742	0.013689	0.019556
ABCG1	0.008115	0.025183	0.017609	0.020093	0.017745	0.018374	0.017637	0.011633	0.017726
ABCG2	0.000287	0.0	0.0	0.0	0.0	0.0	0.000358	0.0	0.0
ABHD1	0.000325	0.000485	0.001431	0.001577	0.001866	0.001407	0.000818	0.00105	0.001674
ABHD10	0.00304	0.011043	0.008568	0.006559	0.011424	0.007641	0.005265	0.007156	0.007464
ABHD11	0.012945	0.015542	0.01322	0.010496	0.015627	0.014607	0.011895	0.011157	0.01225
ABHD12	0.021346	0.011897	0.020868	0.017315	0.018119	0.018318	0.021064	0.017052	0.01516
ABHD13	0.003462	0.019828	0.02517	0.022401	0.016753	0.021344	0.015383	0.019167	0.020861
ABHD14A	0.020619	0.048163	0.10994	0.104963	0.10212	0.111019	0.06464	0.096456	0.114605
ABHD14A-ACY1	0.000238	0.000179	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD14B	0.055624	0.178424	0.264368	0.209312	0.271798	0.268765	0.084817	0.178895	0.198877
ABHD15	0.007282	0.007398	0.00303	0.005266	0.001633	0.004691	0.017101	0.002863	0.00304
ABHD16A	0.013906	0.004759	0.005626	0.005008	0.004499	0.009207	0.003599	0.004499	0.005317
ABHD16B	0.000238	0.0	0.0	0.0	0.000409	0.0	0.0	0.0	0.0
ABHD17A	0.041547	0.020859	0.046047	0.054088	0.035685	0.04534	0.250752	0.0818	0.05922
ABHD17B	0.003458	0.013727	0.007115	0.005726	0.00818	0.007277	0.011861	0.004687	0.010225
ABHD17C	0.000238	0.000179	0.000121	0.000586	0.0	0.000409	0.000954	0.000574	0.000179
ABHD2	0.020093	0.003517	0.004362	0.008616	0.003833	0.005457	0.018374	0.006797	0.004101
ABHD3	0.009407	0.021941	0.040303	0.036851	0.03272	0.044002	0.035133	0.028375	0.029485
ABHD4	0.004787	0.002231	0.003787	0.002332	0.003599	0.003816	0.006874	0.001423	0.003683
ABHD5	0.010851	0.003354	0.004366	0.0057	0.003895	0.003659	0.009063	0.003927	0.005074
ABHD6	0.00714	0.006609	0.002863	0.002099	0.002623	0.003124	0.003231	0.003124	0.003305
