Symbol	A	B	C	D	E	F	G	H	I	J	K	L
TSKS	0.002183	0.000119	0.002045	0.001607	0.0	0.0	0.000479	0.000485	0.003925	0.0007	0.000233	8.9e-05
CHMP1B	0.199395	0.194782	0.138315	0.14274	0.169735	0.185317	0.235076	0.297849	0.269958	0.167927	0.191259	0.183621
LOC651959	0.002767	0.002062	0.001698	0.0	0.002183	0.000287	0.001407	0.002776	0.000835	0.002045	0.00097	0.002585
BAPX1	8.4e-05	9.6e-05	0.000358	8.4e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.6e-05	0.0
LOC643637	0.001322	0.0	0.00097	0.0	0.000529	0.0	0.00241	0.00385	0.000791	0.0	0.001088	0.000837
LOC92497	0.001312	0.006671	0.008956	0.006916	0.005155	0.00134	0.003032	0.0	0.002426	0.008836	0.001627	0.006414
LOC651957	0.003013	0.000477	0.0	0.0	0.000485	0.000409	0.001149	0.0	0.000818	0.0	0.000216	0.000358
LOC643634	0.000191	0.0	0.000191	0.0	0.0	0.000119	0.002115	0.0	0.0	0.0	0.001636	0.0
LOC651951	0.00632	0.002045	0.005776	0.004908	0.005094	0.003697	0.006297	0.009382	0.004499	0.005684	0.008047	0.007035
DISC2	9.6e-05	0.0	0.000818	0.000364	0.0	0.001749	0.0	0.000121	0.0	0.002231	0.0	0.0
LOC643630	0.000583	0.000132	0.000108	0.00067	0.000117	0.000191	0.003035	0.003432	0.001669	0.0	0.0	0.002862
LOC100131905	0.453864	0.427023	0.588764	0.61571	0.521682	0.378051	0.25119	0.287102	0.30081	0.634475	0.653965	0.60551
LOC100131904	0.0	0.0	0.000108	0.002668	0.0	0.000108	0.0	0.0	0.0	0.0	8.4e-05	0.0
LOC100131909	0.000121	0.0	0.0	0.000117	0.000117	0.0	8.9e-05	0.0	0.000921	0.0	0.000238	0.000661
LOC647706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC647704	0.001455	0.003571	0.0	9.6e-05	0.0	0.0	0.000479	0.001749	0.000383	0.000397	0.0	0.000287
LOC441204	0.000529	9.6e-05	0.000606	0.0	0.000536	0.0	0.0	0.0	0.000108	0.000167	0.000529	0.001092
LOC441205	0.000121	0.0	0.0	0.000409	0.0	0.000108	0.000325	0.001092	0.0	0.0	0.0	0.001915
TCOF1	0.0	8.4e-05	0.000529	8.4e-05	0.0	0.0	0.0	0.0	0.0	0.000766	0.000574	0.001674
KLRA1	0.0	0.00035	0.0	0.003599	0.001283	0.0	0.000243	0.0	0.0	0.000167	0.000233	0.0
SPPL3	0.014607	0.013834	0.018405	0.015987	0.017317	0.014724	0.015262	0.015039	0.014191	0.017243	0.017184	0.018659
OPA3	0.011043	0.010017	0.01109	0.008329	0.008807	0.008228	0.007587	0.010714	0.009253	0.009846	0.00954	0.011778
OPA1	0.024454	0.026176	0.030793	0.031902	0.031493	0.03008	0.022086	0.02449	0.026041	0.030266	0.034235	0.032912
RHEB	0.082323	0.081824	0.069939	0.076483	0.076404	0.075318	0.095297	0.11532	0.108923	0.082353	0.079528	0.093061
LOC401730	0.0	0.000132	0.000121	0.0	0.0	0.0	0.000132	0.001053	8.4e-05	0.000132	0.0	0.0
LOC648576	0.0	0.0	0.000119	0.0	0.001227	0.0	0.000238	0.000233	0.001851	0.0	0.002863	0.00423
MGC39606	0.000233	0.000119	0.0	8.4e-05	0.000766	0.0	0.000121	0.000243	0.0	0.0	0.0	0.0
LOC648570	0.0	0.000238	0.000268	0.000383	0.0	0.001577	0.002776	0.002813	0.003013	0.000419	0.000835	0.0
KIAA0831	0.036326	0.041658	0.058691	0.058215	0.051143	0.056589	0.033576	0.034814	0.033819	0.055387	0.053065	0.058096
ITGA8	0.0	0.000121	0.000243	0.000466	0.0	0.0	0.000119	0.0	0.002644	0.0	0.0	0.0
ITGA9	0.006962	0.000818	0.000132	0.003458	0.00423	0.005684	0.006297	0.005288	0.004002	0.004404	0.00357	0.001339
ITGA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGA2	0.002504	0.001515	0.005948	0.001339	0.002863	0.002027	0.004185	0.005623	0.005215	0.004978	0.00409	0.001636
