Symbol	A	B	C	D	E	F	G	H	I	J	K	L
TSKS	31.464174	20.142538	30.86022	29.250797	13.343187	11.829788	24.176847	24.188589	36.758469	25.165531	21.785204	19.239822
CHMP1B	355.281952	351.075134	269.733948	277.269531	320.373871	338.786957	402.295807	476.160095	445.445831	317.205841	345.129517	337.830353
LOC651959	33.156105	31.078312	29.733315	17.03981	31.455614	22.535679	28.731453	33.186115	26.173246	30.878759	26.824564	32.567257
BAPX1	18.923286	19.320593	22.960791	18.981771	18.578724	16.169744	12.037375	12.476645	15.857877	13.902735	19.465645	16.428957
LOC643637	28.406412	17.666803	26.831301	18.430948	24.417736	15.993218	32.00864	36.632225	25.611921	17.327553	27.363317	26.211487
LOC92497	28.336531	44.420731	51.758537	45.248882	40.35994	28.611124	34.013359	18.565598	32.038864	51.233707	29.381701	43.798733
LOC651957	33.904022	24.081274	18.58745	17.411825	24.250071	23.694458	27.488234	17.169651	26.016298	13.944004	21.527781	23.03801
LOC643634	21.404545	12.255179	21.341269	14.566867	16.968594	20.208384	31.218231	15.580196	15.588543	18.189592	29.56295	17.100861
LOC651951	43.560638	30.894287	42.406868	39.75317	40.278236	36.113667	43.447582	52.606064	38.708626	41.968601	48.637974	45.774723
DISC2	19.428673	14.039087	25.998335	23.071419	15.749252	29.902956	13.467261	20.543966	15.703331	31.557333	14.680106	18.752216
LOC643630	24.658857	21.000732	19.842405	25.045124	20.102039	21.347458	34.080189	35.181347	29.667999	18.684284	9.532902	33.338161
LOC100131905	609.492615	577.881592	702.413452	740.924377	654.276001	539.972168	428.427368	463.011169	479.972321	742.091553	752.207458	727.503052
LOC100131904	17.792433	13.72724	19.839956	32.801926	15.846194	19.602539	17.607187	12.631212	17.303623	12.126724	18.84473	16.724188
LOC100131909	20.756203	18.103168	18.651941	19.992203	20.117887	16.842527	19.242746	15.309886	26.474676	15.193903	21.862366	25.004215
LOC647706	14.758214	17.383251	9.876715	14.294616	15.678818	10.134417	13.463319	9.576004	16.016161	13.123362	10.763983	18.548603
LOC647704	28.911266	35.661362	14.781684	19.453749	14.39454	18.27581	24.163143	29.902956	23.2337	23.265236	12.292954	22.55422
LOC441204	24.417736	19.45417	24.759556	17.705708	24.469799	16.550024	14.641523	16.645758	19.743107	21.100473	24.418762	27.440596
LOC441205	20.523743	18.233458	15.182771	23.446037	13.352012	19.680227	22.73134	27.406036	8.578599	17.395071	16.36248	30.46818
TCOF1	17.02923	18.800652	24.37038	18.807968	14.968472	17.11924	8.515111	11.366734	16.01173	25.543144	24.605783	29.690414
KLRA1	16.491663	22.867985	17.165167	35.785297	28.171753	15.830673	22.063931	13.183222	12.207866	21.150768	21.831642	16.15292
SPPL3	66.606071	64.672523	75.493645	69.757332	72.294205	66.902695	68.188469	67.631195	65.904816	72.082726	71.977478	75.964432
OPA3	57.259319	54.086227	57.479588	49.674305	51.153774	49.458355	47.506676	56.095768	52.431156	53.740723	52.970825	59.454815
OPA1	88.010033	91.286659	101.292656	103.432182	102.757843	99.425156	83.432274	88.090973	91.058952	100.277901	108.201347	105.131607
RHEB	191.44104	191.159988	169.886459	181.296478	181.241272	179.711884	205.293823	230.830093	225.249985	191.522644	185.518829	203.535355
LOC401730	15.244693	21.004131	20.637642	13.978362	15.638112	17.784061	20.920214	27.097208	18.804619	20.84222	15.515119	17.262447
LOC648576	12.545832	16.636641	20.182386	14.295873	27.896187	17.461027	21.886177	21.661528	30.25654	14.736126	33.408859	37.783504
MGC39606	21.776733	20.144447	15.132565	18.864126	25.605518	13.973973	20.518446	22.076942	17.013498	15.158263	13.196959	9.573319
LOC648570	16.196568	21.952589	22.412373	23.216881	12.390422	29.140762	33.163696	33.286503	33.907013	23.76593	26.139296	13.69545
KIAA0831	112.832451	123.767052	151.97998	150.015747	139.411545	148.046112	105.855972	109.934525	106.558151	146.058136	143.00209	149.97995
ITGA8	9.326344	20.496565	22.110378	23.954147	11.503554	16.963238	20.318254	14.316336	32.753529	12.429852	13.886311	12.267822
ITGA9	45.501072	25.921495	21.004131	35.28019	37.779072	41.968601	43.445969	40.764244	36.964066	38.266247	35.529484	28.484205
ITGA1	11.378698	11.560499	17.663687	8.426779	9.119203	11.699606	9.730553	12.537922	8.845658	13.12203	14.518024	17.808472
ITGA2	32.338402	29.007534	42.854347	28.538429	33.50576	30.70256	37.626335	41.912682	40.58601	40.000992	37.157967	29.485415
ITGA3	43.629555	36.167122	52.731949	49.916767	49.238338	37.411755	31.887995	17.042402	28.013723	52.593666	39.727188	61.096958
ITGA4	99.591599	100.273697	101.586395	93.619148	100.373199	88.431877	92.626183	112.890137	127.691704	95.412308	105.276276	94.653603
ITGA5	112.524567	109.731567	115.423286	113.230034	105.812019	131.275177	155.187668	123.533958	117.410789	115.13076	93.365906	100.280045
ITGA6	36.482643	38.155212	53.312298	57.589508	52.628143	44.582779	23.458488	20.089571	16.810757	63.309731	62.966949	50.338154
ITGA7	27.886499	35.91703	41.343899	41.179459	22.797277	32.401966	39.551918	33.023922	32.886185	22.502214	36.414936	42.667023
TRHR	22.075769	20.032267	19.809692	20.274923	27.631538	10.836864	22.136219	27.09617	23.03801	16.636641	24.081274	18.626438
LOC100132289	52.593666	52.878136	55.31926	51.09584	48.259224	51.92725	47.265858	53.505383	59.010708	58.753349	52.949226	52.622623
LOC100132288	31.847372	24.817482	34.154408	28.843847	29.495514	27.098246	39.460102	40.039768	42.518177	22.245354	30.559082	25.473232
LOC100132287	23.876925	21.751179	21.857742	14.827155	30.129808	13.854863	28.248203	15.914365	34.081684	17.229893	20.179594	26.219187
TCAM1	33.843948	23.411169	26.78731	35.261826	33.205143	35.91703	24.737991	31.532171	27.907398	39.727222	30.276583	37.181156
LOC100132144	20.320419	13.932651	22.514177	15.491262	34.765648	20.875921	29.440439	23.245871	30.45775	11.258058	12.451165	24.817482
OSAP	14.754007	31.786703	21.171532	36.22636	32.216099	18.245424	15.857877	18.841148	24.810629	18.570986	19.309395	18.993446
