Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
ABCB1	12.411798	11.042014	33.249577	225.375961	112.568771	69.894371	17.796587	22.400589	9.748645	61.806778	48.388988	21.897953	17.362093	15.884336	29.00341	14.468279	82.502571	17.362093	15.527487	19.954008
ABHD5	50.208652	42.780045	43.115932	42.298241	74.89193	38.128716	42.298241	293.394714	61.806778	42.298241	27.673843	38.9128	82.502571	72.499123	39.620373	41.440552	31.680347	117.313843	20.501995	41.949062
ACSM3	14.587454	21.254532	25.993835	21.04863	16.875589	29.309015	198.738663	31.680347	43.115932	19.84803	66.657135	15.110243	19.468847	19.954008	26.998066	14.370027	28.401363	19.558275	23.391291	20.362188
ADAM19	47.972385	25.649586	81.318825	27.153866	26.170534	46.223537	17.362093	110.154976	353.902588	57.106258	24.776411	23.614336	29.565622	29.565622	117.313843	59.57922	167.175339	65.056778	97.926567	50.208652
ADAMTS5	19.374172	5.551838	10.187995	12.117452	18.329815	9.748645	14.468279	9.988274	30.535194	12.411798	8.62093	8.243716	11.2216	11.042014	15.414994	8.243716	17.259283	9.988274	15.287424	14.025251
ADI1	163.1707	188.055313	120.032059	90.182289	90.182289	77.238762	353.902588	79.399162	508.444244	143.426468	459.515839	313.591827	37.646557	69.319519	198.738663	81.318825	127.059723	85.041138	243.949341	134.657242
AGPAT5	48.388988	31.229664	64.368958	47.398479	39.279461	76.026848	188.055313	66.657135	35.513618	94.463287	243.949341	129.484024	39.279461	37.380245	79.399162	29.972618	103.535278	20.278244	47.972385	34.082596
ALAS1	59.57922	37.646557	51.621704	57.106258	72.499123	68.344315	134.657242	57.106258	137.642548	273.328735	107.397041	143.426468	69.319519	54.508545	69.894371	58.582626	60.340691	60.340691	76.026848	32.345612
ALPL	18.641182	16.293543	18.837408	17.166605	19.050083	20.178867	12.727759	15.287424	11.564937	20.278244	13.002691	18.453339	18.572136	18.727728	30.688305	14.025251	42.780045	129.484024	20.362188	28.679478
ANK3	17.796587	21.153776	43.324879	22.631895	23.258432	39.954044	22.785128	34.6744	19.468847	48.738468	21.399233	14.927616	19.160997	19.160997	45.065201	26.998066	18.837408	19.254171	18.112009	81.318825
ANXA3	14.370027	10.845968	10.596711	18.572136	11.942526	11.2216	21.04863	45.065201	17.610331	12.850965	42.780045	19.468847	13.444147	10.187995	15.619143	23.763468	11.042014	188.055313	15.414994	17.051916
AOC2	16.539188	25.308821	19.84803	21.503334	24.575848	17.610331	24.131315	26.337246	25.308821	26.170534	12.411798	16.975634	20.935862	20.278244	22.042309	17.712387	32.183662	48.388988	23.860415	18.837408
APOBEC3A	198.738663	129.484024	35.920647	36.996227	50.208652	23.763468	16.18446	120.032059	143.426468	29.75654	28.812832	68.344315	158.446075	33.53194	14.587454	28.679478	17.4568	424.066406	16.975634	15.007893
APOBEC3G	61.086529	81.318825	85.041138	163.1707	145.858078	167.175339	63.405144	63.405144	40.624195	107.397041	91.284546	47.398479	91.284546	42.780045	143.426468	85.041138	163.1707	57.691223	73.572762	153.206238
APOE	14.025251	13.444147	19.558275	17.990255	34.6744	19.671268	31.680347	13.002691	23.391291	16.539188	47.398479	671.710876	375.271942	330.502472	26.532515	29.00341	24.303902	14.025251	21.153776	40.624195
ARID4A	47.398479	46.962059	79.399162	97.926567	424.066406	101.992607	52.576218	97.926567	293.394714	69.319519	88.529335	35.920647	49.547104	67.627823	80.29747	76.026848	97.926567	91.284546	36.24918	28.812832
ARNT2	11.564937	13.239426	10.845968	11.564937	13.239426	11.564937	18.727728	17.166605	7.650875	7.650875	17.051916	17.610331	17.990255	11.564937	9.532182	19.160997	8.62093	9.181261	19.254171	273.328735
ASGR1	117.313843	176.582184	34.949799	14.829544	27.153866	27.673843	27.903774	23.763468	13.239426	8.62093	27.153866	54.026958	62.770859	83.578552	14.829544	47.398479	15.619143	19.374172	14.927616	16.454206
ASGR2	122.015579	38.9128	29.00341	16.975634	27.673843	22.042309	28.679478	19.468847	14.468279	14.829544	30.688305	12.850965	26.998066	57.691223	15.994379	48.738468	16.089027	20.178867	18.453339	10.371782
ASRGL1	61.806778	44.101254	22.967094	23.860415	32.682171	28.096432	91.284546	101.992607	134.657242	34.6744	101.992607	163.1707	27.673843	41.055653	38.559151	25.051746	34.949799	41.440552	82.502571	21.153776
ATP2A1	13.002691	12.411798	13.716675	17.896976	12.727759	18.572136	20.278244	13.931892	12.411798	19.160997	11.942526	13.12596	15.994379	15.287424	24.575848	13.239426	19.468847	12.117452	21.254532	71.420731
ATP2B1	81.318825	66.657135	72.499123	61.806778	261.633698	80.29747	65.056778	69.319519	124.126831	78.17527	79.399162	21.776926	30.969177	54.026958	158.446075	96.398735	80.29747	158.446075	29.565622	19.468847
BEX1	20.753363	21.399233	27.673843	24.666662	18.641182	33.53194	107.397041	47.398479	41.055653	32.183662	353.902588	20.599075	19.750544	19.468847	24.417809	21.503334	31.937752	43.324879	32.345612	14.370027
BMX	14.468279	16.539188	9.748645	14.13267	11.2216	11.042014	15.007893	33.249577	20.278244	11.2216	16.975634	17.259283	17.051916	16.18446	13.816945	14.829544	20.837421	61.806778	19.671268	23.391291
C1QA	31.937752	105.168152	17.990255	14.587454	23.095299	15.527487	32.183662	28.401363	15.287424	15.753381	68.344315	273.328735	134.657242	131.738464	16.539188	41.949062	15.994379	12.259651	43.115932	41.055653
C1QB	28.096432	86.296898	20.837421	16.293543	21.776926	13.716675	24.575848	10.187995	22.967094	22.631895	69.894371	231.14064	353.902588	293.394714	15.884336	42.780045	18.229898	16.293543	37.646557	17.796587
CA4	18.112009	24.417809	19.468847	18.945938	25.051746	22.2642	13.339705	34.949799	38.559151	20.501995	15.527487	34.39127	23.391291	24.417809	22.967094	21.153776	17.166605	115.355324	15.619143	29.565622
CACNA2D3	85.041138	33.756168	20.753363	18.229898	21.897953	12.555463	11.942526	9.532182	16.643427	19.558275	21.04863	24.575848	17.166605	18.837408	10.596711	39.954044	12.117452	8.62093	9.988274	15.619143
CALB2	19.050083	18.453339	15.994379	25.649586	19.671268	21.153776	1283.386353	22.13479	11.2216	32.682171	17.166605	11.564937	20.753363	20.058748	18.641182	26.337246	17.362093	27.551815	30.688305	18.112009
CALML4	54.026958	59.57922	41.440552	33.249577	33.756168	32.345612	21.399233	43.115932	14.829544	30.969177	26.757652	31.937752	43.115932	52.109005	34.39127	36.24918	23.860415	27.673843	46.223537	20.501995
CAMK4	12.555463	14.370027	112.568771	21.153776	22.525253	112.568771	13.12596	14.587454	16.089027	58.582626	9.748645	15.884336	12.259651	10.845968	29.75654	13.002691	24.666662	20.935862	17.896976	7.650875
CASP1	353.902588	273.328735	110.154976	176.582184	176.582184	149.063263	44.101254	153.206238	217.685989	170.333893	115.355324	29.139278	149.063263	101.992607	153.206238	225.375961	122.015579	209.98024	92.680656	11.2216
CCR2	153.206238	28.679478	35.513618	25.426506	15.619143	39.620373	19.374172	57.691223	59.57922	60.340691	23.993692	16.796598	20.278244	25.426506	55.130535	30.230354	22.2642	30.535194	158.446075	21.897953
CCR3	17.4568	14.587454	18.641182	17.712387	13.444147	19.254171	18.945938	193.870102	950.926147	24.303902	14.468279	26.532515	15.619143	17.796587	15.198966	11.942526	14.829544	149.063263	16.454206	20.935862
CD14	1283.386353	424.066406	90.182289	62.770859	27.352167	25.649586	39.620373	36.24918	13.816945	10.187995	67.627823	424.066406	950.926147	375.271942	13.12596	120.032059	13.583591	569.837585	24.417809	19.374172
CD160	15.007893	18.572136	24.303902	330.502472	375.271942	122.015579	12.117452	17.259283	26.532515	77.238762	13.444147	11.400105	17.259283	19.558275	36.660488	10.596711	49.547104	23.860415	21.503334	15.753381
CD163	143.426468	39.620373	27.551815	28.679478	13.339705	16.18446	22.631895	19.750544	19.84803	11.812012	52.109005	330.502472	170.333893	225.375961	17.259283	52.109005	18.329815	24.776411	20.753363	14.468279
CD19	23.391291	20.753363	27.153866	20.599075	24.776411	24.417809	43.115932	15.007893	22.400589	16.975634	31.680347	46.223537	26.757652	27.903774	459.515839	17.362093	459.515839	24.922846	54.508545	13.931892
CD1D	243.949341	115.355324	44.500584	22.525253	60.340691	18.329815	9.181261	18.641182	17.051916	9.532182	19.671268	15.994379	28.812832	24.303902	72.499123	37.646557	87.639282	38.128716	81.318825	14.263503
CD1E	22.2642	25.426506	16.875589	15.753381	18.572136	14.587454	25.993835	26.757652	14.587454	14.468279	15.414994	16.454206	22.400589	68.344315	12.850965	79.399162	16.293543	14.370027	13.583591	28.401363
CD207	15.527487	21.503334	14.927616	11.2216	13.002691	16.293543	18.453339	19.954008	9.181261	18.453339	13.239426	20.837421	13.716675	17.712387	18.727728	56.056652	16.643427	22.2642	19.84803	17.610331
CD209	23.763468	24.776411	19.671268	24.417809	22.042309	20.278244	29.309015	13.444147	22.042309	22.042309	18.112009	153.206238	131.738464	459.515839	24.922846	27.153866	26.998066	24.666662	29.972618	19.050083
CD38	33.249577	39.954044	52.962521	167.175339	105.168152	61.086529	36.24918	28.679478	34.949799	82.502571	145.858078	28.812832	198.738663	28.679478	47.398479	46.962059	52.576218	26.998066	671.710876	105.168152
CD3D	29.00341	22.967094	1283.386353	74.89193	57.691223	950.926147	14.025251	18.329815	31.937752	3825.404785	25.426506	5.551838	20.501995	19.254171	22.862003	21.399233	21.254532	40.255306	32.183662	32.682171
CD3E	25.834925	23.258432	375.271942	120.032059	56.056652	330.502472	26.757652	18.837408	22.862003	353.902588	23.258432	28.679478	20.178867	21.503334	34.082596	12.555463	40.624195	29.139278	77.238762	23.258432
CD3G	17.712387	17.796587	353.902588	52.576218	54.026958	671.710876	13.583591	19.84803	13.444147	293.394714	16.089027	16.293543	14.587454	16.975634	19.954008	16.796598	16.975634	21.399233	20.058748	16.875589
CD4	63.405144	56.056652	143.426468	32.183662	24.303902	22.400589	15.287424	14.829544	27.352167	14.025251	26.337246	122.015579	80.29747	120.032059	18.329815	32.183662	22.631895	22.785128	19.050083	30.535194
CD40LG	19.160997	23.498703	131.738464	32.682171	9.988274	31.937752	23.391291	12.850965	15.527487	51.621704	29.75654	12.411798	15.007893	16.376865	15.527487	10.845968	17.610331	16.376865	21.897953	46.223537
CD79A	34.082596	29.565622	52.109005	34.949799	29.75654	54.026958	22.862003	28.096432	43.324879	33.249577	50.208652	53.523853	29.00341	31.513506	671.710876	23.860415	950.926147	39.279461	203.580429	17.896976
CD8A	27.551815	17.712387	34.6744	353.902588	115.355324	3825.404785	34.6744	20.501995	29.565622	69.894371	24.303902	19.750544	19.671268	21.04863	26.337246	26.170534	29.309015	50.710217	30.969177	16.376865
CDC14B	22.525253	15.198966	37.646557	41.055653	28.401363	37.646557	16.454206	71.420731	56.056652	29.309015	24.417809	51.621704	20.362188	17.259283	35.513618	23.095299	22.862003	22.967094	24.922846	15.994379
CDC42EP4	46.962059	97.926567	31.229664	28.096432	38.559151	26.337246	34.39127	182.220596	34.082596	22.785128	37.380245	70.662674	97.926567	76.026848	21.399233	66.657135	15.287424	39.620373	27.903774	83.578552
CDK2AP2	66.657135	79.399162	105.168152	129.484024	88.529335	105.168152	72.499123	112.568771	91.284546	137.642548	61.806778	88.529335	39.620373	49.547104	97.926567	112.568771	88.529335	49.547104	188.055313	163.1707
CDKN1C	41.055653	163.1707	33.756168	23.391291	71.420731	24.776411	27.153866	42.298241	18.641182	14.13267	38.128716	14.263503	22.967094	23.258432	17.4568	23.498703	12.411798	34.39127	17.796587	8.62093
CDR2L	16.376865	18.329815	14.370027	20.501995	15.527487	23.993692	20.599075	17.896976	9.988274	13.816945	18.453339	22.042309	23.614336	66.657135	21.254532	27.903774	26.337246	10.596711	14.263503	22.785128
CEACAM1	21.897953	33.53194	37.380245	30.535194	20.753363	32.975945	57.691223	198.738663	105.168152	39.279461	22.785128	40.624195	28.096432	25.051746	39.279461	14.587454	39.954044	87.639282	45.065201	36.24918
CEACAM3	29.75654	45.686771	20.935862	18.837408	42.780045	24.922846	24.666662	24.922846	21.254532	32.975945	21.653194	20.058748	23.258432	23.763468	33.53194	20.362188	43.115932	105.168152	46.962059	20.753363
CECR1	459.515839	353.902588	209.98024	193.870102	225.375961	182.220596	26.170534	66.105049	153.206238	193.870102	203.580429	149.063263	120.032059	137.642548	231.14064	198.738663	231.14064	44.500584	569.837585	243.949341
CES1	124.126831	34.6744	28.401363	21.776926	63.405144	27.551815	27.673843	16.643427	35.920647	21.399233	19.954008	56.056652	65.056778	39.279461	17.362093	47.972385	14.13267	21.653194	16.875589	30.230354
CETN1	19.254171	24.922846	16.539188	23.258432	9.181261	19.558275	26.532515	20.178867	18.727728	27.153866	17.259283	21.04863	15.287424	17.896976	23.498703	14.695355	32.975945	25.051746	51.621704	25.834925
CFB	24.776411	27.551815	14.263503	15.414994	19.374172	15.884336	12.850965	21.254532	15.753381	13.002691	20.362188	36.24918	231.14064	55.130535	18.453339	33.756168	12.727759	12.727759	20.278244	15.527487
CHMP7	72.499123	50.710217	188.055313	67.627823	64.368958	131.738464	66.657135	65.056778	101.992607	112.568771	182.220596	97.926567	34.949799	37.646557	225.375961	49.547104	293.394714	52.576218	74.89193	43.65892
CHST7	77.238762	209.98024	65.056778	34.39127	85.041138	53.523853	21.503334	38.559151	14.025251	53.523853	21.897953	167.175339	103.535278	110.154976	19.671268	203.580429	12.850965	145.858078	20.837421	143.426468
