Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ABCB9	2.075396	2.391779	1.841082	1.791021	1.844581	1.31585	1.795155	1.144346	1.094769	2.00573	1.931566	1.325947
ACAP1	2.768502	2.720478	4.619599	4.732092	4.464869	2.934888	2.308015	1.482535	1.378255	5.044732	4.843388	4.972077
ACHE	0.210832	0.19187	0.178463	0.291702	0.277808	0.127594	0.234832	0.078288	0.330187	0.341627	0.147067	0.121744
ACP5	0.087927	0.093342	0.064981	0.061598	0.031611	0.030794	0.14277	0.174918	0.199153	0.093732	0.011835	0.100814
ADAM28	0.41266	0.391075	0.109197	0.110216	0.089146	0.212049	0.359069	0.333277	0.377287	0.017695	0.033404	0.0
ADAMDEC1	0.034157	0.067197	0.003964	0.0	0.015287	0.028503	0.096171	0.131369	0.160694	0.022678	0.007356	0.000971
ADAMTS3	0.541945	0.252607	0.442426	0.0	0.311425	0.026316	0.286809	0.131349	0.347094	0.083097	0.03168	0.061938
ADRB2	1.185462	1.139276	0.599904	0.594417	2.2875	3.479361	0.716369	0.696349	0.706899	0.378288	2.400461	0.414204
AIF1	4.460533	4.650682	0.881265	1.100202	1.983485	2.487023	5.885859	6.298294	6.735707	0.433435	0.945615	0.396507
AIM2	0.345794	0.361515	0.258871	0.227683	0.159065	0.143354	0.410018	0.315566	0.268815	0.248878	0.200734	0.338006
ALOX15	0.068214	0.21104	0.046358	0.162525	0.188775	0.187455	0.042592	0.097004	0.051449	0.114248	0.196837	0.107007
ALOX5	3.799205	3.760414	0.570634	0.624946	1.110317	1.465644	6.309889	5.656837	5.656837	0.368728	0.151709	0.474044
AMPD1	0.006289	0.012673	0.013911	0.01242	0.014697	0.009764	0.0	0.006723	0.003301	0.012257	0.033258	0.014407
ANGPT4	0.039204	0.185188	0.046522	0.016813	0.074815	0.052653	0.0	0.046825	0.095811	0.008252	0.051413	0.106385
ANKRD55	0.209064	0.241655	0.688877	0.739082	0.001586	0.110287	0.343594	0.037289	0.015414	0.567184	0.0	0.480589
APOBEC3A	0.028868	0.147053	0.010415	0.019522	0.006296	0.059585	0.203066	0.197556	0.237024	0.0	0.098123	0.00615
APOBEC3G	1.045835	1.155187	0.88701	0.775227	1.738125	2.309731	0.463294	0.590309	0.523511	0.550536	1.471056	1.007672
APOL3	1.17536	1.097553	1.40642	1.366451	1.477771	0.616309	0.841615	1.507533	1.585323	1.431571	1.487052	1.355387
APOL6	0.507735	0.574524	0.613392	0.486518	0.525422	0.646654	0.131957	0.414035	0.298393	0.468783	0.559361	0.473707
AQP9	2.098022	2.212735	0.234909	0.268772	0.698137	1.153865	5.596213	3.220991	3.142812	0.006568	0.012881	0.041464
ARHGAP22	0.097249	0.234336	0.0	0.021102	0.104919	0.123556	0.243698	0.350724	0.349986	0.010617	0.003837	0.152784
ARRB1	2.082946	2.032571	0.723107	0.780948	1.044918	2.331948	3.208993	4.213869	4.284319	0.581823	0.753808	0.535002
ASGR1	3.331083	3.337555	0.225715	0.291828	0.597282	1.025828	4.421765	5.639676	5.633459	0.006427	0.003292	0.14231
ASGR2	1.525309	1.677416	0.075114	0.144311	0.3939	0.572207	2.366146	4.648113	4.570883	0.003532	0.0	0.012053
ATHL1	0.81317	0.844351	1.227047	1.337055	1.677829	1.057228	1.058917	0.39355	0.379187	2.055137	2.011961	0.847718
