Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB9	0.0	0.037212	3.656241	0.049417	0.115043	0.082807	0.131003	0.011473	0.174676	0.023574	0.035888	0.004544	0.026977	0.233024	0.078981	0.142094	0.621364	0.044606	0.217058	0.045931	0.081306	0.103622
ACAP1	0.298945	0.464262	0.024198	1.6056	2.747703	1.398073	0.494214	1.686747	3.067072	0.39966	0.761287	0.566829	0.260962	0.0403	0.012314	0.0	0.059604	0.005221	0.126178	0.078608	1.0471	0.890954
ACHE	0.005271	0.010047	0.027127	0.0	0.042925	0.01565	4e-05	0.004297	0.035017	0.063112	0.010062	4e-05	0.009194	0.000826	4.241686	0.109681	0.010255	0.560711	0.001624	0.022066	0.08419	0.029132
ACP5	0.181663	0.840341	0.436455	0.033216	0.250419	0.15784	0.004593	0.234212	0.356585	0.126201	0.050315	0.0	0.135597	6.642206	0.4079	3.66411	6.731833	1.858439	0.012002	0.041674	0.307851	0.033628
ADAM28	4.547029	2.67977	0.747461	0.038478	0.079249	0.03506	0.020923	0.042214	0.160698	0.042424	0.439613	0.20679	0.122079	0.114229	0.629785	0.831718	0.072748	0.11013	0.308759	0.259534	1.266658	0.287243
ADAMDEC1	0.261825	0.224119	0.087435	0.027635	0.053713	0.029656	0.017545	0.044941	0.108055	0.16195	0.044611	0.030349	0.071891	3.198535	6.111234	3.586469	0.113891	1.276006	0.519505	1.121859	0.121301	0.128717
ADAMTS3	0.804248	0.577369	0.398136	0.21757	0.425844	0.30232	0.279867	0.178125	0.409108	0.346868	0.155655	0.26521	0.287689	0.235486	0.160769	0.166484	0.253219	0.22795	3.652642	2.273909	0.547323	0.680823
ADRB2	0.486249	0.514457	0.25269	0.977389	0.0	0.615618	0.078047	0.023791	0.166257	2.734684	2.234504	2.713317	0.698413	0.078268	0.844267	0.339897	0.117025	0.006842	5.408682	3.340042	2.248157	0.782522
AIF1	0.002431	0.000605	0.001407	0.352084	0.340311	0.00783	0.009939	0.0	0.005006	0.519503	0.042157	0.001991	4.201536	0.88646	0.77455	5.638895	1.589118	0.003817	0.891254	0.804421	0.015615	3.036397
AIM2	0.325613	5.387557	1.649949	0.285375	0.0	0.232262	3.912605	1.272509	0.310813	0.421339	0.036238	0.093058	0.575828	0.15011	3.496582	0.109633	0.144105	1.021708	0.043744	0.006064	0.072637	0.886084
ALOX15	0.011877	0.014458	0.006511	0.007702	0.022615	0.011497	0.0	0.013437	0.02911	0.015646	0.042348	0.007704	0.007746	0.002346	0.000293	0.721897	4.928319	0.042629	0.010019	0.009196	0.594391	0.042165
ALOX5	1.117126	1.513411	0.098331	0.027654	0.025278	0.061411	0.015248	0.0	0.068377	0.257368	0.077254	0.055073	1.230832	0.477025	0.030576	0.135074	0.052848	0.024122	0.383714	0.351926	0.902571	1.824611
AMPD1	0.431719	0.355914	4.963558	0.105908	0.110119	0.137577	0.109788	0.085874	0.127597	0.184941	0.094422	0.096955	0.158867	0.123113	0.099792	0.095761	0.143994	0.0969	0.089589	0.121294	0.192276	0.283403
ANGPT4	0.275833	0.252353	2.968946	0.55561	0.262053	0.552892	1.26807	1.292095	0.358133	0.355454	0.097535	0.315465	0.195342	0.486166	0.251128	0.129051	0.208	0.131763	0.409338	0.382325	0.168011	0.4263
ANKRD55	0.673535	0.51363	0.265301	0.32511	4.503922	1.044648	0.17393	2.609373	0.28161	0.409451	0.182745	0.195133	0.287048	0.280926	0.21404	0.097707	0.242905	0.305241	0.353262	0.233808	2.587314	0.992945
APOBEC3A	0.097709	0.084796	0.094855	0.059385	0.102547	0.047691	0.052769	0.066454	0.031236	0.722495	0.249576	0.127694	2.42565	0.080407	4.525277	0.144383	0.103229	2.649188	0.067	0.028181	1.139554	5.615575
APOBEC3G	0.765853	0.660791	1.29848	1.338396	0.094453	1.51555	0.948324	0.129489	0.55047	3.695654	4.333661	6.163567	0.469645	0.053411	0.591084	0.038897	0.0	0.843789	0.300443	0.087751	0.072939	0.185076
APOL3	0.073341	0.254772	0.387097	0.65488	0.502593	0.894164	0.60204	0.149092	0.527748	0.633745	0.633405	0.533275	0.53209	0.082755	6.432087	0.200024	0.071556	0.449932	0.098128	0.0	0.005653	0.004839
APOL6	0.046717	0.023254	0.007729	0.010268	0.024717	0.010229	0.212062	0.00504	0.030496	0.015488	0.028389	1.498781	0.024135	0.029434	3.95497	0.007536	0.013092	0.631609	0.070644	0.009226	0.0	0.053952
AQP9	0.004302	0.001245	0.001515	0.000539	0.000792	0.001137	0.000264	0.002988	0.025366	0.08652	0.039699	0.0	0.996978	2.243272	2.108723	0.189877	0.549698	0.707848	0.276782	0.914643	0.057048	6.720168
ARHGAP22	0.040114	0.062891	0.022125	0.057398	0.102105	0.020123	0.008169	0.02475	0.036671	0.003242	0.119703	0.028062	0.073708	0.274627	0.567947	0.437048	0.51496	4.954618	0.060285	0.06994	0.118391	0.016425
ARRB1	0.023978	0.021791	0.033115	0.033409	0.032278	0.051593	0.045239	0.03148	0.0	0.02154	0.147727	0.391231	1.290271	0.971417	2.799704	1.156926	0.105083	0.073917	0.109137	0.069816	0.054249	0.074171
ASGR1	0.035369	0.03698	0.037093	0.006992	0.005644	0.008066	0.003041	0.0	0.014282	0.296496	0.005641	0.010018	0.961289	0.102502	0.019901	0.148776	0.070301	0.028293	0.049366	0.06011	0.034898	0.069209
ASGR2	0.050006	0.057846	0.057857	0.048973	0.064214	0.074855	0.059039	0.052417	0.228331	0.344122	0.048486	0.049175	3.176583	0.062598	0.041651	1.619989	0.089764	0.035466	0.03652	0.02909	0.094971	0.092222
ATHL1	0.358121	0.53406	0.792257	0.817452	5.564289	0.80576	0.214724	1.823309	0.234996	0.199841	0.570506	0.26285	0.164509	0.02715	0.147969	0.111411	0.004993	0.0	0.048213	0.035779	0.317803	1.273395
ATP8B4	0.210446	0.128528	0.121673	0.090667	0.068625	0.048874	0.10748	0.0	0.065825	0.172294	1.299031	2.240647	0.423491	0.171401	0.009565	2.524158	1.362346	0.178715	3.936878	4.620111	0.794816	0.148315
ATXN8OS	0.351551	0.321795	2.653099	0.209745	0.199555	0.221033	0.227759	0.216196	0.305414	0.471358	0.17368	0.154259	0.175082	0.187025	0.23504	0.195297	0.173714	0.215167	0.416525	0.137328	0.359814	0.28041
AZU1	0.062936	0.106874	0.174121	0.256229	0.0	0.137488	0.040321	0.008236	0.007099	0.088388	1.571265	0.425919	0.338422	0.16276	0.60208	1.196443	0.209963	0.191643	2.308127	4.008237	0.40804	0.283132
BACH2	5.364368	1.448058	0.114637	0.81194	1.675951	0.485196	0.477005	0.235773	0.479705	0.666009	0.520534	0.560884	0.0	0.010535	0.032045	0.005098	0.008254	0.03752	0.032794	0.019784	0.165971	0.098557
BANK1	5.15856	6.202168	0.070217	0.014983	0.023419	0.020679	0.0	0.009509	0.019295	0.03437	0.018984	0.021817	0.055215	0.001409	0.007499	0.016406	0.029954	0.009792	0.050636	0.059239	0.66813	0.023163
BARX2	0.109043	0.162232	0.098818	0.095886	0.089357	0.064305	0.122788	0.138167	3.314607	1.097269	0.132162	0.191269	0.124911	0.11644	0.10328	0.207729	0.162442	0.155002	0.375623	0.193192	0.521236	0.487381
BCL11B	0.078701	0.056305	0.067281	2.815888	4.855576	3.346814	0.539059	2.136421	1.837691	1.724295	0.522704	0.314248	0.025176	0.018349	0.011556	0.0	0.030484	0.017295	0.001898	0.000736	0.17437	0.078913
BCL2A1	0.024509	0.126401	0.006169	0.258468	0.196678	0.34996	0.577975	0.321015	0.054069	0.186083	0.240721	0.23395	1.111719	2.780957	3.528827	0.066666	0.036122	2.776301	0.407281	1.632789	6.675675	4.415188
BCL7A	4.055702	1.546513	0.648066	0.333975	0.329849	0.178923	0.078979	0.148544	0.574907	0.084824	0.0	0.109315	0.083087	0.092454	0.379965	0.58691	0.950634	0.686102	0.474953	0.605148	0.183582	0.341654
BEND5	3.559244	1.570784	1.112846	0.86267	1.255128	0.242199	0.153617	0.171835	0.0	0.184489	0.305491	0.060265	0.196328	0.255715	0.190625	0.154593	0.249447	0.336244	0.171786	0.230403	0.354791	0.485776
BFSP1	0.029415	0.078767	0.046723	0.186228	1.757739	0.0336	0.078724	0.749194	0.113401	1.488138	0.398436	0.18322	0.21057	0.129715	0.4316	0.344329	0.182434	0.0803	0.390039	0.612341	0.094741	0.178037
BIRC3	1.028924	0.609045	0.178007	0.182336	0.36916	0.638971	1.714269	0.201582	1.446956	0.102017	0.129253	0.670939	0.053967	0.097053	1.155961	0.101152	0.226022	6.377933	0.0	1.144065	0.919347	0.037479
BLK	2.744208	5.049947	0.052216	0.19766	0.092233	0.016957	0.003478	0.125924	0.002181	0.019345	0.002916	0.006309	0.040031	0.011344	0.005635	0.009637	0.010977	0.013224	0.003687	0.0	0.047069	0.002618
BMP2K	0.445992	0.330515	0.134919	0.157554	0.142729	0.024861	0.208236	0.344326	0.086657	0.159399	0.138757	0.156563	0.565686	0.51835	1.100057	1.654641	0.700812	1.038756	4.899316	4.286088	1.52919	0.983436
BPI	0.016733	0.031316	0.036295	0.236457	0.142951	0.025077	0.0	0.036082	0.018002	0.053447	3.401402	0.653734	1.120207	0.03537	0.041559	0.080152	0.029067	0.034924	3.959826	3.370942	1.572953	0.222789
BRAF	4.80892	1.814661	0.910766	0.323389	0.177815	0.280013	0.32275	0.179875	1.100552	0.815097	0.548361	0.470501	0.48493	0.574998	0.681535	0.346473	0.419734	0.663341	0.276132	0.554217	1.72321	1.340388
BRSK2	0.08856	0.0	0.441627	0.088802	0.051271	0.173506	0.53303	0.743405	0.152417	0.845223	0.204261	0.188733	0.107973	0.079728	0.089748	0.065504	0.044978	0.360113	0.617795	0.16303	0.056124	0.109497
