gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
AASS	0.123874	0.15147	0.381046	0.192506	0.248608	0.079905	0.274379	0.260493	0.105487	0.038434	0.051358	0.095747	0.011389	0.130403	0.27579	0.12038	0.272137	0.164986	0.000826	0.187253	0.14258
ABCA1	0.167436	0.257974	0.163427	0.163481	0.201154	0.226245	0.176039	0.201771	0.313692	0.142018	0.398092	0.16768	0.127342	0.19574	0.179332	0.284697	0.242939	0.198335	0.535398	0.148641	0.2586
ABCA3	0.675563	0.685145	0.798856	0.678793	0.365911	0.388119	0.532515	0.799833	0.552142	0.552453	0.406082	0.540513	0.57963	0.586433	0.450734	0.564307	0.508835	0.287751	0.605287	0.893312	0.458502
ABCA6	0.040091	0.051478	0.096237	0.039497	0.000424	0.019052	0.00478	0.054581	0.013448	0.000168	0.040057	0.008796	0.062739	0.067162	0.027085	0.016973	0.076584	0.000266	0.0	0.098619	0.051171
ABCB1	0.007212	0.006037	0.007329	0.011313	0.000765	0.001986	0.00411	0.003452	0.002712	0.000754	0.004898	0.001246	0.011909	0.006789	0.00425	0.010166	0.01685	0.001295	0.011144	0.019133	0.010323
ABCB4	0.028331	0.018417	0.015924	0.016913	0.006105	0.015813	0.019322	0.01944	0.002851	0.00394	0.00562	0.023205	0.007823	0.020734	0.019131	0.01293	0.066732	0.002999	0.006973	0.032093	0.021859
ABCC2	0.044021	0.020674	0.069655	0.033811	0.020245	0.019774	0.01973	0.0907	0.010557	0.042312	0.016511	0.119535	0.022876	0.02059	0.037716	0.014602	0.059262	0.027766	0.049554	0.015158	0.021766
ABCD2	1.1e-05	7e-06	1.7e-05	1.1e-05	8e-06	2e-06	1.2e-05	5.9e-05	1.2e-05	7e-06	1.7e-05	1e-05	0.001233	1.7e-05	2e-06	5.9e-05	0.007671	1.2e-05	1.2e-05	0.023652	1e-05
ABCG2	0.12385	0.291739	0.082508	0.423563	0.203482	0.226034	0.207098	0.162318	0.777648	0.160912	1.0	0.242854	0.759227	0.23091	0.151398	0.297659	0.370138	0.228731	0.089215	0.42165	0.478303
ABLIM3	0.226102	0.213077	0.188882	0.209343	0.1719	0.245523	0.194271	0.214728	0.327548	0.183807	0.3196	0.250668	0.1719	0.282477	0.159605	0.281049	0.304174	0.15056	0.194024	0.60524	0.296394
ABO	0.131036	0.408227	0.711864	0.111212	0.05308	0.394612	0.425771	1.0	0.771055	0.061542	0.332339	0.096415	0.28169	0.146654	0.185082	0.186755	0.363932	0.079254	0.257016	0.069774	0.088291
ACE	0.066281	0.075636	0.035473	0.074221	0.01814	0.058756	0.02253	0.054577	0.046605	0.015667	0.095104	0.028451	0.077956	0.04877	0.053391	0.090586	0.106734	0.021018	0.124349	0.088331	0.087383
ACER1	0.337851	0.764165	0.945673	0.223274	0.492527	0.381926	0.269091	0.540169	0.080126	0.887705	0.083326	0.359494	0.13242	0.747399	0.833683	0.158479	0.19691	1.0	0.107519	0.296795	0.191105
ACOX2	0.378071	0.784304	0.360138	0.263668	0.081429	0.216791	0.102418	0.20894	0.09735	0.220914	0.094551	0.262666	0.116221	0.543911	0.208165	0.270031	0.307411	0.174282	0.198128	1.0	0.370418
ACP5	0.016915	0.033362	0.02598	0.02409	0.009205	0.047327	0.018639	0.030024	0.058416	0.016658	0.232019	0.019063	0.064608	0.022427	0.033161	0.117344	0.028711	0.017792	0.276289	0.019717	0.068195
ACSF2	0.110827	0.162207	0.196227	0.20192	0.202735	0.134181	0.159743	0.102277	0.053412	0.293448	0.150114	0.119806	0.109136	0.22922	0.120671	0.204004	0.220381	0.108982	0.181364	0.224305	0.107075
ACSL4	0.021466	0.006866	0.002702	0.010652	0.007171	0.024103	0.053468	0.010652	0.008558	0.000713	0.027362	0.006881	0.021417	0.008887	0.0	0.025547	0.029995	0.006804	0.038039	0.018816	0.036813
ACSL6	0.010362	0.01493	0.016227	0.012717	0.005567	0.003984	0.005863	0.035301	0.008102	0.020314	0.012886	0.006307	0.083818	0.005509	0.004459	0.018475	0.013436	0.008519	0.030586	0.010978	0.015241
ACSM5	0.119678	0.133762	0.054892	0.104624	0.053471	0.063846	0.171039	0.043789	0.261848	0.089166	0.467924	0.08927	0.09625	0.144362	0.110566	0.179815	0.234859	0.050708	0.069229	0.299452	0.107109
ACSS3	0.144011	0.340942	0.335697	0.136928	0.066618	0.139322	0.392846	0.057025	0.116375	0.12417	0.132661	0.108254	0.033979	0.301199	0.098105	0.287179	0.219011	0.098494	0.016262	0.699885	0.330811
ACTA2	0.152255	0.062992	0.04794	0.221075	0.08758	0.098185	0.071747	0.057567	0.144155	0.006079	0.052711	0.080493	0.055023	0.158251	0.103129	0.092493	0.082348	0.019875	0.012639	0.219981	0.161346
ACTB	0.086231	0.025717	0.017466	0.025717	0.023009	0.131731	0.069482	0.069482	0.001604	0.007771	0.008676	0.086231	1.0	0.012268	0.011295	0.025717	0.013506	0.023009	0.20713	0.009259	0.018474
ACVR1C	0.07164	0.153431	0.000471	0.09714	0.123957	0.004216	0.282779	0.0	0.01188	0.011205	0.023467	0.026442	0.009474	0.280924	0.012059	0.03078	0.022354	0.06793	0.006084	1.0	0.182026
ACVR2A	0.530294	0.560746	1.0	0.522485	0.712091	0.295254	0.36665	0.858622	0.346368	0.610139	0.350128	0.300969	0.265047	0.750166	0.553417	0.341897	0.832478	0.407971	0.11089	0.489462	0.322656
ACVRL1	0.065149	0.071274	0.089269	0.05229	0.026981	0.079137	0.046135	0.11238	0.137221	0.019784	0.070359	0.046988	0.060274	0.048947	0.044354	0.056417	0.110732	0.024585	0.072966	0.069822	0.072558
ADAM12	0.008154	0.030442	0.005252	0.014188	0.029629	0.076245	0.03746	0.006137	0.1522	0.01042	0.048997	0.083188	0.070098	0.006895	0.009165	0.0158	0.048705	0.043871	0.006768	0.019388	0.08649
ADAM23	0.100769	0.077003	0.014884	0.217309	0.319724	0.078294	0.13368	0.074958	0.074766	0.125698	0.066032	0.264159	0.13643	0.082617	0.194155	0.076791	0.165829	0.641022	0.066283	0.07946	0.158064
ADAM28	0.008573	0.008949	0.00373	0.004292	0.005523	0.008868	0.014411	0.013801	0.011166	0.006596	0.032365	0.009069	0.021584	0.006	0.007213	0.021467	0.040614	0.008625	0.039126	0.003359	0.008464
ADAMDEC1	0.000145	0.137368	0.001208	0.023994	0.02606	0.036157	0.005541	0.132463	0.428537	9.4e-05	0.444418	0.140639	0.494132	0.000422	0.102727	1.0	0.713931	0.041788	0.073792	0.005733	0.078299
ADAMTS10	0.386227	0.195086	0.154593	0.124297	0.237534	0.334293	0.285019	0.159566	0.461721	0.215201	0.321049	0.241264	0.350558	0.239025	0.352917	0.269931	0.115767	0.247251	0.450408	0.134613	0.12342
ADAMTS17	0.05317	0.080438	0.331364	0.154723	1.0	0.057938	0.029161	0.23653	0.008616	0.132317	0.009304	0.028871	0.046811	0.093023	0.042001	0.040376	0.361244	0.036713	0.01008	0.134022	0.042477
ADAMTS5	0.36899	0.476838	0.066179	0.211732	0.054197	0.385157	0.216574	0.047364	0.613246	0.004555	0.181908	0.159522	0.089836	0.214195	0.203506	0.301148	0.320141	0.065144	0.000194	0.331916	0.440298
ADAMTS6	0.000888	0.001253	0.001367	0.005667	0.015464	0.004582	0.001715	0.002176	0.003015	0.0	0.001932	0.003283	0.000577	0.000982	0.000529	0.002154	0.019322	0.000462	0.011705	0.004142	0.008667
ADAMTSL5	0.352704	0.362002	0.692054	0.21083	0.14304	0.325706	0.334389	1.0	0.416626	0.293926	0.336694	0.233546	0.332692	0.253478	0.335563	0.276333	0.186962	0.205427	0.512878	0.145873	0.186721
ADARB1	0.223593	0.140589	0.198322	0.183521	0.183254	0.174426	0.2132	0.209713	0.258111	0.188814	0.216931	0.147887	0.161768	0.183202	0.161878	0.170388	0.123986	0.147457	0.131452	0.168846	0.141463
ADCY1	0.364989	0.370693	0.372499	0.371221	0.346492	0.283469	0.434438	0.502349	0.458732	0.516287	0.469336	0.989765	0.485735	0.345831	0.369145	0.456898	0.197145	0.398565	0.456172	0.429237	0.298577
ADCY4	0.403258	0.301373	0.4261	0.565117	0.215695	0.407216	0.322839	0.544108	0.383801	0.207903	0.275815	0.319332	0.258689	0.330432	0.291551	0.397361	0.7361	0.200914	0.319336	0.457428	0.320584
ADD3	0.273225	0.23395	0.130233	0.168429	0.105295	0.113902	0.200698	0.142749	0.133985	0.076889	0.187584	0.167319	0.140834	0.310792	0.193784	0.219219	0.100085	0.069405	0.123612	0.388037	0.19944
ADM	0.046192	0.039935	0.055955	0.032268	0.031683	0.122477	0.194552	0.052884	0.211256	0.027492	0.163216	0.052699	0.018539	0.097268	0.046247	0.133989	0.057408	0.06126	0.168539	0.069323	0.120781
AFAP1L1	0.036803	0.067891	0.076699	0.044077	0.024952	0.05972	0.037422	0.082385	0.094768	0.02973	0.110651	0.062672	0.033311	0.056951	0.047503	0.037106	0.041918	0.039811	0.024725	0.100505	0.068323
AFF3	0.007957	0.00363	0.007482	0.003022	0.00067	0.001061	0.000711	0.007641	0.000976	0.001158	0.002568	0.004335	0.009478	0.009402	0.003474	0.001482	0.016702	0.000841	0.001115	0.016999	0.001454
AGRN	0.026807	0.02404	0.049421	0.031024	0.052996	0.03541	0.021609	0.069761	0.026299	0.045897	0.022074	0.041433	0.029431	0.025496	0.024776	0.022222	0.034176	0.057046	0.030937	0.017136	0.019034
AHR	0.240216	0.241753	0.262926	0.157845	0.118658	0.147213	0.047105	0.268532	0.140056	0.103362	0.111924	0.133058	0.153533	0.182397	0.181861	0.064108	0.202151	0.149762	0.118314	0.198385	0.207601
AHRR	0.157327	0.150527	0.062268	0.324668	0.109763	0.173932	0.100795	0.0816	0.052658	0.20803	0.11471	0.121753	0.139175	0.181701	0.14076	0.100001	0.067806	0.092724	0.242127	0.13787	0.152138
AIM1	0.377073	0.365307	0.154168	0.419801	0.246972	0.321689	0.367564	0.16309	0.356893	1.0	0.317383	0.117743	0.164265	0.389416	0.389416	0.370908	0.33607	0.417015	0.2565	0.151736	0.218415
AIM1L	0.291624	0.366081	0.407965	0.337567	0.234624	0.369568	0.766502	0.408457	0.148675	0.748211	0.110898	0.116646	0.168306	0.33742	0.336932	0.214576	0.162504	0.400653	0.165981	0.231299	0.38912
AIM2	0.044708	0.047604	0.011513	0.049008	0.059772	0.103462	0.555364	0.358757	0.727801	0.007037	0.397226	0.107044	0.555594	0.018327	0.132264	0.528842	0.813255	0.386557	0.681415	0.018611	0.171893
AKR1C1	0.217441	0.229406	0.097388	0.206522	0.066215	0.169164	0.233083	0.157138	0.137431	0.125443	0.08592	0.091927	0.046195	0.245446	0.186042	0.130565	0.162239	0.121644	0.020737	0.438618	0.210384
