Gene	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
AASS	0.35205	0.212765	0.129149	0.005624	0.054274	0.588471	0.232585	0.480081	0.040258	0.184216	0.175452	0.277635	0.099475	0.726989	0.599236	0.485689	0.287206	0.0	0.001132	0.537213	0.402367	0.395022	0.373551	0.468412	0.657696	0.6029	1.0	0.616077	0.643321	0.499093	0.536889	0.142202	0.032165	0.084882
ABCA1	0.226058	0.164693	0.073041	0.115074	0.0	0.036923	0.014379	0.059414	0.198261	0.112187	0.20446	0.182798	0.042437	0.300819	0.153485	0.201154	0.040415	0.407602	0.329408	0.085233	0.037513	0.243416	0.243218	0.365563	0.202758	0.784966	1.0	0.652498	0.642588	0.61148	0.445031	0.021512	0.008105	0.000435
ABCA3	0.036141	0.0402	0.051006	0.011061	0.189107	0.71435	1.0	0.931493	0.097428	0.317246	0.026395	0.027564	0.027731	0.085432	0.03926	0.03327	0.004432	0.062495	0.0	0.007155	0.004278	0.023837	0.014068	0.061724	0.282003	0.010741	0.013628	0.038869	0.377571	0.033214	0.028876	0.120557	0.144542	0.141747
ABCA6	0.027724	0.005431	0.006623	0.015116	0.002556	0.125458	0.006362	0.046693	0.014694	0.000439	0.001126	0.490202	0.012849	0.063591	1.0	0.143852	0.000461	0.010916	0.005482	0.01233	0.055023	0.098479	0.258076	0.117405	0.353764	0.188953	0.062097	0.231927	0.089814	0.086465	0.023908	0.003035	0.001202	0.001107
ABCB1	0.00023	0.076336	0.011193	0.000703	0.191256	0.008823	0.134597	0.006914	0.003216	1.0	0.005073	0.000578	0.000514	0.004569	0.000467	0.00109	0.000343	0.000529	0.000359	0.005142	0.000728	0.0	0.000238	0.00301	0.004925	0.037783	0.002877	0.000966	0.001929	0.0184	0.001872	0.012647	0.051199	0.082596
ABCB4	0.007587	1.0	0.370417	0.002246	0.003088	0.00026	0.010258	0.000725	2e-05	0.028666	0.001025	2.9e-05	0.004358	0.002503	0.00182	0.085372	3.2e-05	0.031734	0.0	0.114904	0.002041	0.001472	0.001707	0.000597	0.014643	0.046207	0.030308	0.000449	0.00472	0.018417	0.002053	4.8e-05	3e-06	0.000444
ABCC2	0.004708	0.0356	0.011812	0.011057	0.009329	0.007625	0.007572	0.005229	0.00585	0.001659	0.004153	0.006401	0.001689	0.002069	0.005048	0.003217	0.003008	0.0	0.140389	1.0	0.003249	0.004548	0.102428	0.000889	0.001137	0.002477	0.01131	0.000966	0.004176	0.001421	0.003409	0.036483	0.011857	0.004454
ABCD2	0.001036	0.021876	0.058395	0.001696	0.06967	0.0	0.007072	2e-06	0.001911	0.000535	6.2e-05	0.000147	0.002252	0.003923	0.004212	0.006147	0.000161	0.001374	0.000433	0.005175	0.016172	0.001549	0.003244	0.001731	0.000537	0.002876	0.001439	0.001911	0.000591	0.001652	0.00746	1.0	0.670845	0.964954
ABCG2	0.020629	0.023919	0.00011	0.0	0.082665	0.669585	0.395955	0.498399	0.105468	0.080116	0.01313	0.081479	0.015572	0.042634	0.121752	0.040314	0.161929	0.587883	0.003321	0.043545	0.04584	0.016979	0.032122	0.633695	0.072561	0.067211	0.044807	0.084709	0.157655	0.053297	0.136599	0.018182	0.130651	0.012181
ABLIM3	0.026037	1.9e-05	3.2e-05	0.001052	0.0	0.312388	0.65284	0.328202	0.185567	0.227009	0.087665	0.873802	0.121567	0.48028	0.180247	0.319684	0.084803	0.077648	3.5e-05	0.060816	0.549935	0.055132	1.0	0.264711	0.17103	0.324663	0.107	0.13397	0.400322	0.305338	0.15865	0.000487	0.000561	5e-06
