gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
A2ML1	0.014271	0.045205	0.056905	0.028355	0.067754	0.062252	0.041102	0.068075	0.015841	0.074283	0.009705	0.014728	0.007278	0.03742	0.159269	0.022606	0.024119	0.147995	0.002783	0.011274	0.077359
AADACL2	0.046949	0.137702	0.067302	0.096073	0.149249	0.105453	0.07025	0.08308	0.011297	0.421622	0.033781	0.036442	0.003906	0.31334	0.266518	0.031651	0.134868	0.368521	0.0	0.017279	0.021853
AASDH	0.166363	0.193618	0.087252	0.11836	0.158929	0.112206	0.178515	0.064939	0.19055	0.102118	0.188945	0.143591	0.111563	0.19468	0.165301	0.127781	0.212556	0.15421	0.10626	0.157514	0.149726
ABCA12	0.050867	0.159503	0.117644	0.086868	0.210026	0.104083	0.074709	0.09246	0.00697	0.55275	0.007886	0.041809	0.009694	0.179122	0.547048	0.01215	0.095271	0.531628	0.001322	0.031724	0.112269
ABCA8	0.077169	0.151775	0.039364	0.048111	0.012114	0.024869	0.036781	0.020655	0.026537	0.006822	0.078392	0.033924	0.007605	0.160413	0.068716	0.075115	0.075115	0.006578	0.004572	0.33855	0.066485
ABCG1	0.054913	0.091469	0.094383	0.093161	0.145824	0.123156	0.147947	0.209437	0.292243	0.379845	0.359364	0.101398	0.345125	0.144786	0.248867	0.259243	0.363136	0.325905	0.489831	0.112221	0.146862
ABCG2	0.015322	0.034511	0.010113	0.049645	0.024822	0.027274	0.025129	0.019996	0.097144	0.019801	0.133305	0.029113	0.094233	0.02781	0.018693	0.035186	0.043439	0.02758	0.011032	0.049338	0.056247
ABHD15	0.012625	0.013812	0.009604	0.011582	0.006474	0.013515	0.010143	0.004748	0.010359	0.002185	0.012596	0.005153	0.035501	0.008884	0.004714	0.011998	0.029746	0.003849	0.029386	0.02552	0.015606
ABI3BP	0.30302	0.274759	0.031557	0.135875	1.0	0.153345	0.127524	0.032525	0.155485	0.011909	0.133529	0.095397	0.159232	0.20728	0.130617	0.325839	0.117504	0.024313	0.000368	0.450742	0.443449
ABP1	0.018851	0.040224	0.042196	0.092174	0.024112	0.039018	0.014643	0.038681	0.003946	0.039369	0.0	0.024989	0.097764	0.035728	0.040552	0.01381	0.064445	0.029373	0.266988	0.086764	0.076721
ACACB	0.017773	0.025659	0.154013	0.023319	0.012064	0.005537	0.043824	0.085779	0.01418	0.014135	0.019413	0.032142	0.004457	0.043808	0.008103	0.039852	0.034066	0.01065	0.014639	0.088323	0.004862
ACAP1	0.035495	0.013678	0.014244	0.0183	0.010707	0.023017	0.024762	0.022876	0.028394	0.01481	0.029526	0.011839	0.220165	0.010094	0.018017	0.046506	0.047355	0.014598	0.232624	0.009999	0.012475
ACE	0.033681	0.040677	0.013173	0.039471	0.001773	0.028373	0.004729	0.0257	0.020411	0.0	0.055614	0.008649	0.042322	0.021768	0.024899	0.051896	0.065528	0.003764	0.081572	0.050087	0.049363
ACER3	0.067182	0.067725	0.012592	0.056249	0.114438	0.073063	0.124863	0.009727	0.129614	0.017237	0.190236	0.064287	0.029293	0.038115	0.049312	0.07853	0.083723	0.044381	0.04984	0.062115	0.09144
ACOT4	0.065775	0.215787	0.141743	0.063864	0.0714	0.062124	0.069814	0.03332	0.052678	0.068756	0.211821	0.113183	0.191591	0.100912	0.069814	0.096258	0.141214	0.113606	0.196218	0.251884	0.107894
ACP5	0.01677	0.046291	0.032557	0.029142	0.005765	0.072648	0.019624	0.040004	0.093979	0.016324	0.345155	0.020349	0.105502	0.026166	0.045857	0.195421	0.037517	0.018212	0.389769	0.021455	0.111803
ACTA2	0.095144	0.0358	0.025181	0.133345	0.053391	0.06041	0.042097	0.03196	0.089921	0.000709	0.02851	0.048233	0.030144	0.0987	0.063694	0.056724	0.049678	0.006688	0.00308	0.132815	0.10063
ACVR1C	0.010307	0.015694	0.00153	0.012042	0.013769	0.003109	0.024429	0.000444	0.004787	0.004688	0.006307	0.006662	0.004368	0.024281	0.004812	0.007057	0.006184	0.010018	0.003701	0.102897	0.01752
ADAM12	0.019424	0.048669	0.015438	0.026982	0.04746	0.138348	0.059279	0.016675	0.354957	0.02231	0.079234	0.155619	0.123872	0.017683	0.020723	0.028952	0.078703	0.069999	0.017575	0.033579	0.164185
ADAM28	0.010357	0.010627	0.006124	0.006657	0.007745	0.010627	0.015097	0.014589	0.012428	0.008682	0.032308	0.010735	0.021434	0.008195	0.009208	0.021292	0.042179	0.010357	0.040346	0.005764	0.010258
ADAMDEC1	0.0015	0.123973	0.00333	0.015406	0.01655	0.022542	0.006258	0.118418	0.46798	0.001317	0.485376	0.127862	0.540089	0.002216	0.084263	1.0	0.760038	0.026293	0.0535	0.006349	0.058038
ADAMTS1	0.142739	0.050336	0.087391	0.021819	0.02014	0.130154	0.082039	0.016565	0.072396	0.007516	0.026836	0.0263	0.014215	0.046775	0.020925	0.034498	0.013296	0.014163	0.0	0.027985	0.137304
ADAMTS18	0.028408	0.032974	0.031403	0.032032	0.131894	0.031403	0.037265	0.038522	0.041453	0.028891	0.031403	0.030147	0.032032	0.032241	0.033916	0.033002	0.019345	0.031403	0.041871	0.028389	0.051816
