Symbol	MSC	Bronchial_Epithelial_cells	Fibroblasts	Endothelial_cells	Adipocytes	Keratinocytes	Schwann_cells	Smooth_muscle_cells	CD34+	Platelets	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	Macrophage	M1(IFNg)	M2(IL-4)	M(IFNa)	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	T_cells_(gamma-delta)	NK_cells	Neutrophils	Neutrophils_LPS	B_cells
A2ML1	0.001124	0.092265	0.0	0.000856	0.000714	1.0	0.000143	0.002141	0.000357	8.6e-05	0.000749	0.000785	0.000895	0.001284	0.000514	0.002283	0.001249	0.001035	0.00157	0.00037	0.001136	0.000428	0.000999	0.00137	0.007064	0.001284
AADACL2	0.00045	0.00086	0.000655	0.000845	0.000805	1.0	0.000587	0.000696	0.000478	0.000696	0.000839	0.000751	0.000577	0.000778	0.000369	0.000805	0.000942	0.000805	0.000641	0.000607	0.000709	0.000696	0.000641	0.000958	0.00045	0.000696
AASDH	0.081058	0.076102	0.135568	0.124177	0.158929	0.239633	0.204709	0.156098	0.168132	0.220944	0.45148	0.241993	0.207841	0.109198	0.098897	0.224531	0.080114	0.102531	0.178043	0.346465	1.0	0.163177	0.428885	0.073412	0.0	0.963841
ABCA12	0.002717	0.01175	0.000294	0.000454	0.000881	1.0	0.001273	0.000764	0.000881	0.002174	0.000587	0.000979	0.000668	0.000661	0.000999	0.001077	0.001762	0.001762	0.001273	0.000694	0.0007	0.0	0.000392	0.000646	0.005287	0.001028
ABCA8	0.121418	0.001147	0.268398	0.098837	0.176771	7.1e-05	0.191838	1.0	0.006724	0.000149	0.000891	0.00105	0.0	4.7e-05	0.000267	0.000854	0.000609	0.000365	0.000658	0.000294	0.000538	0.001147	0.000854	0.001558	0.001147	0.000414
ABCG1	0.00016	0.150054	0.001237	0.112613	0.106634	0.952366	0.0	6.4e-05	0.109667	0.093928	0.024404	0.018837	0.277354	0.272772	1.0	0.108231	0.050923	0.076863	0.118447	0.118055	0.297112	0.157238	0.038551	0.457697	0.247031	0.022907
ABCG2	0.005746	0.011952	0.020685	0.22524	0.019919	0.045048	0.110628	0.017468	0.073548	0.034384	0.011377	0.007968	1.0	0.3944	0.915487	0.548851	0.003371	0.0	0.017774	0.007438	0.014144	0.131467	0.011032	0.006068	0.011952	0.007814
ABHD15	0.023159	0.028217	0.053845	0.02162	0.295015	0.019315	0.034602	0.035285	0.028577	0.029782	0.024137	0.026419	0.05924	0.049259	0.083951	0.015179	0.144531	0.158694	1.0	0.058652	0.035065	0.130728	0.210578	0.0	0.002185	0.022822
ABI3BP	0.706329	0.006899	0.4982	0.322263	0.161302	0.024088	0.103954	0.543879	0.007424	0.000999	0.000678	0.000444	0.00086	0.000594	0.000459	0.00202	3.1e-05	0.002433	0.002921	0.0	0.001356	0.000594	0.000519	0.000549	0.001269	0.000931
ABP1	0.032661	0.058308	0.012275	0.020047	0.01096	0.024112	0.011837	0.025164	0.024989	0.028321	0.030359	0.026743	0.274242	0.282552	0.03253	0.127576	1.0	0.55502	0.018413	0.017417	0.020875	0.013591	0.018851	0.138799	0.060281	0.040552
ACACB	0.007158	0.0	0.003545	0.00221	1.0	0.002521	0.006122	0.008049	0.033898	0.025173	0.01077	0.0122	0.006311	0.00368	0.010318	0.006032	0.007698	0.007383	0.012875	0.018588	0.00802	0.007293	0.008598	0.010858	0.01256	0.002769
ACAP1	0.015871	0.015093	0.011202	0.004648	0.108105	0.016225	0.0	0.011358	0.105747	0.031054	0.090087	0.032356	0.030787	0.067589	0.036941	0.03245	0.400111	0.329927	0.45138	1.0	0.177446	0.839464	0.281582	0.290619	0.035186	0.063344
