gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
AADACL2	10.556001	10.653696	11.115556	11.888704	10.413529	61.074225	16.443025	10.962721	10.673289	10.614564	10.478169	10.310521	11.377129	11.614464	19.963024	11.478544	10.24	10.445824	10.6929	10.0489	10.208025
ABCA12	11.881809	11.9025	11.669056	10.182481	11.655396	74.770609	12.411529	11.256025	11.390625	11.519236	11.539609	11.410884	12.510369	13.060996	11.648569	11.648569	11.478544	11.478544	12.061729	11.397376	11.485321
ABCB1	28.398241	35.473936	18.113536	18.122049	15.776784	16.144324	21.013056	18.550249	19.123129	54.582544	18.974736	17.884441	21.855625	19.936225	29.724304	31.730689	30.448324	42.393121	29.844369	20.232004	17.089956
ABCB4	62.995969	18.983449	26.440164	18.6624	21.298225	16.120225	16.785409	21.270544	19.342404	16.540489	18.757561	17.614809	22.448644	17.935225	21.464689	18.601969	17.715681	19.210689	17.514225	23.970816	15.904144
ABCC13	16.1604	16.818201	17.214201	17.4724	15.015625	14.945956	16.386304	16.818201	16.711744	15.303744	18.267076	18.887716	20.958084	44.036496	14.326225	17.0569	16.507969	17.330569	15.476356	18.905104	16.040025
ACP5	64.786401	39.955041	108.638929	45.1584	28.998225	50.993881	42.837025	124.233316	67.535524	43.811161	44.023225	46.131264	35.093776	56.746089	45.387169	47.004736	47.375689	40.870449	36.517849	50.794129	29.877156
ACSL6	15.233409	15.256836	16.426809	18.105025	14.799409	15.194404	15.249025	16.597476	16.793604	17.205904	16.842816	16.096144	20.358144	26.245129	13.719616	25.3009	26.894596	24.750625	19.554084	17.943696	14.984641
ADAM28	62.758084	37.466641	22.905796	44.475561	18.378369	17.698849	18.619225	27.941796	31.741956	28.665316	30.3601	27.499536	29.041321	26.286129	20.151121	21.594609	19.166884	21.141604	24.324624	18.974736	17.522596
ADAMDEC1	19.598329	17.023876	27.615025	31.5844	13.024881	12.787776	12.201049	80.496784	41.589601	16.2409	16.467364	14.5924	14.311089	14.160169	13.053769	14.861025	15.241216	14.462809	13.6161	13.586596	11.957764
ADAMTS5	14.3641	14.318656	15.249025	18.7489	65.577604	13.890529	21.911761	15.452761	19.386409	15.0544	15.539364	14.753281	15.8404	18.215824	78.872161	14.730244	15.139881	16.200625	13.191424	17.089956	13.417569
