Cell Type	MSC	Bronchial_Epithelial_cells	Fibroblasts	Endothelial_cells	Adipocytes	Keratinocytes	Schwann_cells	Smooth_muscle_cells	CD34+	Platelets	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	Macrophage	M1(IFNg)	M2(IL-4)	M(IFNa)	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	T_cells_(gamma-delta)	NK_cells	Neutrophils	Neutrophils_LPS	B_cells
ACD	0.0	0.055126	0.114976	0.033747	0.065382	0.234346	0.010762	0.099657	0.039852	0.0	0.0	0.0	0.0	0.008239	0.0	0.0	0.064189	0.053472	0.005065	0.058298	0.054758	0.0	0.025445	0.0	0.055216	0.021472
ACN	0.0	0.041279	0.128992	0.041166	0.082835	0.326997	0.010987	0.082454	0.047672	0.0	0.027063	0.0	0.022016	0.0	0.000343	0.0	0.018775	0.051198	0.002108	0.013798	0.007371	0.0	0.032057	0.013121	0.047431	0.002338
ALO	0.0	0.066876	0.073843	0.027098	0.062448	0.354655	0.029865	0.074693	0.046911	0.0	0.0	0.012106	0.0	0.0	0.0	0.0	0.046869	0.017808	0.01848	0.016342	0.022607	0.0	0.020657	0.0	0.086308	0.022435
ATD	0.0	0.118526	0.078919	0.070249	0.042143	0.294461	0.0354	0.047572	0.052254	0.0	0.0	0.015624	0.0	0.0	0.0	0.0	0.01406	0.062873	0.00604	0.051024	0.054503	0.0	0.032455	0.0	0.023896	0.0
BCC	0.0	0.095201	0.05551	0.048688	0.01036	0.392353	0.032959	0.096905	0.087684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03178	0.031332	0.010775	0.02152	0.0	0.046066	0.0	0.031806	0.00706
BU	0.016519	0.103286	0.088653	0.063326	0.038461	0.299932	0.028696	0.054628	0.050212	0.0	0.045607	0.002938	0.006722	0.0	0.0	0.009823	0.0	0.030719	0.007323	0.003598	0.011006	0.0	0.022428	0.044577	0.071544	0.0
CHA	0.0	0.072674	0.031247	0.046566	0.063712	0.276931	0.0	0.035388	0.023544	0.015976	0.0	0.0	0.0	0.073999	0.0	0.001049	0.055497	0.096725	6e-05	0.023313	0.048233	0.0	0.012761	0.0	0.122325	0.0
DLE	0.0	0.031453	0.052566	0.027659	0.026695	0.356188	0.0	0.054979	0.019286	0.0	0.0	0.0	0.0	0.0	0.0	0.014748	0.047652	0.009721	0.0278	0.06425	0.047586	0.0	0.01453	0.0	0.149342	0.055545
ENL	0.012789	0.00441	0.104392	0.068704	0.039151	0.098612	0.001977	0.039954	0.051373	0.025648	0.01079	0.0	0.0	0.115419	0.010251	0.021289	0.058027	0.070975	0.031123	0.0104	0.05851	0.0	0.018636	0.0	0.131575	0.015995
ICD	0.0	0.073518	0.001327	0.012636	0.003877	0.603783	0.024285	0.006795	0.052746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082509	0.042905	0.0	0.03509	0.032498	0.0	0.023395	0.0	0.004639	0.0
LL	0.0	0.0	0.086231	0.011729	0.016489	0.070655	0.001682	0.034581	0.039558	0.030438	0.0	0.0	0.113376	0.111126	0.096505	0.0	0.030907	0.098323	0.051782	0.005749	0.0505	0.0	0.024615	0.0	0.072979	0.052775
