AGENE	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
ACE	0.0	0.000238	0.000893	0.002682	0.0	0.00304	0.0	0.000866	0.0
ACSL6	0.0	0.0	0.015887	0.01481	0.015508	0.01269	0.000243	0.015256	0.013141
ADAM22	0.0	0.000119	0.000536	0.000466	9.6e-05	0.000132	0.001092	0.001407	0.000921
ADAM23	0.0	0.000238	0.001339	0.002332	9.6e-05	0.00304	0.0	0.000216	0.0
ADAM28	0.002863	0.105772	0.000179	0.0	0.0	0.000132	0.009945	0.000108	0.0
ADAMTS6	0.0	0.00787	0.00116	0.000816	0.001532	0.001058	0.001577	0.007358	0.008035
ADAMTSL5	0.0	0.0	0.002678	0.002566	0.002776	0.002115	0.000121	0.001623	0.001256
AFF3	0.001636	0.113046	0.003302	0.002216	0.004882	0.002247	0.002183	0.000757	0.000335
AJAP1	0.0	0.0	0.000536	0.0	0.001053	0.000132	0.0	0.000325	0.000251
AKAP5	0.0	0.000119	0.0	0.000117	0.0	0.0	0.011765	0.000325	8.4e-05
AKR1C3	0.001227	0.000119	0.010353	0.005131	0.010435	0.008063	0.34154	0.002705	0.001004
ALDH3B1	0.034356	0.0	8.9e-05	0.0	0.0	0.000132	0.000243	0.000325	0.0
ALS2CL	0.000409	0.0	0.008301	0.005948	0.008999	0.007006	0.0	0.001515	0.00226
ANKRD31	0.0	0.000119	0.000446	0.000233	9.6e-05	0.000397	0.000364	0.001948	0.001172
ANKRD55	0.0	0.0	0.009818	0.003499	0.013689	0.005023	0.0	0.000541	0.001339
ANKRD7	0.0	0.000238	0.0	0.000117	0.000191	0.0	0.000121	0.000216	0.001172
ANKS1B	0.0	0.000119	0.002945	0.002566	0.0	0.003305	0.0	0.000216	0.0
APOBEC3A	0.074029	0.001073	0.000268	0.000583	0.000287	0.000132	0.001455	0.000757	0.000419
AQP3	0.001636	0.000358	0.359247	0.344956	0.141202	0.346861	0.005943	0.087968	0.093998
ARG1	0.0	0.0	0.001785	0.000117	0.000766	0.012161	0.0	0.000108	0.0
ARHGEF4	0.0	0.0	0.001785	0.001866	0.002489	0.001983	0.000121	0.003895	0.006696
ARMCX1	0.002454	0.000238	0.00125	0.00035	0.00268	0.000397	0.000485	0.006384	0.008454
ASB9	0.0	0.0	0.000803	0.000117	0.002202	0.000661	0.000121	0.00119	0.00159
ASGR1	0.222086	0.0	0.0	0.0	0.000287	0.000264	0.000121	0.000216	0.0
ATP8A2	0.0	0.0	0.00241	0.001633	0.002968	0.001322	0.00097	0.006925	0.012137
AURKB	0.0	0.0	0.001517	0.00035	0.000191	0.000397	0.000728	0.000974	8.4e-05
B3GNT3	0.0	0.0	0.001517	0.0007	0.00067	0.000397	0.0	0.0	0.000251
B3GNT9	0.0	0.000119	0.00241	0.006297	0.000479	0.003569	0.0	0.001407	8.4e-05
BACE2	0.0	0.051753	0.0	0.0	0.000191	0.0	0.000606	0.000757	0.000586
BAIAP3	0.0	0.00155	0.000982	0.002915	9.6e-05	0.004098	0.001941	0.00238	0.000167
BANK1	0.000818	0.295016	0.000179	0.0	0.0	0.0	0.001577	0.000108	0.0
BASP1	0.012679	0.059862	0.000803	0.0	9.6e-05	0.001322	0.000849	0.0	0.0
BCL11A	0.010634	0.065585	0.000982	0.0	0.001053	0.0	0.0	0.001082	0.001172
BCL2L14	0.0	0.0	0.000893	0.000816	0.000383	0.000264	0.0	0.000108	8.4e-05
BFSP2	0.0	0.002385	0.002856	0.001983	9.6e-05	0.002115	0.0	0.000216	0.000167
BLK	0.0	0.255783	0.003749	0.002566	0.001436	0.003437	0.000364	0.003354	0.001758
BST1	0.076074	0.000238	0.000625	0.000233	0.000287	0.000264	0.000243	0.000541	0.000167
BTK	0.033129	0.107441	0.000446	0.000117	0.0	0.0	0.000485	0.0	0.0
C10ORF35	0.0	0.000835	0.026062	0.024257	0.022975	0.023926	0.000849	0.014607	0.01741
C12ORF68	0.000409	0.00477	0.002588	0.004898	0.00067	0.010178	0.009945	0.011253	0.00067
C14ORF132	0.0	0.000477	0.002767	0.002915	0.004021	0.002247	0.0	0.000866	0.000837
C14ORF64	0.0	0.0	0.079525	0.050612	0.109037	0.047191	0.0	0.087643	0.100611
C15ORF53	0.0	0.0	0.001071	0.00105	0.0	0.000661	0.000121	0.000216	0.0
C1ORF21	0.0	0.0	0.000446	0.000466	0.00067	0.000661	0.358642	0.036789	0.000586
C2CD4D	0.0	0.000119	0.004016	0.005948	0.000191	0.003966	0.000485	0.000866	0.000251
C2ORF40	0.0	0.0	0.005623	0.006297	0.006318	0.003701	0.0	0.016663	0.017578
C5AR1	0.053579	0.000238	0.0	0.0	0.000191	0.0	0.0	0.000216	0.000167
C9ORF135	0.0	0.000119	0.006069	0.000816	0.007658	0.006081	0.000243	0.007899	0.012807
CA6	0.0	0.0	0.003481	0.000583	0.009477	0.001322	0.0	0.017853	0.030552
CACHD1	0.0	0.0	0.000179	0.0	0.000862	0.000132	0.0	0.00119	0.00067
CACNA1I	0.0	0.0	0.001874	0.005714	0.000574	0.001983	0.0	0.000866	0.000419
CALCB	0.0	0.0	0.000179	0.0	0.0	0.000397	0.000728	0.000866	8.4e-05
CALY	0.0	0.0	0.001607	0.001166	9.6e-05	0.001454	0.000121	0.000866	0.000251
CAMK2N1	0.0	0.000358	0.000446	0.002216	0.000287	0.000793	0.001819	0.00303	8.4e-05
CAMK4	0.0	0.0	0.101035	0.061691	0.112675	0.083146	0.000728	0.110799	0.080271
CARS	0.006953	0.015144	0.028115	0.027405	0.022784	0.028949	0.03772	0.21781	0.281493
CBX2	0.000818	0.0	0.000179	0.0	0.000479	0.0	0.0	0.001623	0.001088
CCL3	0.216769	0.013713	0.0	0.0	0.000191	0.0	0.521528	0.012119	8.4e-05
CCL4	0.002454	0.007632	0.001607	0.002566	0.000287	0.000529	0.891692	0.065354	0.000921
CCNA2	0.0	0.000238	0.001339	0.000117	0.000287	0.000264	0.000121	0.000325	0.000167
CCNB2	0.000818	0.000358	0.00241	0.000233	0.000191	0.000132	0.000849	0.001082	0.0
CCNE2	0.0	0.000238	0.000714	0.000117	0.0	0.000132	0.000728	0.000757	0.0
CCNI2	0.0	0.000119	0.002588	0.002566	0.000957	0.001983	0.0	0.00119	0.001925
CCR10	0.003681	0.001669	0.037754	0.034985	0.001244	0.03384	0.001577	0.003462	0.001004
CCR2	0.005726	0.0	0.005266	0.00688	0.0	0.00542	0.000606	0.000541	8.4e-05
CCR4	0.0	0.0	0.002588	0.003149	9.6e-05	0.005948	0.0	0.000866	0.0
CCR7	0.000409	0.123778	0.366298	0.116035	0.458357	0.185724	0.00376	0.247349	0.397338
CCR9	0.0	0.001073	0.00116	0.000933	0.0	0.001058	0.0	0.000216	8.4e-05
CD14	1.074847	0.0	0.001607	0.001749	0.001053	0.000925	0.0	0.000541	0.000586
CD19	0.001227	0.215836	0.000179	0.00035	0.000383	0.000132	0.0	0.000433	0.000167
CD22	0.01227	0.275578	8.9e-05	0.0	0.0	0.000132	0.000121	0.0	8.4e-05
CD248	0.0	0.000119	0.000714	0.0	0.002393	0.000132	0.0	0.012227	0.029631
CD28	0.0	0.0	0.056498	0.050029	0.036378	0.051157	0.000121	0.02586	0.019587
CD302	0.048262	0.000238	0.000446	0.000933	0.000191	0.000661	0.000485	0.000541	0.000502
CD33	0.078119	0.0	0.0	0.0	0.000191	0.000661	0.001092	0.000108	0.0
CD3D	0.0	0.000238	1.532131	1.8007	1.339077	1.297819	0.034688	1.98377	1.772663
CD3E	0.0	0.000119	1.631649	1.316501	1.628279	1.509848	0.081383	1.555832	1.535699
CD3G	0.0	0.0	0.277133	0.255394	0.237029	0.221414	0.02074	0.478684	0.224492
CD40LG	0.0	0.0	0.169761	0.132245	0.14149	0.115268	0.000364	0.003571	0.000921
CD5	0.0	0.000954	0.14593	0.11277	0.108463	0.128883	0.000243	0.083424	0.079518
