CD56NK	CD4MemoryT	CD19B	CD14
V1	0.53763	0	0.08974	0.37263
V2	0.12248	0.03088	0.01997	0.82667
V3	0.069	0.41828	0.00676	0.50595
V4	0.89482	0.06832	0.00043	0.03643
V5	0.15344	0.35564	0.18249	0.30843
V6	0.12493	0.80448	0.01732	0.05326
V7	0.15129	0.20026	0.0445	0.60395
V8	0.21724	9e-05	0.70317	0.0795
V9	0.2176	0.11586	0.01649	0.65005
V10	0.03114	0.00094	0.83521	0.13272
V11	0.3271	0.30461	0.35278	0.01551
V12	0.04962	0.57517	0.33665	0.03855
V13	0.37058	0.57753	0.00435	0.04754
V14	0.11302	0.8644	0.00551	0.01707
V15	0.16471	0.45413	0.08525	0.2959
V16	0.92002	0.01938	0.01241	0.04819
V17	0.14	0.79604	0.0111	0.05287
V18	0.66293	0.2376	0.02906	0.07041
V19	0.24081	0.72126	0.00471	0.03322
V20	0.18153	0.2779	0.01045	0.53013
V21	0.21855	0.02294	0.67846	0.08005
V22	0.01638	0.03332	0.09535	0.85495
V23	0.54449	0.01305	0.42825	0.01422
V24	0.9684	0.01247	0.01913	0
V25	0.36195	0.13025	0.07186	0.43594
V26	0.43229	0.24013	0.0111	0.31647
V27	0.07518	0.01636	0.00487	0.90359
V28	0.00092	0.01441	0.98467	0
V29	0.57986	0.0063	0.35061	0.06323
V30	0.10883	0.1147	0.15566	0.62082
V31	0.23133	0.10546	0.17529	0.48792
V32	0.05863	0.00436	0.00863	0.92837
V33	0.07323	0.41903	0.2917	0.21604
V34	0.21875	0.00906	0.69211	0.08008
V35	0.24394	0.62056	0.06516	0.07034
V36	0.00812	0.0087	0.27204	0.71114
V37	0.52301	0.02753	0.04966	0.3998
V38	0.39418	0	0.08472	0.5211
V39	0.224	0.42376	0.09217	0.26007
V40	0.16217	0.77415	0.06368	0
V41	0.01099	0.49347	0.02938	0.46616
V42	0.2019	0.00589	0.09811	0.69411
V43	0.21441	0.29081	0.41688	0.0779
V44	0.02417	0.03534	0.5858	0.35469
V45	0.1502	0.49244	0.16994	0.18742
V46	0.87695	0.03664	0.0753	0.01112
V47	0.56892	0.12273	0.21408	0.09427
V48	0.85076	0.10821	0.00383	0.03719
V49	0.75668	0.11495	1e-04	0.12827
V50	0.11429	0.79724	0.0719	0.01658
V51	0.43159	0.31146	0.18932	0.06763
V52	0.05011	0.07755	0.78408	0.08825
V53	0.83137	0.07294	0.09568	0
V54	0.56364	0.13187	0.25825	0.04624
V55	0.21795	0.05723	0.12808	0.59674
V56	0.03367	0.00058	0.03255	0.9332
V57	0.1573	0.79033	0.01803	0.03434
V58	0.57524	0	0.02114	0.40363
V59	0.54142	0.29161	0.07484	0.09213
V60	0.1471	0.07638	0.18861	0.58791
V61	0.81209	0.05634	0.00721	0.12436
V62	0.91995	0.01418	0.04246	0.02341
V63	0.0323	0.80609	0.10476	0.05685
V64	0.01466	0.7224	0	0.26294
V65	0.00876	0	0.0378	0.95343
V66	0.29704	0.55473	0.01447	0.13376
