CD56NK	CD4MemoryT	CD19B	CD14
V1	0.5385	0	0.15634	0.30516
V2	0.131	0.04504	0.03829	0.78566
V3	0.05274	0.56073	0.00866	0.37788
V4	0.89273	0.08222	0	0.02506
V5	0.11013	0.42222	0.26549	0.20215
V6	0.08041	0.8721	0.01919	0.02831
V7	0.13826	0.28857	0.07521	0.49796
V8	0.1339	0.00051	0.82623	0.03937
V9	0.22571	0.17077	0.02918	0.57434
V10	0.01497	0.00133	0.92033	0.06337
V11	0.22615	0.31206	0.45552	0.00628
V12	0.02434	0.56171	0.3966	0.01735
V13	0.29279	0.67577	0.00427	0.02717
V14	0.07199	0.91457	0.00537	0.00806
V15	0.12134	0.55564	0.12296	0.20005
V16	0.92804	0.02042	0.01733	0.03421
V17	0.09195	0.86851	0.0112	0.02835
V18	0.61336	0.30083	0.03941	0.0464
V19	0.1744	0.80336	0.00448	0.01775
V20	0.16316	0.39485	0.01494	0.42705
V21	0.13431	0.02039	0.80582	0.03948
V22	0.01341	0.04703	0.18273	0.75683
V23	0.40318	0.01345	0.57688	0.00649
V24	0.95906	0.01305	0.0279	0
V25	0.34851	0.17374	0.1245	0.35325
V26	0.40907	0.3277	0.01534	0.24789
V27	0.08257	0.02327	0.01094	0.88322
V28	0.00187	0.01508	0.98193	0.00112
V29	0.45786	0.00546	0.50014	0.03654
V30	0.09304	0.14699	0.27004	0.48993
V31	0.20222	0.12913	0.2945	0.37415
V32	0.06341	0.00541	0.02023	0.91095
V33	0.04235	0.4515	0.38116	0.12499
V34	0.13336	0.00855	0.81867	0.03942
V35	0.17678	0.70248	0.08151	0.03922
V36	0.0054	0.00966	0.45111	0.53383
V37	0.53927	0.03507	0.08804	0.33761
V38	0.40471	0	0.15422	0.44107
V39	0.1727	0.52015	0.13296	0.17419
V40	0.1065	0.81709	0.07642	0
V41	0.00621	0.62359	0.03922	0.33097
V42	0.2051	0.00616	0.18827	0.60046
V43	0.13708	0.29011	0.53325	0.03955
V44	0.0131	0.03327	0.74994	0.2037
V45	0.10071	0.55646	0.23086	0.11197
V46	0.83425	0.0421	0.11792	0.00573
V47	0.48267	0.13485	0.32378	0.05871
V48	0.83699	0.13382	0.00451	0.02467
V49	0.7578	0.14573	0	0.09647
V50	0.06982	0.83734	0.08578	0.00705
V51	0.34075	0.3544	0.26668	0.03817
V52	0.02365	0.06185	0.87379	0.04071
V53	0.76453	0.08636	0.14911	0
V54	0.45662	0.1392	0.37782	0.02636
V55	0.20589	0.07283	0.23138	0.48989
V56	0.03393	1e-04	0.06736	0.89861
V57	0.10452	0.85834	0.01937	0.01778
V58	0.61727	0	0.03483	0.3479
V59	0.46841	0.364	0.10842	0.05916
V60	0.12468	0.09234	0.32234	0.46065
V61	0.8282	0.06685	0.00956	0.09538
V62	0.90581	0.01435	0.0646	0.01524
V63	0.01603	0.83213	0.12364	0.02821
V64	0.0072	0.8285	0	0.1643
V65	0.00905	0	0.07888	0.91207
V66	0.23261	0.66623	0.01719	0.08397
V67	0.16385	0.28061	0.53882	0.01672
