CD56NK	CD4MemoryT	CD19B	CD14
V1	0.74267	0	0.25733	0
V2	0.31561	0	0.27526	0.40913
V3	0.25012	0.57464	0.17524	0
V4	1	0	0	0
V5	0.2256	0.41834	0.35605	0
V6	0.18123	0.67774	0.14103	0
V7	0.37449	0.35006	0.27544	0
V8	0.15881	0.11596	0.72523	0
V9	0.48054	0.20333	0.20669	0.10945
V10	0.04902	0.14544	0.80554	0
V11	0.26245	0.32398	0.41357	0
V12	0.1195	0.49483	0.38567	0
V13	0.34921	0.54372	0.10707	0
V14	0.18272	0.69516	0.12212	0
V15	0.2548	0.48554	0.25967	0
V16	1	0	0	0
V17	0.19188	0.67675	0.13137	0
V18	0.64973	0.25682	0.09345	0
V19	0.259	0.63583	0.10517	0
V20	0.39741	0.42141	0.18118	0
V21	0.16346	0.13829	0.69826	0
V22	0.12187	0.02727	0.51492	0.33595
V23	0.40266	0.06034	0.537	0
V24	1	0	0	0
V25	0.52819	0.19534	0.27647	0
V26	0.55394	0.31613	0.12993	0
V27	0.17224	0	0.24509	0.58266
V28	0.03367	0.167	0.79932	0
V29	0.46718	0.03376	0.49906	0
V30	0.26784	0.244	0.4804	0.00776
V31	0.35813	0.18927	0.4526	0
V32	0.10536	0	0.24055	0.6541
V33	0.14204	0.4477	0.41026	0
V34	0.15955	0.12743	0.71302	0
V35	0.25193	0.56528	0.18279	0
V36	0.10624	0.0621	0.74764	0.08402
V37	0.77905	0	0.22095	0
V38	0.631	0	0.31458	0.05443
V39	0.28424	0.46437	0.25138	0
V40	0.19912	0.63009	0.17079	0
V41	0.18744	0.59141	0.22115	0
V42	0.40715	0	0.4134	0.17944
V43	0.1888	0.31572	0.49549	0
V44	0.08526	0.16412	0.75062	0
V45	0.20266	0.49689	0.30045	0
V46	0.8704	0	0.1296	0
V47	0.49711	0.16055	0.34234	0
V48	0.91095	0.08421	0.00483	0
V49	0.87768	0.10681	0.01551	0
V50	0.17551	0.64156	0.18293	0
V51	0.3707	0.34054	0.28876	0
V52	0.07344	0.19484	0.73171	0
V53	0.78384	0.04777	0.1684	0
V54	0.45453	0.1702	0.37527	0
V55	0.40123	0.11116	0.44439	0.04322
V56	0.05581	0	0.3358	0.60839
V57	0.20224	0.6662	0.13155	0
V58	0.91642	0	0.08064	0.00294
V59	0.50764	0.32359	0.16878	0
V60	0.29915	0.16694	0.52947	0.00444
V61	0.97677	0	0.02323	0
V62	0.97926	0	0.02074	0
V63	0.12128	0.65403	0.2247	0
V64	0.13208	0.71209	0.15584	0
V65	0	0	0.35038	0.64962
V66	0.31716	0.55011	0.13273	0
V67	0.20738	0.30717	0.48545	0
V68	0.36672	0.05913	0.23384	0.34032
V69	0.08381	0.32035	0.59585	0
V70	0.63108	0.10612	0.2628	0
V71	0.32596	0.0947	0.5672	0.01214
V72	0.72674	0.08667	0.18659	0
V73	0.26086	0.49691	0.24223	0
V74	0.11174	0.24091	0.64735	0
V75	0.78953	0	0.21047	0
V76	0.12233	0.14384	0.46695	0.26688
V77	0.20948	0.25267	0.25043	0.28743
V78	0.51818	0.08058	0.38083	0.02041
V79	0.05994	0.19178	0.74829	0
V80	0.40772	0.02748	0.56481	0
V81	0.10787	0.2039	0.68823	0
V82	0.0339	0.17681	0.78929	0
V83	0.33168	0.13631	0.28576	0.24625
V84	0.62041	0	0.33619	0.0434
V85	0.21024	0.30933	0.48042	0
V86	0.07834	0.16646	0.75519	0
V87	0.15714	0.6603	0.18256	0
V88	0.35578	0.03467	0.48785	0.12169
V89	0.07053	0	0.50481	0.42465
V90	0.13215	0.69915	0.1687	0
V91	0.1454	0.58106	0.27353	0
V92	0.53083	0.01321	0.45597	0
V93	1	0	0	0
