CD56NK	CD4MemoryT	CD19B	CD14
V1	0.55868	0	0.13684	0.30448
V2	0.13832	0.04075	0.03137	0.78956
V3	0.0586	0.55476	0.00589	0.38075
V4	0.89983	0.07689	0	0.02329
V5	0.12088	0.42841	0.24275	0.20796
V6	0.08836	0.87034	0.01507	0.02624
V7	0.14753	0.28321	0.06324	0.50602
V8	0.14746	0	0.8118	0.04074
V9	0.23708	0.16521	0.02307	0.57465
V10	0.01644	0.00162	0.91522	0.06673
V11	0.24638	0.31729	0.43113	0.0052
V12	0.02889	0.58074	0.37505	0.01533
V13	0.3078	0.66459	0.00269	0.02492
V14	0.07933	0.91037	0.00379	0.00651
V15	0.13182	0.55793	0.10665	0.20361
V16	0.93568	0.01784	0.01415	0.03232
V17	0.10033	0.86511	0.00835	0.02621
V18	0.63449	0.28883	0.03224	0.04444
V19	0.18682	0.79475	0.00275	0.01568
V20	0.1727	0.38656	0.01111	0.42963
V21	0.14799	0.01977	0.79197	0.04027
V22	0.01747	0.04351	0.16394	0.77508
V23	0.43547	0.01224	0.54623	0.00606
V24	0.96323	0.01281	0.02353	0.00044
V25	0.36763	0.16887	0.10655	0.35694
V26	0.4254	0.31749	0.01168	0.24542
V27	0.08826	0.02046	0.00791	0.88336
V28	0.00168	0.01926	0.97803	0.00102
V29	0.49327	0.0044	0.46647	0.03585
V30	0.10132	0.14591	0.2463	0.50648
V31	0.21719	0.12771	0.26937	0.38573
V32	0.06803	0.00373	0.01577	0.91247
V33	0.04817	0.46422	0.35876	0.12885
V34	0.14696	0.00767	0.80522	0.04015
V35	0.1889	0.70459	0.06922	0.03729
V36	0.00827	0.00836	0.42369	0.55968
V37	0.55854	0.03208	0.07326	0.33612
V38	0.42158	0	0.13571	0.44271
V39	0.18617	0.52213	0.11541	0.17628
V40	0.11584	0.81695	0.06721	0
V41	0.01108	0.62085	0.03228	0.33579
V42	0.21825	0.00438	0.16804	0.60933
V43	0.1512	0.29887	0.51089	0.03904
V44	0.01508	0.03307	0.7345	0.21736
V45	0.11056	0.56459	0.21164	0.1132
V46	0.85323	0.03868	0.10277	0.00532
V47	0.51426	0.13223	0.29608	0.05743
V48	0.84816	0.12581	0.00334	0.0227
V49	0.77021	0.13742	0	0.09237
V50	0.07755	0.84171	0.07517	0.00558
V51	0.36465	0.35457	0.24426	0.03652
V52	0.02622	0.06498	0.86682	0.04197
V53	0.78466	0.08282	0.13252	0
V54	0.48908	0.13862	0.34755	0.02475
V55	0.21993	0.07024	0.2082	0.50163
V56	0.03849	0	0.0567	0.90481
V57	0.11378	0.85541	0.01525	0.01557
