CD56NK	CD4MemoryT	CD19B	CD14
V1	0.56259	0.01324	0.12795	0.29621
V2	0.14265	0.0406	0.02951	0.78724
V3	0.06055	0.55922	0.00774	0.37249
V4	0.87243	0.10072	0.00201	0.02483
V5	0.12491	0.44016	0.22946	0.20548
V6	0.08855	0.86544	0.01682	0.02919
V7	0.15208	0.28789	0.05993	0.5001
V8	0.15066	0.04098	0.76512	0.04323
V9	0.24349	0.16673	0.02205	0.56773
V10	0.02086	0.04475	0.86625	0.06814
V11	0.24723	0.33962	0.40335	0.0098
V12	0.03255	0.59558	0.35208	0.0198
V13	0.30093	0.66551	0.00591	0.02765
V14	0.07917	0.90305	0.00711	0.01067
V15	0.13437	0.5665	0.09989	0.19924
V16	0.90913	0.04318	0.0145	0.03319
V17	0.10002	0.85985	0.01102	0.0291
V18	0.62092	0.30226	0.03127	0.04555
V19	0.18302	0.79181	0.00609	0.01908
V20	0.17645	0.39002	0.0121	0.42143
V21	0.15129	0.06007	0.74569	0.04295
V22	0.01799	0.04603	0.1593	0.77668
V23	0.43209	0.04707	0.51119	0.00965
V24	0.92979	0.04353	0.02318	0.0035
V25	0.37457	0.17576	0.09981	0.34986
V26	0.42609	0.32289	0.0128	0.23823
V27	0.09049	0.01907	0.00759	0.88285
V28	0.00641	0.06633	0.92151	0.00576
V29	0.49002	0.03781	0.43442	0.03775
V30	0.10571	0.15526	0.23623	0.50279
V31	0.22408	0.13888	0.25614	0.3809
V32	0.06957	0.00241	0.01493	0.91309
V33	0.05206	0.48088	0.33819	0.12887
V34	0.15025	0.04867	0.75832	0.04276
V35	0.18782	0.70731	0.06502	0.03985
V36	0.0098	0.02278	0.40984	0.55758
V37	0.56179	0.04417	0.06765	0.32639
V38	0.4308	0.00601	0.12817	0.43502
V39	0.1886	0.53058	0.10777	0.17304
V40	0.11527	0.8168	0.06392	0.00401
V41	0.01295	0.62676	0.03201	0.32828
V42	0.22491	0.01151	0.16057	0.60301
V43	0.15478	0.3235	0.47933	0.04239
V44	0.01899	0.06408	0.70163	0.2153
V45	0.11327	0.57598	0.19801	0.11273
V46	0.83245	0.06402	0.09527	0.00826
V47	0.51267	0.15315	0.27554	0.05865
V48	0.82347	0.14669	0.00536	0.02447
V49	0.75457	0.15366	0.00151	0.09026
V50	0.0785	0.84031	0.07109	0.0101
V51	0.36351	0.36909	0.22818	0.03922
V52	0.03086	0.10354	0.82062	0.04499
V53	0.76586	0.10706	0.1236	0.00348
V54	0.48589	0.16194	0.32447	0.0277
V55	0.22697	0.07833	0.19852	0.49618
V56	0.03902	0	0.05482	0.90616
V57	0.11299	0.85074	0.01701	0.01926
V58	0.63199	0.01012	0.0265	0.33138
V59	0.4881	0.36854	0.08563	0.05773
V60	0.14102	0.10125	0.28329	0.47444
V61	0.82235	0.08	0.00863	0.08902
V62	0.89385	0.03967	0.0505	0.01598
V63	0.02416	0.84224	0.10386	0.02973
V64	0.01468	0.82275	0.00146	0.1611
V65	0.01288	0	0.06651	0.92061
V66	0.24369	0.65925	0.01524	0.08182
V67	0.18343	0.31423	0.483	0.01935
V68	0.15391	0.08675	0.01088	0.74846
V69	0.0309	0.29767	0.60417	0.06725
V70	0.59671	0.11174	0.14771	0.14384
V71	0.17475	0.04324	0.32234	0.45967
V72	0.6195	0.11344	0.07032	0.19674
V73	0.17532	0.59545	0.11886	0.11036
V74	0.06806	0.22178	0.70527	0.00488
V75	0.72926	0.02073	0.15034	0.09966
V76	0.00446	0.1112	0.14358	0.74076
V77	0.03666	0.21904	0.00182	0.74248
V78	0.3249	0.07011	0.14736	0.45763
V79	0.01103	0.08906	0.78342	0.11649
V80	0.39565	0.02978	0.47168	0.10289
V81	0.06717	0.15506	0.7662	0.01156
V82	0.00523	0.0802	0.90152	0.01305
V83	0.13308	0.11493	0.04973	0.70226
V84	0.40795	0.02604	0.12352	0.44249
V85	0.12539	0.27603	0.37714	0.22144
V86	0.05287	0.05899	0.83261	0.05553
V87	0.04197	0.82919	0.04302	0.08582
V88	0.1693	0.03071	0.21999	0.57999
V89	0.01874	0.00044	0.15707	0.82375
V90	0.03403	0.90076	0.04524	0.01998
V91	0.04202	0.74655	0.16967	0.04176
V92	0.4969	0.02725	0.32164	0.15421
V93	0.87112	0.02454	0.00131	0.10303
V94	0.01936	0.37177	0.01175	0.59712
V95	0.2963	0.38791	0.13278	0.183
V96	0.06719	0.04997	0.01227	0.87056
V97	0.73385	0.08675	0.17089	0.0085
V98	0.71475	0.26633	0.00213	0.01679
V99	0.82761	0.04684	0.11727	0.00828
V100	0.0899	0.04883	0.82908	0.03219
V101	0.01617	0.00968	0.00152	0.97263
V102	0.92233	0.05491	0.00601	0.01676
V103	0.01224	0.01481	0.06297	0.90998
V104	0.03589	0.94612	0.00712	0.01087
V105	0.06761	0.90976	0.01213	0.01051
V106	0.13989	0.50571	0.30079	0.05361
V107	0.2247	0.17568	0.5349	0.06472
V108	0.17629	0.74016	0.07949	0.00406
V109	0.01886	0.12384	0.55553	0.30176
V110	0.06581	0.87474	0.02994	0.02951
V111	0.91414	0.02489	0.05224	0.00874
V112	0.13713	0.03949	0.37352	0.44986
V113	0.19634	0.05893	0.13802	0.60671
V114	0.24324	0.01885	0.05483	0.68308
V115	0.015	0.76639	0.20804	0.01058
V116	0.16375	0.27296	0.34385	0.21944
V117	0.71809	0.21295	0.02467	0.04429
V118	0.18156	0.52708	0.0251	0.26626
V119	0.10987	0.03545	0.03047	0.82422
V120	0.08992	0.07463	0.81393	0.02151
V121	0.63521	0.08928	0.06966	0.20585
V122	0.94418	0.02851	0.01059	0.01672
V123	0.01182	0.44595	0.03068	0.51155
V124	0.68842	0.24646	0.00164	0.06347
V125	0.44306	0.38071	0.1488	0.02743
V126	0.03628	0.09102	0.03093	0.84177
V127	0.16731	0.02428	0.20899	0.59942
V128	0.02831	0	0.07852	0.89317
V129	0.63716	0.19425	0.13232	0.03628
V130	0.01418	0.66965	0.3056	0.01057
V131	0.03278	0.8717	0.00179	0.09373
V132	0.92959	0.0265	0.01965	0.02425
V133	0.91531	0.03092	0.03753	0.01624
V134	0.119	0.3288	0.10503	0.44716
V135	0.07492	0.00445	0.13816	0.78247
V136	0.26146	0.33135	0.00709	0.40009
V137	0.69161	0.03724	0.19767	0.07347
V138	0.24355	0.35278	0.152	0.25167
V139	0.39378	0.15395	0.16217	0.2901
V140	0.02791	0.04451	0.03252	0.89506
V141	0.07191	0.11963	0.5065	0.30197
V142	0.80528	0.02728	0.16395	0.00349
V143	0.47012	0.20316	0.0501	0.27662
V144	0.17367	0.09884	0.13271	0.59478
V145	0.00799	0.77395	0.20748	0.01057
V146	0.05049	0	0.01587	0.93363
V147	0.91226	0.0323	0.01431	0.04113
V148	0.14503	0.05797	0.5308	0.2662
V149	0.30264	0.49534	0.19265	0.00938
V150	0.10258	0.22083	0.57072	0.10587
V151	0.23421	0.58674	0.02587	0.15319
V152	0.27394	0.40998	0.19363	0.12245
V153	0.12037	0.7235	0.01517	0.14096
V154	0.28677	0.43142	0.24179	0.04002
V155	0.53401	0.11013	0.24234	0.11353
V156	0.03921	0.11703	0.67464	0.16912
V157	0.34445	0.11459	0.27153	0.26943
V158	0.01588	0	0.0125	0.97162
V159	0.88706	0.06026	0.00187	0.0508
V160	0.69243	0.01388	0.04454	0.24914
V161	0.20537	0	0.01765	0.77698
V162	0.06876	0.23055	0.05888	0.64181
V163	0.11053	0.44871	0.14533	0.29544
V164	0.37835	0.25014	0.08348	0.28803
V165	0.01238	0.20258	0	0.78504
V166	0.01187	0.05294	0.04693	0.88827
V167	0.33955	0	0.0021	0.65835
V168	0.32642	0.5398	0.06232	0.07147
V169	0.1866	0.02371	0.02272	0.76698
V170	0.1131	0.02243	0.45721	0.40726
V171	0.154	0.22563	0.56572	0.05465
V172	0.74674	0.02644	0.21826	0.00857
V173	0.0282	0.09319	0.02436	0.85425
V174	0.01917	0.1094	0.05195	0.81948
V175	0.0718	0.03367	0.73382	0.1607
V176	0.01507	0.82352	0.15102	0.01039
V177	0.01682	0.95991	0.00239	0.02088
V178	0.01378	0.72526	0.00421	0.25676
V179	0.168	0.01142	0.32	0.50058
V180	0.03703	0.8922	0.06662	0.00416
V181	0.18997	0.10503	0.50155	0.20346
V182	0.35318	0.15156	0.42107	0.07419
V183	0.20584	0.77792	0.00634	0.00989
V184	0.95796	0.03	0.00852	0.00352
V185	0.60168	0.37907	0.01057	0.00868
V186	0.13782	0.45609	0.24063	0.16546
V187	0.94085	0.02949	0.02076	0.0089
V188	0.05765	0.17292	0	0.76942
V189	0.80879	0.02561	0.01217	0.15343
V190	0.69679	0.03091	0.2636	0.00869
V191	0.22434	0.18821	0.53396	0.05349
V192	0.33672	0.41276	0.03786	0.21266
V193	0.6387	0.03298	0.19115	0.13717
V194	0.04549	0.91805	0.00641	0.03005
V195	0.01281	0.05935	0.91462	0.01322
V196	0.01379	0.03721	0.00442	0.94458
V197	0.41098	0.02589	0.0158	0.54734
V198	0.07627	0.4993	0.34612	0.0783
V199	0.16518	0.0089	0.13525	0.69068
V200	0.14046	0.50856	0.01266	0.33832
V201	0.11224	0.52957	0.16784	0.19034
V202	0.01851	0.03515	0.72318	0.22315
V203	0.19621	0.41404	0.35999	0.02976
V204	0.01199	0.46886	0.00236	0.51679
V205	0.02171	0.07422	0.88135	0.02272
V206	0.05571	0.10203	0.8302	0.01205
V207	0.13295	0.13103	0.03614	0.69988
V208	0.2941	0.06926	0.61739	0.01925
V209	0.33962	0.41813	0.05305	0.1892
V210	0.10032	0.76144	0.07557	0.06267
V211	0.41413	0.00677	0.02138	0.55772
V212	0.56087	0.0458	0.36676	0.02657
V213	0.65284	0.02613	0.08177	0.23925
V214	0.35694	0.11221	0.13212	0.39872
V215	0.29063	0.05405	0.01052	0.6448
V216	0.0334	0	0.01164	0.95495
V217	0.05035	0.45548	0.2079	0.28627
V218	0.11013	0.39792	0.14398	0.34797
V219	0.11783	0.5869	0.00827	0.287
V220	0.01419	0.79492	0.00467	0.18622
V221	0.79068	0.01742	0.00364	0.18826
V222	0.35821	0.10112	0.32261	0.21806
V223	0.01132	0.1271	0.75619	0.10539
V224	0.94937	0.02884	0.01831	0.00348
V225	0.06741	0.87676	0.0456	0.01023
V226	0.35721	0.08073	0.54345	0.01861
V227	0.80613	0.02522	0.15278	0.01586
V228	0.79801	0.05558	0.04698	0.09943
V229	0.02127	0.05358	0.89109	0.03406
V230	0.01484	0.00857	0.01169	0.96491
V231	0.01883	0.21214	0.08457	0.68447
V232	0.04996	0.59692	0.00012	0.353
V233	0.61015	0.06692	0.15984	0.16309
V234	0.04524	0.91079	0.02409	0.01987
V235	0.42928	0.06173	0.47013	0.03886
V236	0.05106	0.07259	0.77261	0.10375
V237	0.15325	0	0.01866	0.82809
V238	0.15143	0.54644	0.23819	0.06394
V239	0.0683	0.33182	0.01137	0.58851
V240	0.53856	0.04324	0.36149	0.05671
V241	0.02026	0.04268	0.84602	0.09105
V242	0.15113	0.75319	0.077	0.01869
V243	0.27706	0.0486	0.5774	0.09694
V244	0.23352	0.03216	0.62715	0.10717
V245	0.64746	0.25065	0.03633	0.06556
V246	0.0659	0.14676	0.75526	0.03208
V247	0.1954	0.04998	0.74975	0.00487
V248	0.02107	0.00964	0.02836	0.94093
V249	0.00482	0.05899	0.84418	0.09201
V250	0.78861	0.02593	0.177	0.00846
