CD56NK	CD4MemoryT	CD19B	CD14
V1	0.7326	0	0.13359	0.13381
V2	0.22862	0.0287	0.0738	0.66888
V3	0.12371	0.73117	0	0.14512
V4	1	0	0	0
V5	0.20863	0.52353	0.24861	0.01922
V6	0.13483	0.86517	0	0
V7	0.24968	0.41816	0.06584	0.26632
V8	0.21735	0	0.78265	0
V9	0.37894	0.24596	0.00804	0.36707
V10	0.09244	0.00287	0.90469	0
V11	0.29784	0.33605	0.36611	0
V12	0.07883	0.60393	0.31724	0
V13	0.34029	0.65971	0	0
V14	0.11545	0.88455	0	0
V15	0.21895	0.66497	0.09788	0.0182
V16	1	0	0	0
V17	0.14561	0.85439	0	0
V18	0.69959	0.30041	0	0
V19	0.22248	0.77752	0	0
V20	0.27756	0.52713	0	0.19531
V21	0.22479	0.02302	0.75219	0
V22	0.02502	0.04176	0.30952	0.6237
V23	0.4843	0	0.5157	0
V24	1	0	0	0
V25	0.50843	0.23103	0.11911	0.14143
V26	0.54015	0.39483	0	0.06501
V27	0.11178	0	0.03728	0.85094
V28	0.06729	0.02007	0.91265	0
V29	0.54895	0	0.45105	0
V30	0.18499	0.2286	0.32647	0.25993
V31	0.33116	0.18205	0.3315	0.15529
V32	0.05284	0	0.04605	0.9011
V33	0.11619	0.53946	0.34435	0
V34	0.22603	0.00242	0.77156	0
V35	0.24006	0.73915	0.02079	0
V36	0.02583	0	0.63592	0.33825
V37	0.76312	0	0.0703	0.16658
V38	0.58677	0	0.15898	0.25425
V39	0.26949	0.6211	0.10297	0.00644
V40	0.16269	0.83171	0.0056	0
V41	0.06262	0.81182	0.0125	0.11306
V42	0.33747	0	0.24629	0.41624
V43	0.21032	0.33345	0.45624	0
V44	0.09419	0.05859	0.81533	0.03189
V45	0.18185	0.63259	0.18556	0
V46	0.96885	0	0.03115	0
V47	0.58029	0.14385	0.27585	0
V48	0.95232	0.04768	0	0
V49	0.90727	0.09273	0	0
V50	0.1297	0.85251	0.01778	0
V51	0.41675	0.38522	0.19803	0
V52	0.10338	0.0926	0.80402	0
V53	0.90196	0.02523	0.07281	0
V54	0.54054	0.14514	0.31433	0
V55	0.34778	0.08986	0.28433	0.27802
V56	0	0	0.13005	0.86995
V57	0.1581	0.8419	0	0
V58	0.82428	0	0	0.17572
V59	0.55511	0.39834	0.04655	0
V60	0.23812	0.13357	0.39128	0.23703
V61	1	0	0	0
V62	1	0	0	0
V63	0.07437	0.86175	0.06389	0
V64	0.05817	0.94183	0	0
V65	0	0	0.12725	0.87275
V66	0.30074	0.69926	0	0
V67	0.22988	0.31686	0.45326	0
V68	0.25301	0.11888	0.01642	0.61168
V69	0.08035	0.32161	0.59804	0
V70	0.72327	0.09721	0.15865	0.02087
V71	0.28581	0.0175	0.45929	0.23741
V72	0.77306	0.10457	0.0592	0.06317
V73	0.24707	0.65397	0.09897	0
V74	0.12701	0.20017	0.67281	0
V75	0.87315	0	0.12685	0
V76	0	0.1725	0.26048	0.56702
V77	0.05931	0.35113	0	0.58956
V78	0.47908	0.06059	0.21075	0.24958
V79	0.08129	0.0893	0.82941	0
V80	0.4742	0	0.5258	0
V81	0.13083	0.13701	0.73216	0
V82	0.06492	0.05108	0.884	0
V83	0.22993	0.1746	0.08329	0.51218
V84	0.5751	0	0.16724	0.25765
V85	0.20648	0.33987	0.41927	0.03439
V86	0.1271	0.02901	0.84389	0
V87	0.10339	0.88965	0.00696	0
V88	0.28413	0	0.34577	0.3701
V89	0	0	0.29806	0.70194
V90	0.08206	0.91794	0	0
V91	0.09962	0.76474	0.13564	0
V92	0.60504	0	0.38	0.01496
V93	1	0	0	0
V94	0.04722	0.57331	0	0.37947
V95	0.38186	0.46608	0.13371	0.01836
V96	0.09569	0.05986	0.05339	0.79107
V97	0.84953	0.01081	0.13966	0
V98	0.81088	0.18912	0	0
V99	0.95006	0	0.04994	0
V100	0.16454	0.00502	0.83044	0
V101	0	0	0	1
V102	1	0	0	0
V103	0	0	0.14985	0.85015
V104	0.06863	0.93137	0	0
V105	0.10544	0.89456	0	0
V106	0.20003	0.52631	0.27366	0
V107	0.27912	0.18356	0.53732	0
V108	0.22569	0.75516	0.01914	0
V109	0.07259	0.16751	0.6711	0.0888
V110	0.1164	0.8836	0	0
V111	1	0	0	0
V112	0.23771	0.01108	0.52505	0.22617
V113	0.31581	0.06285	0.22273	0.39861
V114	0.37381	0	0.08339	0.54281
V115	0.059	0.77744	0.16356	0
V116	0.24768	0.33384	0.38497	0.03351
V117	0.81737	0.18263	0	0
V118	0.26936	0.65707	0	0.07357
V119	0.17208	0.02064	0.08452	0.72277
V120	0.15998	0.04356	0.79646	0
V121	0.80103	0.06581	0.06069	0.07248
V122	1	0	0	0
V123	0.04091	0.65638	0.02131	0.28141
V124	0.79187	0.20813	0	0
V125	0.49883	0.39292	0.10825	0
V126	0.04747	0.14233	0.08691	0.72329
V127	0.27662	0	0.32854	0.39484
V128	0	0	0.16889	0.83111
V129	0.71787	0.18177	0.10035	0
V130	0.05507	0.67494	0.26999	0
V131	0.07702	0.92298	0	0
V132	1	0	0	0
V133	1	0	0	0
V134	0.20052	0.46445	0.12915	0.20588
V135	0.10045	0	0.2575	0.64205
V136	0.37429	0.44268	0	0.18303
V137	0.80951	0	0.19049	0
V138	0.33177	0.44492	0.16382	0.05949
V139	0.51358	0.18898	0.19779	0.09966
V140	0.01475	0.05268	0.10294	0.82964
V141	0.14513	0.15586	0.6078	0.09121
V142	0.91593	0	0.08407	0
V143	0.60999	0.25378	0.03526	0.10098
V144	0.28321	0.13644	0.20662	0.37374
V145	0.04695	0.78856	0.16449	0
V146	0.00311	0	0.0496	0.94729
V147	1	0	0	0
V148	0.23768	0.04707	0.63943	0.07581
V149	0.35435	0.50148	0.14417	0
V150	0.16752	0.25046	0.58202	0
V151	0.31494	0.68506	0	0
V152	0.34881	0.46393	0.18726	0
V153	0.19238	0.80762	0	0
V154	0.34183	0.44943	0.20874	0
V155	0.62919	0.10189	0.26892	0
V156	0.11613	0.14188	0.74199	0
V157	0.45715	0.13168	0.33326	0.07791
V158	0	0	0.01653	0.98347
V159	1	0	0	0
V160	0.88755	0	0	0.11245
V161	0.28635	0	0.00826	0.70538
V162	0.12761	0.36475	0.08994	0.4177
V163	0.18598	0.56351	0.16728	0.08324
V164	0.49824	0.32113	0.0847	0.09593
V165	0	0.32772	0	0.67228
V166	0	0.06145	0.13134	0.80721
V167	0.46232	0	0	0.53768
V168	0.39123	0.58829	0.02048	0
V169	0.28445	0	0.04733	0.66822
V170	0.19407	0	0.6184	0.18752
V171	0.21154	0.23847	0.54999	0
V172	0.83514	0	0.16486	0
V173	0.03015	0.14492	0.07843	0.74651
V174	0.01778	0.1759	0.12288	0.68345
V175	0.16214	0	0.83786	0
V176	0.0567	0.83693	0.10638	0
V177	0.04612	0.95388	0	0
V178	0.04939	0.89391	0	0.05669
V179	0.25469	0	0.46032	0.285
V180	0.07927	0.91341	0.00732	0
V181	0.2773	0.11785	0.57721	0.02763
V182	0.41963	0.15346	0.4269	0
V183	0.24113	0.75887	0	0
V184	1	0	0	0
V185	0.67073	0.32927	0	0
V186	0.22261	0.52773	0.24966	0
V187	1	0	0	0
V188	0.08848	0.27057	0	0.64095
V189	0.97155	0	0	0.02845
V190	0.77373	0	0.22627	0
V191	0.27421	0.19622	0.52957	0
V192	0.43645	0.50828	0.0103	0.04497
V193	0.77937	0	0.2057	0.01493
V194	0.08385	0.91615	0	0
V195	0.0778	0.02059	0.90161	0
V196	0	0.00272	0.04553	0.95175
V197	0.60162	0	0	0.39838
V198	0.13774	0.52882	0.33344	0
V199	0.25019	0	0.22722	0.52259
V200	0.22805	0.64933	0	0.12262
V201	0.19136	0.6214	0.17666	0.01057
V202	0.09615	0.00136	0.86236	0.04012
V203	0.24646	0.42769	0.32585	0
V204	0.03283	0.67593	0	0.29125
V205	0.08774	0.04977	0.86249	0
V206	0.12318	0.07921	0.79761	0
V207	0.23064	0.20315	0.05428	0.51193
V208	0.35354	0.02081	0.62565	0
V209	0.43601	0.50584	0.02854	0.02961
V210	0.16399	0.79505	0.04096	0
V211	0.58895	0	0	0.41105
V212	0.62569	0	0.37431	0
V213	0.83553	0	0.06298	0.10149
V214	0.50296	0.13412	0.17454	0.18838
V215	0.46863	0.03026	0	0.50111
V216	0	0	0.02345	0.97655
V217	0.1195	0.57053	0.23972	0.07024
V218	0.18839	0.51844	0.17304	0.12012
V219	0.19207	0.72442	0	0.08352
V220	0.06122	0.93637	0	0.00241
V221	0.95344	0	0	0.04656
V222	0.46283	0.10976	0.3867	0.04071
V223	0.07738	0.14206	0.78056	0
V224	1	0	0	0
V225	0.1172	0.8828	0	0
V226	0.41603	0.03058	0.55339	0
V227	0.91591	0	0.08409	0
V228	0.98989	0	0	0.01011
V229	0.09037	0.01766	0.89197	0
V230	0	0	0.03002	0.96998
V231	0.03722	0.34831	0.1386	0.47588
V232	0.10812	0.7627	0	0.12918
V233	0.761	0.01844	0.18418	0.03637
V234	0.08762	0.91238	0	0
V235	0.49845	0.00639	0.49515	0
V236	0.13224	0.0598	0.80796	0
V237	0.19843	0	0.03231	0.76926
V238	0.21601	0.57472	0.20927	0
V239	0.12581	0.50776	0	0.36643
V240	0.6156	0	0.3844	0
V241	0.09483	0.00235	0.90282	0
V242	0.20214	0.76942	0.02844	0
V243	0.36822	0.00085	0.63093	0
V244	0.31392	0	0.68608	0
V245	0.74063	0.25937	0	0
V246	0.1349	0.1396	0.7255	0
V247	0.24882	0	0.75118	0
V248	0	0	0.0835	0.9165
V249	0.0672	0.03927	0.89353	0
V250	0.88877	0	0.11123	0
V251	1	0	0	0
V252	0.05705	0.86042	0.08254	0
V253	0.55294	0	0.18522	0.26185
V254	0.05551	0.94449	0	0
V255	0.09574	0.90426	0	0
V256	0.27725	0.21469	0.50806	0
V257	0.60203	0.04438	0.24643	0.10716
V258	0.28833	0.2768	0.43139	0.00349
V259	0.09162	0.30592	0.60247	0
V260	0.04766	0.28789	0.66444	0
V261	0.79762	0	0.16182	0.04055
V262	0.12151	0	0.0401	0.83838
V263	0.06019	0.93981	0	0
V264	0.27759	0	0.51262	0.20979
V265	0	0	0.20616	0.79384
V266	0.75714	0.24286	0	0
V267	0.00861	0.19482	0.38526	0.41131
V268	0.55457	0	0.13474	0.31069
V269	0.0565	0.59042	0.35308	0
V270	0.8037	0	0.1963	0
V271	0.99452	0	0	0.00548
V272	0.12275	0.87725	0	0
V273	0.01248	0	0.06721	0.92031
V274	0.86957	0	0.12546	0.00498
V275	0.06685	0.0217	0.91145	0
V276	0.6575	0.31412	0	0.02838
V277	0.07248	0.23786	0.20967	0.47999
V278	0.06874	0.00035	0.41417	0.51675
V279	0.89024	0	0.06995	0.03981
V280	0	0	0.01653	0.98347
V281	0.74121	0	0.11023	0.14857
V282	0.14344	0.05597	0.80059	0
V283	0.31356	0.64439	0.02313	0.01891
V284	0.07981	0.92019	0	0
V285	0.14407	0	0.85593	0
V286	0.35192	0.5817	0.06638	0
V287	0.15655	0.84345	0	0
V288	0.07454	0.32182	0.48405	0.11958
V289	0.39971	0.20575	0.39454	0
V290	0.97427	0.02573	0	0
V291	0.61353	0	0.38647	0
V292	1	0	0	0
V293	0.39319	0	0.60681	0
V294	0.15017	0.43913	0	0.4107
V295	0.03499	0.19236	0.26288	0.50978
V296	0.27912	0.10765	0.61323	0
V297	0.04012	0	0.10904	0.85084
V298	0.40314	0.05438	0.54248	0
V299	0.11408	0.33399	0	0.55193
V300	0	0	0.3357	0.6643
V301	0.21996	0.10595	0.6741	0
V302	0.76144	0.23856	0	0
V303	0.04704	0.62642	0.32654	0
V304	0.15119	0.00594	0.80965	0.03322
V305	0.22342	0.15568	0.51252	0.10838
V306	1	0	0	0
V307	0.06091	0.93909	0	0
V308	0.35538	0.23288	0.31456	0.09719
V309	0.48558	0.33389	0	0.18054
V310	0.14749	0.37522	0.17301	0.30428
V311	0.60744	0.39256	0	0
V312	0.1696	0.74768	0.08272	0
V313	0	0.0671	0.04666	0.88624
V314	0.06665	0.58852	0.10933	0.2355
V315	0.21201	0.7137	0	0.07429
V316	0.44929	0.11248	0.406	0.03223
V317	0.17825	0.78522	0.01201	0.02452
V318	0.0842	0.67951	0	0.23629
V319	0.14025	0.04874	0.81102	0
V320	0.16038	0.14966	0.68515	0.00481
V321	0.74291	0.25709	0	0
V322	0.30811	0.36817	0.05491	0.26881
V323	0.02614	0	0.14375	0.83011
V324	0.80285	0.19715	0	0
V325	0.38463	0.61537	0	0
V326	0.04044	0.69709	0.07659	0.18589
V327	0.01956	0.14171	0.1687	0.67003
V328	0.13833	0.00576	0.8158	0.0401
V329	0.28467	0.07869	0.2129	0.42373
V330	0.53015	0	0.34936	0.1205
V331	0.53013	0.01856	0.02145	0.42986
V332	0	0	0.29397	0.70603
V333	0.5732	0.02564	0.39911	0.00205
V334	0.48811	0	0.38299	0.1289
V335	0.09113	0.37685	0.53116	0.00086
V336	0.26653	0.73347	0	0
V337	0.38151	0.3865	0.23199	0
V338	0.03517	0.96483	0	0
V339	0.20089	0	0.79911	0
V340	0.13499	0.24697	0.56748	0.05056
V341	0	0	0.10827	0.89173
V342	0.36369	0	0.63136	0.00495
V343	1	0	0	0
V344	0.82985	0.06585	0.1043	0
V345	0.07766	0.01746	0.90489	0
V346	0.36849	0.07313	0.32939	0.22899
V347	0.00901	0	0.20024	0.79075
V348	0.13582	0.7375	0.12114	0.00554
V349	0.47772	0.14145	0.38084	0
V350	0.08015	0.81812	0.10173	0
V351	0.02245	0	0.54064	0.4369
V352	0.13367	0.00589	0.86043	0
V353	1	0	0	0
V354	0.11535	0.7158	0.16885	0
V355	0.41066	0.04121	0.49653	0.0516
V356	0	0	0.16174	0.83826
V357	0.20243	0.37435	0.30063	0.12258
V358	0.76293	0.03342	0.017	0.18665
V359	0.78004	0	0	0.21996
V360	0.64016	0.35984	0	0
V361	0.03811	0.46899	0.49291	0
V362	0.03748	0.96252	0	0
V363	0.27944	0.10265	0.51982	0.09808
V364	0.26835	0.04017	0.69148	0
V365	0.35768	0	0	0.64232
V366	0.16457	0.76637	0.05351	0.01555
V367	0.7724	0.05992	0	0.16768
V368	0.17163	0.78434	0.04403	0
V369	0.06257	0.41162	0.52581	0
V370	0.39586	0.25039	0.35375	0
V371	0.27145	0.72855	0	0
V372	0.24914	0	0.16801	0.58286
V373	0.16158	0.13696	0.54605	0.1554
V374	0.90198	0	0.09802	0
V375	0.03793	0	0.2313	0.73077
V376	0	0	0.16743	0.83257
V377	0.93162	0	0	0.06838
V378	0.00681	0	0.55677	0.43641
V379	0.49878	0.17368	0	0.32754
V380	0.24779	0.01983	0.26418	0.4682
V381	0.91438	0	0.0218	0.06382
V382	0.15969	0.01426	0.82604	0
V383	0.98671	0	0	0.01329
V384	0.76098	0.00479	0.11373	0.12049
V385	1	0	0	0
V386	0.42608	0	0.14547	0.42845
V387	0.74456	0.09828	0.15715	0
V388	0.50904	0.34303	0.12088	0.02705
V389	0.51365	0.48635	0	0
V390	0.38518	0.22025	0.39457	0
V391	0.61292	0.03024	0	0.35684
V392	0.57464	0.20944	0.15232	0.0636
V393	0.40174	0.23143	0.34964	0.01719
V394	0.16391	0.25888	0.13109	0.44612
V395	0.33027	0.43243	0.18794	0.04936
V396	0.05071	0.94929	0	0
V397	0.96302	0	0.03698	0
V398	0.63685	0.08991	0.07973	0.19351
V399	0.28981	0.59463	0.11556	0
V400	0.03809	0.72559	0.03708	0.19924
