Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.36216	0.07848	0.26625	0.13201	0.16109
V2	0	0.88947	0.01619	0.04034	0.054
V3	0.01448	0	0.45747	0.49144	0.03661
V4	0	0	0.22082	0	0.77918
V5	0	0	0.01949	0.04211	0.9384
V6	0.3576	0	0.27855	0.23964	0.12421
V7	0	0	0.43935	0.03318	0.52747
V8	0	0	0.891	0.06376	0.04524
V9	0	0	0.25034	0.71796	0.03171
V10	0.5016	0	0.46186	0	0.03655
V11	0	0	0.07393	0.00373	0.92233
V12	0.02652	0	0.21583	0.32708	0.43057
V13	0.09647	0	0.00598	0.48207	0.41549
V14	0.11683	0	0.04227	0.73395	0.10694
V15	0	0	0	0.93291	0.06709
V16	0.61085	0.02951	0	0.34269	0.01694
V17	0.00985	0.21331	0	0.01113	0.76571
V18	0.033	0.42538	0.27069	0.2445	0.02643
V19	0	0	0	0.05994	0.94006
V20	0	0	0.72605	0.23177	0.04218
V21	0	0.21099	0.11871	0.15454	0.51576
V22	0.88263	0.04794	0.04045	0	0.02898
V23	0.02326	0	0	0.09129	0.88544
V24	0.50948	0.07739	0	0.00021	0.41291
V25	0	0	0	0.44665	0.55335
V26	0.53527	0.18167	0.03454	0.00169	0.24683
V27	0.07435	0.52921	0.17746	0	0.21898
V28	0	0	0.19923	0.73443	0.06634
V29	0	0	0.30854	0.65041	0.04105
V30	0.81502	0.07444	0	0	0.11054
V31	0.45868	0.09829	0	0.23952	0.20352
V32	0.9495	0	0	0	0.0505
V33	0	0.13752	0	0.08168	0.7808
V34	0.05262	0.93639	0	0	0.011
V35	0.0385	0.67823	0.2629	0.00663	0.01374
V36	0	0.11077	0.16572	0.05662	0.66688
V37	0.76961	0	0	0	0.23039
V38	0.09306	0	0.51457	0.21068	0.18169
V39	0.34365	0	0.33444	0	0.32191
V40	0.1963	0.67071	0	0.0932	0.03979
V41	0	0.91389	0	0	0.08611
V42	0.92983	0.00317	0	0	0.06699
V43	0.531	0.09353	0.35431	0	0.02116
V44	0	0.2531	0.59893	0	0.14798
V45	0	0.72995	0.06876	0.14511	0.05617
V46	0.0523	0.87741	0.03672	0.00773	0.02583
V47	0	0	0.93392	0	0.06608
V48	0.15016	0.06386	0.23103	0.38952	0.16544
V49	0.51362	0.10892	0.2241	0.13417	0.01919
V50	0	0.00191	0.93965	0	0.05844
V51	0.06502	0.2356	0.20394	0.03065	0.46479
V52	0	0.98566	0	0	0.01434
V53	0	0.09868	0	0.85259	0.04873
V54	0.18554	0	0	0.60615	0.20831
V55	0.01891	0	0	0.92909	0.05201
V56	0.01207	0	0	0.83812	0.14981
V57	0.14989	0.07386	0.61775	0	0.1585
V58	0.00886	0	0.11326	0.18853	0.68934
V59	0.92153	0	0.06361	0	0.01486
V60	0.47116	0.17455	0.11078	0.11282	0.13069
V61	0.17069	0	0	0.20994	0.61936
V62	0.00283	0	0.31338	0.11335	0.57043
V63	0.43682	0.24413	0.03433	0	0.28472
V64	0.97976	0	0	0	0.02024
V65	0.04445	0	0.01724	0.74896	0.18935
V66	0	0	0.10553	0.84966	0.04481
V67	0	0	0.33639	0.05463	0.60898
V68	0.50511	0	0.40071	0	0.09418
V69	0.65917	0.08039	0.18836	0	0.07208
V70	0	0.79416	0.00779	0.16822	0.02982
V71	0.02551	0.8981	0.00771	0.05002	0.01865
V72	0	0.39355	0	0	0.60645
V73	0	0	0.07574	0.66514	0.25912
V74	0	0	0	0.87412	0.12588
V75	0.51167	0.15554	0.30725	0	0.02554
V76	0	0	0	0.89489	0.10511
V77	0	0	0.92496	0.0271	0.04794
V78	0	0	0.93576	0	0.06424
V79	0.02032	0.41871	0.00566	0.14002	0.41527
V80	0.06291	0.81052	0	0.02974	0.09683
V81	0	0	0.94173	0	0.05827
V82	0.22727	0.10139	0.00341	0.63158	0.03635
V83	0.06007	0	0	0.65318	0.28675
V84	0.05367	0.10748	0	0.01481	0.82404
V85	0	0	0.94139	0	0.05861
V86	0	0.19465	0.31518	0.45285	0.03733
V87	0.47825	0	0.01256	0.47919	0.03001
V88	0.33333	0.11209	0.02743	0.20371	0.32344
V89	0.01661	0.05755	0.85643	0.02564	0.04377
V90	0	0.11744	0.02944	0.07964	0.77347
V91	0	0	0.05097	0.90309	0.04595
V92	0.24167	0	0	0.00706	0.75127
V93	0	0	0.15513	0.6046	0.24027
V94	0	0.10399	0	0.2637	0.63231
V95	0.00804	0.19013	0	0.08749	0.71433
V96	0.85496	0	0	0	0.14504
V97	0.13951	0	0.00697	0.08817	0.76536
V98	0	0.37206	0.18103	0.12114	0.32578
V99	0.55056	0.09028	0	0.22279	0.13637
V100	0.59909	0.13404	0.02497	0.01975	0.22214
V101	0	0.98777	0	0	0.01223
V102	0.334	0.21167	0.12633	0.09149	0.2365
V103	0.086	0	0	0.00301	0.911
V104	0	0.41782	0.05891	0	0.52327
V105	0	0	0.00016	0.05567	0.94417
V106	0	0.83077	0.12631	0	0.04292
V107	0.01276	0.18079	0.73173	0.03174	0.04298
V108	0	0.14025	0.81386	0	0.04589
V109	0.00365	0.16978	0.03172	0.32426	0.47059
V110	0.14717	0.5396	0.18049	0.107	0.02575
V111	0.29701	0.19751	0.48843	0	0.01704
V112	0.14765	0	0.08053	0.53366	0.23816
V113	0.22859	0	0.07574	0.13154	0.56413
V114	0.63723	0.03182	0.02698	0.16863	0.13534
V115	0.8953	0	0	0	0.1047
V116	0	0	0	0.02618	0.97382
V117	0.01567	0	0.85326	0.06937	0.0617
V118	0	0	0	0.92617	0.07383
V119	0.3423	0	0.39696	0.24688	0.01386
V120	0	0	0.83161	0.09869	0.0697
V121	0.148	0.78018	0	0	0.07182
V122	0	0.37567	0.06209	0.26366	0.29857
V123	0.54728	0	0.0537	0.18846	0.21057
V124	0.21488	0.0405	0.03957	0.24505	0.46
V125	0	0.44942	0.51805	0	0.03253
V126	0.13951	0.12955	0.22972	0.1078	0.39342
V127	0.29013	0	0.66149	0.02105	0.02733
V128	0.16034	0.81923	0	0	0.02042
V129	0.27638	0	0.27508	0.17184	0.27669
V130	0	0.51946	0.00657	0.25248	0.22149
V131	0	0	0.20654	0.75982	0.03364
V132	0.35407	0	0	0.35579	0.29014
V133	0	0	0.58715	0.07075	0.3421
V134	0.04502	0	0.83037	0	0.12461
V135	0	0.0403	0.79048	0.00574	0.16348
V136	0.97717	0	0	0	0.02283
V137	0.9566	0.0013	0	0	0.04209
V138	0.25955	0.08517	0.05976	0.12994	0.46558
V139	0.07151	0	0.13568	0.75716	0.03564
V140	0	0	0.13197	0	0.86803
V141	0	0.17015	0.69419	0.09343	0.04224
V142	0.20104	0	0.33593	0.11059	0.35244
V143	0	0.13242	0.5291	0.14819	0.19029
V144	0.55848	0.19445	0.04559	0.10636	0.09511
V145	0	0	0.92852	0.00179	0.06969
V146	0	0.31255	0	0.35446	0.33299
V147	0.0792	0.00106	0.74757	0.10357	0.06859
V148	0.10335	0.86438	0	0.00736	0.02491
V149	0	0	0	0.89564	0.10436
V150	0.12924	0.14651	0.62165	0	0.1026
V151	0.4459	0	0	0.42789	0.12621
V152	0	0	0.08319	0.81127	0.10554
V153	0.16619	0.13831	0.50327	0.0256	0.16663
V154	0.06486	0.65823	0	0.00396	0.27295
V155	0	0	0.10623	0.8492	0.04457
V156	0.06317	0	0.42724	0.14799	0.36161
V157	0.04923	0	0.16269	0.31064	0.47744
V158	0.18686	0	0.4652	0.0103	0.33764
V159	0.06993	0.16866	0	0.69231	0.0691
V160	0.51243	0.12301	0.07627	0.01255	0.27573
V161	0.20466	0	0.02432	0	0.77102
V162	0	0	0.93784	0	0.06216
V163	0	0	0	0.04273	0.95727
V164	0.95949	0.02882	0	0	0.0117
V165	0.67246	0.19071	0.06238	0.01997	0.05448
V166	0	0	0.22774	0.66238	0.10988
V167	0	0.68669	0	0.1286	0.18471
V168	0	0	0.93784	0	0.06216
V169	0	0.75803	0.1441	0.06931	0.02856
V170	0.23911	0.39134	0.02676	0.20621	0.13658
V171	0.34019	0.02091	0.38602	0.1837	0.06918
V172	0.16937	0.18383	0.04721	0.00076	0.59883
V173	0.20866	0.03314	0.07565	0.47363	0.20892
V174	0.20082	0	0.36121	0.20095	0.23702
V175	0.03301	0.07763	0.11168	0.19945	0.57824
V176	0.36362	0	0	0.61552	0.02086
V177	0.19269	0	0.6003	0.17854	0.02847
V178	0.30219	0	0.48863	0.102	0.10717
V179	0.05094	0	0	0.00742	0.94164
V180	0	0	0.34684	0	0.65316
V181	0.00893	0.2452	0	0.0528	0.69307
V182	0.5982	0.20502	0	0.14844	0.04834
V183	0	0.97916	0	0	0.02084
V184	0.32584	0	0.29179	0.34596	0.03641
V185	0.04869	0.51437	0	0.15112	0.28582
V186	0.10827	0.12817	0	0.29048	0.47309
V187	0.00777	0.74051	0	0.22721	0.02451
V188	0.91401	0	0.00964	0.05813	0.01821
V189	0.49116	0.21334	0.00945	0.26667	0.01939
V190	0.46263	0.00743	0.2157	0	0.31424
V191	0.19979	0.17181	0	0.48302	0.14538
V192	0.34714	0.14496	0.11647	0.22954	0.1619
V193	0.03659	0.16011	0.58203	0.0222	0.19907
V194	0.2776	0	0.06383	0.09303	0.56554
V195	0.62224	0.13758	0.22421	0	0.01598
V196	0	0	0.0191	0.04278	0.93812
V197	0	0.96473	0	0.01359	0.02169
V198	0.22826	0.18947	0.00574	0.22495	0.35158
V199	0.80549	0	0.18803	0	0.00648
V200	0.82196	0	0	0	0.17804
V201	0	0	0	0.77719	0.22281
V202	0.94057	0.0372	0	0	0.02223
V203	0.58753	0.23697	0	0.02724	0.14825
V204	0.37433	0.00818	0.00387	0	0.61362
V205	0.07856	0	0.09679	0.06401	0.76064
V206	0	0.02597	0	0.88273	0.0913
V207	0	0	0	0.93291	0.06709
V208	0.15119	0.17612	0.52423	0.02512	0.12334
V209	0.13496	0	0.06932	0.01682	0.7789
V210	0	0	0.93609	0	0.06391
V211	0.13344	0	0.19531	0.00718	0.66407
V212	0	0.85961	0.04708	0.02014	0.07318
V213	0.05242	0	0.02496	0.28027	0.64236
V214	0	0.55948	0.39631	0	0.04422
V215	0.26047	0.18272	0.12766	0.06511	0.36404
V216	0.00762	0	0.35069	0.02408	0.61762
V217	0	0	0	0.87059	0.12941
V218	0.03045	0.1288	0.3083	0.40714	0.12531
V219	0.10551	0.23472	0.41474	0.21749	0.02753
V220	0.15429	0.80842	0.02462	0	0.01266
V221	0.00378	0	0.55172	0	0.4445
V222	0	0	0	0.02766	0.97234
V223	0.5701	0	0.30589	0.10077	0.02325
V224	0	0.58146	0	0.07416	0.34439
V225	0.75683	0.12811	0.1011	0	0.01396
V226	0.45708	0.53238	0	0	0.01054
V227	0.04248	0.21585	0	0.67283	0.06884
V228	0.64784	0	0.26181	0.04279	0.04757
V229	0.2755	0.39916	0.26466	0.01793	0.04274
V230	0	0	0	0.02829	0.97171
V231	0	0.67169	0.02893	0.18985	0.10953
V232	0.84178	0	0.15277	0	0.00544
V233	0.00395	0	0.13156	0.09074	0.77375
V234	0	0.3412	0.2082	0.40018	0.05042
V235	0.98264	0	0	0	0.01736
V236	0.04698	0	0.67692	0.19914	0.07697
V237	0.10489	0	0.2822	0.37106	0.24185
V238	0	0	0	0.29634	0.70366
V239	0.00454	0.41995	0.01762	0.19896	0.35892
V240	0	0.9287	0	0	0.0713
V241	0	0.97883	0	0	0.02117
V242	0	0.28606	0.3106	0.31573	0.08761
V243	0.51936	0	0.3213	0	0.15934
V244	0	0.39898	0.1874	0.07253	0.34109
V245	0	0.98399	0	0.00325	0.01276
V246	0.65275	0.247	0	0	0.10025
V247	0.20442	0.04098	0.6627	0.03219	0.05971
V248	0.03585	0.66221	0	0	0.30194
V249	0.27155	0	0.20782	0.08901	0.43162
V250	0	0	0.69056	0.01294	0.29649
V251	0.19525	0	0.06543	0.66361	0.07571
V252	0	0.04583	0.60889	0.16133	0.18395
V253	0.29578	0.61053	0.05459	0.01799	0.02111
V254	0.53993	0.37826	0	0.05989	0.02193
V255	0.86028	0.04662	0	0	0.0931
V256	0	0.81614	0	0	0.18386
V257	0.48693	0.2846	0.12775	0.00576	0.09497
V258	0.12933	0.29563	0.0216	0.52271	0.03072
V259	0.57216	0.24531	0.15535	0	0.02718
V260	0.26888	0	0.08113	0.06784	0.58215
V261	0	0	0.52683	0.31239	0.16077
V262	0.95857	0	0.02516	0	0.01627
V263	0.85471	0.04734	0	0.08654	0.01141
V264	0	0.96512	0	0.02247	0.01241
V265	0.88438	0.04881	0.05039	0	0.01642
V266	0	0	0.04771	0.0258	0.92648
V267	0	0	0	0.16646	0.83354
V268	0.17852	0.43716	0.12769	0.19255	0.06408
V269	0.04766	0.30178	0.38264	0.21276	0.05515
V270	0	0	0.0043	0.9489	0.04679
V271	0.19087	0.77123	0	0	0.03791
V272	0.03808	0.91028	0	0	0.05164
V273	0.29137	0	0.16174	0.35617	0.19071
V274	0.0542	0	0.00138	0.22439	0.72003
V275	0	0.76025	0.13227	0.07935	0.02814
V276	0	0	0.70609	0.23807	0.05584
V277	0.38135	0	0.57373	0	0.04492
V278	0	0	0.33228	0.50468	0.16304
V279	0.1015	0	0	0.81281	0.08569
V280	0.16714	0	0.00468	0.70017	0.12801
V281	0	0.16086	0.01776	0.77235	0.04903
V282	0	0.97915	0	0	0.02085
V283	0.38078	0	0.08307	0	0.53615
V284	0	0.0585	0.57448	0	0.36703
V285	0.52677	0.45992	0	0	0.0133
V286	0.0617	0	0.87257	0.01877	0.04696
V287	0.2544	0	0.16502	0.32946	0.25112
V288	0.19541	0	0.64158	0	0.16301
V289	0.1262	0.17252	0	0.66244	0.03885
V290	0.43726	0.45217	0.10725	0	0.00332
V291	0.42307	0.1639	0	0.38815	0.02488
V292	0.09368	0	0.43368	0.01157	0.46108
V293	0	0.0613	0.84033	0.03618	0.06219
V294	0	0	0	0.02136	0.97864
V295	0	0	0.31857	0.57051	0.11092
V296	0.88077	0.07876	0	0	0.04047
V297	0	0	0.8023	0.12083	0.07687
V298	0.27561	0	0	0.58981	0.13458
V299	0.24188	0	0	0.73271	0.02542
V300	0.98179	0	0	0	0.01821
V301	0.98003	0	0	0	0.01997
V302	0	0	0	0.43707	0.56293
V303	0.0784	0.11256	0.22169	0.19966	0.3877
V304	0.18853	0	0.75915	0	0.05232
V305	0.1994	0.30197	0.07058	0.10127	0.32678
V306	0.30814	0.67175	0	0	0.02012
V307	0.21993	0	0.25825	0.50485	0.01697
V308	0.24086	0	0.67715	0.05323	0.02876
V309	0.7212	0.02259	0.02595	0.10048	0.12978
V310	0	0	0	0.10627	0.89373
V311	0	0	0.01258	0.93117	0.05625
V312	0.04767	0.20499	0.25717	0	0.49017
V313	0.00308	0.26686	0	0.37212	0.35794
V314	0.02878	0	0	0.42303	0.54819
V315	0.96283	0	0	0	0.03717
V316	0.06442	0.59655	0.24866	0.00569	0.08468
V317	0.41631	0.03603	0.50696	0	0.04069
V318	0.91702	0	0	0	0.08298
V319	0.09365	0.01409	0.85073	0	0.04153
V320	0.02651	0	0	0.91792	0.05557
V321	0.10531	0.31362	0.31933	0.2196	0.04214
V322	0	0.2132	0.61085	0.03298	0.14296
V323	0.26067	0.17689	0.45676	0	0.10568
V324	0	0	0.01676	0.92652	0.05671
V325	0.69803	0.06615	0.06378	0.09773	0.07431
V326	0	0	0.01787	0.14511	0.83703
V327	0.33787	0.50523	0.08421	0	0.0727
V328	0	0.24434	0.15758	0.55186	0.04622
V329	0	0	0.38651	0.56991	0.04358
V330	0.05805	0	0.85435	0	0.08761
V331	0.10491	0	0.05919	0.08413	0.75176
V332	0.50532	0.00606	0.44277	0	0.04584
V333	0.44223	0	0.30734	0.1506	0.09982
V334	0	0.25094	0.60249	0.07399	0.07258
V335	0.79939	0.01236	0.061	0.00219	0.12507
V336	0.12611	0.59757	0.25177	0	0.02455
V337	0	0	0	0.16636	0.83364
V338	0.77248	0	0.12738	0	0.10014
V339	0.1813	0.55621	0.16922	0	0.09327
V340	0	0.09794	0.09773	0.05243	0.7519
V341	0	0.47562	0.44274	0	0.08165
V342	0.31362	0.10446	0.46573	0.09855	0.01764
V343	0.73096	0	0.26214	0	0.0069
V344	0.03866	0.85445	0.00518	0.00026	0.10144
V345	0.20683	0	0	0.31065	0.48251
V346	0	0.27224	0.3315	0.33666	0.0596
V347	0.01857	0.5403	0	0.37685	0.06428
V348	0	0.06274	0.48294	0.27128	0.18304
V349	0.0229	0.27592	0.5727	0	0.12848
V350	0.06234	0.42194	0.06335	0.27125	0.18111
V351	0.162	0	0.45096	0.35091	0.03614
V352	0.06252	0.56016	0.35529	0	0.02203
V353	0.25684	0.3208	0.00336	0.0235	0.39549
V354	0.59547	0	0.39033	0	0.01419
V355	0.03938	0	0.33538	0.59024	0.035
V356	0.07352	0	0.8562	0	0.07027
V357	0	0	0.56148	0.00824	0.43028
V358	0	0	0.00658	0.93582	0.05761
V359	0.00661	0.03807	0	0.90257	0.05275
V360	0.77437	0.00491	0.0717	0.13705	0.01197
V361	0.34087	0.49211	0.0608	0	0.10622
V362	0.85464	0	0.06374	0	0.08162
V363	0	0	0	0.15917	0.84083
V364	0	0.24553	0	0.52063	0.23383
V365	0	0	0	0.91631	0.08369
V366	0.21436	0	0.63163	0.04145	0.11256
V367	0.23025	0.175	0.21407	0.1789	0.20177
V368	0.80883	0.04539	0.10192	0	0.04386
V369	0	0.68962	0.22894	0.06764	0.0138
V370	0	0.08176	0.11238	0.42592	0.37995
V371	0	0.97937	0.00928	0	0.01135
V372	0.71758	0.02614	0.1301	0.09264	0.03354
V373	0.06349	0.71691	0.11285	0.08849	0.01827
V374	0.0641	0	0.39586	0.51103	0.02901
V375	0.32037	0	0.61004	0.0506	0.01899
V376	0	0	0.40585	0	0.59415
V377	0.03361	0.5278	0.20882	0.20643	0.02335
V378	0.08747	0.57786	0.16369	0	0.17098
V379	0	0	0.07957	0.07214	0.84829
V380	0	0	0.15949	0.57443	0.26608
V381	0.1289	0	0	0.00177	0.86933
V382	0.42434	0	0	0.29887	0.27679
V383	0	0	0.25595	0.71252	0.03153
V384	0.29588	0	0.15641	0.47614	0.07157
V385	0.0565	0.01919	0	0.01168	0.91262
V386	0.68387	0	0	0.30428	0.01185
V387	0.25148	0	0	0.69696	0.05156
V388	0	0.92927	0	0.05088	0.01985
V389	0.06424	0.85739	0	0.00883	0.06954
