Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.30298	0.19975	0.25279	0.16006	0.08442
V2	0.07262	0.84154	0.01753	0.01656	0.05175
V3	0.03189	0.07252	0.43358	0.44755	0.01447
V4	0	0.09804	0.27672	0.14002	0.48522
V5	0.00716	0.08225	0.0816	0.20931	0.61968
V6	0.29959	0.09664	0.27659	0.25815	0.06903
V7	0	0.11369	0.44962	0.14067	0.29601
V8	0	0.08815	0.84118	0.07067	0
V9	0.02989	0.03371	0.26582	0.63915	0.03144
V10	0.45024	0.08251	0.46726	0	0
V11	0.02757	0.10785	0.13134	0.16252	0.57072
V12	0.06411	0.07544	0.24072	0.3636	0.25613
V13	0.12802	0.09292	0.03801	0.47818	0.26287
V14	0.14444	0.02655	0.06901	0.66978	0.09021
V15	0.0031	0.0148	0	0.9129	0.0692
V16	0.57868	0.09992	0	0.31196	0.00944
V17	0.07704	0.3342	0.01301	0.11779	0.45795
V18	0.07905	0.45324	0.24526	0.204	0.01846
V19	0.02499	0.08825	0.00714	0.22398	0.65564
V20	0	0.05786	0.7045	0.23764	0
V21	0.01936	0.32201	0.14149	0.20994	0.3072
V22	0.87563	0.12208	0.00228	0	0
V23	0.07879	0.09535	0.03305	0.2341	0.55871
V24	0.48392	0.19585	0	0.07131	0.24892
V25	0.01615	0.07421	0.01725	0.50922	0.38317
V26	0.5035	0.27063	0.03432	0.05066	0.1409
V27	0.13154	0.55958	0.17483	0.00649	0.12756
V28	0.00921	0.09964	0.20486	0.63311	0.05318
V29	0	0.02183	0.32759	0.62032	0.03025
V30	0.79871	0.15035	0	0.00932	0.04163
V31	0.42065	0.19589	0	0.24888	0.13458
V32	1	0	0	0	0
V33	0.02716	0.28054	0.01808	0.18886	0.48537
V34	0.13616	0.86384	0	0	0
V35	0.0926	0.66711	0.23149	0.00065	0.00815
V36	0.02116	0.2535	0.19004	0.15124	0.38405
V37	0.83751	0.01744	0	0.01307	0.13198
V38	0.09067	0.10129	0.47891	0.24096	0.08817
V39	0.30461	0.12548	0.35079	0.05175	0.16737
V40	0.23903	0.64179	0	0.07513	0.04405
V41	0.07285	0.87625	0	0	0.05091
V42	0.93843	0.06157	0	0	0
V43	0.47953	0.18089	0.33905	0.00054	0
V44	0.00251	0.36861	0.56159	0.01363	0.05366
V45	0.05197	0.71135	0.07279	0.11406	0.04983
V46	0.13269	0.81354	0.02885	0	0.02492
V47	0	0.08153	0.91847	0	0
V48	0.1528	0.17506	0.22419	0.35068	0.09728
V49	0.45741	0.20302	0.20654	0.13303	0
V50	0	0.10487	0.89513	0	0
V51	0.10555	0.33306	0.20764	0.10167	0.25208
V52	0.07382	0.92618	0	0	0
V53	0.01949	0.17249	0	0.75289	0.05513
V54	0.20964	0.03034	0.00091	0.6009	0.15821
V55	0.05332	0	0	0.88717	0.05951
V56	0.05864	0.00095	0	0.81248	0.12793
V57	0.12017	0.20954	0.56786	0.04807	0.05436
V58	0.06063	0.06308	0.16226	0.29363	0.4204
V59	0.90888	0.05988	0.03124	0	0
V60	0.42332	0.26312	0.10742	0.13066	0.07548
V61	0.19672	0.07502	0.02968	0.30558	0.393
V62	0.03927	0.1031	0.32818	0.20952	0.31993
V63	0.41216	0.33103	0.04031	0.04817	0.16833
V64	0.98773	0.01227	0	0	0
V65	0.07828	0.10295	0.03292	0.65165	0.13421
V66	0.00633	0.01653	0.1321	0.79398	0.05106
V67	0	0.09201	0.36907	0.17583	0.36309
V68	0.44742	0.08339	0.40558	0.04489	0.01872
V69	0.62375	0.17626	0.17411	0.01252	0.01335
V70	0.08007	0.75322	0.01096	0.11944	0.03631
V71	0.11481	0.83762	0.00282	0.0159	0.02885
V72	0.05975	0.48166	0.01393	0.06902	0.37565
V73	0.04664	0.03322	0.10751	0.6309	0.18172
V74	0	0.0671	0	0.82714	0.10576
V75	0.47288	0.23229	0.29483	0	0
V76	0	0.00227	0.00577	0.89377	0.09819
V77	0	0.08598	0.87796	0.03606	0
V78	0	0.09184	0.90445	0.00371	0
V79	0.09957	0.45598	0.03129	0.16351	0.24965
V80	0.14482	0.76408	0	0.014	0.0771
V81	0	0.08304	0.91696	0	0
V82	0.22777	0.18269	0.01322	0.53245	0.04387
V83	0.09545	0.10744	0.01521	0.58971	0.1922
V84	0.10537	0.2519	0.00447	0.13688	0.50138
V85	0	0.08174	0.91826	0	0
V86	0.00636	0.28324	0.29783	0.38748	0.02509
V87	0.4472	0.05057	0.01945	0.44988	0.0329
V88	0.30905	0.22144	0.04431	0.23049	0.1947
V89	0	0.18212	0.78734	0.03054	0
V90	0.02114	0.26144	0.06847	0.18464	0.46432
V91	0	0.00477	0.0735	0.86826	0.05347
V92	0.25155	0.11967	0.02766	0.14072	0.4604
V93	0	0.11514	0.17074	0.55461	0.15951
V94	0.04477	0.23099	0.02389	0.31574	0.3846
V95	0.0717	0.30792	0.02166	0.17568	0.42304
V96	0.86618	0.04616	0	0.02219	0.06547
V97	0.16921	0.10455	0.05469	0.21101	0.46054
V98	0.0581	0.42718	0.18151	0.14653	0.18668
V99	0.5161	0.16908	0	0.22659	0.08822
V100	0.56561	0.22639	0.02017	0.06301	0.12481
V101	0.08149	0.91814	0	0	0.00037
V102	0.30499	0.30235	0.12991	0.12695	0.1358
V103	0.13822	0.07021	0.01043	0.16892	0.61222
V104	0.0657	0.48242	0.08172	0.06107	0.30909
V105	0.00994	0.09095	0.06033	0.21839	0.62039
V106	0.06426	0.79864	0.11453	0	0.02257
V107	0.00566	0.29141	0.66402	0.03891	0
