Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.35836	0.09928	0.26207	0.12626	0.15403
V2	0.0703	0.74504	0.05531	0.04851	0.08084
V3	0.08049	0	0.44738	0.41241	0.05971
V4	0.01912	0	0.23908	0.06281	0.67899
V5	0.02308	0	0.05274	0.11133	0.81284
V6	0.36858	0	0.2818	0.21736	0.13226
V7	0.01579	0.01752	0.43274	0.07701	0.45695
V8	0.00983	0.0153	0.8673	0.05925	0.04832
V9	0.07377	0	0.2585	0.6069	0.06083
V10	0.48754	0.00066	0.46789	0	0.04391
V11	0.04673	0	0.10247	0.077	0.7738
V12	0.09637	0	0.22256	0.30375	0.37732
V13	0.15563	0.02219	0.03678	0.41879	0.36661
V14	0.17946	0	0.06724	0.62496	0.12834
V15	0.04932	0.00688	0	0.84863	0.09517
V16	0.59912	0.04486	0.01211	0.30343	0.04048
V17	0.08198	0.23098	0.01361	0.06628	0.60715
V18	0.10227	0.39397	0.25849	0.19369	0.05158
V19	0.03924	0	0	0.1249	0.83586
V20	0.00374	0	0.72582	0.21208	0.05835
V21	0.03726	0.24138	0.13295	0.1634	0.42501
V22	0.83741	0.05487	0.06586	0	0.04186
V23	0.09347	0	0.01718	0.14418	0.74517
V24	0.48747	0.09399	0.01881	0.04033	0.35941
V25	0.04483	0.0072	0.01219	0.42469	0.51109
V26	0.50395	0.17788	0.06265	0.03184	0.22368
V27	0.13661	0.476	0.18534	0.00441	0.19764
V28	0.05168	0.05415	0.20358	0.60373	0.08686
V29	0.01846	0	0.32732	0.58233	0.07189
V30	0.76738	0.0791	0.02742	0.00892	0.11718
V31	0.45261	0.1173	0.01214	0.22075	0.1972
V32	0.93372	0	0.00039	0	0.06589
V33	0.03907	0.18306	0.0133	0.12408	0.6405
V34	0.12886	0.8057	0.01139	0.00366	0.0504
V35	0.10439	0.58384	0.25136	0.01807	0.04234
V36	0.04151	0.15544	0.17107	0.09619	0.5358
V37	0.76645	0	0	0.00081	0.23274
V38	0.13757	0.00379	0.4906	0.19251	0.17553
V39	0.35674	0.00533	0.34207	0.00548	0.29039
V40	0.23612	0.58376	0.02126	0.08894	0.06992
V41	0.06519	0.80262	0.01855	0.00407	0.10958
V42	0.89178	0.00958	0.01969	0	0.07895
V43	0.50783	0.09833	0.35371	0.00487	0.03526
V44	0.04008	0.26717	0.55457	0	0.13819
V45	0.05673	0.63894	0.09629	0.12595	0.08208
V46	0.12536	0.72375	0.07042	0.0222	0.05828
V47	0	0.0166	0.92513	0	0.05828
V48	0.18917	0.1033	0.22635	0.32038	0.16079
V49	0.49386	0.11481	0.23113	0.12135	0.03886
V50	0.01899	0.03351	0.90035	0	0.04715
V51	0.11984	0.24286	0.20094	0.06407	0.37228
V52	0.06839	0.85836	0.01259	0.0066	0.05406
V53	0.05375	0.1547	0.00808	0.7086	0.07488
V54	0.23821	0	0.00482	0.53894	0.21803
V55	0.0966	0	0	0.82279	0.08061
V56	0.09224	0	0	0.73847	0.16929
V57	0.16703	0.10487	0.56959	0.01444	0.14408
V58	0.08014	0	0.1313	0.20976	0.5788
V59	0.88272	0	0.08807	0	0.02921
V60	0.45337	0.17502	0.1278	0.11144	0.13237
V61	0.21431	0	0.02128	0.22781	0.5366
V62	0.07266	0	0.30919	0.14161	0.47654
V63	0.4215	0.23331	0.0641	0.02878	0.2523
V64	0.94615	0	0.0204	0	0.03345
V65	0.11194	0.05675	0.0387	0.60779	0.18483
V66	0.04733	0	0.12934	0.74514	0.0782
V67	0.01649	0	0.34566	0.10447	0.53338
V68	0.48496	0	0.39827	0.01798	0.09879
V69	0.62597	0.08669	0.2031	0.0025	0.08174
V70	0.07863	0.67432	0.04702	0.13759	0.06243
V71	0.10778	0.73979	0.04731	0.05159	0.05353
V72	0.05702	0.38272	0.02541	0.04344	0.49141
V73	0.0779	0	0.09805	0.57031	0.25374
V74	0.03927	0.0441	0.00702	0.76549	0.14412
V75	0.49195	0.15708	0.30975	0	0.04122
V76	0.03347	0	0.01332	0.81967	0.13354
V77	0.01903	0.00828	0.89918	0.02509	0.04842
V78	0	0.02469	0.91708	0	0.05823
V79	0.09939	0.3806	0.04248	0.13964	0.33788
V80	0.13645	0.69659	0.00862	0.04474	0.11361
V81	0.00725	0.01703	0.92585	0	0.04988
V82	0.26277	0.13483	0.03018	0.51057	0.06165
V83	0.1235	0.05539	0.02082	0.53843	0.26187
V84	0.11161	0.14736	0.00361	0.07325	0.66417
V85	0	0.01737	0.93052	0	0.05211
V86	0.04249	0.22963	0.30327	0.36385	0.06076
V87	0.48444	0	0.03862	0.41959	0.05735
V88	0.33905	0.13237	0.05477	0.1914	0.28241
V89	0.04614	0.09306	0.79468	0.0223	0.04382
V90	0.03631	0.16263	0.05685	0.12074	0.62347
V91	0.03095	0	0.07613	0.81321	0.0797
V92	0.26511	0.00744	0.02584	0.06985	0.63176
V93	0.03223	0.06314	0.16443	0.51068	0.22953
V94	0.05905	0.15021	0.02127	0.251	0.51848
V95	0.08132	0.21135	0.02174	0.11987	0.56573
V96	0.81824	0	0.0202	0.01057	0.15099
V97	0.18524	0	0.04355	0.13498	0.63624
V98	0.07132	0.35172	0.18192	0.12243	0.27261
V99	0.5402	0.10428	0.00458	0.20743	0.14351
V100	0.56381	0.13301	0.05294	0.04449	0.20575
V101	0.07633	0.84617	0.01955	0.00539	0.05256
V102	0.33645	0.21216	0.13972	0.09983	0.21184
V103	0.13813	0	0	0.07769	0.78419
V104	0.06511	0.39009	0.08582	0.04115	0.41783
V105	0.02652	0	0.03634	0.12123	0.81591
V106	0.06535	0.71509	0.1446	0.00291	0.07205
V107	0.05454	0.19947	0.66609	0.03109	0.0488
V108	0.01798	0.16687	0.77069	0	0.04446
V109	0.08103	0.19459	0.05723	0.2808	0.38635
V110	0.1911	0.47526	0.18496	0.09499	0.05368
V111	0.29736	0.2005	0.47033	0	0.03181
V112	0.19906	0	0.10151	0.46509	0.23433
V113	0.25654	0	0.09971	0.16179	0.48196
V114	0.60754	0.04172	0.05159	0.16092	0.13824
V115	0.88047	0	0	0	0.11953
V116	0.02721	0	0	0.09657	0.87622
V117	0.05332	0.00452	0.81044	0.06639	0.06533
V118	0.06557	0	0	0.83492	0.09951
V119	0.35358	0	0.39416	0.21611	0.03614
V120	0.01053	0	0.81502	0.0968	0.07764
V121	0.20192	0.68716	0.00836	0.00543	0.09713
V122	0.05612	0.36729	0.08742	0.2281	0.26107
V123	0.53162	0.00367	0.07842	0.18418	0.2021
V124	0.24014	0.08223	0.06345	0.22968	0.38451
V125	0.05001	0.42253	0.47829	0	0.04916
V126	0.17614	0.15713	0.22415	0.11827	0.3243
V127	0.2885	0	0.64426	0.02887	0.03837
V128	0.20954	0.71687	0.01639	0	0.0572
