Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.35559	0.10541	0.24396	0.12761	0.16743
V2	0.03792	0.79885	0.04499	0.03756	0.08067
V3	0.08118	0	0.4138	0.44307	0.06196
V4	0.01801	0	0.22687	0.03841	0.71671
V5	0.0212	0	0.04754	0.08499	0.84627
V6	0.36759	0	0.26137	0.22873	0.14231
V7	0.0157	0.01474	0.41524	0.06328	0.49104
V8	0.01426	0.02085	0.83964	0.05982	0.06543
V9	0.07216	0	0.23154	0.63997	0.05633
V10	0.49065	0.00902	0.43928	0	0.06104
V11	0.04476	0	0.09395	0.04954	0.81176
V12	0.09589	0	0.20506	0.31079	0.38827
V13	0.15281	0.01462	0.02879	0.43317	0.37061
V14	0.17387	0	0.05477	0.64965	0.12171
V15	0.0473	0	0	0.86752	0.08519
V16	0.58354	0.0495	0.00596	0.31547	0.04554
V17	0.071	0.24008	0.00741	0.04234	0.63918
V18	0.08559	0.41395	0.24102	0.20555	0.05389
V19	0.03744	0	0	0.0989	0.86366
V20	0.00734	0	0.69317	0.229	0.0705
V21	0.02538	0.24912	0.12226	0.15751	0.44573
V22	0.81699	0.06867	0.05668	0	0.05766
V23	0.09158	0	0.01162	0.12357	0.77324
V24	0.48285	0.10145	0.01241	0.02435	0.37893
V25	0.04241	0	0.00689	0.43399	0.51671
V26	0.49729	0.19056	0.05315	0.01896	0.24004
V27	0.11624	0.50353	0.17098	0	0.20925
V28	0.04884	0.04514	0.18324	0.64089	0.08189
V29	0.01909	0	0.29722	0.61466	0.06902
V30	0.75338	0.09327	0.02132	0	0.13203
V31	0.44225	0.12272	0.00505	0.22498	0.20501
V32	0.9158	0	0.00143	0	0.08278
V33	0.0294	0.18686	0.00794	0.10555	0.67024
V34	0.09629	0.85394	0.00241	0	0.04737
V35	0.08186	0.62831	0.23774	0.00654	0.04554
V36	0.03387	0.15922	0.16007	0.07963	0.56722
V37	0.75262	0	0	0	0.24738
V38	0.1422	0.00123	0.46404	0.20249	0.19005
V39	0.35774	0.00784	0.32081	0	0.3136
V40	0.21322	0.61956	0.01193	0.08431	0.07098
V41	0.02957	0.85233	0.00907	0	0.10903
V42	0.86767	0.0238	0.01474	0	0.09378
V43	0.50855	0.11042	0.33165	0	0.04939
V44	0.02997	0.28513	0.53117	0	0.15373
V45	0.02685	0.68031	0.08489	0.12593	0.08202
V46	0.09583	0.77726	0.05965	0.0089	0.05836
V47	0.00115	0.02532	0.89378	0	0.07975
V48	0.18461	0.10267	0.20781	0.33925	0.16565
V49	0.4886	0.12469	0.21252	0.12533	0.04885
V50	0.02352	0.04187	0.86781	0	0.0668
V51	0.11042	0.2549	0.18814	0.04968	0.39686
V52	0.03205	0.91361	0.00385	0	0.05049
V53	0.04591	0.1457	0.00178	0.74141	0.06521
V54	0.23228	0	0	0.55501	0.21271
V55	0.09176	0	0	0.83822	0.07002
V56	0.08832	0	0	0.75464	0.15704
V57	0.16993	0.11358	0.54818	0.00424	0.16407
V58	0.0804	0	0.1201	0.20167	0.59783
V59	0.86737	0.0065	0.07958	0	0.04655
V60	0.44486	0.18594	0.11503	0.11043	0.14375
V61	0.21427	0	0.01473	0.22176	0.54925
V62	0.07288	0	0.29095	0.13295	0.50322
V63	0.41394	0.24785	0.05418	0.01422	0.2698
V64	0.9214	0.01122	0.01687	0	0.05052
V65	0.10665	0.04746	0.02975	0.63656	0.17958
V66	0.04477	0	0.11146	0.77382	0.06996
V67	0.01591	0	0.32843	0.09001	0.56565
V68	0.49476	0	0.37778	0.0108	0.11666
V69	0.61775	0.09907	0.18681	0	0.09637
V70	0.04836	0.71593	0.03643	0.1391	0.06018
V71	0.07698	0.79183	0.03695	0.04195	0.05229
V72	0.03845	0.40386	0.01772	0.02096	0.51901
V73	0.07516	0	0.08418	0.59251	0.24814
V74	0.03644	0.03246	0.00221	0.79427	0.13462
V75	0.48776	0.17013	0.28816	0	0.05396
V76	0.03112	0	0.00749	0.839	0.12239
V77	0.02453	0.01459	0.87176	0.02194	0.06719
V78	0.00134	0.03303	0.88712	0	0.0785
V79	0.08095	0.39931	0.03287	0.13319	0.35367
V80	0.10891	0.74275	0	0.032	0.11634
V81	0.01277	0.02546	0.89151	0	0.07026
V82	0.25064	0.132	0.02104	0.5379	0.05842
V83	0.11864	0.04714	0.01345	0.56197	0.25881
V84	0.10517	0.15017	0	0.04832	0.69634
V85	0.00187	0.02655	0.89882	0	0.07276
V86	0.03267	0.23398	0.28081	0.39173	0.06081
V87	0.47227	0	0.03071	0.43771	0.05932
V88	0.33087	0.13715	0.0451	0.19248	0.29441
V89	0.04803	0.1033	0.77111	0.01775	0.05981
V90	0.02761	0.1655	0.04967	0.1028	0.65442
V91	0.02896	0	0.06354	0.83735	0.07015
V92	0.26708	0.0045	0.02014	0.04768	0.66061
V93	0.02893	0.05498	0.14858	0.5384	0.22911
V94	0.05109	0.15003	0.01461	0.24929	0.53498
V95	0.07098	0.21804	0.01486	0.10367	0.59245
V96	0.81247	0	0.01842	0.00078	0.16833
V97	0.18513	0	0.03571	0.11788	0.66128
V98	0.05497	0.37016	0.16929	0.11724	0.28833
V99	0.52749	0.11065	0	0.21115	0.1507
V100	0.55671	0.14421	0.04405	0.03373	0.2213
V101	0.04029	0.90068	0.01021	0	0.04882
V102	0.32826	0.22365	0.12687	0.09472	0.2265
V103	0.13945	0	0	0.04838	0.81217
V104	0.0462	0.41321	0.07601	0.02065	0.44393
V105	0.02391	0	0.03138	0.09614	0.84857
V106	0.03334	0.76326	0.13157	0	0.07183
V107	0.05064	0.21698	0.64448	0.02593	0.06196
V108	0.01497	0.1818	0.74339	0	0.05984
V109	0.07109	0.19692	0.04777	0.28677	0.39745
V110	0.17265	0.5059	0.17079	0.09366	0.05699
V111	0.29465	0.21601	0.44536	0	0.04398
V112	0.1964	0	0.08847	0.48261	0.23252
V113	0.25836	0	0.0896	0.15274	0.49931
V114	0.59833	0.04828	0.04273	0.16253	0.14814
V115	0.86514	0	0	0	0.13486
V116	0.02646	0	0	0.06692	0.90662
V117	0.0589	0.00762	0.78399	0.06722	0.08226
V118	0.06206	0	0	0.84912	0.08882
V119	0.35507	0	0.36817	0.23172	0.04505
V120	0.01533	0	0.78878	0.10112	0.09477
V121	0.17458	0.72693	0	0	0.09849
V122	0.03806	0.38164	0.07616	0.23436	0.26978
V123	0.52605	0.00687	0.06819	0.18605	0.21284
V124	0.2359	0.08156	0.05382	0.23064	0.39808
V125	0.03275	0.45315	0.45746	0	0.05665
V126	0.17139	0.16305	0.20891	0.11209	0.34457
V127	0.30159	0	0.61782	0.02565	0.05494
V128	0.18039	0.75659	0.0068	0	0.05622
V129	0.29772	0.00241	0.25835	0.17352	0.26799
V130	0.02973	0.50389	0.03498	0.22139	0.21001
V131	0.03309	0	0.20288	0.7025	0.06153
V132	0.37195	0	0	0.34279	0.28526
V133	0.01229	0.03395	0.53986	0.08572	0.32817
V134	0.0818	0.01567	0.76017	0.00432	0.13804
V135	0.02713	0.0938	0.70512	0.00874	0.16521
V136	0.94015	0.00067	0.0047	0	0.05447
V137	0.9029	0.02059	0.0029	0.0022	0.0714
V138	0.27065	0.11705	0.07146	0.13596	0.40488
V139	0.13554	0	0.13304	0.67124	0.06019
V140	0.03587	0	0.14344	0.04402	0.77668
V141	0.01932	0.21585	0.61842	0.08368	0.06273
V142	0.23282	0	0.31049	0.12544	0.33125
V143	0.02501	0.1817	0.46447	0.13939	0.18944
V144	0.51877	0.20101	0.0613	0.10364	0.11529
V145	0.0019	0.02989	0.88233	0	0.08588
V146	0.04176	0.33608	0.00084	0.31752	0.3038
V147	0.10869	0.05226	0.66107	0.09396	0.08402
V148	0.13725	0.78607	0.00758	0.00972	0.05938
V149	0.03381	0	0	0.84773	0.11846
V150	0.15047	0.17968	0.55466	0	0.11519
V151	0.45167	0	6e-04	0.40174	0.14599
V152	0.03406	0	0.09332	0.74739	0.12524
V153	0.18676	0.16642	0.44262	0.033	0.17121
V154	0.11081	0.60238	0.01944	0.01876	0.24862
V155	0.05456	0	0.11081	0.76578	0.06885
V156	0.11919	0	0.38871	0.15537	0.33673
V157	0.11398	0.00804	0.16004	0.29586	0.42208
V158	0.21655	0	0.42667	0.0357	0.32108
V159	0.12683	0.19716	0.00688	0.58455	0.08458
V160	0.48164	0.13855	0.08706	0.02966	0.2631
V161	0.23936	0	0.05074	0.03044	0.67946
V162	0.00223	0.03805	0.88795	0	0.07178
V163	0.06572	0	0.00185	0.08305	0.84938
V164	0.89966	0.04568	0.01042	0	0.04424
V165	0.6175	0.19899	0.07614	0.02627	0.0811
V166	0.07006	0	0.21253	0.59173	0.12568
V167	0.02979	0.65183	0.01345	0.11975	0.18518
V168	0.00223	0.03805	0.88795	0	0.07178
V169	0.04394	0.6939	0.14297	0.06009	0.05909
V170	0.25083	0.3747	0.04761	0.18152	0.14533
V171	0.33927	0.05329	0.34756	0.16934	0.09053
V172	0.19444	0.20676	0.06367	0.03099	0.50415
V173	0.23532	0.07146	0.08013	0.41269	0.2004
V174	0.23273	0	0.3316	0.19942	0.23626
V175	0.09081	0.1204	0.11132	0.1934	0.48406
V176	0.3821	0	0	0.56626	0.05164
V177	0.22005	0.00836	0.54767	0.16767	0.05625
V178	0.31123	0.01292	0.44667	0.10326	0.12593
V179	0.11163	0	0	0.05177	0.83661
V180	0.03598	0	0.3378	0.02407	0.60215
V181	0.07138	0.26874	0	0.07495	0.58492
V182	0.56664	0.21425	0.00044	0.1414	0.07727
V183	0.04949	0.89279	0.0027	0	0.05502
V184	0.34166	0	0.2723	0.3203	0.06575
V185	0.10275	0.48295	0.01768	0.13893	0.25769
V186	0.15155	0.15993	0.02113	0.26338	0.40401
V187	0.07041	0.68418	0	0.19034	0.05506
V188	0.85017	0.01058	0.02863	0.06166	0.04895
V189	0.46363	0.21915	0.02954	0.23728	0.0504
V190	0.45096	0.03554	0.20858	0.00549	0.29943
V191	0.23045	0.1983	0	0.41927	0.15199
V192	0.34277	0.16489	0.11699	0.20886	0.16649
V193	0.07817	0.19523	0.50433	0.02833	0.19395
V194	0.29429	0.01584	0.07918	0.11508	0.49562
V195	0.58232	0.15415	0.21745	0	0.04608
V196	0.01935	0	0.04638	0.08522	0.84905
V197	0.05053	0.87778	0.00276	0.01275	0.05617
V198	0.24629	0.20422	0.02921	0.20707	0.3132
V199	0.76872	0	0.19368	0	0.0376
V200	0.77882	0	0.02171	0.00219	0.19727
V201	0.05682	0	0.00892	0.70864	0.22562
V202	0.89265	0.05506	0	0	0.05229
V203	0.54103	0.23986	0.02208	0.03674	0.16029
V204	0.36843	0.04811	0.02772	0.01496	0.54077
V205	0.136	0	0.10978	0.09781	0.65641
V206	0.06628	0.07082	0	0.76592	0.09698
V207	0.0473	0	0	0.86752	0.08519
V208	0.17226	0.20315	0.46051	0.02927	0.13482
V209	0.18071	0	0.08713	0.05823	0.67393
V210	0.0013	0.0236	0.89527	0	0.07983
V211	0.17857	0	0.19321	0.04638	0.58185
V212	0.04662	0.76879	0.06822	0.02161	0.09476
V213	0.11625	0	0.04635	0.2773	0.56009
V214	0.01661	0.55588	0.35704	0	0.07047
V215	0.26864	0.20099	0.12807	0.07716	0.32514
V216	0.0728	0.00638	0.32327	0.05553	0.54201
V217	0.02848	0	0.01392	0.81337	0.14423
V218	0.0883	0.16538	0.26787	0.3463	0.13216
V219	0.1404	0.25333	0.36413	0.18803	0.05411
V220	0.17212	0.72912	0.04999	0	0.04877
V221	0.05664	0.04123	0.48954	0.01252	0.40008
V222	0.03471	0	0	0.07183	0.89346
V223	0.55436	0	0.2903	0.10166	0.05368
V224	0.03898	0.55518	0.01952	0.08016	0.30616
V225	0.7003	0.14528	0.11053	0	0.0439
V226	0.43221	0.52006	0	0	0.04772
V227	0.1057	0.24002	0.00013	0.5692	0.08496
V228	0.62096	0	0.25352	0.04982	0.07571
V229	0.27508	0.38888	0.24352	0.02143	0.0711
V230	0.03304	0	0	0.07209	0.89487
V231	0.05863	0.60966	0.05146	0.15901	0.12124
V232	0.80085	0	0.16139	0	0.03775
V233	0.07561	0	0.13784	0.12009	0.66646
V234	0.02496	0.36245	0.19433	0.34442	0.07385
V235	0.94176	0.00801	0	0	0.05024
V236	0.09773	0	0.61303	0.18873	0.10051
V237	0.1485	0.0473	0.25026	0.32766	0.22628
V238	0.02515	0	0	0.31148	0.66337
V239	0.07054	0.40069	0.04123	0.17758	0.30997
