Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.18052	0.33236	0.21224	0.201	0.07387
V2	0	0.90579	0	0	0.09421
V3	0	0.13327	0.34013	0.5266	0
V4	0	0.07352	0.26458	0.5002	0.16169
V5	0	0.0556	0.08842	0.62284	0.23313
V6	0.17141	0.21632	0.23502	0.3263	0.05095
V7	0	0.10748	0.41155	0.39545	0.08552
V8	0	0.11735	0.78381	0.09885	0
V9	0	0.08875	0.15899	0.73935	0.01291
V10	0.38133	0.13432	0.48435	0	0
V11	0	0.09438	0.13355	0.55755	0.21451
V12	0	0.11518	0.192	0.58241	0.11042
V13	0	0.16547	0	0.68852	0.14601
V14	0	0.12659	0	0.79589	0.07753
V15	0	0	0	0.95038	0.04962
V16	0.47281	0.17616	0	0.26153	0.0895
V17	0	0.36725	0	0.40028	0.23247
V18	0	0.56504	0.15254	0.23082	0.0516
V19	0	0.07064	0.01924	0.65229	0.25783
V20	0	0.08959	0.6268	0.28361	0
V21	0	0.32887	0.09968	0.43451	0.13694
V22	0.87927	0.12073	0	0	0
V23	0	0.11532	0.03514	0.60648	0.24306
V24	0.37654	0.29837	0	0.14139	0.1837
V25	0	0.06759	0	0.77271	0.1597
V26	0.39364	0.42021	0	0.04024	0.14591
V27	0	0.71609	0.11754	0.04646	0.11991
V28	0	0.14259	0.09897	0.73313	0.02531
V29	0	0.05744	0.22012	0.72244	0
V30	0.75297	0.23035	0	0	0.01669
V31	0.28668	0.28686	0	0.28539	0.14106
V32	1	0	0	0	0
V33	0	0.27775	0.00221	0.5011	0.21894
V34	0	0.98473	0	0	0.01527
V35	0	0.81252	0.15349	0	0.03398
V36	0	0.25342	0.16078	0.42839	0.15742
V37	0.80274	0.09035	0	0	0.10691
V38	0	0.17529	0.44193	0.36647	0.01631
V39	0.19615	0.22295	0.35771	0.14042	0.08277
V40	0.06979	0.79848	0	0	0.13172
V41	0	0.93347	0	0	0.06653
V42	0.94305	0.05695	0	0	0
V43	0.39636	0.27294	0.33069	0	0
V44	0	0.40089	0.50581	0.0875	0.0058
V45	0	0.79457	0	0.11437	0.09107
V46	0	0.95242	0	0	0.04758
V47	0	0.11126	0.87034	0.0184	0
V48	0.0109	0.29248	0.16416	0.46054	0.07193
V49	0.34709	0.37255	0.16406	0.06628	0.05002
V50	0	0.14049	0.8523	0.00721	0
V51	0	0.41231	0.17602	0.27868	0.13299
V52	0	0.98126	0	0	0.01874
V53	0	0.13746	0	0.80622	0.05632
V54	0.03632	0.09276	0	0.75098	0.11993
V55	0	0	0	0.94289	0.05711
V56	0	0	0	0.92478	0.07522
V57	0	0.31844	0.55653	0.10301	0.02202
V58	0	0.08585	0.14346	0.60451	0.16618
V59	0.92851	0.07149	0	0	0
V60	0.3007	0.4304	0.04682	0.11452	0.10755
V61	0.05567	0.14794	0.00729	0.59597	0.19312
V62	0	0.12252	0.29543	0.46375	0.11829
V63	0.2914	0.48234	0	0.06861	0.15765
V64	1	0	0	0	0
V65	0	0.13709	0	0.77752	0.08539
V66	0	0.06501	0.02241	0.8775	0.03508
V67	0	0.08054	0.33687	0.4654	0.11719
V68	0.36028	0.2015	0.41301	0.00356	0.02165
V69	0.54729	0.30795	0.14476	0	0
V70	0	0.81361	0	0.08952	0.09687
V71	0	0.92814	0	0	0.07186
V72	0	0.50546	0	0.28651	0.20803
V73	0	0.08268	0.03304	0.79002	0.09426
V74	0	0.02746	0	0.91065	0.0619
V75	0.38514	0.33241	0.28245	0	0
V76	0	0	0	0.94667	0.05333
V77	0	0.11767	0.82449	0.05784	0
V78	0	0.11844	0.85295	0.02861	0
V79	0	0.52492	0	0.31864	0.15644
V80	0	0.88048	0	0	0.11952
V81	0	0.11743	0.87151	0.01106	0
V82	0.0494	0.27601	0	0.59042	0.08418
V83	0	0.14156	0	0.73796	0.12048
V84	0	0.29773	0	0.4593	0.24297
V85	0	0.11121	0.86807	0.02072	0
V86	0	0.33186	0.19452	0.44927	0.02434
V87	0.31461	0.1312	0	0.4678	0.08639
V88	0.1729	0.34019	0	0.3449	0.14201
V89	0	0.21889	0.73182	0.04929	0
V90	0	0.25598	0.05176	0.49193	0.20032
V91	0	0.01879	0	0.94396	0.03725
V92	0.1156	0.19147	0.0208	0.44432	0.2278
V93	0	0.14025	0.08723	0.70612	0.0664
V94	0	0.2444	0	0.57776	0.17784
V95	0	0.34359	0	0.44371	0.2127
V96	0.83337	0.12358	0	0	0.04305
V97	0.03127	0.16604	0.05042	0.53764	0.21464
V98	0	0.48668	0.1195	0.28523	0.10858
V99	0.40357	0.25602	0	0.21849	0.12192
V100	0.46405	0.36243	0	0.03785	0.13567
V101	0	0.98114	0	0	0.01886
V102	0.17344	0.45092	0.07604	0.17684	0.12276
V103	0	0.11668	0.02693	0.58369	0.2727
V104	0	0.53157	0.04747	0.25109	0.16987
V105	0	0.06618	0.06752	0.6299	0.2364
V106	0	0.9289	0.02621	0	0.04489
V107	0	0.33851	0.60417	0.05732	0
V108	0	0.27511	0.72404	0.00085	0
V109	0	0.31617	0.00407	0.52886	0.1509
V110	0.02328	0.74451	0.08376	0.06193	0.08653
V111	0.14873	0.37877	0.4725	0	0
V112	0.01818	0.13807	0.04718	0.69603	0.10054
V113	0.1042	0.14471	0.09977	0.49686	0.15445
V114	0.48722	0.24721	0	0.16275	0.10282
V115	0.96744	0.03256	0	0	0
V116	0	0.05178	0.02764	0.65569	0.26489
V117	0	0.13653	0.73602	0.12745	0
V118	0	0	0	0.94573	0.05427
V119	0.16866	0.20683	0.35477	0.26648	0.00325
V120	0	0.10316	0.72737	0.16947	0
V121	0.04574	0.89631	0	0	0.05795
V122	0	0.48081	0.00975	0.39252	0.11692
V123	0.38751	0.23335	0.00131	0.26306	0.11478
V124	0.07001	0.26966	0.02478	0.47731	0.15824
V125	0	0.57484	0.42167	0	0.00348
V126	0.01843	0.3478	0.19265	0.32855	0.11257
V127	0.12015	0.20072	0.65731	0.02181	0
V128	0.05037	0.94047	0	0	0.00915
V129	0.11111	0.20929	0.24345	0.36064	0.07551
V130	0	0.56056	0	0.32945	0.11
V131	0	0.06439	0.12121	0.79973	0.01468
V132	0.20527	0.10735	0	0.53786	0.14952
V133	0	0.12903	0.50903	0.33972	0.02222
V134	0	0.15714	0.73516	0.1077	0
V135	0	0.19707	0.66497	0.13796	0
V136	1	0	0	0	0
V137	0.98242	0.01758	0	0	0
V138	0.11691	0.31242	0.04334	0.36775	0.15958
V139	0	0.1122	0.05998	0.78698	0.04084
V140	0	0.06311	0.19466	0.55242	0.18981
V141	0	0.31632	0.55451	0.12917	0
V142	0.06439	0.15585	0.32865	0.3693	0.08181
V143	0	0.28226	0.40141	0.29854	0.01778
V144	0.40499	0.42944	0	0.05687	0.1087
V145	0	0.11617	0.83711	0.04673	0
V146	0	0.37306	0	0.49108	0.13585
V147	0	0.20712	0.63337	0.15951	0
V148	0	0.95407	0	0	0.04593
V149	0	0	0	0.94657	0.05343
V150	0	0.38534	0.57826	0.0364	0
V151	0.29329	0.10452	0	0.49033	0.11186
V152	0	0.04631	0.01351	0.89035	0.04983
V153	0.01898	0.37578	0.43543	0.13025	0.03958
V154	0	0.76488	0	0.07598	0.15914
V155	0	0.07084	0.02349	0.87116	0.03451
V156	0	0.15665	0.37737	0.40244	0.06354
V157	0	0.15331	0.14664	0.57208	0.12797
V158	0.0563	0.15592	0.4695	0.2596	0.05869
V159	0	0.2713	0	0.64469	0.08401
V160	0.35775	0.38107	0.03633	0.0873	0.13755
V161	0.08999	0.16652	0.07562	0.44716	0.22071
V162	0	0.12099	0.86822	0.01079	0
V163	0	0.07739	0.03904	0.62849	0.25508
V164	1	0	0	0	0
V165	0.56483	0.41442	0	0	0.02075
V166	0	0.07836	0.15834	0.72473	0.03857
V167	0	0.70736	0	0.18059	0.11205
V168	0	0.12099	0.86822	0.01079	0
V169	0	0.8649	0.0325	0.01315	0.08945
V170	0.09715	0.56753	0	0.21104	0.12428
V171	0.15132	0.27792	0.32292	0.21891	0.02893
V172	0.05982	0.39651	0.05118	0.30176	0.19073
V173	0.05496	0.26373	0.01964	0.55695	0.10473
V174	0.05145	0.16401	0.3333	0.39514	0.0561
V175	0	0.25218	0.10064	0.49609	0.15109
V176	0.19484	0.08015	0	0.63513	0.08988
V177	0.0292	0.21735	0.53766	0.21579	0
V178	0.13183	0.22568	0.44381	0.18039	0.0183
V179	0	0.11992	0.02606	0.58558	0.26845
V180	0	0.09233	0.36342	0.42455	0.1197
V181	0	0.37415	0	0.40069	0.22516
V182	0.47773	0.36964	0	0.04866	0.10398
V183	0	0.98257	0	0	0.01743
V184	0.14747	0.19645	0.24183	0.38355	0.0307
V185	0	0.6051	0	0.25254	0.14235
V186	0	0.3152	0	0.51702	0.16778
V187	0	0.7595	0	0.14796	0.09255
V188	0.876	0.124	0	0	0
V189	0.32154	0.40259	0	0.17736	0.09851
V190	0.30487	0.264	0.20917	0.11641	0.10555
V191	0.04993	0.32244	0	0.51383	0.1138
V192	0.17529	0.38994	0.05055	0.28359	0.10062
V193	0	0.33116	0.48006	0.16625	0.02253
V194	0.13274	0.2073	0.07271	0.41846	0.16879
V195	0.5206	0.30134	0.17806	0	0
V196	0	0.0446	0.09075	0.6322	0.23244
V197	0	0.95532	0	0	0.04468
V198	0.09107	0.38043	0	0.37154	0.15697
V199	0.793	0.07097	0.13603	0	0
V200	0.79999	0.12009	0	0	0.07992
V201	0	0.00088	0	0.91374	0.08538
V202	1	0	0	0	0
V203	0.45208	0.4322	0	0	0.11571
V204	0.23682	0.26157	0.00298	0.28296	0.21566
V205	0	0.15676	0.13819	0.51475	0.19031
V206	0	0.07481	0	0.85653	0.06866
V207	0	0	0	0.95038	0.04962
V208	0.00268	0.41251	0.45484	0.09835	0.03161
V209	0.03096	0.15777	0.12172	0.48423	0.20532
V210	0	0.11	0.86135	0.02865	0
V211	0.02472	0.16845	0.22734	0.41614	0.16334
V212	0	0.90571	0	0	0.09429
V213	0	0.09994	0.05277	0.66291	0.18438
V214	0	0.67659	0.28464	0	0.03877
V215	0.11955	0.40634	0.0962	0.24646	0.13144
V216	0	0.13373	0.33632	0.41236	0.1176
V217	0	0	0	0.94631	0.05369
V218	0	0.29873	0.20596	0.44737	0.04794
V219	0	0.44699	0.29912	0.22871	0.02518
V220	0.03903	0.95111	0	0	0.00986
V221	0	0.15682	0.49648	0.29004	0.05666
V222	0	0.05923	0.03491	0.64541	0.26045
V223	0.43251	0.20809	0.28664	0.05351	0.01925
V224	0	0.63477	0	0.21721	0.14802
V225	0.72323	0.2752	0.00156	0	0
V226	0.39388	0.60612	0	0	0
V227	0	0.29013	0	0.63047	0.07939
V228	0.51777	0.22341	0.23681	0	0.02202
V229	0.1198	0.62424	0.19604	0	0.05992
V230	0	0.04762	0.03581	0.65421	0.26235
V231	0	0.71807	0	0.18804	0.09389
V232	0.83726	0.08405	0.07869	0	0
V233	0	0.11071	0.16654	0.55071	0.17204
V234	0	0.45169	0.10578	0.3907	0.05183
V235	1	0	0	0	0
V236	0	0.14366	0.57106	0.28528	0
V237	0	0.21356	0.21558	0.50546	0.0654
V238	0	0.04241	0	0.75706	0.20053
V239	0	0.5141	0	0.34826	0.13764
V240	0	0.93184	0	0	0.06816
V241	0	0.98176	0	0	0.01824
V242	0	0.41202	0.19346	0.34939	0.04513
V243	0.38635	0.1963	0.33337	0.03538	0.0486
V244	0	0.50582	0.12887	0.26075	0.10456
V245	0	0.96744	0	0	0.03256
V246	0.58038	0.41202	0	0	0.0076
V247	0.0318	0.29063	0.6119	0.06566	0
V248	0	0.75954	0	0.07737	0.16309
V249	0.11212	0.23163	0.1944	0.34469	0.11716
V250	0	0.12391	0.61153	0.26061	0.00395
V251	0.03219	0.18456	0	0.70184	0.08141
V252	0	0.21237	0.47255	0.31501	7e-05
V253	0.157	0.79256	0	0	0.05044
V254	0.44393	0.5213	0	0	0.03478
V255	0.85911	0.14089	0	0	0
V256	0	0.85743	0	0.00463	0.13794
V257	0.33809	0.5288	0.06662	0	0.06648
V258	0	0.45288	0	0.45969	0.08743
V259	0.47733	0.42938	0.09329	0	0
V260	0.13134	0.18416	0.10089	0.41812	0.16549
V261	0	0.11004	0.42098	0.46235	0.00663
V262	0.98125	0.01875	0	0	0
V263	0.80959	0.17875	0	0	0.01166
V264	0	0.95385	0	0	0.04615
V265	0.85554	0.14446	0	0	0
V266	0	0.05249	0.11776	0.6091	0.22065
V267	0	0.07692	0.00823	0.68231	0.23254
V268	0.04906	0.64001	0.04218	0.16892	0.09984
V269	0	0.46536	0.25974	0.23958	0.03532
V270	0	0.00134	0	0.94816	0.0505
V271	0.07333	0.88315	0	0	0.04353
V272	0	0.94858	0	0	0.05142
V273	0.13028	0.1804	0.12097	0.48745	0.08089
V274	0	0.15166	0.02712	0.61859	0.20263
V275	0	0.8652	0.02248	0.02362	0.0887
V276	0	0.10426	0.59246	0.30328	0
V277	0.23649	0.15724	0.60627	0	0
V278	0	0.10317	0.24889	0.61092	0.03702
V279	0	0.04996	0	0.87418	0.07586
V280	0.00452	0.13698	0	0.75981	0.09869
V281	0	0.22879	0	0.71496	0.05625
V282	0	0.9812	0	0	0.0188
V283	0.25267	0.17348	0.10793	0.29211	0.1738
V284	0	0.2179	0.50721	0.2366	0.03828
V285	0.45074	0.54926	0	0	0
V286	0	0.17119	0.77376	0.05505	0
V287	0.09016	0.23092	0.11707	0.46564	0.09621
V288	0.05326	0.1878	0.64882	0.11012	0
V289	0	0.31239	0	0.60042	0.08719
V290	0.34898	0.63033	0.02069	0	0
V291	0.25827	0.32132	0	0.31584	0.10457
V292	0	0.17185	0.41714	0.32077	0.09024
V293	0	0.20193	0.71379	0.08428	0
V294	0	0.05271	0.03621	0.64939	0.26169
V295	0	0.09645	0.22767	0.64894	0.02694
V296	0.90565	0.09435	0	0	0
V297	0	0.11559	0.68565	0.19875	0
V298	0.11238	0.08228	0	0.68875	0.11659
V299	0.06405	0.06676	0	0.79633	0.07286
V300	1	0	0	0	0
V301	1	0	0	0	0
V302	0	0.02266	0	0.8133	0.16404
V303	0	0.30327	0.18373	0.40332	0.10968
V304	0.01531	0.2395	0.74519	0	0
V305	0.07506	0.50864	0.03006	0.24458	0.14165
V306	0.19574	0.80258	0	0	0.00168
V307	0.05331	0.18369	0.19253	0.53782	0.03265
V308	0.07188	0.20172	0.65505	0.07135	0
V309	0.59755	0.22664	0	0.07107	0.10474
V310	0	0.08734	0.01814	0.65041	0.24411
V311	0	0	0	0.95624	0.04376
V312	0	0.38435	0.23578	0.25187	0.128
V313	0	0.35227	0	0.50616	0.14157
V314	0	0.07278	0	0.75311	0.17411
V315	1	0	0	0	0
V316	0	0.75066	0.16192	0	0.08742
V317	0.26483	0.22297	0.5122	0	0
V318	1	0	0	0	0
V319	0	0.218	0.77395	0.00806	0
V320	0	0	0	0.94297	0.05703
V321	0	0.51184	0.21225	0.22732	0.04858
V322	0	0.34683	0.49502	0.15815	0
V323	0.10347	0.42093	0.41309	0.01875	0.04376
V324	0	0.04847	0	0.89746	0.05407
V325	0.57042	0.30749	0	0.0327	0.08939
V326	0	0.09223	0.06994	0.62306	0.21477
V327	0.20214	0.72349	0.01068	0	0.06369
V328	0	0.37685	0.05685	0.51423	0.05207
V329	0	0.12316	0.2679	0.60894	0
V330	0	0.17018	0.78578	0.04404	0
V331	0.00337	0.15545	0.10784	0.53034	0.20299
V332	0.37189	0.17658	0.45153	0	0
V333	0.26122	0.23068	0.27673	0.1816	0.04977
V334	0	0.39242	0.47269	0.13489	0
V335	0.70837	0.24114	0	0	0.05049
V336	0.00444	0.81218	0.17874	0	0.00464
V337	0	0.0514	0.02189	0.70348	0.22323
V338	0.70605	0.20177	0.08239	0	0.0098
V339	0.06278	0.77163	0.10095	0	0.06464
V340	0	0.24965	0.11179	0.46091	0.17765
V341	0	0.5979	0.33979	0.028	0.03431
V342	0.14027	0.35091	0.41418	0.08057	0.01407
