Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.27387	0.18298	0.18809	0.22759	0.12746
V2	0.02458	0.82881	0	0.03698	0.10963
V3	0.01727	0.05852	0.35186	0.51	0.06234
V4	0	0.04565	0.22059	0.23037	0.50339
V5	0	0.03755	0.05504	0.2815	0.62591
V6	0.2713	0.08454	0.20552	0.32703	0.1116
V7	0	0.06059	0.37475	0.2345	0.33017
V8	0	0.04067	0.76293	0.1964	0
V9	0.0079	0.03877	0.19424	0.66872	0.09037
V10	0.46357	0.06624	0.42053	0.04966	0
V11	0.01083	0.06344	0.09729	0.24302	0.58542
V12	0.04506	0.0532	0.17808	0.42433	0.29933
V13	0.09472	0.08713	0.00024	0.50784	0.31006
V14	0.10964	0.04357	0.01742	0.67843	0.15094
V15	0	0.00621	0	0.86203	0.13177
V16	0.53761	0.07781	0	0.33707	0.04751
V17	0.04615	0.28202	0	0.18043	0.4914
V18	0.04604	0.44201	0.18445	0.25727	0.07023
V19	0.0062	0.04556	0	0.28703	0.66121
V20	0	0.01781	0.61988	0.34558	0.01673
V21	0	0.28085	0.10161	0.26713	0.35042
V22	0.89111	0.10889	0	0	0
V23	0.05529	0.06141	0.01098	0.29535	0.57698
V24	0.43706	0.16128	0	0.11353	0.28814
V25	0	0.05286	0	0.5299	0.41724
V26	0.46405	0.25797	0	0.09399	0.18398
V27	0.09538	0.53725	0.12673	0.06235	0.17828
V28	0	0.09661	0.14089	0.65299	0.10951
V29	0	0.01259	0.2498	0.65309	0.08452
V30	0.77153	0.12649	0	0.03374	0.06825
V31	0.36978	0.16655	0	0.28595	0.17773
V32	1	0	0	0	0
V33	0.00086	0.23551	0	0.24691	0.51672
V34	0.0882	0.85436	0	0	0.05744
V35	0.05451	0.65975	0.18454	0.04427	0.05693
V36	0.00114	0.20858	0.1451	0.22353	0.42165
V37	0.80401	0	0	0.03765	0.15834
V38	0.0788	0.06917	0.39877	0.32503	0.12823
V39	0.28493	0.0925	0.28783	0.13084	0.20391
V40	0.19046	0.61329	0	0.09984	0.09642
V41	0.02434	0.86219	0	0	0.11346
V42	0.94452	0.04413	0	0	0.01135
V43	0.47634	0.16815	0.28983	0.06568	0
V44	0	0.32212	0.48911	0.09847	0.0903
V45	0.0091	0.70419	0.03651	0.14328	0.10693
V46	0.08389	0.81762	0	0.01011	0.08838
V47	0	0.02992	0.84267	0.12741	0
V48	0.12318	0.16367	0.15979	0.40733	0.14603
V49	0.43152	0.19703	0.15171	0.18666	0.03308
V50	0	0.05843	0.82553	0.11604	0
V51	0.0768	0.29741	0.15591	0.17348	0.2964
V52	0.02369	0.91797	0	0	0.05834
V53	0	0.15466	0	0.72755	0.11779
V54	0.16487	0.01848	0	0.60612	0.21054
V55	0.01803	0.0029	0	0.85222	0.12685
V56	0.02311	0.00241	0	0.78669	0.18779
V57	0.1101	0.17095	0.48905	0.13848	0.09142
V58	0.04242	0.03384	0.11623	0.35726	0.45025
V59	0.93856	0.06144	0	0	0
V60	0.38496	0.25843	0.05442	0.18192	0.12027
V61	0.1625	0.05481	0	0.35998	0.42271
