Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.34502	0.11376	0.26638	0.12414	0.15069
V2	0.05395	0.77786	0.05788	0.04748	0.06284
V3	0.07752	0.00529	0.44431	0.41079	0.06209
V4	0.01862	0	0.24854	0.05243	0.68041
V5	0.02231	0	0.05607	0.10119	0.82043
V6	0.35827	0.00472	0.28676	0.21756	0.13269
V7	0.01378	0.02489	0.44148	0.06888	0.45097
V8	0.00855	0.0324	0.85671	0.05652	0.04582
V9	0.0722	0	0.25575	0.60587	0.06618
V10	0.46816	0.02042	0.46904	0	0.04239
V11	0.04574	0	0.10734	0.06596	0.78096
V12	0.09518	0	0.22705	0.30198	0.37579
V13	0.15113	0.02681	0.03538	0.4206	0.36608
V14	0.17472	0	0.06567	0.62645	0.13316
V15	0.04674	0.01049	0	0.84119	0.10157
V16	0.58021	0.06153	0.01062	0.30532	0.04231
V17	0.07533	0.2454	0.01469	0.05755	0.60703
V18	0.08843	0.41082	0.26177	0.1953	0.04367
V19	0.03862	0	0	0.11598	0.84541
V20	0.00461	0.00593	0.7207	0.21019	0.05856
V21	0.03007	0.25389	0.13679	0.15989	0.41935
V22	0.81354	0.07953	0.06663	0	0.0403
V23	0.09281	0	0.01831	0.13654	0.75234
V24	0.47982	0.10981	0.01939	0.03437	0.35661
V25	0.04308	0.00847	0.01093	0.42677	0.51075
V26	0.49147	0.19758	0.06449	0.02756	0.2189
V27	0.1218	0.50094	0.19175	0	0.18551
V28	0.04779	0.05949	0.19991	0.60315	0.08966
V29	0.0192	0	0.32432	0.58001	0.07646
V30	0.74879	0.10232	0.02844	0.00599	0.11446
V31	0.44051	0.13227	0.01128	0.22105	0.19489
V32	0.92441	0.00193	0.00613	0	0.06753
V33	0.03374	0.19358	0.0142	0.11735	0.64113
V34	0.11169	0.84268	0.01305	0.00201	0.03057
V35	0.08899	0.61004	0.25687	0.01612	0.02798
V36	0.03619	0.16548	0.17685	0.08881	0.53267
V37	0.7651	0	0	0	0.2349
V38	0.13154	0.01404	0.49284	0.189	0.17258
V39	0.3462	0.01859	0.34952	0	0.2857
V40	0.21902	0.61281	0.02249	0.08926	0.05643
V41	0.04852	0.83964	0.02068	0.00135	0.0898
V42	0.86778	0.03479	0.02014	0	0.07729
V43	0.48925	0.11866	0.35758	0.00224	0.03228
V44	0.03155	0.28267	0.55782	0	0.12796
V45	0.04077	0.66537	0.09911	0.12707	0.06768
V46	0.10822	0.75726	0.07324	0.02069	0.04059
V47	0	0.03535	0.91023	0	0.05442
V48	0.17924	0.11334	0.22773	0.32096	0.15873
V49	0.47601	0.13267	0.23332	0.12117	0.03684
V50	0.01698	0.05193	0.88757	0	0.04351
V51	0.11051	0.2582	0.20734	0.05835	0.36559
V52	0.0511	0.89644	0.01433	0.00525	0.03288
V53	0.04817	0.15984	0.00495	0.7096	0.07744
V54	0.23327	0	0.00387	0.54192	0.22093
V55	0.09383	0	0	0.81795	0.08822
V56	0.09015	0	0	0.7365	0.17335
V57	0.15766	0.12008	0.57458	0.0096	0.13808
V58	0.08005	0	0.13587	0.20508	0.57899
V59	0.86221	0.01703	0.09097	0	0.02978
V60	0.43849	0.19278	0.13012	0.11034	0.12827
V61	0.21351	0	0.02225	0.22564	0.53859
V62	0.07078	0.00436	0.31647	0.13516	0.47323
V63	0.40999	0.25335	0.06612	0.02409	0.24644
V64	0.92098	0.02366	0.02174	0	0.03362
V65	0.10645	0.06141	0.03587	0.61005	0.18622
V66	0.04628	0	0.12601	0.74291	0.0848
V67	0.01634	0	0.3557	0.09686	0.53111
V68	0.47753	0	0.40897	0.01504	0.09846
V69	0.60594	0.1079	0.20749	0	0.07868
V70	0.06222	0.70213	0.04876	0.13954	0.04735
V71	0.09081	0.77261	0.04945	0.05117	0.03596
V72	0.04678	0.40403	0.02719	0.03638	0.48563
V73	0.07646	0	0.09711	0.57178	0.25465
V74	0.03647	0.0476	0.00368	0.76445	0.1478
V75	0.47255	0.17763	0.3132	0	0.03662
V76	0.03305	0	0.01084	0.81669	0.13942
V77	0.01754	0.02623	0.88802	0.02257	0.04565
V78	0	0.04276	0.9032	0	0.05405
V79	0.08749	0.40058	0.04395	0.13753	0.33046
V80	0.12023	0.72941	0.01019	0.04299	0.09717
V81	0.00623	0.03637	0.91094	0	0.04646
V82	0.2495	0.14506	0.02775	0.51456	0.06313
V83	0.11839	0.06024	0.01838	0.54129	0.2617
V84	0.10732	0.15769	0.00422	0.06366	0.66711
V85	0	0.03655	0.91507	0	0.04838
V86	0.03486	0.23949	0.30299	0.36493	0.05773
V87	0.47453	0	0.03954	0.42358	0.06234
V88	0.32831	0.14582	0.05537	0.19068	0.27982
V89	0.04181	0.10989	0.78922	0.01947	0.03961
V90	0.03127	0.17215	0.05921	0.11374	0.62362
V91	0.03055	0	0.07286	0.80942	0.08716
V92	0.26348	0.01379	0.02676	0.06065	0.63532
V93	0.02904	0.06783	0.16294	0.51185	0.22833
V94	0.05413	0.15833	0.02123	0.24956	0.51675
V95	0.0749	0.22404	0.02267	0.11378	0.56461
V96	0.81378	0	0.02579	0.00807	0.15235
V97	0.18419	0.00258	0.04501	0.128	0.64022
V98	0.05992	0.36945	0.1871	0.11965	0.26388
V99	0.52564	0.121	0.00368	0.20792	0.14176
V100	0.55069	0.15225	0.05429	0.0408	0.20196
V101	0.05901	0.88403	0.02138	0.00393	0.03165
V102	0.3232	0.2295	0.14317	0.09733	0.2068
V103	0.13954	0	0	0.06649	0.79398
V104	0.05374	0.41156	0.08955	0.03469	0.41046
V105	0.02544	0	0.03873	0.11193	0.82389
V106	0.04912	0.74708	0.14926	0.00042	0.05412
V107	0.0475	0.21582	0.66592	0.0282	0.04256
V108	0.01325	0.18394	0.76459	0	0.03822
V109	0.07424	0.20474	0.05779	0.28101	0.38223
V110	0.17457	0.49843	0.1891	0.09499	0.04291
V111	0.28144	0.2195	0.4728	0	0.02627
V112	0.19521	0	0.10226	0.46658	0.23596
V113	0.25537	0	0.10412	0.1574	0.48311
V114	0.5925	0.05825	0.0517	0.16033	0.13721
V115	0.87609	0	0.00283	0	0.12108
V116	0.02702	0	0	0.08632	0.88667
V117	0.05031	0.02056	0.8034	0.06305	0.06268
V118	0.06394	0	0	0.82958	0.10648
V119	0.34322	0.00233	0.39897	0.21716	0.03832
V120	0.00999	0.01279	0.80819	0.09376	0.07528
V121	0.18523	0.72161	0.01005	0.00273	0.08038
V122	0.04519	0.38349	0.08922	0.22895	0.25314
V123	0.51988	0.01733	0.07896	0.18261	0.2012
V124	0.23281	0.09148	0.06412	0.22852	0.38307
V125	0.03825	0.44179	0.48228	0	0.03767
V126	0.16719	0.16996	0.22972	0.11411	0.31901
V127	0.2831	0	0.65161	0.02659	0.0387
V128	0.19119	0.75155	0.01786	0	0.0394
V129	0.28676	0.01385	0.28172	0.16788	0.24979
V130	0.03994	0.50191	0.04638	0.2171	0.19468
V131	0.03393	0	0.22441	0.66814	0.07352
V132	0.375	0	0	0.34026	0.28475
V133	0.00986	0.04409	0.56689	0.08518	0.29398
V134	0.07169	0.02771	0.78049	0.00781	0.1123
V135	0.02318	0.10132	0.72535	0.01319	0.13697
V136	0.94189	0.0132	0.0076	0	0.03732
V137	0.8998	0.03145	0.00631	0.00759	0.05485
V138	0.26731	0.12557	0.08364	0.13933	0.38414
V139	0.13539	0	0.1503	0.64197	0.07235
V140	0.03576	0	0.15977	0.05987	0.7446
V141	0.0188	0.21553	0.64044	0.0798	0.04542
V142	0.22478	0	0.33956	0.12541	0.31026
V143	0.02496	0.18552	0.49002	0.13255	0.16695
V144	0.51257	0.20852	0.07304	0.10461	0.10126
V145	0	0.04002	0.89809	0.00019	0.0617
V146	0.04862	0.34175	0.00795	0.31001	0.29167
V147	0.09809	0.06219	0.68585	0.0875	0.06637
V148	0.148	0.77022	0.01853	0.02164	0.04161
V149	0.03527	0	0	0.82942	0.1353
V150	0.1417	0.18352	0.58226	0	0.09253
V151	0.45426	0	0.00632	0.39185	0.14756
V152	0.03523	0	0.10598	0.7198	0.13899
V153	0.17582	0.17087	0.46986	0.03645	0.14701
V154	0.1194	0.59489	0.0309	0.03148	0.22333
V155	0.0561	0	0.12558	0.73468	0.08364
V156	0.11211	0.0097	0.41715	0.15046	0.31058
V157	0.11122	0.01975	0.17641	0.28709	0.40554
V158	0.20606	0	0.45985	0.04125	0.29284
V159	0.12897	0.2094	0.01264	0.55893	0.09007
V160	0.47491	0.14609	0.10054	0.03727	0.24119
V161	0.2376	0	0.06189	0.04536	0.65515
V162	0	0.04743	0.90544	0	0.04713
V163	0.06658	0	0.00681	0.09981	0.8268
V164	0.8988	0.05849	0.01482	0	0.0279
V165	0.60883	0.20608	0.08868	0.03167	0.06474
