Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.37092	0.12896	0.2224	0.11736	0.16036
V2	0.08434	0.78269	0.03617	0.04264	0.05416
V3	0.09008	0	0.42302	0.44113	0.04577
V4	0.01829	0	0.19943	0.042	0.74028
V5	0.0197	0	0.04647	0.07941	0.85441
V6	0.38069	0.02312	0.24528	0.21266	0.13824
V7	0.01978	0	0.38589	0.0654	0.52893
V8	0.02146	0	0.91106	0.06472	0.00276
V9	0.0769	0	0.23966	0.62792	0.05551
V10	0.52575	0.03436	0.42289	0	0.01699
V11	0.04083	0	0.08277	0.05163	0.82477
V12	0.09545	0	0.1899	0.28439	0.43025
V13	0.14464	0.03307	0.0276	0.38387	0.41081
V14	0.17929	0	0.06103	0.61501	0.14468
V15	0.04316	0.0032	0.00091	0.85052	0.10221
V16	0.57247	0.12435	0.00241	0.27255	0.02822
V17	0.07682	0.2164	0.00534	0.04459	0.65686
V18	0.1219	0.41053	0.2359	0.20383	0.02784
V19	0.03253	0	0	0.08988	0.87759
V20	0.01049	0	0.7293	0.23195	0.02826
V21	0.03956	0.22251	0.10914	0.14601	0.48278
V22	0.78992	0.14272	0.04724	0	0.02012
V23	0.08236	0.00142	0.01376	0.1098	0.79266
V24	0.44917	0.14604	0.00741	0.02189	0.37549
V25	0.03706	0.00604	0.00985	0.38043	0.56661
V26	0.48093	0.23035	0.04136	0.01779	0.22957
V27	0.15489	0.47932	0.15795	0	0.20783
V28	0.05335	0.03709	0.18858	0.63233	0.08866
V29	0.01904	0	0.30957	0.60602	0.06537
V30	0.70856	0.17319	0.01274	0	0.1055
V31	0.42987	0.16742	0.0018	0.19398	0.20692
V32	0.88579	0.06455	0.00059	0	0.04908
V33	0.03532	0.16673	0.00705	0.09617	0.69474
V34	0.14882	0.84316	0	0	0.00802
V35	0.13043	0.61813	0.23347	0.01361	0.00436
V36	0.04274	0.13569	0.14153	0.07751	0.60254
V37	0.70224	0.06513	0	0	0.23263
V38	0.15467	0	0.45383	0.19806	0.19345
V39	0.36102	0.02893	0.29081	0	0.31924
V40	0.25266	0.616	0.0036	0.08075	0.04698
V41	0.07989	0.83234	0.00178	0	0.08599
V42	0.82305	0.10536	0.00933	0	0.06226
V43	0.53768	0.14499	0.30982	0	0.00751
V44	0.06153	0.24959	0.55363	0	0.13525
V45	0.06923	0.66535	0.07704	0.12627	0.06212
V46	0.14475	0.76554	0.05024	0.01507	0.0244
V47	0.00694	0	0.9866	0	0.00646
V48	0.199	0.1084	0.19679	0.32039	0.17542
V49	0.50853	0.16952	0.19289	0.11088	0.01819
V50	0.03609	0	0.96391	0	0
V51	0.12611	0.23303	0.16744	0.05219	0.42122
V52	0.08552	0.90456	0	0	0.00992
V53	0.05074	0.15664	0.00413	0.71459	0.0739
V54	0.23268	0	0.00646	0.51285	0.24801
V55	0.09424	0	0	0.81901	0.08676
V56	0.08893	0	0.00376	0.71392	0.19339
V57	0.20064	0.09044	0.5493	0.01175	0.14787
V58	0.07676	0	0.11081	0.17852	0.63391
V59	0.83432	0.09008	0.06812	0	0.00749
V60	0.45042	0.22578	0.098	0.09643	0.12938
V61	0.19825	0.00472	0.01777	0.19339	0.58587
V62	0.07257	0	0.26178	0.12392	0.54173
V63	0.40838	0.26924	0.04268	0.01572	0.26399
V64	0.89845	0.07771	0.01396	0	0.00989
V65	0.10715	0.06003	0.03083	0.59286	0.20913
V66	0.04505	0	0.121	0.75288	0.08106
V67	0.01726	0	0.29552	0.08642	0.6008
V68	0.51828	0.02071	0.3571	0.01216	0.09176
V69	0.6117	0.16303	0.16056	0	0.06472
V70	0.09175	0.70658	0.02852	0.13734	0.03581
V71	0.12573	0.78092	0.0283	0.04571	0.01934
V72	0.05777	0.36084	0.01275	0.02741	0.54124
V73	0.0747	0	0.08708	0.54748	0.29074
V74	0.03309	0.03987	0.00632	0.7594	0.16132
V75	0.51736	0.20195	0.26731	0	0.01338
V76	0.02765	0	0.01634	0.80746	0.14856
V77	0.03185	0	0.94246	0.02569	0
V78	0.00882	0	0.98353	0	0.00765
V79	0.10116	0.37295	0.02602	0.12357	0.3763
V80	0.15215	0.71524	0	0.03569	0.09691
V81	0.01966	0	0.98034	0	0
V82	0.2615	0.16371	0.01988	0.4998	0.05511
V83	0.11635	0.06056	0.01466	0.51153	0.29689
V84	0.10107	0.14015	0	0.04878	0.71
V85	0.00729	0	0.99271	0	0
V86	0.05307	0.22146	0.2875	0.39357	0.04441
V87	0.47707	0.03816	0.03198	0.39882	0.05397
V88	0.32317	0.16533	0.03743	0.16782	0.30624
V89	0.07288	0.04317	0.85924	0.02471	0
V90	0.03363	0.1463	0.04329	0.09486	0.68192
V91	0.02614	0	0.07397	0.81677	0.08313
V92	0.23488	0.03673	0.01643	0.04567	0.66628
V93	0.031	0.04584	0.14674	0.51154	0.26488
V94	0.05405	0.14112	0.01338	0.21933	0.57211
V95	0.07631	0.20007	0.01194	0.09474	0.61694
V96	0.75532	0.08456	0.01303	0	0.14709
V97	0.16543	0.01792	0.03179	0.10414	0.68073
V98	0.08043	0.34283	0.15462	0.11409	0.30804
V99	0.51178	0.16461	0	0.17997	0.14364
V100	0.53176	0.19745	0.03353	0.02862	0.20863
V101	0.09354	0.89359	0.00386	0	0.00901
V102	0.33701	0.24046	0.1099	0.08654	0.22609
