Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.04835	0.09077	0.86087	0	0	0
V2	0.66358	0.18641	0	0.12987	0.02014	0
V3	0	0.09477	0.1937	0	0	0.71153
V4	0.22052	0.56311	0	0.14118	0.02313	0.05205
V5	0	0.06199	0	0.76667	0.17134	0
V6	0.09044	0.06907	0.17518	0.08151	0.07661	0.5072
V7	0	0.45858	0	0.08265	0.45877	0
V8	0.81338	0.11615	0	0.07047	0	0
V9	0.22521	0.23552	0	0.29412	0	0.24514
V10	0.51446	0.11574	0	0.3698	0	0
V11	0	0.9608	0	0.0392	0	0
V12	0	0.02586	0.01132	0.01429	0	0.94853
V13	0	0.63984	0.36016	0	0	0
V14	0	0.08098	0	0.91902	0	0
V15	0.57384	0.14688	0	0.1627	0.11658	0
V16	0	0.0685	0	0.55628	0.2956	0.07963
V17	0	0.04261	0.11766	0	0	0.83973
V18	0.80219	0.19781	0	0	0	0
V19	0.68666	0.1238	0.16813	0.01848	0.00293	0
V20	0.74547	0.1298	0.03652	0.08821	0	0
V21	0	0.04555	0	0.03313	0	0.92131
V22	0.16937	0.12935	0	0.14788	0.55341	0
V23	0	0.08758	0.36437	0.07377	0.47428	0
V24	0.12144	0.09039	0	0.21197	0.5762	0
V25	0.51124	0.35083	0	0.13793	0	0
V26	0.27508	0.10061	0	0.06486	0.55945	0
V27	0	0.00969	0.16093	0	0	0.82937
V28	0	0.3371	0.17368	0.28466	0	0.20456
V29	0	0.73615	0.08657	0.07181	0	0.10546
V30	0.20333	0.27375	0.10403	0.03266	0.17991	0.20632
V31	0.774	0.09365	0.13235	0	0	0
V32	0	0.06088	0.36379	0.57533	0	0
V33	0.26204	0.49609	0.24187	0	0	0
V34	0	0.03356	0.57913	0.07119	0.31612	0
V35	0	0.09231	0.18806	0.68187	0.03776	0
V36	0.02797	0.62048	0.129	0.05621	0.16634	0
V37	0	0.06108	0.83308	0	0	0.10584
V38	0	0.00165	0.10727	0	0	0.89108
V39	0.63694	0.11863	0	0.24443	0	0
V40	0	0.6282	0	0.24977	0.05945	0.06258
V41	0.78295	0.0823	0	0	0	0.13474
V42	0.27002	0.08723	0.58555	0	0	0.0572
V43	0.21204	0.50911	0	0.07924	0.18869	0.01092
V44	0.00599	0.98141	0	0.0126	0	0
V45	0.4948	0.38898	0.00598	0.01017	0	0.10008
V46	0	0.04509	0	0.40584	0.29811	0.25096
V47	0	0.53158	0	0.24347	0.2042	0.02074
V48	0	0.72017	0.23567	0.03579	0.00837	0
V49	0	0.92313	0	0.06132	0.01554	0
V50	0	0.05149	0.28598	0.08648	0.57606	0
V51	0	0.01803	0	0.1165	0.86547	0
