Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.14943	0	0.85057	0	0	0
V2	0.83576	0	0.16424	0	0	0
V3	0.31584	0	0.14149	0	0	0.54268
V4	0.35629	0.55117	0.09253	0	0	0
V5	0.15956	0	0.15767	0.33257	0.3502	0
V6	0.42014	0	0.24509	0	0.04438	0.29038
V7	0.08281	0.37429	0.15267	0	0.39022	0
V8	0.91499	0	0.08501	0	0	0
V9	0.57436	0.12485	0.0894	0	0.07048	0.14091
V10	0.7161	0	0.23984	0	0.04406	0
V11	0	1	0	0	0	0
V12	0.17141	0	0	0	0	0.82859
V13	0.04441	0.63091	0.32467	0	0	0
V14	0.23392	0	0.12505	0.54408	0.09694	0
V15	0.73428	0	0.21091	0	0.05481	0
V16	0.31473	0	0.16821	0.10354	0.41351	0
V17	0.2318	0	0.07224	0	0	0.69596
V18	0.99558	0	0.00442	0	0	0
V19	0.72987	0	0.27013	0	0	0
V20	0.84027	0	0.15973	0	0	0
V21	0.20498	0	0	0	0	0.79502
V22	0.34023	0	0.23666	0	0.42311	0
V23	0.1304	0	0.54045	0	0.32915	0
V24	0.28884	0	0.23411	0	0.47705	0
V25	0.66181	0.25331	0.08488	0	0	0
V26	0.37105	0	0.25939	0	0.36956	0
V27	0.19283	0	0.11994	0	0	0.68723
V28	0.3673	0.24018	0.25175	0	0.08484	0.05593
V29	0.11691	0.81151	0.07158	0	0	0
V30	0.58175	0.09154	0.23986	0	0.07562	0.01123
V31	0.80182	0	0.19818	0	0	0
V32	0.23054	0	0.49937	0.16717	0.10291	0
V33	0.35828	0.42096	0.22075	0	0	0
V34	0.07392	0	0.68745	0	0.23863	0
V35	0.22833	0	0.33787	0.21233	0.22147	0
V36	0.11429	0.56111	0.23786	0	0.08674	0
V37	0.2133	0	0.7867	0	0	0
V38	0.17574	0	0.06634	0	0	0.75793
V39	0.83262	0	0.16738	0	0	0
V40	0.15707	0.64978	0.0835	0	0.10965	0
V41	0.99483	0	0.00517	0	0	0
V42	0.43211	0	0.56789	0	0	0
V43	0.33141	0.43419	0.12518	0	0.10922	0
V44	0	1	0	0	0	0
V45	0.68637	0.30421	0.00943	0	0	0
V46	0.33355	0	0.15907	0.01088	0.37759	0.1189
V47	0.16383	0.48838	0.10251	0	0.24529	0
V48	0	0.75507	0.24493	0	0	0
V49	0	1	0	0	0	0
V50	0.13253	0	0.47653	0	0.39094	0
V51	0.02017	0	0.28521	0	0.69462	0
V52	0.02711	0.65912	0.31377	0	0	0
V53	0.21173	0	0.33631	0	0.45196	0
V54	0.28217	0	0.71783	0	0	0
V55	0.06254	0	0.36405	0	0.57341	0
V56	0.08292	0	0.91708	0	0	0
V57	0.34659	0.35125	0.09844	0	0.00668	0.19703
V58	0.09263	0	0.90737	0	0	0
V59	0.19215	0	0.11113	0.56625	0.13047	0
V60	0.73216	0	0.18533	0.05179	0.03073	0
