Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.08575	0.03587	0.87837	0	0	0
V2	0.69182	0.09447	0	0.1001	0.11361	0
V3	0.15559	0	0.27168	0.01374	0	0.55899
V4	0.25466	0.46457	0	0.13866	0.09437	0.04774
V5	0	0.04473	0.00848	0.65632	0.29046	0
V6	0.21269	0	0.21038	0.07198	0.12855	0.3764
V7	0	0.37559	0	0.05099	0.57343	0
V8	0.86749	0.01587	0	0.11664	0	0
V9	0.36286	0.1325	0	0.33652	0	0.16811
V10	0.5502	0.03311	0.0614	0.33939	0.01589	0
V11	0	0.8314	0.05331	0.08745	0.00687	0.02098
V12	0.06529	0	0.06415	0.05103	0	0.81953
V13	0.01047	0.53382	0.41912	0.0366	0	0
V14	0.00984	0.07334	0.05939	0.85742	0	0
V15	0.61419	0.04294	0	0.12864	0.21422	0
V16	0.06388	0	0	0.48397	0.40193	0.05021
V17	0.07575	0	0.19443	0.01966	0	0.71016
V18	0.86329	0.10693	0	0.02917	0.00061	0
V19	0.68705	0.03434	0.18139	0.00101	0.09621	0
V20	0.77398	0.03176	0.08237	0.11189	0	0
V21	0.10408	0	0.01167	0.07961	0	0.80465
V22	0.22584	0.03041	0	0.08394	0.65982	0
V23	0.04571	0.02068	0.36955	0.01079	0.55326	0
V24	0.1825	0	0	0.13612	0.68139	0
V25	0.55277	0.26088	0	0.15544	0.03091	0
V26	0.32435	0.00544	0	0.00784	0.66236	0
V27	0.01872	0	0.23743	0.02951	0	0.71435
V28	0.05646	0.26244	0.24007	0.28861	0	0.15242
V29	0	0.62756	0.15278	0.11215	0	0.10751
V30	0.2845	0.16826	0.12628	0.02348	0.2558	0.14169
V31	0.79162	0	0.18819	0.02019	0	0
V32	0	0.02472	0.46251	0.51277	0	0
V33	0.27493	0.39485	0.30428	0.02594	0	0
V34	0	0	0.56848	0.02387	0.40766	0
V35	0	0.0522	0.27124	0.56835	0.1082	0
V36	0.05071	0.50709	0.15942	0.04107	0.24172	0
V37	0.02875	0.01262	0.88295	0	0	0.07568
V38	0.0317	0	0.18169	0.02162	0	0.76499
V39	0.70152	0.0283	0	0.27018	0	0
V40	0	0.5443	0.0202	0.23577	0.12439	0.07535
V41	0.90593	0	0	0.02631	0	0.06777
V42	0.32979	0	0.63778	0	0.02104	0.0114
V43	0.24396	0.4002	0	0.06654	0.27893	0.01037
V44	0	0.84753	0.0417	0.0694	0	0.04137
V45	0.56252	0.2804	0.04444	0.05493	0	0.05771
V46	0.02762	0	0.00374	0.35906	0.39528	0.2143
V47	0.0182	0.44308	0	0.21313	0.29243	0.03316
V48	0	0.59914	0.27531	0.04036	0.08519	0
V49	0	0.79883	0.03179	0.07415	0.08095	0.01428
V50	0.01626	0	0.30505	0.02478	0.65391	0
V51	0	0	0	0.04523	0.95477	0
V52	0	0.54828	0.36814	0.07045	0.01313	0
V53	0.15902	0.00082	0.0716	0.03868	0.72987	0
V54	0.04894	0.11722	0.70494	0.04267	0.06365	0.02258
V55	0	0.01616	0.10922	0.05168	0.82293	0
V56	0	0.03902	0.84546	0.10014	0.01537	0
V57	0.13216	0.35502	0.04719	0.04656	0.13005	0.28902
V58	0.00917	0.0366	0.94867	0.00339	0	0.00217
V59	0	0.0603	0.0412	0.8985	0	0
V60	0.56959	0.02596	0.00609	0.39835	0	0
V61	0.41394	0.07831	0	0.24109	0.01732	0.24935
V62	0.70079	0	0.07219	0.14137	0.08565	0
V63	0	0.53741	0.02007	0.13998	0	0.30254
V64	0	0.06483	0	0.02781	0.90735	0
V65	0.73579	0.06559	0.01189	0.05993	0.02255	0.10425
V66	0.54964	0.02101	0.11184	0.01981	0.2977	0
V67	0.00168	0.1422	0.4324	0.25983	0	0.16389
V68	0.93656	0.01072	0	0.04957	0.00315	0
V69	0.71367	0	0	0.03311	0	0.25323
V70	0	0.04128	0.31726	0.60197	0.03949	0
V71	0.01592	0.24217	0.01742	0.15968	0.44505	0.11976
V72	0.75742	0.07302	0.06921	0.04073	0.05962	0
V73	0	0.05548	0.16946	0.77507	0	0
V74	0	0.13611	0.05089	0.813	0	0
V75	0	0.83561	0.02301	0.11478	0.0266	0
V76	0	0.0221	0.78455	0.0252	0.16815	0
V77	0.09811	0.1512	0.16186	0.58882	0	0
V78	0.70311	0.06765	0.05295	0.15819	0	0.0181
V79	0	0.55296	0.02206	0.03726	0	0.38773
V80	0	0.58875	0.01142	0.0605	0	0.33934
V81	0.81541	0.07756	0.06747	0.02336	0.0162	0
V82	0	0.75628	0.02282	0.12126	0.09964	0
V83	0.17979	0.14716	0.02778	0.48593	0.15934	0
V84	0.40701	0.02507	0.12059	0.44246	0.00488	0
V85	0.88963	0.01133	0.07562	0.01954	0.00387	0
V86	0.31896	0	0.17417	0.34065	0	0.16622
V87	0	0.02772	0.0751	0.89718	0	0
V88	0.08091	0.01231	0.02132	0.66197	0.00081	0.22268
V89	0.02486	0.13442	0.5782	0	0	0.26251
V90	0.01511	0.65254	0.18821	0.05467	0.06173	0.02774
V91	0.03082	0.00592	0.02385	0.13124	0.80816	0
V92	0	0.04063	0	0.03908	0.92029	0
V93	0.24467	0.00707	0	0.15811	0.29369	0.29645
V94	0	0.01163	0.35876	0.62961	0	0
V95	0	0	0.34959	0.12008	0.53033	0
V96	0.01831	0.36542	0	0.09447	0.37506	0.14674
V97	0	0	0	0.09592	0.90408	0
V98	0	0.09487	0.03719	0.79649	0.07145	0
V99	0	0.02731	0.05441	0.91827	0	0
V100	0	0.01396	0.58597	0.26502	0.13505	0
V101	0	0.31372	0.58561	0.10067	0	0
V102	0.86255	0.02009	0.09742	0.01769	0.00225	0
V103	0.75776	0.01937	0.00237	0.17057	0.04993	0
V104	0	0.02895	0.31776	0.65328	0	0
V105	0.03823	0	0.10444	0.03177	0	0.82556
V106	0.00281	0	0.74063	0	0	0.25655
V107	0.04269	0.61007	0.32171	0.02553	0	0
V108	0.04637	0	0.03617	0.07343	0.21459	0.62944
V109	0.02529	0	0.00132	0.07254	0.17701	0.72384
V110	0.0237	0.15049	0.82581	0	0	0
V111	0	0.03527	0.93981	0.02104	0.00388	0
V112	0	0.3289	0.01521	0.65589	0	0
V113	0	0.08847	0.73937	0.03035	0.14181	0
V114	0.11896	0.03568	0.73744	0.10792	0	0
V115	0.59579	0.00264	0	0.07024	0.13624	0.19509
V116	0.92094	0.01182	0	0.06584	0.0014	0
V117	0.5965	0.01029	0	0.09894	0.29426	0
V118	0	0.66182	0.16614	0.09192	0.07184	0.00829
V119	0	0.80333	0.04345	0.12041	0	0.03281
V120	0.07021	0.21474	0.15645	0.4774	0.0812	0
V121	0.37889	0	0	0.31332	0	0.30779
V122	0.31107	0.05722	0.02162	0.59393	0.01616	0
V123	0.39603	0	0	0.09586	0.12263	0.38549
V124	0	0.00096	0.31843	0.02259	0.65802	0
V125	0	0.14393	0.79218	0.04423	0	0.01967
V126	0.03042	0.22038	0.07071	0.04676	0	0.63173
V127	0.0136	0.04174	0.87059	0.07406	0	0
V128	0.37964	0.24372	0.13281	0.18305	0.06077	0
V129	0	0.03274	0.90441	0.06285	0	0
V130	0.59404	0.12045	0	0.26545	0.02006	0
V131	0.04628	0	0	0.04856	0.84601	0.05915
V132	0	0.42713	0.5201	0.01606	0.03671	0
V133	0.01038	0.19532	0.68354	0.07691	0.03385	0
V134	0.20292	0.611	0.00776	0.06382	0.10319	0.01131
V135	0.06275	0.01554	0.84383	0	0.02786	0.05002
V136	0.06594	0.69674	0.11897	0.0737	0.03146	0.0132
V137	0	0.15339	0.64656	0.01137	0.18869	0
V138	0.08104	0	0.0263	0.51863	0.03885	0.33518
V139	0.02945	0.00474	0.17817	0.0374	0.50991	0.24032
V140	0.66927	0.19784	0.04106	0.09183	0	0
V141	0.26589	0.26462	0.17047	0.29549	0.00353	0
V142	0.09783	0.69606	0.03066	0.11532	0	0.06012
V143	0.04648	0.07407	0.72455	0.0666	0.0883	0
V144	0.08201	0.12401	0.01285	0.18165	0	0.59948
