Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.16219	0	0.83781	0	0	0
V2	0.78753	0.15449	0.00031	0.00468	0.05299	0
V3	0.18918	0.03162	0.15067	0	0	0.62853
V4	0.26787	0.64112	0	0.0265	0.06451	0
V5	0	0.06115	0	0.80057	0.13828	0
V6	0.32256	0.00359	0.1817	0	0.1074	0.38475
V7	0	0.50903	0	0	0.49097	0
V8	0.91851	0.08149	0	0	0	0
V9	0.40688	0.25455	0	0.24078	0	0.09779
V10	0.60693	0.08213	0.00335	0.30759	0	0
V11	0	1	0	0	0	0
V12	0.05128	0	0	0	0	0.94872
V13	0	0.71183	0.28817	0	0	0
V14	0	0.08414	0	0.91586	0	0
V15	0.6844	0.11034	0	0.05341	0.15184	0
V16	0.11272	0.04856	0	0.53283	0.3059	0
V17	0.10007	0.00092	0.08043	0	0	0.81857
V18	0.81734	0.18266	0	0	0	0
V19	0.80288	0.04999	0.14714	0	0	0
V20	0.8606	0.08722	0.05218	0	0	0
V21	0.08646	0.01467	0	0	0	0.89886
V22	0.27692	0.06413	0	0.06285	0.5961	0
V23	0.10749	0	0.37456	0	0.51795	0
V24	0.23158	0.01661	0	0.13986	0.61195	0
V25	0.58091	0.37709	0	0.042	0	0
V26	0.40121	0.01375	0	0	0.58504	0
V27	0.04488	0	0.1328	0	0	0.82233
V28	0.17191	0.35829	0.17078	0.24444	0	0.05458
V29	0.03598	0.87512	0.08317	0.00573	0	0
V30	0.42394	0.25222	0.12943	0	0.16654	0.02787
V31	0.88325	0.02794	0.08881	0	0	0
V32	0.00848	0.0479	0.3211	0.62252	0	0
V33	0.29041	0.52885	0.18075	0	0	0
V34	0.02677	0	0.59062	0	0.38261	0
V35	0	0.09043	0.16661	0.68567	0.05729	0
V36	0.0394	0.67196	0.11039	0	0.17825	0
V37	0.17813	0	0.82187	0	0	0
V38	0.03996	0	0.07473	0	0	0.88531
V39	0.74152	0.09306	0	0.16542	0	0
V40	0.01778	0.72865	0	0.15615	0.09742	0
V41	0.94167	0.05833	0	0	0	0
V42	0.44703	0	0.55297	0	0	0
V43	0.24222	0.55213	0	0	0.20564	0
V44	0	1	0	0	0	0
V45	0.58009	0.41991	0	0	0	0
V46	0.10181	0.03115	0	0.35388	0.33121	0.18195
V47	0.0173	0.59199	0	0.15634	0.23438	0
V48	0	0.80987	0.1821	0	0.00804	0
V49	0	1	0	0	0	0
V50	0.07366	0	0.30883	0	0.61751	0
V51	0	0	0	0.03507	0.96493	0
V52	0	0.73425	0.26575	0	0	0
V53	0.2131	0	0.07675	0.02047	0.68968	0
V54	0.17696	0.11002	0.68629	0	0.02674	0
V55	0.00891	0.0126	0.11422	0.04709	0.81718	0
V56	0.04471	0	0.8894	0.0659	0	0
V57	0.22068	0.47193	0.02728	0	0.07809	0.20203
V58	0.07506	0	0.92494	0	0	0
V59	0	0.0517	0	0.9483	0	0
V60	0.58067	0.0826	0	0.33674	0	0
V61	0.46658	0.18319	0	0.1204	0.02578	0.20405
V62	0.77805	0.06105	0.08321	0.04223	0.03545	0
V63	0.05472	0.71885	0	0.01677	0	0.20966
V64	0	0.09375	0	0.01163	0.89463	0
V65	0.82315	0.17685	0	0	0	0
V66	0.65884	0.0383	0.12297	0	0.17989	0
V67	0.12636	0.20037	0.34071	0.23982	0	0.09274
V68	0.94081	0.05919	0	0	0	0
V69	0.75447	0.06896	0	0	0	0.17657
V70	0.00495	0.04186	0.19244	0.76074	0	0
V71	0.13499	0.34302	0.01605	0.10727	0.39862	6e-05
V72	0.80288	0.15197	0.04515	0	0	0
V73	0	0.05609	0.00107	0.94283	0	0
V74	0	0.18785	0	0.81215	0	0
V75	0	1	0	0	0	0
V76	0.05297	0	0.83663	0	0.11039	0
V77	0.10568	0.22415	0.03689	0.63328	0	0
V78	0.75278	0.17643	0.04277	0.02803	0	0
V79	0	0.71549	0	0	0	0.28451
V80	0.01326	0.76386	0	0	0	0.22288
V81	0.8644	0.1356	0	0	0	0
V82	0	0.98938	0	0	0.01062	0
V83	0.18228	0.22554	0	0.48786	0.10431	0
V84	0.44176	0.06858	0.03546	0.4542	0	0
V85	0.95979	0.04021	0	0	0	0
V86	0.40328	0.06876	0.10356	0.29536	0	0.12904
V87	0	0.0409	0	0.9591	0	0
V88	0.09231	0.08995	0	0.6245	0	0.19325
V89	0.15428	0.16828	0.45203	0	0	0.22541
V90	0.00291	0.86786	0.11934	0	0.00989	0
V91	0.05724	0	0.02008	0.15	0.77268	0
V92	0.00955	0.05495	0	0.02632	0.90918	0
V93	0.30259	0.08551	0	0.05976	0.26878	0.28337
V94	0	0.01962	0.1702	0.81018	0	0
V95	0.00026	0	0.34396	0.1425	0.51328	0
V96	0.13473	0.49809	0	0.01494	0.33728	0.01496
V97	0	0	0	0.10515	0.89485	0
V98	0	0.11967	0	0.88033	0	0
V99	0	0.0303	0	0.9697	0	0
V100	0.05337	0	0.55064	0.31947	0.07653	0
V101	0	0.44193	0.51643	0.04164	0	0
V102	0.9559	0.0441	0	0	0	0
V103	0.84657	0.07232	0.00484	0.07627	0	0
V104	0	0.03693	0.15122	0.81184	0	0
V105	0.03039	0	0.01091	0	0	0.9587
V106	0.13037	0	0.63796	0	0	0.23166
V107	0.00218	0.82262	0.1752	0	0	0
V108	0.08409	0.01324	0.0127	0	0.1985	0.69147
V109	0.05173	0	0	0	0.15515	0.79312
V110	0.11084	0.13463	0.75453	0	0	0
V111	0.03107	0	0.96893	0	0	0
V112	0	0.41629	0	0.58371	0	0
V113	0.0836	0.05246	0.75913	0	0.1048	0
V114	0.22577	0	0.7105	0.06372	0	0
V115	0.68643	0.10044	0.0184	0	0.06558	0.12915
V116	0.93984	0.06016	0	0	0	0
V117	0.69379	0.05122	0	0.03282	0.22217	0
V118	0	0.87953	0.07869	0	0.04177	0
V119	0	1	0	0	0	0
V120	0.08494	0.27817	0.07299	0.51457	0.04933	0
V121	0.42447	0.05931	0	0.21335	0	0.30286
V122	0.27927	0.10504	0	0.61569	0	0
V123	0.49481	0.02614	0	0	0.10083	0.37822
V124	0.02074	0	0.32864	0.00509	0.64553	0
V125	0.11426	0.1429	0.74284	0	0	0
V126	0.01854	0.31745	0	0	0	0.66401
V127	0.09416	0	0.89497	0.01087	0	0
V128	0.42685	0.32864	0.09926	0.11941	0.02584	0
V129	0.05296	0	0.94704	0	0	0
V130	0.62241	0.19827	0	0.17932	0	0
V131	0.15326	0	0.01818	0.02986	0.7987	0
V132	0	0.56967	0.43033	0	0	0
V133	0.10211	0.1963	0.66322	0.03817	0.00021	0
V134	0.1535	0.83198	0	0	0.01452	0
V135	0.19635	0	0.80365	0	0	0
V136	0.02382	0.93614	0.04004	0	0	0
V137	0.07547	0.13989	0.65159	0	0.13304	0
V138	0.11375	0.03256	0	0.48539	0.02382	0.34449
V139	0.13525	0.03857	0.16831	0	0.45344	0.20443
V140	0.70914	0.29086	0	0	0	0
V141	0.29244	0.35104	0.10101	0.25551	0	0
V142	0.06117	0.93883	0	0	0	0
V143	0.16354	0.02749	0.73194	0.03147	0.04556	0
V144	0.08722	0.22254	0	0.05015	0	0.64009
V145	0	0.02427	0	0.97573	0	0
V146	0.22545	0	0.06185	0	0.7127	0
V147	0.70526	0.11707	0.06014	0	0	0.11754
V148	0.05197	0.14852	0.79952	0	0	0
V149	0	0.64144	0	0	0	0.35856
V150	0	0.01518	0	0.98482	0	0
V151	0.00465	0.51651	0	0	0	0.47884
V152	0.13091	0.26002	0.51298	0	0.09609	0
V153	0.02583	0.01758	0.70205	0.25453	0	0
V154	0.51923	0.29358	0	0	0	0.18718
V155	0.06423	0.43854	0.07809	0	0.41914	0
V156	0	0.58546	0	0	0.41454	0
V157	0.03661	0.15476	0.00116	0.28475	0	0.52271
V158	0.07918	0	0.92082	0	0	0
V159	0.1972	0.28753	0.36482	0.15045	0	0
V160	0.09153	0	0.90847	0	0	0
V161	0	0.62461	0	0.37539	0	0
V162	0	0.70534	0	0.11589	0.17878	0
V163	0.04294	0	0.95706	0	0	0
V164	0	0.42705	0.43073	0.08533	0.05689	0
V165	0.13199	0.00212	0.02568	0.02983	0.81038	0
V166	0.11391	0.01744	0	0.17174	0.46916	0.22775
V167	0	0.00846	0.40957	0.58196	0	0
V168	0.80266	0.08208	0	0.11526	0	0
V169	0.06852	0	0.76801	0.16347	0	0
V170	0.55255	0.08125	0.07912	0.28708	0	0
V171	0.1005	0.60428	0	0	0	0.29522
V172	0.19619	0.07248	0.60364	0.12769	0	0
V173	0.15145	0	0.84855	0	0	0
V174	0.77332	0.13677	0	0	0.08991	0
V175	0.00141	0.87732	0.11603	0	0.00524	0
V176	0.01734	0	0.98266	0	0	0
V177	0.2923	0.08217	0.39016	0	0.13378	0.10159
V178	0.04608	0.01669	0.02123	0.01055	0.90545	0
V179	0.08296	0.0512	0	0.8255	0.02679	0.01355
V180	0.40138	0.0574	0.14267	0.39855	0	0
V181	0.74918	0.16599	0.07593	0	0.00891	0
V182	0.09185	0.05048	0.85767	0	0	0
V183	0	0.02275	0	0.97725	0	0
V184	0.44695	0.51134	0	0	0.04171	0
V185	0.18373	0.70623	0.00451	0	0.10135	0.00418
V186	0	0	0.65656	0.34344	0	0
V187	0.29211	0.64229	0	0	0.0656	0
V188	0.08386	0.78389	0	0	0	0.13225
V189	0.1352	0.06245	0.20548	0.01597	0.58089	0
V190	0.13399	0.22304	0	0.00674	0.63622	0
V191	0	0.77223	0	0	0	0.22777
V192	0.66528	0.27256	0.06215	0	0	0
V193	0	0.1286	0	0	0	0.8714
V194	0.02001	0.00536	0	0.17055	0.80408	0
V195	0.04228	0	0.8406	0.05943	0.05769	0
