Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.07448	0.00456	0.92096	0	0	0
V2	0.76013	0.10134	0	0.0779	0.06063	0
V3	0	0.05093	0.2149	0	0	0.73417
V4	0.20735	0.60025	0	0.09835	0.04805	0.046
V5	0	0.0196	0	0.69813	0.28226	0
V6	0.12559	0.01903	0.18227	0	0.1282	0.54492
V7	0	0.42393	0	0	0.57607	0
V8	0.90575	0.02188	0	0.07237	0	0
V9	0.24644	0.18826	0	0.31557	0	0.24973
V10	0.59886	0.02879	0	0.37235	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.60665	0.39335	0	0	0
V14	0	0.01953	0	0.98047	0	0
V15	0.64854	0.06449	0	0.10112	0.18586	0
V16	0	0.00145	0	0.49445	0.41927	0.08483
V17	0	0.00254	0.12489	0	0	0.87258
V18	0.89681	0.10319	0	0	0	0
V19	0.79047	0.03215	0.14341	0	0.03397	0
V20	0.84787	0.04741	0.0254	0.07931	0	0
V21	0	0.01453	0	0	0	0.98547
V22	0.21079	0.04997	0	0.03552	0.70372	0
V23	0.03902	0.00837	0.36993	0	0.58268	0
V24	0.15938	0.00766	0	0.09859	0.73437	0
V25	0.58075	0.28986	0	0.1294	0	0
V26	0.33345	0.00319	0	0	0.66335	0
V27	0	0	0.15923	0	0	0.84077
V28	0	0.32261	0.19934	0.2926	0	0.18545
V29	0	0.80299	0.0964	0.03848	0	0.06212
V30	0.22153	0.24397	0.09315	0	0.22975	0.2116
V31	0.86091	0.00282	0.13627	0	0	0
V32	0	0	0.4135	0.5865	0	0
V33	0.24303	0.47783	0.27914	0	0	0
V34	0	0	0.58142	0	0.41858	0
V35	0	0.04071	0.21315	0.64707	0.09908	0
V36	0	0.64353	0.13728	0	0.2192	0
V37	0	0	0.92823	0	0	0.07177
V38	0	0	0.10423	0	0	0.89577
V39	0.71968	0.01976	0	0.26056	0	0
V40	0	0.66871	0	0.21567	0.08215	0.03347
V41	0.87558	0.00156	0	0	0	0.12286
V42	0.32556	0.00815	0.65386	0	0	0.01243
V43	0.20327	0.51588	0	0.00497	0.27307	0.00281
V44	0	1	0	0	0	0
V45	0.54152	0.36992	0	0	0	0.08856
V46	0	0	0	0.32929	0.40697	0.26374
V47	0	0.52817	0	0.18917	0.28266	0
V48	0	0.74702	0.24944	0	0.00355	0
V49	0	0.98059	0	0	0.01941	0
V50	0	0	0.2976	0	0.7024	0
V51	0	0	0	0	1	0
V52	0	0.65375	0.34625	0	0	0
V53	0.16906	0	0.0447	0	0.78624	0
V54	0.02092	0.14688	0.79006	0	0.02715	0.01499
V55	0	0.02357	0.08317	0	0.89326	0
V56	0	0.02634	0.90483	0.06883	0	0
V57	0.01618	0.48069	0.00197	0	0.09415	0.40701
V58	0	0	1	0	0	0
V59	0	0.00412	0	0.99588	0	0
V60	0.57916	0.00197	0	0.41887	0	0
V61	0.29375	0.1488	0	0.18638	0	0.37107
V62	0.72829	0.03151	0.02798	0.11675	0.05479	0.04068
V63	0	0.64086	0	0.04781	0	0.31133
V64	0	0.07056	0	0	0.92944	0
V65	0.68244	0.13478	0	0	0	0.18278
V66	0.62864	0.02436	0.07268	0	0.27432	0
V67	0	0.15435	0.41268	0.26164	0	0.17133
V68	0.99744	0.00256	0	0	0	0
V69	0.62765	0.02064	0	0	0	0.35171
V70	0	0.00452	0.26252	0.69916	0.03381	0
V71	0	0.30152	0	0.10352	0.46785	0.12711
V72	0.82761	0.12927	0.02883	0	0.01429	0
V73	0	0.00203	0.09877	0.8992	0	0
V74	0	0.11145	0	0.88855	0	0
V75	0	0.98493	0	0.01507	0	0
V76	0	0	0.84393	0	0.15607	0
V77	0.02582	0.16796	0.10386	0.70236	0	0
V78	0.68567	0.12734	0	0.11835	0	0.06863
V79	0	0.62144	0	0	0	0.37856
V80	0	0.67574	0	0	0	0.32426
V81	0.90118	0.08952	0.0093	0	0	0
V82	0	0.92109	0	0.04624	0.03268	0
V83	0.10317	0.1843	0	0.54342	0.14751	0.0216
V84	0.42504	0.0187	0.05704	0.49922	0	0
V85	0.98387	0.00246	0.01367	0	0	0
V86	0.23227	0.03764	0.11999	0.3525	0	0.2576
V87	0	0	0	1	0	0
V88	0	0.02221	0	0.68574	0	0.29206
V89	0	0.14773	0.56364	0	0	0.28863
V90	0	0.83628	0.16372	0	0	0
V91	0.00281	0.01139	0	0.09699	0.88881	0
V92	0	0.04159	0	0	0.95841	0
V93	0.10169	0.07713	0	0.08379	0.29916	0.43824
V94	0	0	0.28521	0.71479	0	0
V95	0	0	0.3402	0.08628	0.57352	0
V96	0	0.44867	0	0.01881	0.38321	0.1493
V97	0	0	0	0.04064	0.95936	0
V98	0	0.06094	0	0.87805	0.061	0
V99	0	0	0	1	0	0
V100	0	0	0.59513	0.277	0.12787	0
V101	0	0.36119	0.59726	0.04155	0	0
V102	0.95452	0.01037	0.03511	0	0	0
V103	0.81235	0.02751	0	0.16013	0	0
V104	0	0	0.25039	0.74961	0	0
V105	0	0	0.02909	0	0	0.97091
V106	0	0	0.72814	0	0	0.27186
V107	0	0.71643	0.28357	0	0	0
V108	0	0.00766	0	0	0.20384	0.7885
V109	0	0	0	0	0.1531	0.8469
V110	0	0.14348	0.85652	0	0	0
V111	0	0.00511	0.99489	0	0	0
V112	0	0.30256	0	0.69744	0	0
V113	0	0.08442	0.80278	0	0.1128	0
V114	0.12899	0.0019	0.77717	0.09194	0	0
V115	0.50876	0.07716	0	0	0.10389	0.31019
V116	0.98011	0.00291	0	0.01698	0	0
