Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00732	0.00322	0.1026	0	0.41927	0	0.01321	0	0.03612	0.41826
V2	0.65586	0	0	0	0.03413	0.26222	0.04779	0	0	0
V3	0.09695	0	0.07878	0	0.53094	0	0.06267	0.20537	0.02379	0.0015
V4	0	0.05089	0.02648	0.006	0.05344	0.04672	0.03528	0.00018	0.6876	0.0934
V5	0	0.08665	0.0929	0.08883	0.20686	0.05483	0.01598	0	0.03397	0.41999
V6	0.01639	0	0.19592	0	0.71628	0.0021	0.0027	0.0666	0	0
V7	0.00654	0.30943	0.03454	0	0.47868	0	0.04664	0.09948	0.0247	0
V8	0	0.33724	0.07494	0	0.10198	0	0.00385	0.44078	0.04121	0
V9	0	0.00538	0.0349	0.1433	0.00063	0	0.11706	0.65855	0.03909	0.00109
V10	0.01918	0	0	0	0.7762	0.02704	0.00435	0.17323	0	0
V11	0.00163	0.33666	0.02646	0	0.10062	0.02066	0.00626	0.41186	0.09057	0.00529
V12	0	0.01504	0.13657	0.61071	0.06562	0	0.07131	0	0.01609	0.08465
V13	0.07344	0.02761	0.14404	0	0.04542	0.13952	0.34277	0	0.22651	0.00069
V14	0.05665	0.32192	0.21724	0.0474	0.14289	0.04988	0.11682	0.00344	0.04376	0
V15	0.18856	0.0017	0.04817	0.71122	0.00749	0.00276	0.02657	0	0.01351	0
V16	0	0.02759	0.14967	0.64201	0.01824	0.02246	0.01022	0	0.12958	0.00024
V17	0.0059	0.09582	0.06452	0	0.23522	0.06756	0.03877	0	0.05703	0.43519
V18	0.03684	0.05889	0.07162	0.38704	0.12097	0	0.00754	0	0.02997	0.28714
V19	0	0.00219	0.08005	0.08223	0.17181	0.06745	0.0125	0	0.03591	0.54786
V20	0	0.18913	0.05585	0.00253	0.08938	0.0338	0.43147	0.06626	0.07431	0.05726
V21	0.0894	0.31194	0.03429	0	0.10496	0.34004	0.0355	0.03495	0.04892	0
V22	0	0.00609	0.02755	0.00494	0.10912	0	0.00614	0.40446	0.08643	0.35527
V23	0.21055	0.01442	0.65993	0	0.0335	0	0.01564	0	0.00349	0.06248
V24	0.01324	0.40923	0.08996	0	0.14377	0	0.06693	0.11063	0.16625	0
V25	0.01006	0.07195	0.05629	0.01602	0.20585	0.10092	0.03687	0	0.24991	0.25212
V26	0.00011	0.00121	0.01711	0.03746	0	0	0.0033	0.93454	0.00459	0.00168
V27	0.01036	0.00204	0.04295	0	0.62458	0	0.0191	0	0.02414	0.27683
V28	0.27223	0	0.04877	0	0.13918	0.00822	0.03206	0.02626	0.03093	0.44233
V29	0	0.50252	0.06832	0	0.20876	0.09452	0.01733	0.01439	0.03651	0.05766
V30	0	0.02495	0.11197	0.00516	0.00614	0.26027	0.22575	0	0.36442	0.00134
V31	0	0.1877	0.21766	0	0.11944	0	0.0032	0.4499	0.0221	0
V32	0.44874	0	0	0	0.36307	0.02045	0.03782	0	0.12697	0.00296
V33	0	0.01885	0.19811	0.59867	0.0126	0.00013	0.1486	0	0.02303	0
V34	0.00104	0.01447	0.05353	0	0.45615	0	0.0128	0	0.08732	0.3747
V35	0.00651	0.60724	0.07685	0	0.22886	0	0.02048	0.01373	0.04633	0
V36	0.04664	0.05623	0.04016	0	0.06265	0.05231	0.6144	0.03906	0.08856	0
V37	0	0.4017	0.06057	0	0.17012	0.00804	0.24807	0.03909	0.07225	0.00016
V38	0.10698	0.03327	0.05474	0.22179	0.03719	0.0269	0.44108	0	0.07805	0
V39	0.06155	0.02902	0.06453	0.21562	0.08291	0.02466	0.43105	0.01346	0.07385	0.00337
V40	0.05734	0.006	0.78524	0	0.1373	0	0.01412	0	0	0
V41	0.56793	0.03583	0.00103	0	0.01733	0	0.02893	0	0.34118	0.00778
V42	0.00986	0.36209	0.05038	0	0.52315	0	0.00509	0	0.03158	0.01784
V43	0.11047	0.0114	0.1046	0.07691	0.25909	0.03233	0.17552	0.01705	0.21264	0
V44	0	0	0.52009	0	0	0	0.00643	0.46828	0.00519	0
V45	0.00087	0.0221	0.0283	0.01803	0.00623	0.00234	0.20144	0	0.69835	0.02235
V46	0.13727	0.06395	0.06451	0.30063	0.1544	0	0.00781	0	0.02742	0.24402
V47	0.0023	0.05139	0.0615	0.00221	0.05132	0.05762	0.66237	0	0.10336	0.00792
