Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0	0.06218	0.11843	0	0.36191	0.00175	0	0	0.02405	0.43168
V2	0.53997	0.00092	0	0	0.06546	0.27871	0.06427	0.03611	0	0.01456
V3	0.05812	0.0393	0.10405	0.04721	0.41829	0.03656	0.05261	0.22839	0.01545	0
V4	0	0.06039	0.03376	0.00904	0.16956	0.0214	0.01235	0	0.67189	0.02161
V5	0	0.14911	0.10571	0.07166	0.18317	0.06845	0.0155	0.00275	0.0202	0.38345
V6	0	0.03804	0.23687	0	0.6079	0.03848	0	0.07872	0	0
V7	0.00374	0.39713	0.01121	0.03865	0.40628	0.00995	0.0391	0.09394	0	0
V8	0	0.37406	0.00687	0.10285	0.16297	0.00848	0	0.3411	0.00368	0
V9	0	0.00088	0	0.23175	0.03507	0.03443	0.08553	0.59478	0.01754	0
V10	0	0.04226	0	0.05749	0.6436	0.07729	0	0.17937	0	0
V11	0	0.36615	0	0.08508	0.16482	0.02845	0	0.3097	0.0458	0
V12	0	0.04124	0.22456	0.45733	0.07619	0.00861	0.07739	0.03216	0.00813	0.07439
V13	0.02915	0.03613	0.13203	0	0.06361	0.15161	0.31335	0.10005	0.17408	0
V14	0.04337	0.35396	0.17806	0.0359	0.1678	0.05481	0.10462	0.04871	0.01275	0
V15	0.09565	0.01251	0.22514	0.54964	0.03396	0.02247	0.0317	0.02694	0.002	0
V16	0	0.04204	0.23825	0.49518	0.06191	0.02611	0.00958	0	0.12693	0
V17	0	0.15903	0.07564	0.00097	0.20246	0.08164	0.03777	0.01965	0.03922	0.38362
V18	0	0.10947	0.16079	0.30694	0.12291	0.00488	0.00247	0.00281	0.01295	0.27677
V19	0	0.04551	0.08996	0.06712	0.13472	0.08507	0.00881	0.01985	0.02606	0.5229
V20	0	0.21496	0.02216	0.01836	0.08763	0.06382	0.36025	0.17947	0.02573	0.02762
V21	0.07514	0.30646	0.00464	0.03681	0.14682	0.29926	0.05976	0.05274	0.01838	0
V22	0	0.02636	0	0.09936	0.10995	0.00435	0	0.36529	0.06709	0.3276
V23	0.17674	0.01024	0.66505	0	0.05698	0	0	0	0.0067	0.08429
V24	0.01267	0.4623	0.05131	0.02658	0.19852	0	0.05077	0.09207	0.10577	0
