Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01698	0	0.1184	0	0.37853	0	0.00502	0	0.00128	0.47979
V2	0.67765	0	0	0	0	0.27996	0.04239	0	0	0
V3	0.10439	0.00118	0.11907	0	0.48344	0.00901	0.05057	0.22302	0	0.00931
V4	0.03292	0.07732	0.0409	0.00412	0.03919	0.06467	0.0137	0.01966	0.59904	0.10848
V5	0	0.11383	0.10472	0.09029	0.17126	0.06307	0.00949	0	0	0.44735
V6	0.00972	0	0.22988	0	0.65233	0.01386	0.00127	0.09294	0	0
V7	0.01056	0.39504	0.04833	0	0.40617	0.00065	0.03018	0.10884	0	0.00024
V8	0.00766	0.41641	0.07888	0	0.09977	0	0	0.39032	0	0.00697
V9	0	0.01687	0.06537	0.13188	0	0.01791	0.09912	0.65529	0.00746	0.00609
V10	0.01215	0	0.0208	0	0.72205	0.04316	0.00442	0.19743	0	0
V11	0.01942	0.42329	0.03757	0	0.1004	0.02111	0	0.36672	0.01705	0.01443
V12	0	0.04372	0.16299	0.58877	0.03529	0.00719	0.06009	0.00436	0.00097	0.09661
V13	0.09966	0.07434	0.14442	0	4e-04	0.18996	0.30447	0.01798	0.1616	0.00715
V14	0.07144	0.40988	0.20651	0.03722	0.11269	0.05627	0.08375	0.02118	0	0.00106
V15	0.1922	0.0192	0.08083	0.66685	0	0.01595	0.02165	0.00239	0.00093	0
V16	0	0.05557	0.17469	0.61671	0.00016	0.0363	0.00859	0	0.1008	0.00719
V17	0.02467	0.12786	0.07388	0	0.19598	0.07736	0.02725	0.00772	0.00881	0.45646
V18	0.04823	0.08097	0.0936	0.37902	0.08183	0.00023	0.00165	0	0	0.31448
V19	0	0.00056	0.08984	0.08633	0.13766	0.08083	0.00775	0.00732	0.00619	0.58353
V20	0.00464	0.30542	0.04622	0.00099	0.03787	0.0733	0.36954	0.08164	0.01073	0.06965
V21	0.10204	0.37164	0.03699	0	0.07981	0.32844	0.02936	0.0441	0	0.00761
V22	0.00462	0	0.04943	0.00077	0.09407	0	0	0.41079	0.04029	0.40004
V23	0.24163	0.0094	0.64186	0	0.01761	0.00267	0.00704	0.00744	0	0.07235
V24	0.03435	0.52613	0.08914	0	0.12468	0	0.04091	0.11271	0.06886	0.00323
V25	0.03305	0.0999	0.07155	0.02067	0.17588	0.11767	0.02517	0	0.17682	0.27929
V26	0.00242	0	0.04429	0.01416	0	0	0	0.93612	0	0.00301
V27	0.01107	0	0.06562	0	0.58878	0	0.01351	0	0	0.32102
V28	0.30485	0	0.05884	0	0.08926	0.01623	0.0183	0.04408	0	0.46844
V29	0.01765	0.58111	0.05804	0	0.16586	0.08264	0.00642	0.02714	0	0.06116
V30	0.01245	0.04834	0.11763	0	0	0.32222	0.20147	0.00138	0.29347	0.00302
V31	0.00516	0.23037	0.22378	0	0.11748	0	0	0.41924	0	0.00397
V32	0.50871	0	0.01556	0	0.3144	0.03922	0.02915	0	0.08279	0.01017
V33	0	0.04966	0.21843	0.57941	0	0.021	0.12643	0	0.00507	0
V34	0.01031	0.01493	0.07202	0	0.41556	0	0.00467	0.01875	0.04414	0.41963
V35	0.02156	0.7038	0.0584	0	0.18113	0	0.00459	0.02764	0	0.00288
V36	0.0563	0.14774	0.02013	0	0	0.11369	0.56973	0.05912	0.03152	0.00176
V37	0.00967	0.5375	0.04937	0	0.12631	0.02454	0.1886	0.05248	0	0.01155
V38	0.12133	0.0915	0.05555	0.22352	0	0.0723	0.39987	0.00485	0.03109	0
V39	0.07171	0.09234	0.07101	0.21548	0.01726	0.07023	0.38833	0.03429	0.02891	0.01045
V40	0.07757	0	0.78616	0	0.11829	0	0.00759	0.00885	0	0.00155
V41	0.64405	0.05103	0.01893	0	0	0	0.01098	0.00748	0.25875	0.00877
V42	0.01375	0.45734	0.05453	0	0.44535	0	0	0.0027	0	0.02633
V43	0.13436	0.0394	0.13831	0.07707	0.21267	0.05893	0.14827	0.04046	0.15053	0
V44	0	0	0.54025	0	0	0	0	0.45975	0	0
V45	0.0308	0.05001	0.03298	0.01465	0	0.02856	0.17273	0	0.64534	0.02492
V46	0.15233	0.08253	0.08992	0.28671	0.10772	0	0.00016	0.01634	0	0.26429
V47	0.00056	0.14426	0.02793	0	0	0.1263	0.63236	0.01135	0.04793	0.0093
V48	0.0198	0.02395	0.0893	0	0.15796	0	0.00661	0	0.12158	0.58081
V49	0.13023	0	0	0.0082	0	0	0	0.86157	0	0
V50	0.31639	0.1421	0.01105	0	0.03834	0.45968	0.03244	0	0	0
V51	0.12824	0	0.6531	0	0.07306	0	0.00916	0.0944	0.03488	0.00717
V52	0	0.06467	0.19733	0.40207	0	0.04564	0.25614	0.01293	0.02122	0
V53	0.41713	0	0.11989	0.08807	0.02825	0	0.00306	0.21563	0	0.12798
V54	0.00386	0	0.00581	0	0.2234	0.71007	0.05686	0	0	0
V55	0	0.029	0.08234	0.79643	0.04539	0.00963	0.0218	0	0	0.01541
V56	0.11757	0	0.63276	0	0.08992	0.13654	0.01668	0	0	0.00653
V57	0	0.00304	0.64664	0.1814	0	0.00661	0.01283	0.04594	0.08792	0.01562
V58	0.00606	0.15807	0.09124	0.16413	0.03839	0.4927	0.04712	0	0.00155	0.00074
V59	0.02908	0.19343	0.026	0	0	0.11666	0.5863	0.00999	0.03728	0.00125
V60	0.78853	0	0	0	0.05297	0	0.00771	0	0.14677	0.00402
V61	0	0	0.03595	0.02678	0.00701	0.83762	0.0743	0	0.01213	0.00622
V62	0.0274	0.06642	0.05949	0.01347	0.06921	0.05048	0.30141	0.01752	0.06895	0.32563
V63	0.00566	0.17149	0.04079	0	0.23831	0.49033	0.04055	0	0	0.01287
V64	0.03638	0	0.30644	0.24656	0	0	0	0.37978	0	0.03085
V65	0.04059	0.02495	0.06361	0.39215	0	0	0.03016	0.34686	0.08567	0.01602
V66	0.0154	0.0012	0.05452	0	0.75747	0.01935	0.01618	0.03263	0.00021	0.10305
V67	0.00177	0.15218	0.61141	0	0.04409	0.04615	0.05895	0.02343	0.04485	0.01717
V68	0.03699	0.0096	0.01397	0.0112	0	0	0.00171	0.44604	0.4805	0
V69	0	0	0.97229	0	0.01602	5e-05	0.01115	0.00049	0	0
V70	0.7727	0.00323	0.08012	0	0	0.03064	0.02841	0.0084	0.07649	0
V71	0.01731	0	0	0.02375	0	0	0	0.94606	0	0.01288
V72	0.21132	0.00275	0.06913	0.31992	0.23694	0	0.00217	0.00543	0	0.15233
V73	0.03843	0	0.05152	0	0.88404	0.01082	0.0066	0.00634	0	0.00225
V74	0.0018	0.00566	0.10541	0.25063	0.1064	0.03073	0.00409	0.00578	0.00406	0.48543
V75	0	0.06936	0.2071	0.50952	0.01173	0.00557	0.00699	0.00356	0.18585	0.00032
V76	0.00042	0.0056	0.00039	0.00328	0.00153	0.88408	0.08372	0.00092	0.02007	0
V77	0	0.04764	0.042	0.38605	0	0.30241	0.20403	0	0.01192	0.00595
V78	0.00752	0.46643	0.09604	0	0.13232	0.03713	0.20466	0	0	0.05591
V79	0.00072	0.02727	0.05945	0.34776	0	0.25007	0.02917	0	0.26834	0.01723
V80	0.44792	0.0026	0.04219	0	0.06931	0	0.02436	0	0.06779	0.34583
V81	0	0.00208	0.02699	0.18835	0.17759	0.56116	0.04383	0	0	0
V82	0.04414	0.39597	0.0791	0.2912	0.09529	0.00289	0	0.08937	0	0.00204
V83	0.00123	0.03807	0.07932	0.51809	0.01541	0	0	0.34725	0	0.00062
V84	0.02258	0.0219	0.02596	0.03354	0.12055	0.59285	0.17492	0.0016	0.00611	0
V85	0.18648	0	0.56846	0	0.04133	0	0.00511	0	0	0.19862
