Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01612	0	0.06446	0	0.35576	0	0	0	0	0.56366
V2	0.67289	0	0	0	0	0.32303	0.00408	0	0	0
V3	0.12042	0.00835	0.14947	0	0.48867	0.02542	0.04872	0.15894	0	0
V4	0.02795	0.08591	0.01401	0	0.02364	0.06426	0.00802	0	0.66731	0.10891
V5	0	0.10735	0.09562	0.07404	0.14241	0.06221	0	0	0	0.51837
V6	0.02184	0	0.27538	0	0.67401	0.00585	0	0.02292	0	0
V7	0.02271	0.45662	0.07088	0	0.37466	0.01038	0.01903	0.04572	0	0
V8	0.02158	0.50517	0.10749	0	0.02839	0	0	0.33737	0	0
V9	0	0	0.06742	0.14965	0	0.03089	0.13138	0.62066	0	0
V10	0.02833	0	0.02641	0	0.77222	0.04967	0	0.12337	0	0
V11	0.02817	0.51396	0.06734	0	0.05439	0.00782	0	0.32265	0	0.00567
V12	0	0.02508	0.14753	0.63168	0	0.029	0.08347	0	0	0.08323
V13	0.07643	0.05497	0.12867	0	0	0.26633	0.31831	0	0.15529	0
V14	0.07382	0.43538	0.24615	0.02305	0.04586	0.09032	0.08542	0	0	0
V15	0.21533	0	0.02595	0.72189	0	0.01756	0.01928	0	0	0
V16	0	0.05277	0.16962	0.68892	0	0.05142	0.02207	0	0.0152	0
V17	0.01942	0.1233	0.05714	0	0.18454	0.08737	0.00978	0	0	0.51845
V18	0.05075	0.07561	0.0778	0.39993	0.02638	0	0	0	0	0.36952
V19	0	0	0.05924	0.06555	0.10648	0.07354	0	0	0	0.6952
V20	0	0.28044	0.05142	0	0.00472	0.16329	0.40378	0.04267	0	0.05368
V21	0.11347	0.3951	0.0583	0	0.02824	0.39683	0.00806	0	0	0
V22	0	0	0.01752	0	0.06822	0	0	0.37709	0	0.53717
V23	0.26434	0	0.68937	0	0	0	0	0	0	0.04629
V24	0.03385	0.59995	0.12962	0	0.10455	0.00491	0.04751	0.07961	0	0
V25	0.02359	0.10774	0.07879	0	0.17722	0.13794	0.01674	0	0.14381	0.31418
V26	0	0	0	0	0	0	0	1	0	0
V27	0.01492	0	0.03098	0	0.59338	0	0	0	0	0.36073
V28	0.31341	0	0.03687	0	0.05855	0.00517	0	0.01997	0	0.56602
V29	0.03196	0.63672	0.0762	0	0.10206	0.09509	0	0	0	0.05797
V30	0.00382	0.02529	0.09438	0	0	0.39382	0.21444	0	0.26826	0
V31	0.01793	0.28539	0.28173	0	0.05302	0	0	0.36192	0	0
V32	0.50934	0.01377	0.03214	0	0.31597	0.0537	0.02222	0	0.05286	0
V33	0	0.00602	0.18866	0.59075	0	0.0583	0.15627	0	0	0
V34	0.00495	0.00094	0.04312	0	0.44782	0	0	0	0	0.50316
V35	0.03807	0.78906	0.0767	0	0.09617	0	0	0	0	0
V36	0.02823	0.10088	0.01538	0	0	0.22931	0.58099	0.01768	0.02753	0
V37	0.0057	0.55016	0.07056	0	0.07067	0.07707	0.21721	0.00864	0	0
V38	0.08952	0.06479	0.04877	0.18952	0	0.16961	0.43633	0	0.00146	0
V39	0.04895	0.07669	0.07352	0.18233	0	0.16565	0.42689	0.00988	0.01611	0
V40	0.09233	0	0.87204	0	0.03563	0	0	0	0	0
V41	0.66975	0.04955	0	0	0	0	0	0	0.2807	0
V42	0.03405	0.50941	0.05128	0	0.40526	0	0	0	0	0
V43	0.11983	0.05438	0.15603	0.06161	0.18345	0.11003	0.16971	0.0151	0.12987	0
V44	0	0	0.61317	0	0	0	0	0.38683	0	0
V45	0.01876	0.03574	0.00153	0	0	0.05989	0.20842	0	0.67566	0
V46	0.16288	0.08482	0.09027	0.29384	0.06017	0	0	0	0	0.30802
V47	0	0.08275	0	0	0	0.24836	0.63813	0	0.03076	0
