Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00939	0	0.09688	0	0.39919	0	0	0	0	0.49453
V2	0.64224	0	0	0	0	0.30672	0.05097	6e-05	0	0
V3	0.1067	0.0053	0.11175	0	0.50624	0.01556	0.05614	0.19555	0	0.00275
V4	0.02293	0.05526	0.04292	0.00496	0.09756	0.06632	0.01101	0.00753	0.58883	0.10268
V5	0	0.10432	0.09198	0.07109	0.19999	0.06687	0.00992	0	0	0.45584
V6	0.01825	0	0.2121	0	0.67993	0.01306	0	0.07665	0	0
V7	0.00519	0.36025	0.03245	0	0.46523	0.006	0.03387	0.09701	0	0
V8	0.01517	0.39853	0.0649	0	0.1698	0	0	0.35161	0	0
V9	0.01737	0.01354	0.06924	0.12077	0	0.03287	0.12248	0.61813	0	0.00561
V10	0.0051	0	0.02541	0	0.75071	0.0471	0	0.17168	0	0
V11	0.02141	0.40394	0.03127	0	0.17838	0.02016	0	0.33258	0.00409	0.00816
V12	0.0067	0.0352	0.15217	0.54304	0.04703	0.01945	0.08845	0.01266	0	0.0953
V13	0.09069	0.03283	0.11531	0	0.01504	0.22287	0.35161	0.02683	0.13837	0.00646
V14	0.07493	0.35771	0.17871	0.02055	0.16856	0.07011	0.10284	0.02658	0	0
V15	0.23116	0.01119	0.05782	0.62572	0	0.02548	0.03687	0.01178	0	0
V16	0.01472	0.0493	0.1602	0.58744	0.01616	0.04426	0.01949	0	0.10844	0
V17	0.01605	0.11408	0.06135	0	0.22943	0.08423	0.03235	0.00346	0	0.45905
V18	0.05904	0.0774	0.07837	0.34425	0.10487	0.00197	0.00497	0	0	0.32914
V19	0	0	0.07819	0.06907	0.15064	0.0875	0.00576	8e-05	0	0.60877
V20	3e-05	0.2197	0.03048	0	0.07037	0.11665	0.41548	0.08462	0	0.06268
V21	0.09078	0.32643	0.0278	0	0.13895	0.33398	0.03992	0.04104	0	0.00111
V22	0.00741	0.0045	0.05299	0	0.11418	0	0	0.37834	0	0.44257
V23	0.30887	0.00826	0.59394	0	0.01503	0	0	0.00247	0	0.07143
V24	0.03205	0.47117	0.06641	0	0.21366	0.00217	0.0501	0.10581	0.05864	0
V25	0.02384	0.08702	0.07352	0.01004	0.21786	0.12539	0.0302	0	0.14875	0.28338
V26	0.02517	0	0.04397	0.01781	0	0	0	0.91305	0	0
V27	0	0.00363	0.05253	0	0.61289	0	0.0088	0	0	0.32214
V28	0.29561	0	0.0402	0	0.10018	0.0195	0.01719	0.03596	0	0.49136
V29	0.01206	0.51968	0.03815	0	0.25488	0.08671	0.01042	0.02879	0	0.0493
V30	0.0119	0.02024	0.10744	0	0	0.34391	0.24189	0.00477	0.26646	0.00338
V31	0.02755	0.2296	0.20594	0	0.16043	0	0	0.37648	0	0
V32	0.48738	0	0.00295	0	0.34721	0.04594	0.02935	0	0.08513	0.00203
V33	0.03223	0.0293	0.19147	0.52025	0	0.04395	0.17204	0.0078	0.00295	0
V34	0.00037	0.02102	0.06441	0	0.45587	0	0.00206	0.01214	0.00536	0.43875
V35	0.01608	0.63722	0.02804	0	0.27979	0	0.00664	0.03223	0	0
V36	0.04198	0.07444	0.0117	0	0	0.16705	0.60832	0.06935	0.02262	0.00454
V37	0.00426	0.44486	0.0267	0	0.19292	0.04977	0.22068	0.05813	0	0.00269
V38	0.11201	0.04143	0.04866	0.16017	0	0.12479	0.46673	0.02676	0.01945	0
V39	0.06781	0.04657	0.06549	0.15157	0.02222	0.11923	0.45127	0.04928	0.01831	0.00826
V40	0.15376	0	0.72993	0	0.11595	0	0	0.00036	0	0
V41	0.64587	0.04434	0.00208	0	0.0201	0	0.00528	0.00634	0.27546	0.00053
V42	0.00502	0.42642	0.03339	0	0.51993	0	0	0.00354	0	0.01171
V43	0.12971	0.02076	0.13288	0.04876	0.22478	0.08212	0.18009	0.0403	0.1406	0
V44	0.05699	0	0.51848	0	0	0	0	0.42452	0	0
V45	0.02162	0.02039	0.03676	0.00907	0.01513	0.05021	0.2072	0	0.61987	0.01975
V46	0.16294	0.08036	0.07896	0.25513	0.13416	0	1e-04	0.01498	0	0.27338
V47	0	0.06173	0.01067	0	0	0.182	0.66637	0.03272	0.03669	0.00982
V48	0.01075	0.02479	0.07727	0	0.19345	0	0.0021	0	0.07009	0.62155
V49	0.15627	0	0	0.00939	0	0	0	0.83433	0	0
V50	0.29165	0.12514	0.00391	0	0.06581	0.47174	0.04175	0	0	0
V51	0.19033	0	0.61083	0	0.07289	0	0	0.08174	0.04363	0.00058
