mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.20714	0.25355	0.24479	0.21397	0.08054
V2	0	0.71834	0.12982	0.13882	0.01302
V3	0	0.17379	0.40594	0.42027	0
V4	0	0.17867	0.17584	0.15301	0.49248
V5	0	0.15981	0	0.2124	0.62779
V6	0.21242	0.18186	0.25232	0.29179	0.06161
V7	0	0.19292	0.35781	0.14572	0.30355
V8	0	0.19424	0.80576	0	0
V9	0	0.13519	0.2405	0.6243	0
V10	0.36776	0.17433	0.4579	0	0
V11	0	0.19241	0.03955	0.1776	0.59044
V12	0	0.18532	0.18729	0.37155	0.25584
V13	0.04766	0.18851	0.0056	0.50233	0.2559
V14	0.07107	0.13266	0.05175	0.69268	0.05183
V15	0	0.08577	0	0.91423	0
V16	0.45408	0.16447	0.00999	0.36885	0.00262
V17	0	0.35581	0	0.16798	0.47622
V18	0.0048	0.45022	0.29567	0.24931	0
V19	0	0.14396	0	0.21423	0.64181
V20	0	0.1617	0.65378	0.18452	0
V21	0	0.32897	0.12399	0.24892	0.29812
V22	0.73646	0.17269	0.06696	0	0.02388
V23	0	0.1877	0	0.23669	0.57561
V24	0.33435	0.23942	0.00311	0.16913	0.25398
V25	0	0.14197	0	0.48278	0.37525
V26	0.35778	0.28994	0.06375	0.13513	0.15341
V27	0.04104	0.51754	0.22305	0.09781	0.12056
V28	0	0.16778	0.1914	0.64005	0.00076
V29	0	0.10889	0.30338	0.58774	0
V30	0.63995	0.19477	0.02812	0.04458	0.09258
V31	0.29881	0.23625	0.00818	0.33526	0.1215
V32	0.85325	0.10112	0	0	0.04563
V33	0	0.28908	0	0.22024	0.49068
V34	0.05186	0.77814	0.09418	0.07583	0
V35	0.02237	0.59585	0.32411	0.05767	0
V36	0	0.28704	0.14326	0.18721	0.38249
V37	0.65776	0.11429	0	0.03584	0.19211
V38	0.02812	0.21295	0.43611	0.23553	0.08729
V39	0.20955	0.21215	0.30455	0.08403	0.18973
V40	0.14534	0.57347	0.07495	0.19694	0.0093
V41	0	0.77086	0.09518	0.09363	0.04033
V42	0.77869	0.14356	0.01056	0	0.06719
V43	0.37333	0.24901	0.36654	0.00672	0.00439
V44	0	0.37399	0.54704	0.01776	0.06121
V45	0	0.61268	0.15787	0.21784	0.01161
V46	0.0436	0.7048	0.14746	0.10414	0
V47	0	0.15958	0.84042	0	0
V48	0.07413	0.25052	0.21522	0.38613	0.07399
V49	0.34291	0.25115	0.23236	0.17319	0.00039
V50	0	0.17691	0.82309	0	0
V51	0.01643	0.37342	0.19668	0.1538	0.25968
V52	0	0.8246	0.10081	0.07459	0
V53	0	0.21496	0.00137	0.78367	0
V54	0.12303	0.12515	0	0.62332	0.12849
V55	0	0.0964	0	0.9036	0
V56	0	0.10174	0	0.82021	0.07805
V57	0.06634	0.29023	0.53532	0.03599	0.07212
V58	0	0.17689	0.0896	0.30417	0.42935
V59	0.76964	0.1302	0.08538	0	0.01478
V60	0.3056	0.28831	0.12998	0.20331	0.0728
