mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.22997	0.21644	0.24064	0.21505	0.0979
V2	0.01591	0.59814	0.15035	0.18228	0.05332
V3	0.01338	0.16432	0.37277	0.43037	0.01916
V4	0	0.18554	0.18976	0.19627	0.42843
V5	0	0.17094	0.03568	0.26131	0.53206
V6	0.23256	0.15858	0.24598	0.28235	0.08053
V7	0	0.19766	0.34285	0.17973	0.27976
V8	0	0.20154	0.71092	0.08662	0.00092
V9	0.00826	0.13344	0.23302	0.60709	0.01819
V10	0.37184	0.16624	0.41829	0.02178	0.02185
V11	0	0.19168	0.078	0.22777	0.50255
V12	0.02663	0.16745	0.19336	0.3793	0.23325
V13	0.07242	0.16393	0.04418	0.48854	0.23092
V14	0.09631	0.11797	0.07756	0.63685	0.07131
V15	0	0.10338	0.01247	0.85295	0.0312
V16	0.45178	0.14281	0.02993	0.35399	0.02149
V17	0.0106	0.31051	0.0333	0.22648	0.41911
V18	0.03625	0.36996	0.28466	0.28535	0.02378
V19	0	0.1702	0	0.27767	0.55213
V20	0	0.17196	0.57954	0.23715	0.01134
V21	0	0.29619	0.14537	0.28232	0.27612
V22	0.71626	0.1559	0.07199	0.03085	0.025
V23	0.01692	0.18722	0.00916	0.29311	0.49358
V24	0.34887	0.21015	0.03435	0.16809	0.23856
V25	0	0.15396	0.0116	0.50614	0.32831
V26	0.36861	0.2473	0.08383	0.1463	0.15396
V27	0.0699	0.43268	0.22928	0.12997	0.13818
V28	0	0.16277	0.19202	0.61136	0.03385
V29	0	0.12205	0.28449	0.57467	0.0188
V30	0.62485	0.17121	0.04086	0.08283	0.08024
V31	0.31447	0.20336	0.03685	0.3146	0.13072
V32	0.82643	0.10072	0.00167	0.02907	0.04211
V33	0	0.27047	0.02538	0.27312	0.43103
V34	0.07786	0.6447	0.11736	0.13343	0.02665
V35	0.04593	0.49435	0.31592	0.12412	0.01969
