mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.25188	0.23859	0.2138	0.17871	0.11702
V2	0.04767	0.69814	0.06923	0.12692	0.05804
V3	0.05556	0.18337	0.33779	0.38597	0.03732
V4	0.01658	0.16341	0.2077	0.09432	0.51799
V5	0.02168	0.11828	0.07081	0.1381	0.65113
V6	0.2562	0.16929	0.22685	0.24829	0.09936
V7	0.01265	0.20993	0.33905	0.10916	0.32921
V8	0.01497	0.26544	0.58305	0.11048	0.02606
V9	0.05108	0.13348	0.21655	0.56207	0.03683
V10	0.33925	0.21235	0.34195	0.06714	0.03931
V11	0.03669	0.1415	0.10572	0.10649	0.6096
V12	0.07076	0.14772	0.19311	0.30248	0.28592
V13	0.11377	0.12965	0.05079	0.41754	0.28824
V14	0.13446	0.09326	0.07694	0.59976	0.09559
V15	0.02805	0.07986	0.01692	0.82037	0.0548
V16	0.44079	0.14717	0.0284	0.3497	0.03395
V17	0.06097	0.29026	0.03487	0.10893	0.50497
V18	0.07081	0.43075	0.2221	0.24245	0.03388
V19	0.03354	0.11327	0.02042	0.15553	0.67724
V20	0.00804	0.2274	0.5068	0.22407	0.03369
V21	0.02154	0.31472	0.12976	0.19473	0.33925
V22	0.61313	0.18084	0.07051	0.09116	0.04435
V23	0.07333	0.11947	0.03939	0.16966	0.59814
V24	0.37033	0.19674	0.03654	0.11306	0.28333
V25	0.02805	0.10982	0.03152	0.42363	0.40698
V26	0.37723	0.26143	0.06948	0.11101	0.18086
V27	0.10194	0.49421	0.17206	0.07424	0.15754
V28	0.03009	0.1699	0.17597	0.56896	0.05507
V29	0.01127	0.14217	0.26619	0.53801	0.04236
V30	0.56349	0.18818	0.04074	0.10839	0.0992
V31	0.33993	0.20235	0.02997	0.27073	0.15702
V32	0.69336	0.11416	0.02443	0.1045	0.06354
V33	0.02557	0.25186	0.03481	0.15689	0.53087
V34	0.1055	0.745	0.0296	0.0912	0.0287
V35	0.07804	0.57572	0.22637	0.09434	0.02552
V36	0.0279	0.26433	0.15884	0.1302	0.41873
V37	0.58083	0.10933	0.01724	0.10012	0.19248
V38	0.09591	0.20583	0.36457	0.21136	0.12233
V39	0.24966	0.19653	0.26606	0.07477	0.21298
V40	0.18958	0.55056	0.03728	0.17078	0.0518
V41	0.04433	0.75243	0.03606	0.08267	0.08451
V42	0.64844	0.1416	0.03474	0.10296	0.07226
V43	0.35429	0.25377	0.26893	0.09273	0.03028
V44	0.03072	0.38811	0.4218	0.06163	0.09773
V45	0.03334	0.60752	0.10321	0.19717	0.05877
V46	0.09807	0.67682	0.08236	0.10421	0.03854
V47	0.00857	0.27911	0.62336	0.05717	0.03179
V48	0.1336	0.22618	0.19187	0.32962	0.11873
V49	0.34923	0.24128	0.18943	0.1873	0.03276
V50	0.0232	0.28539	0.60883	0.05658	0.026
V51	0.08708	0.33025	0.17927	0.11302	0.29037
V52	0.04885	0.79846	0.03117	0.09231	0.02922
V53	0.03015	0.19353	0.02503	0.70804	0.04325
V54	0.18269	0.08309	0.02855	0.53626	0.16941
V55	0.06978	0.06679	0.01622	0.79999	0.04721
V56	0.0682	0.06422	0.02245	0.72263	0.1225
V57	0.11915	0.28625	0.41225	0.08024	0.10211
V58	0.06608	0.1209	0.13282	0.22625	0.45395
V59	0.63238	0.14414	0.08701	0.10212	0.03435
V60	0.33206	0.26719	0.11814	0.17792	0.10468
V61	0.16874	0.10823	0.04369	0.25374	0.42561
V62	0.05296	0.17835	0.25356	0.16254	0.35259
V63	0.31892	0.30143	0.07135	0.10485	0.20346
V64	0.69306	0.12945	0.03617	0.10329	0.03803
V65	0.07742	0.1418	0.05086	0.5913	0.13862
V66	0.03031	0.10001	0.12282	0.69929	0.04757
V67	0.01367	0.18013	0.28187	0.12971	0.39461
V68	0.33922	0.18546	0.29929	0.0982	0.07784
V69	0.44042	0.22652	0.17026	0.09433	0.06847
V70	0.05319	0.62945	0.06057	0.21562	0.04118
V71	0.08226	0.68855	0.06179	0.13403	0.03337
V72	0.03805	0.40902	0.04394	0.09533	0.41366
V73	0.05599	0.10171	0.10136	0.54814	0.19281
V74	0.01933	0.11213	0.02388	0.74737	0.09729
V75	0.35047	0.28725	0.24465	0.08241	0.03522
V76	0.01819	0.07035	0.03074	0.79466	0.08605
V77	0.02205	0.26714	0.59918	0.08579	0.02584
V78	0.00862	0.28094	0.61617	0.06278	0.03148
V79	0.06991	0.40409	0.05649	0.18841	0.28111
V80	0.10814	0.65086	0.02649	0.12424	0.09027
V81	0.01566	0.27886	0.62202	0.05704	0.02642
V82	0.19391	0.20064	0.0435	0.51905	0.0429
V83	0.08751	0.14108	0.03706	0.53255	0.2018
V84	0.08589	0.22736	0.027	0.11269	0.54706
V85	0.0087	0.27869	0.62268	0.06327	0.02666
V86	0.02471	0.31468	0.25166	0.37153	0.03742
V87	0.36002	0.10415	0.05308	0.43647	0.04628
V88	0.25241	0.22406	0.06464	0.23573	0.22316
V89	0.03871	0.30305	0.54718	0.08597	0.02509
V90	0.02353	0.24614	0.07031	0.15145	0.50857
V91	0.01618	0.08481	0.08041	0.77356	0.04503
V92	0.20407	0.13718	0.04438	0.11593	0.49843
V93	0.01551	0.17475	0.14848	0.49204	0.16922
V94	0.03964	0.22403	0.0403	0.27459	0.42143
V95	0.0595	0.27533	0.04122	0.15724	0.4667
