mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.22898	0.17445	0.27465	0.2104	0.11153
V2	0.07977	0.56236	0.11966	0.16945	0.06877
V3	0.07711	0.12233	0.39215	0.37283	0.03558
V4	0.047	0.15363	0.25833	0.10684	0.43419
V5	0.05476	0.13051	0.09205	0.14654	0.57615
V6	0.23119	0.11589	0.28509	0.27216	0.09567
V7	0.04184	0.17124	0.39949	0.12228	0.26515
V8	0.03728	0.17885	0.6401	0.11847	0.0253
V9	0.07909	0.08611	0.26013	0.54057	0.0341
V10	0.28351	0.14391	0.41766	0.10286	0.05205
V11	0.06592	0.14552	0.13683	0.11907	0.53266
V12	0.09304	0.11877	0.24052	0.31174	0.23593
V13	0.13435	0.1049	0.07383	0.43655	0.25038
V14	0.14975	0.05892	0.10252	0.60274	0.08607
V15	0.07185	0.04623	0.0278	0.8089	0.04522
V16	0.39907	0.093	0.05539	0.39686	0.05567
V17	0.09055	0.26698	0.05828	0.13511	0.44909
V18	0.09143	0.32189	0.28305	0.26292	0.0407
V19	0.0682	0.12878	0.02842	0.16529	0.60932
V20	0.03604	0.15402	0.56146	0.21813	0.03034
V21	0.05624	0.26388	0.1744	0.21793	0.28755
V22	0.54556	0.11918	0.11172	0.14893	0.0746
V23	0.10011	0.12581	0.05564	0.18722	0.53122
V24	0.34346	0.1605	0.06525	0.15879	0.272
V25	0.06719	0.10022	0.04555	0.43851	0.34853
V26	0.34457	0.20647	0.1097	0.15888	0.18038
V27	0.11497	0.39444	0.2342	0.11062	0.14577
V28	0.06518	0.11702	0.21671	0.55272	0.04837
V29	0.04828	0.0936	0.3123	0.50947	0.03635
V30	0.50688	0.13358	0.0747	0.16443	0.12041
V31	0.31747	0.15356	0.05749	0.31449	0.15699
V32	0.62056	0.06233	0.05343	0.16549	0.09819
V33	0.06168	0.23471	0.0553	0.17879	0.46951
V34	0.13163	0.60031	0.07364	0.14164	0.05278
V35	0.09558	0.44032	0.29603	0.12945	0.03862
V36	0.05896	0.229	0.20624	0.15067	0.35514
V37	0.52536	0.07419	0.04106	0.15346	0.20593
V38	0.10395	0.14634	0.4262	0.22051	0.103
V39	0.22111	0.149	0.33464	0.10647	0.18878
V40	0.19576	0.43902	0.07872	0.21784	0.06865
V41	0.07951	0.6151	0.08136	0.12844	0.09559
