mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.27242	0.20725	0.22436	0.17476	0.12122
V2	0.05823	0.69984	0.08985	0.10934	0.04274
V3	0.05569	0.14821	0.35518	0.41326	0.02765
V4	0.01622	0.10655	0.21049	0.10114	0.5656
V5	0.02119	0.0597	0.06755	0.15118	0.70038
V6	0.27427	0.1361	0.23448	0.25407	0.10109
V7	0.0117	0.15898	0.35434	0.1108	0.36419
V8	0.01236	0.23164	0.64197	0.09658	0.01744
V9	0.04879	0.10201	0.22156	0.6032	0.02445
V10	0.37276	0.18431	0.36878	0.03938	0.03477
V11	0.0372	0.08428	0.10389	0.11691	0.65773
V12	0.0716	0.10254	0.19448	0.3245	0.30689
V13	0.11518	0.09034	0.04718	0.44485	0.30245
V14	0.13577	0.06421	0.07371	0.63637	0.08995
V15	0.0221	0.05377	0.01242	0.87209	0.03962
V16	0.47121	0.12491	0.02447	0.35622	0.02318
V17	0.0655	0.23824	0.03599	0.11234	0.54793
V18	0.07789	0.4125	0.24438	0.24571	0.01952
V19	0.03325	0.05386	0.01587	0.16891	0.72813
V20	0.00419	0.1909	0.54891	0.23035	0.02565
V21	0.02325	0.26998	0.13599	0.2049	0.36588
V22	0.67563	0.16053	0.07021	0.05531	0.03832
V23	0.0747	0.06573	0.03542	0.18358	0.64057
V24	0.39556	0.16096	0.03416	0.10133	0.30799
V25	0.02556	0.06486	0.02743	0.4527	0.42945
V26	0.4083	0.23274	0.07143	0.09434	0.19319
V27	0.11499	0.47332	0.19188	0.05576	0.16404
V28	0.02713	0.13842	0.18027	0.61024	0.04394
V29	0.00618	0.1081	0.27543	0.57943	0.03086
V30	0.6148	0.16514	0.03814	0.08076	0.10117
V31	0.36229	0.17264	0.02747	0.27488	0.16272
V32	0.76487	0.09038	0.01758	0.06628	0.06089
V33	0.02731	0.19805	0.0349	0.16759	0.57216
V34	0.12596	0.76116	0.04703	0.05989	0.00597
V35	0.09055	0.57038	0.25918	0.07153	0.00836
V36	0.02964	0.2137	0.16407	0.1367	0.4559
V37	0.62754	0.07966	0.01043	0.07476	0.20762
V38	0.10168	0.16712	0.38493	0.21759	0.12868
V39	0.27014	0.15677	0.27845	0.0604	0.23424
V40	0.21359	0.54401	0.04795	0.15683	0.03762
V41	0.05596	0.76001	0.05508	0.05581	0.07315
V42	0.71135	0.11894	0.03001	0.06884	0.07086
V43	0.38973	0.23089	0.28938	0.06749	0.0225
V44	0.03327	0.36221	0.46303	0.04176	0.09972
V45	0.03955	0.59957	0.12332	0.19315	0.04441
V46	0.11569	0.68011	0.10339	0.08027	0.02053
V47	0.0048	0.24425	0.69493	0.0323	0.02373
V48	0.14196	0.19171	0.19849	0.3483	0.11954
V49	0.37975	0.2184	0.20055	0.17755	0.02375
V50	0.02177	0.25172	0.67818	0.03138	0.01694
V51	0.09493	0.28986	0.1898	0.10931	0.31609
V52	0.06196	0.821	0.05128	0.0609	0.00486
V53	0.02702	0.16779	0.02425	0.7545	0.02644
V54	0.18565	0.05233	0.02338	0.567	0.17164
V55	0.06579	0.04156	0.01115	0.84953	0.03197
V56	0.06457	0.0358	0.01742	0.76577	0.11645
V57	0.1303	0.25485	0.44433	0.06354	0.10698
V58	0.06645	0.07071	0.1306	0.24356	0.48868
V59	0.69555	0.12251	0.08695	0.06749	0.0275
V60	0.35982	0.24108	0.12375	0.16959	0.10576
V61	0.17236	0.06417	0.03905	0.26906	0.45536
V62	0.05446	0.12791	0.26053	0.17183	0.38526
V63	0.34701	0.27139	0.07446	0.08917	0.21796
V64	0.76826	0.10692	0.03108	0.06311	0.03063
V65	0.07669	0.11007	0.04844	0.62911	0.1357
V66	0.02552	0.07171	0.12238	0.74595	0.03444
