mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.13411	0.32512	0.35848	0.09054	0.09175
V2	0	0.66933	0.26717	0.0635	0
V3	0	0.18162	0.49269	0.32569	0
V4	0	0.25413	0.17538	0.45218	0.11831
V5	0	0.23149	0	0.64464	0.12387
V6	0.14534	0.24847	0.35666	0.161	0.08853
V7	0	0.23459	0.42016	0.28818	0.05707
V8	0	0.10819	0.89181	0	0
V9	0	0.15972	0.30656	0.53372	0
V10	0.36243	0.08816	0.5494	0	0
V11	0	0.28973	0	0.54901	0.16127
V12	0	0.23642	0.22659	0.47155	0.06543
V13	0	0.28499	0.02707	0.59385	0.09409
V14	0	0.22268	0.10661	0.65952	0.01118
V15	0	0.14044	0	0.85956	0
V16	0.41285	0.22457	0.08082	0.20585	0.07591
V17	0	0.4388	0	0.42452	0.13669
V18	0	0.43298	0.41762	0.1494	0
V19	0	0.20749	0	0.69478	0.09773
V20	0	0.14797	0.76491	0.08712	0
V21	0	0.37247	0.17614	0.39355	0.05784
V22	0.73694	0.12436	0.1387	0	0
V23	0	0.26155	0	0.59882	0.13962
V24	0.26447	0.36366	0.036	0.13697	0.1989
V25	0	0.21191	0	0.74977	0.03832
V26	0.2985	0.38052	0.14011	0.02914	0.15174
V27	0	0.54994	0.33957	0.05152	0.05897
V28	0	0.19094	0.25738	0.55168	0
V29	0	0.12897	0.36331	0.50772	0
V30	0.62943	0.21016	0.09651	0	0.0639
V31	0.21732	0.34475	0.06314	0.24785	0.12693
V32	0.8761	0.08367	0.03955	0	0.00068
V33	0	0.36569	0	0.5254	0.10891
V34	0	0.7524	0.2476	0	0
V35	0	0.54754	0.45246	0	0
V36	0	0.34583	0.17497	0.39066	0.08854
V37	0.66639	0.17956	0	0	0.15405
V38	0	0.24846	0.53468	0.17677	0.04009
V39	0.13918	0.30041	0.40803	0	0.15238
V40	0.04778	0.64179	0.21002	0.0554	0.04501
V41	0	0.71734	0.23783	0.04483	0
V42	0.78851	0.12387	0.07252	0	0.0151
V43	0.35755	0.17553	0.46692	0	0
V44	0	0.34142	0.65858	0	0
V45	0	0.57891	0.27986	0.14124	0
V46	0	0.69387	0.3007	0.00053	0.0049
V47	0	0.059	0.941	0	0
V48	0	0.32553	0.30839	0.32247	0.04361
V49	0.30123	0.28223	0.35867	0	0.05787
V50	0	0.07434	0.92566	0	0
V51	0	0.42205	0.27071	0.21551	0.09173
V52	0	0.74962	0.25038	0	0
V53	0	0.2443	0.05549	0.70021	0
V54	0	0.27413	0.00745	0.63553	0.08288
V55	0	0.15531	0	0.84469	0
V56	0	0.16708	0	0.83292	0
V57	0	0.31688	0.67609	0	0.00702
V58	0	0.25457	0.08524	0.53542	0.12477
V59	0.77353	0.07544	0.15103	0	0
V60	0.24314	0.35804	0.23275	0.06198	0.10409
V61	0	0.32005	0	0.49742	0.18253
V62	0	0.2545	0.29465	0.36812	0.08273
V63	0.20926	0.43947	0.14678	0.05648	0.148
V64	0.87725	0.06709	0.05566	0	0
V65	0	0.24238	0.06939	0.68823	0
V66	0	0.13954	0.15719	0.70327	0
V67	0	0.2253	0.31559	0.39053	0.06858
V68	0.32307	0.16454	0.51238	0	0
V69	0.46258	0.21933	0.31437	0	0.00371
V70	0	0.62147	0.23995	0.13857	0
V71	0	0.6893	0.2736	0.0371	0
V72	0	0.50237	0.06628	0.33031	0.10104
V73	0	0.18917	0.11023	0.7006	0
V74	0	0.17806	0.01123	0.8107	0
V75	0.34433	0.2173	0.43837	0	0
V76	0	0.13243	0.00394	0.86363	0
V77	0	0.08747	0.91253	0	0
V78	0	0.07016	0.92984	0	0
V79	0	0.48765	0.12546	0.31334	0.07356
V80	0	0.70008	0.20476	0.06681	0.02835
V81	0	0.05867	0.94133	0	0
V82	0.03034	0.34062	0.11567	0.49178	0.02158
V83	0	0.26661	0.03173	0.67716	0.0245
V84	0	0.3873	0	0.4588	0.1539
V85	0	0.05817	0.94183	0	0
V86	0	0.29624	0.39656	0.30721	0
V87	0.26696	0.20648	0.0971	0.36449	0.06496
V88	0.09681	0.39476	0.09887	0.27319	0.13637
V89	0	0.15733	0.84267	0	0
V90	0	0.36707	0.01904	0.50017	0.11372
V91	0	0.1247	0.08581	0.78949	0
V92	0	0.38702	0	0.35632	0.25666
V93	0	0.21043	0.19699	0.59258	0
V94	0	0.34802	0	0.5607	0.09128
V95	0	0.4204	0.00206	0.44624	0.13129
V96	0.69732	0.14969	0.06207	0	0.09092
V97	0	0.33792	0	0.45982	0.20226
V98	0	0.43352	0.28286	0.24865	0.03498
V99	0.3254	0.31329	0.06344	0.18894	0.10894
V100	0.3565	0.35198	0.11849	0.0224	0.15064
V101	0	0.74589	0.25411	0	0
V102	0.11088	0.41827	0.23902	0.11685	0.11498
V103	0	0.2596	0	0.56057	0.17983
V104	0	0.49002	0.1593	0.26578	0.0849
V105	0	0.2274	0	0.65863	0.11397
V106	0	0.63803	0.36197	0	0
V107	0	0.24924	0.75076	0	0
V108	0	0.16657	0.83343	0	0
V109	0	0.3595	0.08967	0.48627	0.06456
V110	0	0.56035	0.37422	0.03445	0.03098
V111	0.15973	0.24729	0.59299	0	0
V112	0	0.24958	0.13342	0.54307	0.07393
V113	0.01366	0.34429	0.07594	0.35143	0.21468
V114	0.39815	0.26073	0.11105	0.09416	0.13591
V115	0.8015	0.11434	0.02804	0	0.05613
V116	0	0.19402	0	0.70609	0.0999
V117	0	0.15132	0.84868	0	0
V118	0	0.13726	0	0.86274	0
V119	0.15769	0.21692	0.50888	0.06773	0.04878
V120	0	0.14748	0.85252	0	0
V121	0.01993	0.72529	0.21708	0	0.03769
V122	0	0.42884	0.18631	0.36838	0.01647
V123	0.29888	0.25957	0.1208	0.18539	0.13536
V124	0	0.39129	0.07813	0.3695	0.16108
V125	0	0.377	0.623	0	0
V126	0	0.38929	0.2915	0.2166	0.10261
V127	0.15631	0.12204	0.72165	0	0
V128	0.03938	0.71871	0.2419	0	0
V129	0.06021	0.30086	0.32963	0.18797	0.12133
V130	0	0.48761	0.17327	0.33912	0
V131	0	0.13162	0.26775	0.60063	0
V132	0.13834	0.28448	0	0.44089	0.13629
V133	0	0.21935	0.57009	0.1994	0.01116
V134	0	0.17587	0.82413	0	0
V135	0	0.22488	0.77512	0	0
V136	0.91306	0.05391	0.03303	0	0
V137	0.82272	0.11129	0.0529	0	0.0131
V138	0.02814	0.42099	0.10816	0.27148	0.17123
V139	0	0.18614	0.20983	0.60402	0
V140	0	0.26703	0.05532	0.52349	0.15416
V141	0	0.27179	0.72821	0	0
V142	8e-04	0.29919	0.38078	0.17843	0.1408
V143	0	0.29049	0.54171	0.1678	0
V144	0.32854	0.3511	0.17704	0.03605	0.10728
V145	0	0.08138	0.91862	0	0
V146	0	0.41177	0.07689	0.48464	0.0267
V147	0	0.23527	0.76473	0	0
V148	0	0.74094	0.2447	0	0.01435
V149	0	0.12094	0	0.87906	0
V150	0.00028	0.30865	0.69107	0	0
V151	0.23637	0.23248	0.03072	0.40012	0.10031
V152	0	0.13523	0.12293	0.74184	0
V153	0	0.36462	0.58702	0	0.04837
V154	0	0.62895	0.17422	0.12399	0.07283
V155	0	0.14406	0.15942	0.69652	0
V156	0	0.25673	0.4301	0.2368	0.07637
V157	0	0.26736	0.17553	0.47272	0.0844
V158	0	0.29861	0.51529	0.0511	0.13501
V159	0	0.33647	0.09414	0.56939	0
V160	0.27357	0.35875	0.16432	0.05119	0.15217
V161	0	0.38194	0	0.35824	0.25983
V162	0	0.05953	0.94047	0	0
V163	0	0.22756	0	0.6426	0.12984
V164	0.85056	0.09164	0.0578	0	0
V165	0.46465	0.29425	0.20245	0	0.03865
V166	0	0.16572	0.27719	0.55709	0
V167	0	0.58028	0.18034	0.23927	0.00011
V168	0	0.05953	0.94047	0	0
V169	0	0.59439	0.3566	0.04901	0
V170	0.04208	0.50829	0.19165	0.18456	0.07342
V171	0.13075	0.27812	0.47718	0.04464	0.06931
V172	0	0.47523	0.09907	0.24813	0.17757
V173	0	0.3417	0.15331	0.42326	0.08173
V174	0.00919	0.27759	0.41679	0.19559	0.10085
V175	0	0.34115	0.13259	0.42803	0.09822
V176	0.17077	0.22063	0.03853	0.52748	0.04258
V177	0.03171	0.24942	0.68017	0.00142	0.03728
V178	0.11242	0.25692	0.56503	0	0.06563
V179	0	0.25627	0	0.57859	0.16514
V180	0	0.2442	0.32507	0.33225	0.09848
V181	0	0.44787	0	0.42588	0.12624
V182	0.39773	0.33879	0.10447	0.06223	0.09677
V183	0	0.75302	0.24698	0	0
V184	0.13551	0.219	0.38853	0.19834	0.05861
V185	0	0.53783	0.14559	0.26186	0.05472
V186	0	0.39186	0.04814	0.44046	0.11954
V187	0	0.61469	0.19187	0.19344	0
V188	0.74004	0.12191	0.10373	0	0.03432
V189	0.27819	0.35022	0.14975	0.15047	0.07136
V190	0.23109	0.29836	0.28797	0.03034	0.15224
V191	0.00807	0.41216	0.07944	0.43643	0.0639
V192	0.12252	0.36952	0.22314	0.1883	0.09651
V193	0	0.33206	0.6122	0.03464	0.02111
V194	0.04389	0.37098	0.07341	0.30189	0.20984
V195	0.45297	0.19653	0.3505	0	0
V196	0	0.22174	0	0.65622	0.12203
V197	0	0.7396	0.24405	0.01636	0
V198	0.01821	0.45213	0.09331	0.29969	0.13665
V199	0.6785	0.04125	0.28025	0	0
V200	0.66572	0.15518	0.05914	0	0.11997
V201	0	0.16726	0.00419	0.82855	0
V202	0.85116	0.10378	0.04506	0	0
V203	0.36094	0.38417	0.12581	0	0.12908
V204	0.12559	0.4001	0	0.2193	0.255
V205	0	0.32371	0.05944	0.43535	0.18149
V206	0	0.21574	0.02276	0.7615	0
V207	0	0.14044	0	0.85956	0
V208	0	0.3693	0.61206	0	0.01864
V209	0	0.35175	0.02719	0.39553	0.22553
V210	0	0.06378	0.93622	0	0
V211	0	0.33007	0.18952	0.30077	0.17964
V212	0	0.65513	0.28705	0.05782	0
V213	0	0.26909	0	0.59659	0.13431
V214	0	0.45083	0.54917	0	0
V215	0.04041	0.44234	0.2185	0.15594	0.1428
V216	0	0.26645	0.33	0.30383	0.09972
V217	0	0.13027	0.00915	0.86058	0
V218	0	0.30268	0.36984	0.32749	0
V219	0	0.36852	0.52167	0.10979	2e-05
V220	0.03044	0.68596	0.2836	0	0
V221	0	0.26301	0.52592	0.15175	0.05932
V222	0	0.20457	0	0.68796	0.10748
V223	0.38237	0.16189	0.42351	0	0.03223
V224	0	0.55186	0.14702	0.25841	0.04272
V225	0.60936	0.16665	0.22399	0	0
V226	0.32973	0.50076	0.1695	0	0
V227	0	0.35061	0.09153	0.55786	0
V228	0.45236	0.15401	0.37691	0	0.01672
V229	0.10916	0.44778	0.44057	0	0.00248
V230	0	0.19677	0	0.69664	0.10659
V231	0	0.55762	0.22765	0.21473	0
V232	0.70707	0.04467	0.24826	0	0
V233	0	0.28349	0.09095	0.48657	0.13899
V234	0	0.36906	0.33411	0.29683	0
V235	0.89593	0.07036	0.03371	0	0
V236	0	0.20658	0.69997	0.09345	0
V237	0	0.28026	0.32622	0.3546	0.03892
V238	0	0.18425	0	0.76221	0.05354
V239	0	0.47099	0.14676	0.33061	0.05165
V240	0	0.71437	0.241	0.04463	0
V241	0	0.7507	0.2493	0	0
V242	0	0.35313	0.39824	0.24863	0
V243	0.32627	0.19585	0.42038	0	0.0575
V244	0	0.44467	0.29393	0.22725	0.03415
V245	0	0.72969	0.26956	0.00075	0
V246	0.47112	0.33803	0.14052	0	0.05033
V247	0.05855	0.23283	0.70862	0	0
V248	0	0.62846	0.16802	0.13569	0.06783
V249	0.04072	0.3478	0.24933	0.19237	0.16977
V250	0	0.21502	0.68212	0.09481	0.00805
V251	0.00891	0.25988	0.14537	0.55431	0.03152
V252	0	0.25159	0.59105	0.15736	0
V253	0.13176	0.57129	0.28375	0	0.0132
V254	0.3632	0.43287	0.14438	0	0.05955
V255	0.7237	0.17372	0.05222	0	0.05037
V256	0	0.67367	0.20162	0.115	0.00971
V257	0.28439	0.37904	0.28307	0	0.0535
V258	0	0.42152	0.17978	0.39567	0.00303
V259	0.40079	0.29121	0.30799	0	0
V260	0.04187	0.36368	0.08418	0.28393	0.22634
V261	0	0.18405	0.52923	0.28672	0
V262	0.81713	0.08143	0.10144	0	0
V263	0.69044	0.17053	0.08954	0	0.04949
V264	0	0.73225	0.25123	0.01652	0
V265	0.71576	0.1283	0.15594	0	0
V266	0	0.246	0	0.61642	0.13759
V267	0	0.21693	0	0.68023	0.10284
V268	0.0101	0.51198	0.30558	0.12408	0.04826
V269	0	0.38168	0.47945	0.13887	0
V270	0	0.14673	0.03749	0.81578	0
V271	0.05529	0.69713	0.22668	0	0.0209
V272	0	0.72155	0.25836	0.01524	0.00486
V273	0.0819	0.26531	0.23068	0.33882	0.08328
V274	0	0.29253	0	0.57555	0.13192
V275	0	0.59352	0.34632	0.06016	0
V276	0	0.16128	0.72854	0.11018	0
V277	0.25484	0.09114	0.65403	0	0
V278	0	0.1748	0.3637	0.4615	0
V279	0	0.21268	0.023	0.76432	0
V280	0	0.25978	0.0652	0.63753	0.03749
V281	0	0.28152	0.11435	0.60413	0
V282	0	0.75241	0.24759	0	0
V283	0.15555	0.32035	0.09352	0.19701	0.23358
V284	0	0.28479	0.56989	0.11247	0.03284
V285	0.37501	0.4653	0.15969	0	0
V286	0	0.13149	0.86851	0	0
V287	0.03608	0.31609	0.22539	0.32649	0.09595
V288	0.05678	0.22708	0.71615	0	0
V289	0	0.35655	0.11967	0.52378	0
V290	0.29567	0.41001	0.29432	0	0
V291	0.21448	0.34309	0.09761	0.27534	0.06948
V292	0	0.28552	0.43923	0.16156	0.11369
V293	0	0.1637	0.8363	0	0
V294	0	0.19968	0	0.69941	0.10091
V295	0	0.16539	0.36109	0.47352	0
V296	0.7674	0.16509	0.06751	0	0
V297	0	0.17509	0.82235	0.00256	0
V298	0.08091	0.25392	0.00668	0.58749	0.071
V299	0.05946	0.22268	0.0386	0.66042	0.01884
V300	0.91257	0.05947	0.02796	0	0
V301	0.88225	0.07416	0.0436	0	0
V302	0	0.1754	0	0.79998	0.02462
V303	0	0.35255	0.27056	0.30805	0.06884
V304	0.07368	0.13627	0.79005	0	0
V305	0.00229	0.50018	0.19521	0.18506	0.11727
V306	0.16887	0.6243	0.20529	0	0.00154
V307	0.03948	0.22903	0.36229	0.34691	0.02229
V308	0.10415	0.15993	0.73592	0	0
V309	0.49036	0.24498	0.10506	0.01797	0.14163
V310	0	0.22385	0	0.67356	0.10259
V311	0	0.1241	0.03991	0.83599	0
V312	0	0.40687	0.31399	0.1793	0.09983
V313	0	0.40098	0.07148	0.48353	0.04401
V314	0	0.22823	0	0.70315	0.06863
V315	0.88235	0.07248	0.04517	0	0
V316	0	0.55041	0.42523	0.00845	0.01591
V317	0.26109	0.14821	0.5907	0	0
V318	0.83508	0.10084	0.03039	0	0.03369
V319	0	0.13959	0.86041	0	0
V320	0	0.15895	0.00481	0.83624	0
V321	0	0.41484	0.44468	0.12877	0.0117
V322	0	0.32108	0.65372	0.0252	0
V323	0.09606	0.33417	0.56978	0	0
