cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.58168	0.0091	0.16774	0.24148
V2	0.1573	0.07992	0.05643	0.70636
V3	0.05214	0.65278	0.01319	0.28189
V4	0.86887	0.11431	0	0.01681
V5	0.10818	0.4858	0.26121	0.14481
V6	0.07172	0.89202	0.01874	0.01751
V7	0.14934	0.36513	0.08517	0.40036
V8	0.12811	0.03346	0.81197	0.02646
V9	0.25107	0.23024	0.03867	0.48003
V10	0.01922	0.03942	0.89867	0.04269
V11	0.21181	0.35085	0.43233	0.00501
V12	0.02355	0.59737	0.36778	0.0113
V13	0.26498	0.71321	0.00463	0.01718
V14	0.06574	0.92251	0.00648	0.00527
V15	0.11789	0.62343	0.11774	0.14094
V16	0.91718	0.04375	0.01624	0.02284
V17	0.08174	0.88894	0.0118	0.01752
V18	0.58968	0.34143	0.03847	0.03043
V19	0.15542	0.82851	0.00517	0.0109
V20	0.16993	0.47638	0.02026	0.33343
V21	0.12882	0.05709	0.78768	0.02641
V22	0.01696	0.08232	0.22944	0.67128
V23	0.38822	0.045	0.56138	0.0054
V24	0.92795	0.04181	0.03008	0.00017
V25	0.36856	0.22316	0.13046	0.27782
V26	0.41168	0.38882	0.01742	0.18207
V27	0.10574	0.05289	0.02756	0.8138
V28	0.00377	0.08534	0.90894	0.00195
V29	0.45015	0.03003	0.49532	0.02449
V30	0.10019	0.20014	0.30139	0.39828
V31	0.21225	0.17417	0.31777	0.29581
V32	0.08565	0.02682	0.04119	0.84634
V33	0.04136	0.50569	0.36742	0.08553
V34	0.12822	0.04353	0.80183	0.02642
V35	0.15817	0.74252	0.07501	0.0243
V36	0.00738	0.03362	0.52017	0.43883
V37	0.58211	0.05783	0.09372	0.26635
V38	0.45259	0.00519	0.17708	0.36515
V39	0.16543	0.58576	0.12718	0.12164
V40	0.09578	0.83231	0.07181	1e-04
V41	0.00613	0.70827	0.04441	0.24119
V42	0.23623	0.02244	0.22542	0.51591
V43	0.13017	0.33038	0.51376	0.02568
V44	0.01448	0.0644	0.77469	0.14643
V45	0.09435	0.61006	0.21999	0.07561
V46	0.81016	0.07198	0.11328	0.00458
V47	0.47194	0.17236	0.31592	0.03979
V48	0.81208	0.1675	0.0039	0.01652
V49	0.75401	0.17957	0	0.06643
V50	0.06318	0.85486	0.07717	0.00479
V51	0.32047	0.39895	0.25597	0.02461
V52	0.02538	0.10509	0.84255	0.02699
V53	0.73565	0.12149	0.14271	0.00015
V54	0.44038	0.1773	0.36511	0.01721
V55	0.22662	0.11053	0.25982	0.40304
V56	0.04841	0.01506	0.10474	0.83179
V57	0.09254	0.87738	0.01919	0.01088
V58	0.67499	0.00811	0.04073	0.27616
V59	0.45164	0.40822	0.10112	0.03902
V60	0.13656	0.13305	0.35715	0.37324
V61	0.8302	0.0947	0.00921	0.0659
V62	0.88973	0.03818	0.06184	0.01025
V63	0.01463	0.85544	0.11235	0.01758
V64	0.00758	0.88133	0.00086	0.11024
V65	0.01749	0.00801	0.12634	0.84815
V66	0.21417	0.71402	0.01717	0.05464
V67	0.15386	0.32047	0.51437	0.0113
V68	0.16809	0.13973	0.02729	0.66489
V69	0.02317	0.29816	0.63696	0.04171
V70	0.58058	0.13336	0.17875	0.10732
V71	0.17088	0.05658	0.40886	0.36368
V72	0.61489	0.14123	0.09203	0.15185
V73	0.15134	0.63917	0.13497	0.07452
V74	0.05825	0.221	0.7197	0.00105
V75	0.73186	0.0089	0.18481	0.07443
V76	0.00072	0.1668	0.20366	0.62882
V77	0.03863	0.30647	0.01246	0.64243
V78	0.33024	0.09803	0.19788	0.37385
V79	0.00738	0.08946	0.82811	0.07504
V80	0.36009	0.02223	0.54585	0.07183
V81	0.05627	0.15704	0.78056	0.00613
V82	0.00231	0.08557	0.90398	0.00814
V83	0.14212	0.16945	0.08104	0.60739
V84	0.42556	0.03537	0.16988	0.36919
V85	0.10916	0.30457	0.42991	0.15635
V86	0.04533	0.05482	0.86535	0.03451
V87	0.03104	0.86452	0.04958	0.05485
V88	0.1746	0.04697	0.2961	0.48234
V89	0.02029	0.01467	0.23624	0.7288
V90	0.02412	0.91366	0.05116	0.01105
V91	0.03167	0.76269	0.18096	0.02469
V92	0.47606	0.02147	0.38792	0.11455
