cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.69331	0.0098	0.19298	0.10391
V2	0.37923	0.11855	0.09583	0.40638
V3	0.13693	0.68995	0.02426	0.14886
V4	0.89241	0.09885	0	0.00874
V5	0.20613	0.42808	0.29708	0.0687
V6	0.14822	0.80844	0.03157	0.01177
V7	0.29593	0.38908	0.12524	0.18976
V8	0.18713	0.00245	0.79675	0.01367
V9	0.44203	0.26654	0.06099	0.23044
V10	0.03508	0.00245	0.94059	0.02188
V11	0.29655	0.27514	0.42506	0.00326
V12	0.05518	0.51924	0.41789	0.00769
V13	0.37298	0.60697	0.00933	0.01072
V14	0.13057	0.85351	0.01192	0.004
V15	0.22802	0.55127	0.1518	0.06891
V16	0.94405	0.02962	0.01706	0.00927
V17	0.16194	0.80512	0.02122	0.01172
V18	0.66011	0.27531	0.04877	0.0158
V19	0.25777	0.7246	0.01031	0.00732
V20	0.32992	0.47673	0.03302	0.16033
V21	0.18921	0.03161	0.76541	0.01376
V22	0.06275	0.12643	0.39184	0.41899
V23	0.49123	0.02045	0.48559	0.00273
V24	0.95684	0.02025	0.02291	0
V25	0.4971	0.22418	0.16103	0.11769
V26	0.53278	0.35798	0.02743	0.08182
V27	0.30195	0.08183	0.04353	0.57269
V28	0.00053	0.01411	0.98527	9e-05
V29	0.51302	0.01525	0.45952	0.01222
V30	0.20524	0.2262	0.38382	0.18474
V31	0.34658	0.17604	0.35367	0.1237
V32	0.24968	0.04048	0.0689	0.64093
V33	0.09571	0.44883	0.41086	0.04459
V34	0.1876	0.01617	0.78257	0.01366
V35	0.26008	0.62655	0.0985	0.01487
V36	0.02538	0.02979	0.70627	0.23856
V37	0.69473	0.0685	0.12074	0.11604
V38	0.61885	0.00326	0.2188	0.15908
V39	0.27512	0.50809	0.15783	0.05895
V40	0.17442	0.73439	0.091	2e-04
V41	0.02516	0.76168	0.07656	0.1366
V42	0.41851	0.02907	0.30293	0.24949
V43	0.20171	0.27281	0.5111	0.01438
V44	0.03796	0.05169	0.83727	0.07308
V45	0.17776	0.52541	0.25703	0.03979
V46	0.82526	0.0577	0.11435	0.0027
V47	0.51124	0.15097	0.31687	0.02092
V48	0.84317	0.14119	0.00681	0.00883
V49	0.80687	0.16121	0	0.03192
V50	0.12888	0.76342	0.1038	0.0039
V51	0.3945	0.32464	0.26708	0.01378
V52	0.05194	0.07621	0.85731	0.01454
V53	0.77745	0.08906	0.13349	1e-05
V54	0.4971	0.14444	0.34897	0.00948
V55	0.38928	0.12467	0.31259	0.17346
V56	0.14625	0.02321	0.19383	0.63671
V57	0.17703	0.78441	0.03098	0.00758
V58	0.82115	0.01077	0.05308	0.11501
V59	0.52928	0.33293	0.11711	0.02068
V60	0.25264	0.14922	0.42719	0.17095
V61	0.85696	0.09557	0.01498	0.03249
V62	0.91673	0.02369	0.05508	0.0045
V63	0.04031	0.79256	0.15492	0.01221
V64	0.0237	0.90533	0.00269	0.06828
V65	0.04266	0.0089	0.22483	0.7236
V66	0.33718	0.60526	0.02793	0.02963
V67	0.23343	0.2559	0.5038	0.00687
V68	0.38467	0.19495	0.04593	0.37445
V69	0.05398	0.25974	0.66333	0.02294
V70	0.64308	0.12227	0.18693	0.04772
V71	0.30354	0.06227	0.46926	0.16493
V72	0.67872	0.14202	0.11268	0.06657
V73	0.25575	0.54169	0.16407	0.03849
V74	0.09904	0.16721	0.73368	7e-05
V75	0.7799	0.004	0.18269	0.03341
V76	0.00339	0.24612	0.35273	0.39775
V77	0.12369	0.43139	0.02006	0.42486
V78	0.4778	0.114	0.24485	0.16335
V79	0.01821	0.06908	0.87353	0.03917
V80	0.43846	0.0086	0.51882	0.03411
V81	0.09837	0.1166	0.78158	0.00346
V82	0.00044	0.03711	0.95878	0.00367
V83	0.3231	0.2243	0.13221	0.32039
V84	0.57932	0.04459	0.21344	0.16265
V85	0.1975	0.27891	0.45341	0.07018
V86	0.08543	0.02486	0.87187	0.01784
V87	0.08086	0.80806	0.0775	0.03357
V88	0.34174	0.05727	0.37644	0.22454
V89	0.06765	0.01744	0.41675	0.49815
V90	0.05811	0.85709	0.07675	0.00806
V91	0.07733	0.67993	0.22695	0.01579
V92	0.54354	0.01573	0.38718	0.05356
V93	0.94218	0.02051	0	0.03731
V94	0.05684	0.60414	0.04564	0.29338
V95	0.37504	0.38006	0.18342	0.06148
V96	0.23143	0.15925	0.06015	0.54917
V97	0.74653	0.07306	0.17783	0.00259
V98	0.75567	0.23839	0	0.00594
V99	0.82383	0.03753	0.13595	0.00268
V100	0.13143	0.00935	0.84881	0.01041
V101	0.05135	0.05965	0.01617	0.87284
V102	0.95382	0.03658	0.00505	0.00455
V103	0.0429	0.07617	0.22552	0.6554
V104	0.0587	0.92422	0.01289	0.00419
V105	0.11169	0.86184	0.02242	0.00404
V106	0.19889	0.43239	0.34986	0.01886
V107	0.2589	0.15384	0.56583	0.02143
V108	0.24896	0.64349	0.10739	0.00016
V109	0.04013	0.14318	0.71406	0.10263
V110	0.11316	0.82171	0.05327	0.01185
V111	0.9392	0.00378	0.05482	0.00219
V112	0.24758	0.05243	0.53905	0.16094
V113	0.38533	0.11421	0.26147	0.23899
V114	0.4862	0.05671	0.14064	0.31644
V115	0.02063	0.70313	0.27221	0.00403
V116	0.24897	0.27309	0.409	0.06894
