cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.26225	0.54214	0.19424	0.00136
V2	0.04155	0.51578	0.20315	0.23952
V3	0	0.98383	0.01617	0
V4	0.39691	0.60309	0	0
V5	0	0.74169	0.25831	0
V6	0	1	0	0
V7	0	0.84239	0.12288	0.03473
V8	0	0.29876	0.70124	0
V9	0.03055	0.78275	0.08758	0.09912
V10	0	0.24292	0.75708	0
V11	0	0.64263	0.35737	0
V12	0	0.71765	0.28235	0
V13	0	1	0	0
V14	0	1	0	0
V15	0	0.88402	0.11598	0
V16	0.44316	0.55684	0	0
V17	0	1	0	0
V18	0.15484	0.84516	0	0
V19	0	1	0	0
V20	0	0.96716	0.03284	0
V21	0	0.34493	0.65507	0
V22	0	0.42202	0.402	0.17598
V23	0	0.49291	0.50709	0
V24	0.45078	0.54922	0	0
V25	0.05568	0.75888	0.18173	0.0037
V26	0.07277	0.91654	0.01068	0
V27	0.03497	0.47807	0.15746	0.3295
V28	0	0.22385	0.77615	0
V29	0.02996	0.51389	0.45615	0
V30	0	0.61114	0.36049	0.02838
V31	0	0.67187	0.32813	0
V32	0.03804	0.44232	0.15782	0.36181
V33	0	0.70034	0.29966	0
V34	0	0.31943	0.68057	0
V35	0	0.94466	0.05534	0
V36	0	0.37026	0.57086	0.05887
V37	0.25264	0.61157	0.12218	0.01362
V38	0.18768	0.51097	0.23505	0.06629
V39	0	0.901	0.099	0
V40	0	0.98881	0.01119	0
V41	0	0.95207	0.04793	0
V42	0.03533	0.49289	0.33647	0.13531
V43	0	0.57735	0.42265	0
V44	0	0.32625	0.67375	0
V45	0	0.81644	0.18356	0
V46	0.34172	0.62263	0.03565	0
V47	0.0245	0.68871	0.28679	0
V48	0.34565	0.65435	0	0
V49	0.31432	0.68568	0	0
V50	0	0.98133	0.01867	0
V51	0	0.77219	0.22781	0
V52	0	0.31493	0.68507	0
V53	0.2699	0.66033	0.06977	0
V54	0.00284	0.66505	0.33211	0
V55	0	0.63331	0.30707	0.05962
V56	0	0.42619	0.23296	0.34085
V57	0	1	0	0
V58	0.36441	0.59815	0.01914	0.0183
V59	0.0286	0.86805	0.10335	0
V60	0	0.56539	0.41176	0.02285
V61	0.37707	0.62293	0	0
V62	0.41867	0.58133	0	0
V63	0	0.94716	0.05284	0
V64	0	1	0	0
V65	0	0.39485	0.25429	0.35085
V66	0	1	0	0
V67	0	0.57958	0.42042	0
V68	0.03868	0.57552	0.17398	0.21182
V69	0	0.47425	0.52575	0
V70	0.15088	0.65397	0.19516	0
V71	0	0.47806	0.48514	0.03679
V72	0.21324	0.69161	0.09515	0
V73	0	0.87666	0.12334	0
V74	0	0.41945	0.58055	0
V75	0.30983	0.56688	0.12329	0
V76	0	0.47981	0.37266	0.14754
V77	0	0.70067	0.12899	0.17034
V78	0.05535	0.62853	0.26462	0.0515
V79	0	0.33608	0.66392	0
V80	0	0.48851	0.51149	0
V81	0	0.36359	0.63641	0
V82	0	0.24646	0.75354	0
V83	0	0.61924	0.22576	0.155
V84	0.14612	0.56172	0.23648	0.05567
V85	0	0.61779	0.38221	0
V86	0	0.27989	0.72011	0
V87	0	1	0	0
V88	0	0.5075	0.38854	0.10396
V89	0	0.34952	0.40819	0.2423
V90	0	1	0	0
V91	0	0.88084	0.11916	0
V92	0.08672	0.52438	0.3889	0
V93	0.46758	0.53242	0	0
V94	0	0.87188	0.07597	0.05215
