cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.48258	0.18782	0.2368	0.0928
V2	0.18654	0.23605	0.21871	0.35871
V3	0.01399	0.81927	0.07494	0.0918
V4	0.68769	0.31231	0	0
V5	0.03154	0.61489	0.33255	0.02102
V6	0	0.98402	0.01598	0
V7	0.11567	0.55217	0.17556	0.1566
V8	0	0.10621	0.89379	0
V9	0.23477	0.43255	0.12916	0.20352
V10	0	0.04266	0.95734	0
V11	0.07064	0.47568	0.45368	0
V12	0	0.61175	0.38825	0
V13	0.16737	0.83263	0	0
V14	0	1	0	0
V15	0.04768	0.75976	0.17607	0.01649
V16	0.72827	0.27173	0	0
V17	0	0.9915	0.0085	0
V18	0.44308	0.52711	0.0298	0
V19	0.07288	0.92712	0	0
V20	0.13306	0.66934	0.08161	0.11599
V21	0	0.1532	0.8468	0
V22	0.00143	0.22936	0.44104	0.32818
V23	0.23337	0.16455	0.60208	0
V24	0.73601	0.26399	0	0
V25	0.28324	0.4227	0.19844	0.09562
V26	0.3252	0.58598	0.04015	0.04867
V27	0.15049	0.18589	0.2035	0.46011
V28	0	0.04153	0.95847	0
V29	0.29075	0.1729	0.53635	0
V30	0.05624	0.36174	0.43054	0.15149
V31	0.13424	0.36129	0.40579	0.09868
V32	0.13981	0.14191	0.2277	0.49057
V33	0	0.58268	0.41732	0
V34	0	0.12577	0.87423	0
V35	0.07541	0.83736	0.08723	0
V36	0	0.10524	0.70047	0.19429
V37	0.48426	0.25794	0.15498	0.10282
V38	0.39388	0.16435	0.28075	0.16103
V39	0.08749	0.73283	0.16857	0.0111
V40	0	0.92637	0.07363	0
V41	0	0.82089	0.11542	0.06369
V42	0.21523	0.16152	0.38669	0.23656
V43	0.01295	0.44233	0.54473	0
V44	0	0.1211	0.85414	0.02476
V45	0.01134	0.72553	0.26313	0
V46	0.6302	0.27526	0.09454	0
V47	0.29854	0.3673	0.33416	0
V48	0.64062	0.35938	0	0
V49	0.6068	0.3932	0	0
V50	0	0.91737	0.08263	0
V51	0.19623	0.5305	0.27327	0
V52	0	0.1299	0.8701	0
V53	0.56033	0.31253	0.12714	0
V54	0.27041	0.35145	0.37814	0
V55	0.16922	0.29407	0.37548	0.16123
V56	0.08685	0.12595	0.31263	0.47457
V57	0.00864	0.97795	0.01341	0
V58	0.59007	0.21721	0.08299	0.10973
V59	0.30849	0.57999	0.11151	0
V60	0.08144	0.2976	0.4794	0.14156
V61	0.67033	0.32967	0	0
V62	0.70646	0.25286	0.04068	0
V63	0	0.87429	0.12571	0
V64	0	0.97762	0.02238	0
V65	0.05492	0.11495	0.33402	0.49611
V66	0.13329	0.85297	0.01374	0
V67	0.02326	0.43355	0.54319	0
V68	0.19138	0.3109	0.16701	0.33072
V69	0	0.33841	0.66159	0
V70	0.42157	0.34237	0.21546	0.02059
V71	0.10835	0.20804	0.53945	0.14415
V72	0.47496	0.3552	0.12708	0.04276
V73	0.07002	0.75951	0.17047	0
V74	0	0.26334	0.73666	0
V75	0.58367	0.2023	0.20693	0.00709
V76	0	0.29958	0.4049	0.29552
V77	0.05074	0.48376	0.14659	0.31891
V78	0.26383	0.28563	0.30267	0.14788
V79	0	0.12649	0.87351	0
V80	0.22833	0.15396	0.61461	0.0031
V81	0	0.19457	0.80543	0
V82	0	0.06007	0.93993	0
V83	0.14195	0.3432	0.2396	0.27524
V84	0.35552	0.21934	0.27119	0.15395
V85	0.01626	0.45679	0.49541	0.03153
V86	0	0.08055	0.91945	0
V87	0	0.93207	0.06793	0
V88	0.13927	0.19485	0.45399	0.21189
V89	0.01577	0.12637	0.46651	0.39135
V90	0	0.94324	0.05676	0
V91	0	0.79717	0.20283	0
V92	0.33665	0.18586	0.45069	0.0268
