cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.55953	0.012	0.1781	0.25037
V2	0.14485	0.0896	0.05561	0.70995
V3	0.05115	0.64079	0.01406	0.29399
V4	0.86824	0.11374	0	0.01802
V5	0.10392	0.47077	0.27635	0.14896
V6	0.07222	0.88812	0.02144	0.01822
V7	0.14178	0.35608	0.08949	0.41265
V8	0.12103	0.02789	0.82437	0.02671
V9	0.23863	0.22796	0.04013	0.49328
V10	0.01742	0.03318	0.90615	0.04326
V11	0.2044	0.3389	0.45174	0.00496
V12	0.02337	0.58094	0.38436	0.01134
V13	0.26405	0.7121	0.00595	0.01791
V14	0.06639	0.92025	0.00801	0.00536
V15	0.11476	0.61124	0.12722	0.14678
V16	0.91421	0.04251	0.01892	0.02437
V17	0.08225	0.88564	0.01384	0.01826
V18	0.58565	0.33916	0.04327	0.03191
V19	0.15537	0.82672	0.00659	0.01132
V20	0.1635	0.46777	0.02152	0.34721
V21	0.12156	0.05071	0.80116	0.02657
V22	0.01532	0.08927	0.22749	0.66792
V23	0.37389	0.04027	0.58036	0.00548
V24	0.92657	0.04012	0.03297	0.00034
V25	0.35393	0.21897	0.13915	0.28794
V26	0.40364	0.3849	0.01933	0.19213
V27	0.09572	0.06973	0.02529	0.80926
V28	0.00355	0.07662	0.9179	0.00193
V29	0.43332	0.0266	0.51514	0.02494
V30	0.09304	0.1941	0.30949	0.40337
V31	0.1998	0.16885	0.32954	0.30181
V32	0.0775	0.04643	0.03795	0.83812
V33	0.03979	0.48826	0.38467	0.08728
V34	0.121	0.03789	0.81451	0.0266
V35	0.15705	0.73536	0.08247	0.02512
V36	0.00636	0.03731	0.51927	0.43706
V37	0.5627	0.05921	0.10043	0.27765
V38	0.42944	0.01061	0.18454	0.37541
V39	0.16136	0.57435	0.13762	0.12667
V40	0.09577	0.82702	0.07721	0
V41	0.00674	0.69435	0.04757	0.25134
V42	0.21944	0.02978	0.22936	0.52141
V43	0.12446	0.31621	0.53348	0.02584
V44	0.01288	0.05959	0.78041	0.14712
V45	0.09188	0.59551	0.23468	0.07792
V46	0.80268	0.06954	0.12292	0.00486
V47	0.45753	0.16697	0.33475	0.04074
V48	0.81055	0.16669	0.00516	0.0176
V49	0.75031	0.17909	0	0.07059
V50	0.06344	0.84807	0.08367	0.00482
V51	0.31321	0.38924	0.27242	0.02513
V52	0.02342	0.09683	0.85263	0.02713
V53	0.72759	0.11893	0.15326	0.00023
V54	0.42698	0.17133	0.38417	0.01752
V55	0.21241	0.10953	0.26831	0.40975
V56	0.0432	0.03491	0.09961	0.82228
V57	0.09289	0.874	0.02187	0.01125
V58	0.65475	0.0124	0.04343	0.28941
V59	0.44507	0.40348	0.11087	0.04058
V60	0.12689	0.1294	0.3661	0.37761
V61	0.82484	0.09422	0.01081	0.07012
V62	0.88438	0.03645	0.06825	0.01091
V63	0.0155	0.84522	0.12122	0.01806
V64	0.0087	0.87366	0.00135	0.11629
V65	0.01575	0.0295	0.11862	0.83613
V66	0.21256	0.71029	0.01971	0.05744
V67	0.14746	0.30704	0.53419	0.0113
V68	0.15594	0.14479	0.02679	0.67247
V69	0.02179	0.28353	0.65272	0.04195
V70	0.56535	0.13047	0.19254	0.11164
V71	0.15859	0.05709	0.41733	0.36699
V72	0.60156	0.13926	0.09995	0.15923
V73	0.14814	0.62825	0.14619	0.07742
V74	0.05526	0.209	0.73471	0.00103
V75	0.71565	0.0086	0.19795	0.0778
V76	0.00076	0.16691	0.20355	0.62878
V77	0.03611	0.30129	0.01158	0.65102
V78	0.31231	0.09799	0.20655	0.38315
V79	0.00638	0.08203	0.83606	0.07553
V80	0.34318	0.01991	0.5637	0.07321
V81	0.05302	0.14637	0.79446	0.00614
V82	0.00168	0.07693	0.91315	0.00824
V83	0.13175	0.17057	0.08228	0.6154
V84	0.40368	0.03895	0.17788	0.37949
V85	0.10299	0.29119	0.44679	0.15903
V86	0.04187	0.04834	0.87495	0.03484
V87	0.03171	0.85628	0.05463	0.05738
V88	0.16139	0.05113	0.30124	0.48624
V89	0.01841	0.02968	0.23051	0.72141
V90	0.02506	0.90747	0.0561	0.01136
V91	0.03188	0.74933	0.19347	0.02533
V92	0.45613	0.02066	0.40569	0.11752
V93	0.89609	0.02045	0	0.08345
V94	0.01503	0.46172	0.02491	0.49834
V95	0.26144	0.42994	0.1707	0.13793
V96	0.07031	0.11173	0.03226	0.78571
V97	0.68898	0.09542	0.21086	0.00473
V98	0.69076	0.29802	0	0.01122
V99	0.79895	0.04604	0.15009	0.00492
V100	0.07208	0.03701	0.87072	0.02019
V101	0.02781	0.08061	0.01028	0.8813
V102	0.92687	0.05574	0.00583	0.01155
V103	0.01071	0.06479	0.10962	0.81488
V104	0.02859	0.95709	0.00871	0.0056
V105	0.05551	0.92364	0.01559	0.00526
V106	0.11408	0.50881	0.34357	0.03355
V107	0.18015	0.17462	0.60355	0.04168
V108	0.14763	0.75764	0.09473	0
V109	0.01255	0.13321	0.64206	0.21219
V110	0.05249	0.89137	0.03799	0.01815
V111	0.91181	0.01247	0.07029	0.00543
V112	0.12313	0.05007	0.47523	0.35157
V113	0.18858	0.09406	0.19942	0.51795
V114	0.24743	0.04786	0.09062	0.61409
V115	0.00811	0.75647	0.23029	0.00514
V116	0.13802	0.29097	0.41128	0.15973
V117	0.69239	0.24163	0.03427	0.03171
V118	0.1615	0.59547	0.0374	0.20563
V119	0.11213	0.08448	0.05757	0.74582
V120	0.0725	0.06532	0.84927	0.01291
V121	0.62277	0.11068	0.09926	0.16729
V122	0.95628	0.01838	0.01353	0.01181
V123	0.00684	0.52803	0.05002	0.41511
V124	0.67017	0.28271	0	0.04712
V125	0.39312	0.40732	0.18215	0.01742
V126	0.03672	0.15576	0.05868	0.74884
V127	0.16142	0.04405	0.28906	0.50546
V128	0.03191	0.03389	0.12994	0.80425
V129	0.59451	0.21402	0.1671	0.02438
V130	0.00776	0.65285	0.33415	0.00524
V131	0.02497	0.90876	0.0013	0.06497
V132	0.93877	0.0158	0.02754	0.01788
V133	0.91413	0.02278	0.05195	0.01115
V134	0.10577	0.39133	0.14336	0.35953
V135	0.0759	0.03156	0.20447	0.68807
V136	0.24747	0.40551	0.01333	0.33369
V137	0.65993	0.03167	0.25363	0.05478
V138	0.21404	0.39732	0.19647	0.19216
V139	0.36556	0.18617	0.21645	0.23181
V140	0.02945	0.10501	0.06282	0.80272
V141	0.05815	0.13133	0.59397	0.21655
V142	0.77741	0.01782	0.2043	0.00046
V143	0.45097	0.24853	0.07376	0.22674
V144	0.16595	0.14222	0.18942	0.50242
V145	0.00192	0.76377	0.22904	0.00527
V146	0.05974	0.03963	0.04204	0.85859
V147	0.92319	0.02663	0.01884	0.03135
V148	0.12084	0.06029	0.62818	0.19069
V149	0.26123	0.51026	0.22388	0.00463
V150	0.07957	0.21605	0.63596	0.06842
V151	0.20597	0.64401	0.03634	0.11368
V152	0.23457	0.44156	0.23617	0.0877
V153	0.10187	0.77583	0.02023	0.10207
V154	0.24154	0.44829	0.28485	0.02532
V155	0.4871	0.12396	0.30447	0.08446
V156	0.02958	0.11725	0.74074	0.11243
V157	0.3094	0.13593	0.34564	0.20903
V158	0.0279	0.03065	0.04885	0.89259
V159	0.89534	0.0658	0	0.03885
V160	0.70918	0.01187	0.06768	0.21128
V161	0.21579	0.0261	0.03895	0.71916
V162	0.06303	0.30322	0.09193	0.54183
V163	0.09318	0.49733	0.18549	0.224
V164	0.35314	0.29828	0.11703	0.23154
V165	0.01039	0.28939	0.00579	0.69443
V166	0.00933	0.11565	0.08357	0.79145
V167	0.36155	0.01703	0.01179	0.60963
V168	0.28787	0.57977	0.08275	0.04961
V169	0.19131	0.06238	0.04565	0.70066
V170	0.0993	0.02535	0.56678	0.30857
V171	0.12355	0.21873	0.62384	0.03388
V172	0.70785	0.01469	0.27223	0.00522
V173	0.02744	0.15933	0.05017	0.76307
V174	0.01664	0.17443	0.08792	0.72101
V175	0.05799	0.02502	0.80892	0.10807
V176	0.00835	0.81659	0.16995	0.0051
V177	0.01202	0.97377	0.00167	0.01253
V178	0.00726	0.79162	0.00739	0.19373
V179	0.15597	0.01915	0.419	0.40588
V180	0.02919	0.892	0.07882	0
V181	0.15724	0.11114	0.5876	0.14403
V182	0.29958	0.16087	0.48957	0.04998
V183	0.17768	0.81026	0.00699	0.00506
V184	0.96576	0.01965	0.01407	0.00052
V185	0.56878	0.41362	0.01281	0.00479
V186	0.11509	0.48105	0.28617	0.11769
V187	0.94548	0.01938	0.02956	0.00559
V188	0.05755	0.2509	0.00523	0.68632
V189	0.83184	0.02329	0.01803	0.12684
V190	0.65031	0.0208	0.32372	0.00516
V191	0.18044	0.18579	0.6002	0.03357
V192	0.30843	0.47125	0.05465	0.16567
V193	0.61397	0.03049	0.24829	0.10725
V194	0.03524	0.93873	0.00736	0.01868
V195	0.01274	0.05135	0.92745	0.00847
V196	0.01489	0.11001	0.02143	0.85367
V197	0.42496	0.05045	0.0305	0.4941
V198	0.06018	0.49793	0.39131	0.05058
V199	0.16296	0.03317	0.19902	0.60484
V200	0.12646	0.58459	0.02097	0.26798
V201	0.09246	0.56529	0.20492	0.13733
V202	0.014	0.03036	0.80287	0.15277
V203	0.15898	0.41753	0.40554	0.01795
V204	0.00741	0.55862	0.00913	0.42484
V205	0.01758	0.06541	0.90306	0.01394
V206	0.04467	0.09614	0.85253	0.00666
V207	0.13154	0.19286	0.06234	0.61326
V208	0.24274	0.06339	0.68211	0.01176
V209	0.30854	0.47168	0.07383	0.14595
