cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.64071	0.0324	0.18289	0.14399
V2	0.27865	0.10839	0.17139	0.44156
V3	0.11542	0.70244	0.01748	0.16466
V4	0.86964	0.13036	0	0
V5	0.14341	0.51181	0.25876	0.08602
V6	0.09958	0.90042	0	0
V7	0.225	0.42409	0.12095	0.22996
V8	0.09467	0.0201	0.85351	0.03172
V9	0.35184	0.29207	0.08212	0.27397
V10	0	0.01138	0.95119	0.03743
V11	0.2205	0.3798	0.3997	0
V12	0.01542	0.62354	0.35361	0.00743
V13	0.30765	0.69235	0	0
V14	0.0789	0.9211	0	0
V15	0.16504	0.64844	0.10678	0.07974
V16	0.92286	0.07714	0	0
V17	0.11138	0.88862	0	0
V18	0.62899	0.36611	0	0.0049
V19	0.19306	0.80694	0	0
V20	0.24777	0.53557	0.0312	0.18546
V21	0.10228	0.06613	0.80205	0.02954
V22	0.07734	0.11265	0.38349	0.42652
V23	0.40807	0.04262	0.54171	0.0076
V24	0.92931	0.07069	0	0
V25	0.42616	0.27935	0.13927	0.15522
V26	0.47102	0.42752	0	0.10147
V27	0.22902	0.05863	0.16246	0.54989
V28	0	0.0271	0.9729	0
V29	0.47254	0.03496	0.47217	0.02033
V30	0.15625	0.2522	0.36425	0.2273
V31	0.25944	0.23361	0.34007	0.16688
V32	0.20961	0.02051	0.18757	0.58231
V33	0.05147	0.5324	0.35758	0.05855
V34	0.09787	0.04135	0.83061	0.03017
V35	0.20756	0.75686	0.02931	0.00627
V36	0.01568	0.04071	0.6468	0.29681
V37	0.63857	0.10402	0.10349	0.15392
V38	0.53826	0.01876	0.22299	0.21998
V39	0.21318	0.61077	0.10584	0.07021
V40	0.11972	0.85916	0.02111	0
V41	0.04238	0.75471	0.06094	0.14196
V42	0.33079	0.034	0.32162	0.31359
V43	0.13862	0.3556	0.48253	0.02325
V44	0	0.08037	0.81237	0.10726
V45	0.12933	0.62787	0.19457	0.04822
V46	0.84281	0.10763	0.04956	0
V47	0.48343	0.21631	0.27279	0.02747
V48	0.82158	0.17842	0	0
V49	0.77921	0.205	0	0.01578
V50	0.0839	0.88728	0.02882	0
V51	0.35777	0.41664	0.20928	0.01631
V52	0	0.11147	0.86176	0.02676
V53	0.77025	0.15228	0.07747	0
V54	0.45797	0.21034	0.31971	0.01198
V55	0.29181	0.16149	0.31348	0.23323
V56	0.15469	0.01043	0.26657	0.56831
V57	0.12129	0.87871	0	0
V58	0.75398	0.04553	0.04302	0.15748
V59	0.4905	0.4402	0.0502	0.01909
V60	0.18766	0.18609	0.41168	0.21458
V61	0.84704	0.13328	0	0.01968
V62	0.91663	0.08059	0.00278	0
V63	0.03118	0.89353	0.07171	0.00358
V64	0.03644	0.90277	0	0.0608
V65	0.11655	0.00035	0.29026	0.59284
V66	0.26555	0.71402	0	0.02043
V67	0.15658	0.34638	0.48637	0.01067
V68	0.28749	0.18198	0.11993	0.4106
V69	0	0.33071	0.63387	0.03542
V70	0.59966	0.18326	0.14967	0.06741
V71	0.2231	0.09176	0.4682	0.21694
V72	0.64578	0.19482	0.06852	0.09088
V73	0.19773	0.65562	0.1036	0.04305
V74	0.01096	0.24753	0.73694	0.00457
V75	0.76925	0.03306	0.15455	0.04314
V76	0.04932	0.20779	0.3481	0.39479
V77	0.12966	0.36309	0.09862	0.40863
V78	0.39678	0.14796	0.24192	0.21335
V79	0	0.09373	0.84308	0.06319
V80	0.38923	0.01974	0.53351	0.05751
V81	0.00456	0.17917	0.80407	0.01219
V82	0	0.04519	0.94574	0.00907
V83	0.24088	0.22095	0.18428	0.35389
V84	0.49725	0.07332	0.21515	0.21429
V85	0.1292	0.34982	0.42373	0.09725
