B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57957	0	0.19398	0.22645
V2	0.22604	0.08904	0.07325	0.61167
V3	0.10503	0.61063	0.03445	0.2499
V4	0.84889	0.1006	0.01528	0.03522
V5	0.1474	0.45186	0.28697	0.11377
V6	0.12805	0.79853	0.06687	0.00655
V7	0.19696	0.35689	0.10675	0.3394
V8	0.16892	0.01803	0.79179	0.02126
V9	0.29996	0.23608	0.05001	0.41395
V10	0.06066	0.02276	0.8762	0.04039
V11	0.23454	0.32706	0.4384	0
V12	0.06303	0.54085	0.39612	0
V13	0.31181	0.64595	0.0408	0.00145
V14	0.11965	0.8332	0.04715	0
V15	0.16371	0.56386	0.15887	0.11355
V16	0.85252	0.03366	0.06065	0.05318
V17	0.13846	0.80096	0.05397	0.00661
V18	0.58536	0.31153	0.07884	0.02427
V19	0.20734	0.74928	0.04337	0
V20	0.2183	0.45488	0.03521	0.29161
V21	0.16734	0.0742	0.7419	0.01656
V22	0.06456	0.10049	0.24304	0.59191
V23	0.39649	0.04803	0.55548	0
V24	0.8913	0.02422	0.08448	0
V25	0.38409	0.22788	0.15281	0.23522
V26	0.4344	0.36413	0.03799	0.16348
V27	0.18895	0.06272	0.03424	0.71409
V28	0.0097	0.0778	0.9125	0
V29	0.45326	0.03246	0.49629	0.018
V30	0.14471	0.22198	0.3042	0.32912
V31	0.24545	0.19249	0.31852	0.24354
V32	0.17306	0.02389	0.06807	0.73498
V33	0.08142	0.47442	0.386	0.05815
V34	0.16735	0.05479	0.75916	0.0187
V35	0.20796	0.65991	0.12795	0.00418
V36	0.04414	0.05161	0.51332	0.39093
V37	0.57422	0.0577	0.12377	0.24431
V38	0.47667	0	0.19306	0.33027
V39	0.20858	0.52888	0.16678	0.09577
V40	0.13795	0.74087	0.12118	0
V41	0.04172	0.6635	0.08365	0.21113
V42	0.28869	0.02064	0.24094	0.44973
V43	0.16735	0.324	0.50865	0
V44	0.04591	0.09486	0.73813	0.1211
V45	0.13968	0.54985	0.25846	0.05201
V46	0.77821	0.06146	0.16033	0
V47	0.46464	0.17795	0.33261	0.0248
V48	0.79239	0.14546	0.03613	0.02602
V49	0.74732	0.17417	0	0.07851
V50	0.1112	0.75512	0.13368	0
V51	0.34214	0.36998	0.28788	0
V52	0.06153	0.12844	0.78922	0.02081
V53	0.71645	0.10278	0.18077	0
V54	0.44018	0.18065	0.37917	0
V55	0.26495	0.12856	0.26833	0.33816
V56	0.12972	0.00526	0.1325	0.73252
