B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.55887	0	0.21606	0.22507
V2	0.20394	0.07303	0.09416	0.62887
V3	0.08938	0.59582	0.06199	0.25281
V4	0.85601	0.09555	0.01865	0.02979
V5	0.13294	0.43438	0.32353	0.10915
V6	0.1184	0.78228	0.09932	0
V7	0.17638	0.3433	0.13221	0.34811
V8	0.16424	0	0.8274	0.00836
V9	0.27944	0.22373	0.06716	0.42967
V10	0.06261	0	0.90999	0.0274
V11	0.22092	0.30558	0.47351	0
V12	0.05483	0.51444	0.43073	0
V13	0.29491	0.63943	0.06566	0
V14	0.11025	0.81227	0.07748	0
V15	0.14819	0.55026	0.19116	0.11039
V16	0.84929	0.02479	0.08074	0.04518
V17	0.12905	0.78799	0.08296	0
V18	0.57459	0.30721	0.10205	0.01615
V19	0.19255	0.73745	0.06999	0
V20	0.19791	0.44386	0.0593	0.29893
V21	0.16249	0.05248	0.77913	0.0059
V22	0.04195	0.0793	0.28091	0.59785
V23	0.38055	0.02653	0.59291	0
V24	0.8732	0.0135	0.1133	0
V25	0.36798	0.21577	0.1769	0.23935
V26	0.41906	0.35723	0.05859	0.16512
V27	0.16998	0.04772	0.04558	0.73671
V28	0.01327	0.06014	0.92659	0
V29	0.44112	0.01078	0.54209	0.00602
V30	0.12741	0.20119	0.33984	0.33157
V31	0.22876	0.17253	0.35527	0.24344
V32	0.15423	0.00219	0.09039	0.7532
V33	0.0708	0.45365	0.42522	0.05033
V34	0.16303	0.03153	0.7975	0.00794
V35	0.19239	0.64572	0.16189	0
V36	0.03239	0.02702	0.55017	0.39042
V37	0.56152	0.03658	0.15054	0.25136
V38	0.45207	0	0.21446	0.33347
V39	0.19291	0.51637	0.19838	0.09234
V40	0.12552	0.71723	0.15725	0
V41	0.02662	0.64241	0.12109	0.20989
V42	0.26592	0	0.27471	0.45937
V43	0.15473	0.30098	0.54429	0
V44	0.04177	0.07212	0.77306	0.11305
V45	0.12719	0.53353	0.29397	0.04531
V46	0.76108	0.04728	0.19163	0
V47	0.44971	0.16284	0.37128	0.01617
V48	0.79199	0.13858	0.0507	0.01873
V49	0.75	0.1674	0.00556	0.07704
V50	0.0999	0.72851	0.17159	0
V51	0.32469	0.35331	0.322	0
V52	0.0607	0.10817	0.82152	0.00961
V53	0.7012	0.08739	0.21141	0
V54	0.42157	0.16249	0.41594	0
V55	0.24607	0.10734	0.3033	0.34329
V56	0.10453	0	0.16343	0.73205
V57	0.13558	0.76635	0.09808	0
V58	0.64871	0	0.08286	0.26843
V59	0.44606	0.36662	0.17056	0.01675
V60	0.16238	0.13615	0.39084	0.31063
V61	0.79201	0.07839	0.04948	0.08011
V62	0.82501	0.01451	0.14415	0.01633
V63	0.04785	0.73808	0.21407	0
V64	0.04826	0.82589	0.03554	0.09031
V65	0.05367	0	0.18234	0.76399
V66	0.24733	0.63792	0.0806	0.03414
V67	0.17179	0.28491	0.54329	0
V68	0.21407	0.13632	0.04612	0.60349
V69	0.0536	0.28429	0.65347	0.00863
V70	0.53972	0.12474	0.23953	0.096
V71	0.19733	0.04929	0.4427	0.31069
V72	0.57948	0.13124	0.14668	0.14259
V73	0.18065	0.55837	0.21416	0.04682
V74	0.08067	0.1911	0.72824	0
V75	0.68405	0	0.24397	0.07198
V76	0.00027	0.16868	0.26188	0.56917
V77	0.07624	0.28908	0.03172	0.60295
V78	0.33816	0.09101	0.24591	0.32491
V79	0.03312	0.09777	0.81862	0.05049
V80	0.36606	0.00072	0.58034	0.05287
V81	0.08727	0.14259	0.77013	0
V82	0.01268	0.08105	0.90627	0
V83	0.18065	0.16484	0.12257	0.53194
V84	0.42953	0.01091	0.22311	0.33645
V85	0.13248	0.28926	0.46102	0.11724
V86	0.08597	0.05218	0.84206	0.0198
V87	0.0695	0.75402	0.14427	0.03221
V88	0.20601	0.033	0.33968	0.42131
V89	0.05968	0	0.28207	0.65826
V90	0.06514	0.78198	0.15288	0
V91	0.06626	0.66048	0.27326	0
V92	0.46362	0	0.43597	0.1004
V93	0.89304	0.0018	0.00034	0.10482
V94	0.04518	0.4363	0.07661	0.4419
V95	0.2811	0.39537	0.21865	0.10487
V96	0.13596	0.0992	0.05505	0.70979
V97	0.65696	0.0759	0.26714	0
V98	0.71016	0.27055	0.01525	0.00404
V99	0.76074	0.02179	0.21747	0
V100	0.11669	0.02597	0.85073	0.0066
V101	0.09454	0.06831	0	0.83715
V102	0.87724	0.04076	0.05162	0.03038
V103	0.03893	0.03704	0.17812	0.7459
V104	0.07898	0.83967	0.08135	0
V105	0.09999	0.80782	0.09219	0
V106	0.14591	0.46218	0.39192	0
V107	0.21033	0.18136	0.59816	0.01015
V108	0.17228	0.65876	0.16896	0
V109	0.03555	0.15092	0.6441	0.16943
V110	0.09763	0.77495	0.12742	0
V111	0.84929	0	0.14559	0.00512
V112	0.16233	0.04357	0.49489	0.2992
V113	0.2296	0.08524	0.24329	0.44187
V114	0.29736	0.01421	0.14105	0.54737
V115	0.0355	0.66075	0.30374	0
V116	0.16655	0.2865	0.42883	0.11812
V117	0.66901	0.21891	0.0886	0.02348
V118	0.19539	0.54659	0.08782	0.1702
V119	0.17382	0.06528	0.10029	0.66061
V120	0.11379	0.06921	0.817	0
V121	0.60024	0.10057	0.14742	0.15177
V122	0.87275	0	0.08801	0.03924
V123	0.02636	0.49992	0.11156	0.36215
V124	0.67737	0.2637	0.01608	0.04285
V125	0.39684	0.36538	0.23778	0
