B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57018	0	0.21494	0.21487
V2	0.2234	0.09713	0.09021	0.58925
V3	0.09951	0.60868	0.05054	0.24128
V4	0.85063	0.10922	0.01631	0.02383
V5	0.14556	0.4455	0.30527	0.10367
V6	0.12695	0.79161	0.08098	0.00046
V7	0.18877	0.3595	0.12339	0.32833
V8	0.17843	0.00155	0.81082	0.0092
V9	0.29127	0.24289	0.06316	0.40269
V10	0.07715	0.00829	0.88582	0.02874
V11	0.23061	0.31579	0.4536	0
V12	0.06634	0.52413	0.40953	0
V13	0.29946	0.64872	0.05182	0
V14	0.11833	0.82189	0.05977	0
V15	0.15841	0.56052	0.17535	0.10572
V16	0.85139	0.03827	0.07007	0.04027
V17	0.13692	0.7962	0.06596	0.00091
V18	0.57632	0.31839	0.09115	0.01413
V19	0.19922	0.74655	0.05424	0
V20	0.20681	0.45859	0.05153	0.28307
V21	0.17488	0.06439	0.75581	0.00492
V22	0.0683	0.10255	0.26696	0.56219
V23	0.38831	0.03849	0.57321	0
V24	0.8785	0.02461	0.09689	0
V25	0.37625	0.23183	0.16733	0.22459
V26	0.42411	0.3701	0.05081	0.15498
V27	0.19161	0.07237	0.04781	0.68821
V28	0.03266	0.06752	0.89982	0
V29	0.44778	0.02461	0.52262	0.00499
V30	0.14416	0.21871	0.32417	0.31296
V31	0.24199	0.18918	0.33922	0.22961
V32	0.17821	0.02851	0.08807	0.70521
V33	0.08444	0.46313	0.40354	0.0489
V34	0.17538	0.04428	0.77355	0.00679
V35	0.19986	0.65564	0.1445	0
V36	0.05454	0.04771	0.52953	0.36822
V37	0.56557	0.05697	0.14287	0.23459
V38	0.46728	0	0.21442	0.3183
V39	0.20188	0.52676	0.18296	0.0884
V40	0.13345	0.72879	0.13775	0
V41	0.03965	0.65447	0.10491	0.20097
V42	0.28314	0.01863	0.26569	0.43254
V43	0.1668	0.31122	0.52198	0
V44	0.05919	0.086	0.74711	0.10769
V45	0.13744	0.54298	0.27542	0.04417
V46	0.76352	0.05854	0.17795	0
V47	0.45655	0.17562	0.35509	0.01274
V48	0.79046	0.15122	0.04358	0.01474
V49	0.74366	0.1812	0.00551	0.06964
V50	0.10878	0.74016	0.15106	0
V51	0.33228	0.36333	0.3044	0
V52	0.07522	0.11838	0.79703	0.00937
V53	0.70254	0.09917	0.19828	0
V54	0.42821	0.174	0.39779	0
V55	0.2605	0.12736	0.28941	0.32272
V56	0.13484	0.00668	0.16279	0.69569
V57	0.14372	0.7763	0.07998	0
V58	0.66065	0	0.08313	0.25621
V59	0.45039	0.37728	0.15745	0.01488
V60	0.17874	0.15453	0.3739	0.29283
V61	0.78985	0.09266	0.04397	0.07351
V62	0.82978	0.02778	0.13083	0.01161
V63	0.0597	0.748	0.1923	0
V64	0.05617	0.8308	0.02411	0.08893
V65	0.0901	0	0.18258	0.72732
V66	0.25256	0.64659	0.067	0.03385
V67	0.18296	0.29531	0.52173	0
V68	0.2307	0.1596	0.04532	0.56437
V69	0.06889	0.29413	0.62797	0.00901
V70	0.54427	0.13985	0.22748	0.0884
V71	0.21323	0.06975	0.42478	0.29224
V72	0.58226	0.14724	0.13808	0.13242
V73	0.18938	0.56781	0.19684	0.04597
V74	0.09373	0.20163	0.70465	0
V75	0.69298	0	0.238	0.06902
V76	0.02764	0.19002	0.24711	0.53523
V77	0.09266	0.31137	0.02838	0.56758
V78	0.34957	0.11141	0.23421	0.30481
V79	0.04978	0.1092	0.79117	0.04985
V80	0.37504	0.01604	0.5606	0.04831
V81	0.10014	0.15321	0.74665	0
V82	0.03463	0.08867	0.8767	0
V83	0.19767	0.18652	0.116	0.49982
V84	0.43842	0.0338	0.21338	0.3144
V85	0.14661	0.30133	0.44083	0.11123
V86	0.09872	0.06348	0.81824	0.01956
V87	0.07929	0.76206	0.12361	0.03504
V88	0.22305	0.05646	0.32514	0.39534
V89	0.08872	0.01574	0.27314	0.6224
V90	0.07604	0.79317	0.13079	0
V91	0.07663	0.67042	0.25295	0
V92	0.4724	0.01292	0.42171	0.09297
V93	0.88274	0.01922	0.00218	0.09586
V94	0.06031	0.45422	0.06619	0.41928
V95	0.28972	0.40695	0.20499	0.09834
V96	0.15663	0.12312	0.05526	0.665
V97	0.65962	0.08788	0.2525	0
V98	0.70425	0.28126	0.01248	0.00201
V99	0.76286	0.03369	0.20345	0
V100	0.12934	0.03867	0.82692	0.00508
V101	0.11721	0.09648	0	0.78632
V102	0.87757	0.05415	0.04391	0.02437
V103	0.07135	0.06106	0.16577	0.70181
