B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.61192	0	0.15963	0.22845
V2	0.16908	0.09224	0.0138	0.72488
V3	0.02742	0.69802	0.01505	0.25951
V4	0.93429	0.06571	0	0
V5	0.07922	0.50902	0.3156	0.09616
V6	0.02539	0.91983	0.05479	0
V7	0.14167	0.40015	0.08471	0.37346
V8	0.07524	0	0.92476	0
V9	0.26283	0.2617	0.00649	0.46898
V10	0	0	1	0
V11	0.15953	0.34959	0.49088	0
V12	0	0.57704	0.42296	0
V13	0.25677	0.73089	0.01234	0
V14	0.00828	0.9598	0.03193	0
V15	0.09826	0.64474	0.16534	0.09165
V16	0.98996	0.01004	0	0
V17	0.03816	0.92035	0.04149	0
V18	0.61278	0.34772	0.0395	0
V19	0.12428	0.85351	0.0222	0
V20	0.16868	0.51558	0.00674	0.309
V21	0.07645	0.04445	0.8791	0
V22	0	0.09961	0.21439	0.686
V23	0.36146	0.01141	0.62713	0
V24	1	0	0	0
V25	0.36839	0.25132	0.13599	0.2443
V26	0.43309	0.41526	0.00457	0.14708
V27	0.11078	0.04287	0	0.84635
V28	0	0.01998	0.98002	0
V29	0.44318	0	0.55682	0
V30	0.07803	0.23734	0.316	0.36863
V31	0.19541	0.20325	0.33875	0.26259
V32	0.09492	0.01227	0	0.89281
V33	0	0.53046	0.43836	0.03118
V34	0.0765	0.02121	0.90229	0
V35	0.12972	0.74831	0.12197	0
V36	0	0.02719	0.53825	0.43456
V37	0.61151	0.0505	0.08427	0.25372
V38	0.47951	0	0.15558	0.36491
V39	0.15019	0.60452	0.17425	0.07104
V40	0.03613	0.85011	0.11375	0
V41	0	0.73712	0.06565	0.19723
V42	0.24601	0.00823	0.2206	0.52516
V43	0.08044	0.344	0.57556	0
V44	0	0.06558	0.82517	0.10925
V45	0.06484	0.62687	0.28875	0.01954
V46	0.85234	0.03656	0.11111	0
V47	0.46026	0.18231	0.35743	0
V48	0.86826	0.13174	0	0
V49	0.81527	0.16287	0	0.02187
V50	0.00332	0.86651	0.13017	0
V51	0.29365	0.40395	0.3024	0
V52	0	0.0986	0.9014	0
V53	0.7693	0.08641	0.14429	0
V54	0.41652	0.1766	0.40687	0
V55	0.21966	0.13065	0.26832	0.38138
V56	0.05579	0	0.06083	0.88338
V57	0.04719	0.90092	0.05189	0
V58	0.72848	0	0	0.27152
V59	0.45198	0.41945	0.12857	0
V60	0.1163	0.16202	0.37518	0.3465
V61	0.89682	0.0743	0	0.02888
V62	0.95163	0.00019	0.04819	0
V63	0	0.83715	0.16285	0
V64	0	0.93891	0.01023	0.05086
V65	0.00462	0	0.07078	0.9246
V66	0.21417	0.74402	0.04182	0
V67	0.09805	0.32496	0.57699	0
V68	0.17601	0.15085	0	0.67314
V69	0	0.31137	0.68863	0
V70	0.58456	0.14315	0.20079	0.0715
V71	0.1562	0.06255	0.43222	0.34902
V72	0.63389	0.15158	0.09286	0.12167
V73	0.13366	0.65631	0.19298	0.01705
V74	0	0.20384	0.79616	0
V75	0.77485	0	0.18566	0.03949
V76	0	0.19115	0.18642	0.62243
V77	0.01861	0.32054	0	0.66085
V78	0.33324	0.11258	0.20025	0.35393
V79	0	0.09061	0.88434	0.02505
V80	0.35417	0	0.60722	0.03861
V81	0	0.14622	0.85378	0
V82	0	0.04646	0.95354	0
V83	0.14439	0.19847	0.05531	0.60184
V84	0.44562	0.02355	0.16758	0.36325
V85	0.0744	0.33712	0.47553	0.11295
V86	0	0.04045	0.95955	0
V87	0	0.89467	0.10533	0
V88	0.16989	0.04912	0.30188	0.47911
V89	0	0.00236	0.21371	0.78393
V90	0	0.90776	0.09224	0
V91	0	0.75546	0.24454	0
V92	0.48538	0	0.42777	0.08685
V93	0.96572	0	0	0.03428
V94	0	0.51289	0.0044	0.48271
V95	0.25766	0.46218	0.19546	0.08471
V96	0.08317	0.10464	0	0.81219
V97	0.71581	0.07174	0.21245	0
V98	0.7363	0.2637	0	0
V99	0.85145	0.00759	0.14095	0
V100	0.00789	0.0134	0.9787	0
V101	0.0266	0.02979	0	0.94361
V102	0.99223	0.00777	0	0
V103	0.00138	0.04939	0.06954	0.87969
V104	0	0.97263	0.02737	0
V105	0	0.95618	0.04382	0
V106	0.07543	0.53336	0.39121	0
V107	0.1519	0.20345	0.64465	0
V108	0.09993	0.77211	0.12796	0
V109	0	0.16246	0.66704	0.1705
V110	0	0.92002	0.07998	0
V111	0.97516	0	0.02484	0
V112	0.11187	0.05366	0.49642	0.33805
V113	0.20231	0.10864	0.18921	0.49984
V114	0.28607	0.03203	0.05928	0.62261
V115	0	0.73458	0.26542	0
V116	0.11511	0.33461	0.43742	0.11286
V117	0.73481	0.24372	0.02148	0
V118	0.15943	0.63494	0.04896	0.15668
V119	0.1325	0.08365	0.01542	0.76843
V120	0.00383	0.0597	0.93647	0
V121	0.66061	0.11678	0.09029	0.13232
V122	1	0	0	0
V123	0	0.57532	0.04674	0.37793
V124	0.72525	0.27475	0	0
V125	0.38207	0.41506	0.20288	0
V126	0.03761	0.17179	0.02071	0.76989
V127	0.17182	0.03697	0.28773	0.50349
V128	0.03693	0.00066	0.0921	0.87031
V129	0.6036	0.22009	0.1763	0
V130	0	0.63179	0.36821	0
V131	0	0.97957	0.02043	0
V132	1	0	0	0
V133	0.97938	0	0.02062	0
V134	0.09474	0.43826	0.15294	0.31406
V135	0.08307	0.00499	0.1872	0.72474
V136	0.2637	0.44128	0	0.29501
V137	0.70627	0.00795	0.26911	0.01667
V138	0.20659	0.4351	0.21781	0.1405
V139	0.3748	0.21344	0.22213	0.18963
V140	0.03401	0.10444	0.02182	0.83973
V141	0.01853	0.16697	0.62857	0.18592
V142	0.82659	0	0.17341	0
V143	0.47522	0.27623	0.06425	0.1843
V144	0.17262	0.17096	0.18127	0.47515
V145	0	0.73896	0.26104	0
V146	0.07686	0	0.00118	0.92196
V147	1	0	0	0
V148	0.09748	0.06898	0.66676	0.16678
V149	0.22914	0.51396	0.2569	0
V150	0.03837	0.25732	0.68113	0.02317
V151	0.20766	0.67815	0.057	0.05719
V152	0.22361	0.47118	0.27276	0.03244
V153	0.08664	0.82213	0.04756	0.04367
V154	0.21491	0.46471	0.32039	0
V155	0.49819	0.13787	0.32147	0.04247
V156	0	0.14547	0.78213	0.0724
V157	0.31338	0.15941	0.35669	0.17053
V158	0.03507	0	0	0.96493
V159	0.97498	0.02502	0	0
V160	0.78308	0	0.02766	0.18925
V161	0.24789	0	0	0.75211
V162	0.05297	0.34725	0.08076	0.51902
V163	0.07259	0.53852	0.2164	0.17249
V164	0.36473	0.332	0.1179	0.18538
V165	0	0.28531	0	0.71469
V166	0	0.1179	0.04626	0.83584
V167	0.39242	0	0	0.60758
V168	0.28707	0.6015	0.11143	0
V169	0.22473	0.05226	0	0.723
V170	0.07934	0.00905	0.60785	0.30377
V171	0.08267	0.24933	0.668	0
V172	0.74475	0	0.25525	0
V173	0.025	0.17249	0.01061	0.79191
V174	0.00104	0.19693	0.05998	0.74206
V175	0.00675	0	0.90712	0.08612
V176	0	0.79497	0.20503	0
V177	0	0.9902	0.0098	0
V178	0	0.84473	0.01809	0.13718
