B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.59023	0.01175	0.1722	0.22583
V2	0.22848	0.11156	0.04889	0.61107
V3	0.10007	0.63235	0.02152	0.24606
V4	0.86687	0.11495	0	0.01818
V5	0.14295	0.48363	0.26332	0.1101
V6	0.11784	0.83059	0.05019	0.00138
V7	0.1938	0.38172	0.08822	0.33626
V8	0.15925	0.04529	0.78327	0.0122
V9	0.2968	0.25956	0.03062	0.41302
V10	0.04705	0.05155	0.86588	0.03552
V11	0.22346	0.3608	0.41574	0
V12	0.05178	0.57657	0.37165	0
V13	0.29802	0.68037	0.02161	0
V14	0.10686	0.86153	0.03162	0
V15	0.15646	0.59362	0.13959	0.11033
V16	0.89113	0.05019	0.02336	0.03533
V17	0.12783	0.83186	0.03932	0.001
V18	0.58708	0.34701	0.0517	0.01421
V19	0.19363	0.77984	0.02653	0
V20	0.2128	0.4798	0.02008	0.28732
V21	0.15992	0.09884	0.734	0.00724
V22	0.07379	0.12476	0.21279	0.58866
V23	0.39227	0.06775	0.53997	0
V24	0.92576	0.03771	0.03654	0
V25	0.38118	0.256	0.13042	0.2324
V26	0.43	0.39565	0.01701	0.15734
V27	0.19292	0.08414	0.01514	0.70781
V28	0.00412	0.09927	0.89661	0
V29	0.45811	0.05369	0.4824	0.0058
V30	0.14367	0.24803	0.27965	0.32866
V31	0.2423	0.22081	0.29494	0.24196
V32	0.17974	0.0481	0.04167	0.73049
V33	0.07607	0.50645	0.36059	0.05689
V34	0.15919	0.07857	0.75183	0.01041
V35	0.19705	0.69552	0.10743	0
V36	0.04558	0.075	0.4836	0.39583
V37	0.5808	0.08015	0.09536	0.24369
V38	0.48247	0	0.17775	0.33978
V39	0.19989	0.55977	0.14655	0.09379
V40	0.12473	0.77546	0.09981	0
V41	0.04089	0.68478	0.06686	0.20747
V42	0.28792	0.0452	0.21352	0.45337
V43	0.15895	0.35775	0.4833	0
V44	0.04017	0.12032	0.71762	0.1219
V45	0.13221	0.58277	0.236	0.04903
V46	0.79613	0.08089	0.12297	0
V47	0.46604	0.20911	0.30958	0.01526
V48	0.81228	0.17275	0.00378	0.01118
V49	0.74909	0.1868	0	0.0641
V50	0.09957	0.78932	0.11111	0
V51	0.3337	0.40445	0.26185	0
V52	0.05368	0.15535	0.77837	0.0126
V53	0.72607	0.12539	0.14854	0
V54	0.43588	0.20954	0.35458	0
V55	0.26296	0.15446	0.24361	0.33896
V56	0.13809	0.03402	0.10167	0.72621
V57	0.13481	0.81631	0.04888	0
V58	0.68837	0.00748	0.03571	0.26845
V59	0.45456	0.4091	0.1194	0.01694
V60	0.17644	0.18499	0.3285	0.31007
V61	0.8144	0.11018	0.00534	0.07008
V62	0.87388	0.0457	0.07305	0.00738
V63	0.05276	0.79635	0.15089	0
V64	0.04952	0.85085	0.00872	0.09091
V65	0.10141	0.00723	0.13168	0.75968
V66	0.25108	0.67555	0.03741	0.03596
V67	0.17344	0.34127	0.48529	0
V68	0.23546	0.17199	0.013	0.57955
V69	0.05192	0.3399	0.59215	0.01602
V70	0.55869	0.16696	0.18373	0.09062
V71	0.21161	0.09979	0.37773	0.31087
V72	0.59652	0.1704	0.09668	0.1364
V73	0.18727	0.60514	0.15926	0.04833
V74	0.07342	0.24641	0.68017	0
V75	0.72691	0	0.19995	0.07314
V76	0.03693	0.21134	0.19578	0.55595
V77	0.10088	0.32292	0	0.5762
V78	0.35548	0.13675	0.18887	0.3189
V79	0.02806	0.14504	0.76778	0.05912
V80	0.37894	0.04593	0.52072	0.05441
V81	0.07986	0.19467	0.72547	0
V82	0.0157	0.12087	0.86339	4e-05
V83	0.20274	0.20396	0.07587	0.51743
V84	0.44722	0.05741	0.16655	0.32882
V85	0.14112	0.34088	0.39782	0.12018
V86	0.07482	0.09671	0.8049	0.02357
V87	0.07322	0.80181	0.08651	0.03846
V88	0.2234	0.08328	0.27629	0.41702
V89	0.09084	0.04027	0.21427	0.65462
V90	0.06724	0.84336	0.0894	0
V91	0.06955	0.71634	0.21246	0.00164
V92	0.4844	0.0414	0.37545	0.09875
V93	0.89618	0.01359	0	0.09023
V94	0.06411	0.47917	0.02615	0.43057
V95	0.28957	0.44015	0.16867	0.10161
V96	0.16207	0.13137	0.02296	0.6836
