Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.02476	0.06576	0.05325	0.01429	0.10412	0.00322	0.04857	0.015	0	0.67103
V2	0.58647	0.03349	0.04941	0.02854	0.00168	0.23749	0.05974	0.00318	0	0
V3	0.0975	0.11513	0.0995	0.03885	0.34245	0.01824	0.11679	0.11045	0.05404	0.00704
V4	0	0.15657	0.05899	0.02017	0.03222	0.06266	0.07633	0.02816	0.45193	0.11297
V5	0.00056	0.14406	0.05412	0.09551	0	0.06636	0.06753	0.01187	0	0.56001
V6	0.01173	0.14928	0.16055	0.05119	0.48576	0.0239	0.01224	0.05022	0.05408	0.00105
V7	0	0.55373	0.00276	0.02136	0.17314	0.00445	0.11102	0.05064	0.08291	0
V8	0	0.56026	0.02756	0.02482	0	0.01719	0.09064	0.18725	0.09229	0
V9	0	0.0153	0.10323	0.14438	0.02894	0.04777	0.26282	0.34356	0.054	0
V10	0	0.16361	0.00488	0.01332	0.54539	0.06269	0.03644	0.10929	0.0644	0
V11	0	0.55469	0.00243	0.01844	0	0.03793	0.0937	0.1719	0.12091	0
V12	0.00889	0.031	0.20057	0.47923	0.01616	0.00689	0.11268	0.0171	0.00126	0.12624
V13	0.06083	0.03285	0.14334	0.05128	0.04965	0.12652	0.41497	0.02772	0.09284	0
V14	0.05039	0.45126	0.1319	0.08967	0	0.04181	0.16922	0.01059	0.05515	0
V15	0.22228	0.00994	0.16591	0.52533	0.0042	0.01696	0.03405	0.01307	0.00826	0
V16	0.00909	0.07068	0.21979	0.51774	0.01766	0.03725	0.02161	0.00673	0.09946	0
V17	0.01781	0.16939	0.03004	0.02234	0	0.07716	0.10256	0.01928	0	0.56141
V18	0.06462	0.08105	0.0931	0.30904	0	0.00629	0.03719	0.00946	0	0.39925
V19	0.00112	0	0.03259	0.08141	0	0.08521	0.05648	0.02299	0	0.72021
V20	0	0.21891	0.0535	0.04205	0.01236	0.03861	0.51365	0.0524	0.02617	0.04235
V21	0.0622	0.44085	0.02857	0.02863	0	0.2696	0.09852	0.02206	0.04956	0
V22	0	0.01512	0.02913	0.01608	0	0.02813	0.09094	0.23189	0.01099	0.57771
V23	0.29223	0.04475	0.44333	0.10559	0	0.00591	0.00685	0.00168	0	0.09967
V24	0	0.60269	0.04347	0.02299	0	0	0.13707	0.04902	0.14475	0
V25	0.01434	0.17188	0.05713	0.04135	0.03067	0.11011	0.08981	0.01309	0.12757	0.34405
V26	0	0.02277	0.06868	0.03027	0.01534	0.05402	0.12494	0.61839	0.0656	0
V27	0.00478	0.12455	0.02039	0.0095	0.3056	0.00232	0.05544	0.01059	0	0.46683
V28	0.27778	0	0.03041	0.01587	0	0.02527	0.06347	0.03485	0	0.55235
V29	0	0.69807	0.0028	0.02721	0	0.07655	0.09111	0.01115	0.08569	0.0074
V30	0	0.04655	0.11766	0.0541	0.02819	0.24253	0.30633	0.02028	0.18436	0
V31	0.00184	0.38411	0.17344	0.04916	0.0258	0.00852	0.0702	0.21195	0.07498	0
V32	0.44431	0.0864	0.05325	0.02106	0.22091	0.03661	0.04698	0.0028	0.08768	0
V33	0.02977	0.0141	0.23669	0.46995	0.01637	0.0129	0.19888	0.01265	0.00869	0
V34	0.00651	0.11265	0.02969	0.01012	0.15184	0.00386	0.0577	0.02681	0.0131	0.58772
V35	0	0.80722	0	0.00882	0	0	0.08763	0.00386	0.09246	0
V36	0.01879	0.01878	0.08498	0.04161	0.05269	0.05322	0.67497	0.05073	0.00422	0
V37	0	0.52434	0.02046	0.02534	0	0.00915	0.32176	0.02902	0.06993	0
V38	0.0874	0	0.11565	0.18047	0.0383	0.03394	0.51431	0.0262	0.00375	0
V39	0.04799	0.00694	0.11923	0.17591	0.0655	0.03367	0.50385	0.03757	0.00934	0
V40	0.1508	0.05878	0.55032	0.12843	0.08349	0	0	0	0.01018	0.01799
V41	0.5506	0.10645	0.07724	0.02432	0.00444	0	0.03124	0.01029	0.19543	0
V42	0	0.66269	0	0.01066	0.1801	0	0.04905	0	0.0975	0
V43	0.10001	0.0709	0.13214	0.10472	0.16225	0.04276	0.23172	0.03126	0.12423	0
V44	0.04861	0.02552	0.45634	0.11045	0.00422	0.01944	0.04672	0.25376	0.03494	0
V45	0	0.06127	0.07846	0.03585	0.04841	0.01658	0.29392	0.02459	0.43497	0.00595
V46	0.16467	0.1126	0.09215	0.24389	0	0	0.03234	0.01887	0	0.33548
